date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,0,2,1,1,0,117,107,10,0,443771,404781,38990,,3783.0,3792.91452991453,3899.0,-107.0,1387-09-06
2008-11-29,0,2,1,1,0,123,113,10,0,466469,427479,38990,,3783.0,3792.430894308943,3899.0,-113.0,1387-09-09
2008-11-30,0,2,1,1,0,120,110,10,0,455120,416130,38990,,3783.0,3792.6666666666665,3899.0,-110.0,1387-09-10
2008-12-01,3,2,1,1,4132,115,4237,10,15631356,436055,16028571,38840,3783.0,3783.0,3791.782608695652,3884.0,-105.0,1387-09-11
2008-12-02,0,2,1,1,0,118,108,10,0,445784,406944,38840,,3768.0,3777.830508474576,3884.0,-108.0,1387-09-12
2008-12-03,0,2,1,1,0,120,110,10,0,453320,414480,38840,,3768.0,3777.6666666666665,3884.0,-110.0,1387-09-13
2008-12-06,0,1,1,0,0,103,103,0,0,388104,388104,0,,3768.0,3768.0,,-103.0,1387-09-16
2008-12-07,1,1,1,0,100,113,213,0,376800,425784,802584,0,3768.0,3768.0,3768.0,,-113.0,1387-09-17
2008-12-08,0,1,1,0,0,107,107,0,0,403069,403069,0,,3767.0,3767.0,,-107.0,1387-09-18
2008-12-10,0,1,1,0,0,104,104,0,0,391768,391768,0,,3767.0,3767.0,,-104.0,1387-09-20
2008-12-13,0,1,1,0,0,106,106,0,0,399302,399302,0,,3767.0,3767.0,,-106.0,1387-09-23
2008-12-14,0,1,1,0,0,106,106,0,0,399302,399302,0,,3767.0,3767.0,,-106.0,1387-09-24
2008-12-15,0,1,1,0,0,114,114,0,0,429438,429438,0,,3767.0,3767.0,,-114.0,1387-09-25
2008-12-16,0,1,1,0,0,107,107,0,0,403069,403069,0,,3767.0,3767.0,,-107.0,1387-09-26
2008-12-21,0,1,1,0,0,103,103,0,0,388001,388001,0,,3767.0,3767.0,,-103.0,1387-10-01
2008-12-22,0,1,1,0,0,103,103,0,0,388001,388001,0,,3767.0,3767.0,,-103.0,1387-10-02
2008-12-24,0,1,1,0,0,102,102,0,0,384234,384234,0,,3767.0,3767.0,,-102.0,1387-10-04
2008-12-27,0,1,1,0,0,110,110,0,0,414370,414370,0,,3767.0,3767.0,,-110.0,1387-10-07
2008-12-28,0,1,1,0,0,95,95,0,0,357865,357865,0,,3767.0,3767.0,,-95.0,1387-10-08
2008-12-29,0,1,1,0,0,107,107,0,0,403069,403069,0,,3767.0,3767.0,,-107.0,1387-10-09
2008-12-30,4,1,19,0,56874,100,56974,0,215352570,376700,215729270,0,3786.485388754088,3786.451188261312,3767.0,,-100.0,1387-10-10
2008-12-31,2,0,4,0,32168,0,32168,0,118394664,0,118394664,0,3680.510569510072,3680.510569510072,,,0.0,1387-10-11
2009-01-03,1,0,2,0,1110,0,1110,0,4004416,0,4004416,0,3607.581981981982,3607.581981981982,,,0.0,1387-10-14
2009-01-04,4,0,4,0,19574,0,19574,0,69840032,0,69840032,0,3568.0,3568.0,,,0.0,1387-10-15
2009-01-05,2,0,3,0,17220,0,17220,0,60465960,0,60465960,0,3511.3797909407667,3511.3797909407667,,,0.0,1387-10-16
2009-01-10,1,1,1,0,2000,105,2105,0,6902000,362355,7264355,0,3451.0,3451.0,3451.0,,-105.0,1387-10-21
2009-01-11,1,1,1,0,100,102,202,0,344400,351288,695688,0,3444.0,3444.0,3444.0,,-102.0,1387-10-22
2009-01-12,0,1,1,0,0,103,103,0,0,354629,354629,0,,3443.0,3443.0,,-103.0,1387-10-23
2009-01-24,14,1,6,0,315408,15000,330408,0,794752947,38410000,833162947,0,2519.761537437224,2521.618565531101,2560.6666666666665,,-15000.0,1387-11-05
2009-01-25,13,1,12,1,298765,30000,282783,45982,755407957,77910000,718760003,114557954,2528.435248439409,2541.736960849839,2597.0,2491.365186377278,15982.0,1387-11-06
2009-01-26,1,0,2,0,50368,0,50368,0,123854912,0,123854912,0,2459.0,2459.0,,,0.0,1387-11-07
2009-01-27,10,0,11,2,280468,0,207468,73000,669894448,0,495586448,174308000,2388.4879843689832,2388.7368076040643,,2387.780821917808,73000.0,1387-11-08
2009-01-28,4,0,3,1,16052,0,13452,2600,39471868,0,33078468,6393400,2459.0,2459.0,,2459.0,2600.0,1387-11-09
2009-01-31,1,0,0,1,100,0,0,100,249600,0,0,249600,2496.0,,,2496.0,100.0,1387-11-12
2009-02-07,3,0,2,1,12100,0,12000,100,30178000,0,29930000,248000,2494.0495867768595,2494.1666666666665,,2480.0,100.0,1387-11-19
2009-02-08,5,0,4,1,21960,0,21260,700,54229300,0,52493300,1736000,2469.4581056466304,2469.111006585136,,2480.0,700.0,1387-11-20
2009-02-09,2,0,3,0,10550,0,10550,0,26356000,0,26356000,0,2498.1990521327016,2498.1990521327016,,,0.0,1387-11-21
2009-02-14,2,0,4,0,11047,0,11047,0,27942800,0,27942800,0,2529.4469086629856,2529.4469086629856,,,0.0,1387-11-26
2009-02-15,1,0,2,0,610,0,610,0,1476200,0,1476200,0,2420.0,2420.0,,,0.0,1387-11-27
2009-03-03,3,1,3,0,15000,2200,17200,0,24392000,4328000,28720000,0,1626.1333333333334,1669.7674418604652,1967.2727272727277,,-2200.0,1387-12-13
2009-03-10,1,1,2,0,30000,2000,32000,0,48600000,3240000,51840000,0,1620.0,1620.0,1620.0,,-2000.0,1387-12-20
