date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-08-26,204,0,722,0,44282851,0,44282851,0,92993987100,0,92993987100,0,2100.0,2100.0,,,0.0,1398-06-04
2019-08-28,1020,0,809,0,54934334,0,54934334,0,103820997860,0,103820997860,0,1889.910922739138,1889.910922739138,,,0.0,1398-06-06
2019-08-31,576,0,926,0,36533831,0,36533831,0,61424857612,0,61424857612,0,1681.3144400870524,1681.3144400870524,,,0.0,1398-06-09
2019-09-02,684,1,1198,0,61336938,4300000,65636938,0,100040545878,7013300000,107053845878,0,1631.0,1631.0,1631.0,,-4300000.0,1398-06-11
2019-09-04,168,0,405,2,16563634,0,14563634,2000000,27810341486,0,24452341486,3358000000,1679.0,1679.0,,1679.0,2000000.0,1398-06-13
2019-09-16,59,0,124,0,4960131,0,4960131,0,8824073049,0,8824073049,0,1779.0,1779.0,,,0.0,1398-06-25
2019-09-17,986,0,715,1,39715519,0,39713100,2419,70424331144,0,70420146274,4184870,1773.2194597280725,1773.2220923070724,,1730.0,2419.0,1398-06-26
2019-09-18,154,0,134,0,6065149,0,6065149,0,10497147244,0,10497147244,0,1730.73196454036,1730.73196454036,,,0.0,1398-06-27
2019-09-21,96,0,27,0,3196787,0,3196787,0,5517654362,0,5517654362,0,1726.0,1726.0,,,0.0,1398-06-30
2019-09-22,92,0,11,0,3169002,0,3169002,0,5469697452,0,5469697452,0,1726.0,1726.0,,,0.0,1398-06-31
2019-09-23,438,0,549,0,30058296,0,30058296,0,53283049453,0,53283049453,0,1772.657021309525,1772.657021309525,,,0.0,1398-07-01
2019-09-24,403,0,271,0,19209898,0,19209898,0,33262870456,0,33262870456,0,1731.5485202472184,1731.5485202472184,,,0.0,1398-07-02
2019-09-25,241,0,122,0,5628691,0,5628691,0,9471908819,0,9471908819,0,1682.7906912992737,1682.7906912992737,,,0.0,1398-07-03
2019-09-28,698,0,652,0,32303159,0,32303159,0,53126994698,0,53126994698,0,1644.6377488344096,1644.6377488344096,,,0.0,1398-07-06
2019-09-29,451,0,484,0,23827471,0,23827471,0,39930431697,0,39930431697,0,1675.8149321428195,1675.8149321428195,,,0.0,1398-07-07
2019-09-30,545,2,390,4,25096601,14000,14273435,10837166,43088751534,23800000,24527656708,18584894826,1716.9158299165692,1718.4130314812096,1700.0,1714.922040134847,10823166.0,1398-07-08
2019-10-01,477,1,191,1,12624806,11000,12536806,99000,21134985517,18590000,20985275517,168300000,1674.0839833103178,1673.8932960277125,1690.0,1700.0,88000.0,1398-07-09
2019-10-02,371,0,150,0,12751380,0,12751380,0,20742295007,0,20742295007,0,1626.670604044425,1626.670604044425,,,0.0,1398-07-10
2019-10-05,350,1,330,3,17415061,20000,14606508,2828553,28243023028,32520000,23668916387,4606626641,1621.7584898496766,1620.43634159513,1626.0,1628.6159888112402,2808553.0,1398-07-13
2019-10-06,455,1,181,0,14656728,2500,14659228,0,23136019234,3942000,23139961234,0,1578.525523159057,1578.5252288865415,1576.8,,-2500.0,1398-07-14
2019-10-07,42,0,193,0,7642836,0,7642836,0,12396347091,0,12396347091,0,1621.9564427393182,1621.9564427393182,,,0.0,1398-07-15
2019-10-08,460,0,295,0,18902385,0,18902385,0,30541218433,0,30541218433,0,1615.7335930360111,1615.7335930360111,,,0.0,1398-07-16
2019-10-09,250,0,312,0,10093889,0,10093889,0,16146148840,0,16146148840,0,1599.5964330497393,1599.5964330497393,,,0.0,1398-07-17
2019-10-12,307,0,215,0,7440643,0,7440643,0,12069697193,0,12069697193,0,1622.1309358613228,1622.1309358613228,,,0.0,1398-07-20
2019-10-13,300,0,219,0,8978788,0,8978788,0,14359992476,0,14359992476,0,1599.324148871763,1599.324148871763,,,0.0,1398-07-21
2019-10-14,431,1,156,0,14478474,20000,14498474,0,22576345090,31360000,22607705090,0,1559.3041842669331,1559.3161797579526,1568.0,,-20000.0,1398-07-22
2019-10-15,216,0,54,0,5703355,0,5703355,0,8639135821,0,8639135821,0,1514.7462889825374,1514.7462889825374,,,0.0,1398-07-23
2019-10-16,321,0,135,1,8170069,0,8115795,54274,12064248399,0,11983922879,80325520,1476.639719811424,1476.6172480946109,,1480.0,54274.0,1398-07-24
2019-10-20,178,0,58,0,3017968,0,3017968,0,4332204065,0,4332204065,0,1435.4705102903677,1435.4705102903677,,,0.0,1398-07-28
2019-10-21,327,0,194,0,10122983,0,10122983,0,13863734854,0,13863734854,0,1369.5305873772584,1369.5305873772584,,,0.0,1398-07-29
2019-10-22,261,0,163,0,10442399,0,10442399,0,14659331647,0,14659331647,0,1403.8279562962496,1403.8279562962496,,,0.0,1398-07-30
2019-10-23,227,0,229,0,11166319,0,11166319,0,16101912238,0,16101912238,0,1442.0071858953695,1442.0071858953695,,,0.0,1398-08-01
2019-10-26,95,0,98,0,3887246,0,3887246,0,5772537410,0,5772537410,0,1484.994108939851,1484.994108939851,,,0.0,1398-08-04
2019-10-28,20,0,69,0,1738320,0,1738320,0,2710040880,0,2710040880,0,1559.0,1559.0,,,0.0,1398-08-06
2019-10-30,151,0,89,2,8178564,0,2788564,5390000,13126595220,0,4475645220,8650950000,1605.0,1605.0,,1605.0,5390000.0,1398-08-08
2019-11-02,545,0,230,1,14753659,0,14707933,45726,23271626986,0,23200431604,71195382,1577.3461339997082,1577.4093887971885,,1557.0,45726.0,1398-08-11
2019-11-03,291,0,170,0,7973506,0,7973506,0,12530978514,0,12530978514,0,1571.5769843278476,1571.5769843278476,,,0.0,1398-08-12
2019-11-04,173,0,66,0,5075381,0,5075381,0,7768788980,0,7768788980,0,1530.6809439527792,1530.6809439527792,,,0.0,1398-08-13
2019-11-05,286,0,166,0,6706998,0,6706998,0,10065974044,0,10065974044,0,1500.8166163162714,1500.8166163162714,,,0.0,1398-08-14
2019-11-09,259,0,238,1,16988337,0,10988337,6000000,26248217528,0,16972217528,9276000000,1545.0728065966669,1544.5665279468583,,1546.0,6000000.0,1398-08-18
2019-11-10,347,0,285,2,15912967,0,10412967,5500000,25303283948,0,16552783948,8750500000,1590.1047207601198,1589.6318453712568,,1591.0,5500000.0,1398-08-19
2019-11-11,279,0,349,1,14202843,0,13202843,1000000,23115124790,0,21478124790,1637000000,1627.4998456294982,1626.7802919416674,,1637.0,1000000.0,1398-08-20
2019-11-12,359,0,255,0,12454594,0,12454594,0,20373104467,0,20373104467,0,1635.790333028921,1635.790333028921,,,0.0,1398-08-21
2019-11-13,366,0,208,0,10827268,0,10827268,0,17218266859,0,17218266859,0,1590.2688341140165,1590.2688341140165,,,0.0,1398-08-22
2019-11-16,308,0,303,2,16364326,0,12206839,4157487,26651446706,0,19867466638,6783980068,1628.6308831784456,1627.5684997565709,,1631.7501577274927,4157487.0,1398-08-25
2019-11-17,270,0,151,0,12457289,0,12457289,0,19711920187,0,19711920187,0,1582.3603503940544,1582.3603503940544,,,0.0,1398-08-26
2019-11-30,318,0,135,0,9023166,0,9023166,0,13227154057,0,13227154057,0,1465.9105304058464,1465.9105304058464,,,0.0,1398-09-09
2019-12-01,821,0,443,1,40361010,0,39861010,500000,57949045751,0,57226225751,722820000,1435.7679788241176,1435.6441482792334,,1445.64,500000.0,1398-09-10
2019-12-02,489,0,319,1,15940974,0,15540974,400000,23392465276,0,22807126915,585338361,1467.4426591499366,1467.5481031626462,,1463.3459025,400000.0,1398-09-11
2019-12-03,318,0,373,1,21116352,0,20116352,1000000,31506003842,0,30036003842,1470000000,1492.0192579665274,1493.1138529490834,,1470.0,1000000.0,1398-09-12
2019-12-04,53,0,73,1,11245085,0,1245085,10000000,17272450560,0,1912450560,15360000000,1536.0,1536.0,,1536.0,10000000.0,1398-09-13
2019-12-07,643,0,320,2,49507963,0,29507963,20000000,78311122361,0,46671122361,31640000000,1581.7884157544515,1581.645007518818,,1582.0,20000000.0,1398-09-16
2019-12-08,557,0,588,2,34659657,0,33649657,1010000,56747076400,0,55086926400,1660150000,1637.26595447843,1637.072449208026,,1643.7128712871288,1010000.0,1398-09-17
2019-12-09,150,0,141,1,6660666,0,4660666,2000000,11228236714,0,7856236714,3372000000,1685.7528532432043,1685.6467968311824,,1686.0,2000000.0,1398-09-18
2019-12-10,27,0,113,1,5598908,0,3598908,2000000,9719704288,0,6247704288,3472000000,1736.0,1736.0,,1736.0,2000000.0,1398-09-19
2019-12-11,70,0,120,0,6653800,0,6653800,0,11896994400,0,11896994400,0,1788.0,1788.0,,,0.0,1398-09-20
2019-12-14,50,0,128,1,6504325,0,6254325,250000,12208618025,0,11739368025,469250000,1877.0,1877.0,,1877.0,250000.0,1398-09-23
2019-12-15,45,0,94,1,4642335,0,4392335,250000,8973633555,0,8490383555,483250000,1933.0,1933.0,,1933.0,250000.0,1398-09-24
2019-12-16,30,0,86,1,2040125,0,1840125,200000,4059848750,0,3661848750,398000000,1990.0,1990.0,,1990.0,200000.0,1398-09-25
2019-12-17,41,0,71,1,2446038,0,2246038,200000,5011931862,0,4602131862,409800000,2049.0,2049.0,,2049.0,200000.0,1398-09-26
2019-12-18,1886,0,1371,2,106882363,0,97582363,9300000,226776119079,0,206829645261,19946473818,2121.735642006717,2119.539216948456,,2144.782130967742,9300000.0,1398-09-27
2019-12-21,896,0,642,1,35880626,0,35828082,52544,77408384026,0,77297452853,110931173,2157.386663933901,2157.454391585908,,2111.2053326735686,52544.0,1398-09-30
2019-12-22,466,0,244,2,19931806,0,19918677,13129,44238468922,0,44209322542,29146380,2219.4912453994384,2219.490910063957,,2220.0,13129.0,1398-10-01
2019-12-25,16,0,69,0,1552541,0,1552541,0,3644436873,0,3644436873,0,2347.4013716868026,2347.4013716868026,,,0.0,1398-10-04
2019-12-28,15,0,73,1,843131,0,643131,200000,2037847627,0,1554447627,483400000,2417.0,2417.0,,2417.0,200000.0,1398-10-07
2019-12-29,513,1,152,1,24124966,900000,24994966,30000,60042003918,2240100000,62207433918,74670000,2488.7912346902376,2488.798501186199,2489.0,2489.0,-870000.0,1398-10-08
2019-12-30,25,1,76,0,1766082,100000,1866082,0,4526468166,256300000,4782768166,0,2563.0,2563.0,2563.0,,-100000.0,1398-10-09
2019-12-31,114,1,139,0,6703137,50000,6753137,0,18038141667,134550000,18172691667,0,2691.0,2691.0,2691.0,,-50000.0,1398-10-10
2020-01-01,35,1,60,0,1893436,150000,2043436,0,5246711156,415650000,5662361156,0,2771.0,2771.0,2771.0,,-150000.0,1398-10-11
2020-01-04,1191,2,821,1,70525504,2000386,72375890,150000,191809449713,5580996489,196987246202,403200000,2719.717532440463,2721.724682100628,2789.9597822620235,2688.0,-1850386.0,1398-10-14
2020-01-05,887,1,290,0,54001591,1100000,55101591,0,151353850992,3083300000,154437150992,0,2802.7665146384297,2802.7711757361053,2803.0,,-1100000.0,1398-10-15
