date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2011-11-26,7,4,21,3,26109,635000,311109,350000,697815768,16970845000,8314560768,9354100000,26727.02010800873,26725.555249124904,26725.740157480315,26726.0,-285000.0,1390-09-05
2011-11-27,61,13,141,27,482856,2417084,1139383,1760557,12637085061,64208091338,30237317254,46607859145,26171.53988145534,26538.325790361974,26564.27800523275,26473.3599338164,-656527.0,1390-09-06
2011-11-28,48,17,93,13,229571,2864152,818348,2275375,5932296741,74524542625,21176486150,59280353216,25840.793223011617,25877.11603132164,26019.75824781645,26053.003665769374,-588777.0,1390-09-07
2011-11-29,52,12,33,10,782814,409259,337882,854191,20938747589,10919188574,8996931426,22861004737,26748.049458747544,26627.436282489158,26680.38717291495,26763.34067790459,444932.0,1390-09-08
2011-11-30,27,11,34,8,122420,514111,123583,512948,3208213488,13458720422,3257080304,13409853606,26206.61238359745,26355.407329487065,26178.627615437133,26142.715452638477,-1163.0,1390-09-09
2011-12-03,35,13,29,6,127040,255550,82540,300050,3327738860,6695614866,2164099710,7859254016,26194.41797858942,26218.7994911558,26200.80166699276,26193.147862023,44500.0,1390-09-12
2011-12-04,52,10,35,8,109451,131055,143859,96647,2919033093,3497529935,3828640128,2587922900,26669.77088377448,26613.83804975705,26687.49711952997,26777.06395439072,-34408.0,1390-09-13
2011-12-07,55,13,30,7,392506,236579,365594,263491,10608240244,6400767419,9884183008,7124824655,27026.950528144796,27035.95520714235,27055.518110229565,27040.106322417083,26912.0,1390-09-16
2011-12-10,30,10,33,7,55556,300206,253749,102013,1499387730,8084785512,6834216733,2749956509,26988.76322989416,26932.97996445306,26930.792562440456,26956.92224520404,-198193.0,1390-09-19
2011-12-11,36,5,13,2,138408,74330,49029,163709,3640597815,1949749480,1293136540,4297210755,26303.377080804577,26374.93197903282,26230.98990986143,26249.080716393117,89379.0,1390-09-20
2011-12-12,33,5,19,3,59267,248647,275353,32561,1584552632,6632290101,7349245073,867597660,26735.833296775607,26690.26694098121,26673.517480605035,26645.301434231136,-216086.0,1390-09-21
2011-12-13,18,8,40,4,100313,267523,350856,16980,2714826639,7224364164,9479289803,459901000,27063.557455165334,27017.607802061244,27004.64694250588,27084.864546525325,-250543.0,1390-09-22
2011-12-14,11,6,32,3,52528,148828,166356,35000,1415661348,4005678868,4479525825,941814391,26950.60440146208,26927.347525788067,26914.8202488779,26908.9826,-113828.0,1390-09-23
2011-12-17,29,8,22,2,89033,662000,411033,340000,2355806546,17461235270,10851772429,8965269387,26459.92548830209,26401.21943736877,26376.48832326284,26368.43937352941,-322000.0,1390-09-26
2011-12-18,36,5,31,2,137236,116512,234711,19037,3614853253,3071562712,6182495909,503920056,26340.41543764027,26340.8869162502,26362.629703378192,26470.560277354623,-97475.0,1390-09-27
2011-12-19,24,8,31,8,155329,284354,146600,293083,4095327818,7494428204,3863757114,7725998908,26365.506878947268,26355.77840381992,26355.97953255449,26361.12946844409,8729.0,1390-09-28
2011-12-20,16,4,29,4,75564,260525,206541,129548,1989058767,6855099641,5435778953,3408379455,26322.835834524376,26318.15936303204,26312.63656462912,26309.780583258715,-130977.0,1390-09-29
2011-12-21,17,2,34,4,83850,320213,257563,146500,2244351025,8576121312,6897687766,3922784571,26766.26147883125,26780.584812259523,26782.551963849062,26776.68649146757,-173713.0,1390-09-30
2011-12-24,11,5,30,2,22652,211447,188099,46000,607181888,5679038608,5044226496,1241994000,26804.780505032668,26816.87035018793,26857.97674121648,26999.869565217392,-165447.0,1390-10-03
2011-12-25,7,5,17,0,60357,78973,139330,0,1622178176,2123038866,3745217042,0,26876.38842222112,26880.19121510084,26883.09759031568,,-78973.0,1390-10-04
2011-12-26,11,7,22,4,28616,238293,86355,180554,766720907,6374913088,2313920984,4827713011,26793.433987978755,26795.448833304385,26752.414414187577,26738.333191178262,-57739.0,1390-10-05
2011-12-27,17,7,40,7,86929,197658,153403,131184,2349860101,5344978019,4144263120,3550575000,27031.946772653544,27015.52850987269,27041.54660575337,27065.610135382365,-66474.0,1390-10-06
2011-12-28,30,6,22,5,154088,149348,123336,180100,4202869490,4074389950,3361584701,4915674739,27275.77416800789,27255.50286210028,27281.18187053057,27294.140694058857,30752.0,1390-10-07
2011-12-31,54,7,50,9,321733,196235,253813,264155,8941703947,5459889751,7064038353,7337555345,27792.312094189903,27831.664859561963,27823.22088822076,27777.461509341105,67920.0,1390-10-10
2012-01-01,25,3,41,5,32082,230034,126388,135728,890079208,6381819457,3501206586,3770692079,27743.881553519102,27702.049134411496,27742.939987132337,27781.239530531653,-94306.0,1390-10-11
2012-01-02,17,3,16,3,28362,52920,31282,50000,785153165,1465131600,866170985,1384113780,27683.279211621182,27689.117863307973,27685.78231292517,27682.2756,-2920.0,1390-10-12
2012-01-03,126,12,105,21,720510,629053,565901,783662,20668989373,18046262673,16226715885,22488536161,28686.610002637022,28674.12477624178,28687.984435333747,28696.72915236416,154609.0,1390-10-13
2012-01-04,91,10,97,15,418835,306120,465462,259493,12193460396,8929139793,13506419473,7616180716,29112.801929160647,29017.23335739545,29168.75667385339,29350.23571348745,-46627.0,1390-10-14
2012-01-07,45,1,30,4,152373,10000,58316,104057,4389955382,286500000,1677386635,2999068747,28810.585746818662,28763.74639892997,28650.0,28821.403144430456,94057.0,1390-10-17
2012-01-08,35,3,19,4,264608,106000,96913,273695,7590532999,3040141425,2782935521,7847738903,28685.95431355061,28715.8123368382,28680.579481132077,28673.30021739528,167695.0,1390-10-18
2012-01-09,82,13,82,7,604920,328541,571461,362000,17917163658,9738278494,16924277998,10731164154,29619.063112477685,29615.80579952088,29640.983907640144,29644.09987292818,33459.0,1390-10-19
2012-01-10,104,14,53,9,465118,402061,194456,672723,13928704251,12045391531,5827672602,20146423180,29946.603337217653,29969.106646233595,29959.11449008981,29947.576015685507,270662.0,1390-10-20
2012-01-11,98,11,41,13,740083,255171,202433,792821,22325682100,7686088570,6101987204,23909783466,30166.45714061801,30143.24346326933,30121.32479788064,30157.85841444664,537650.0,1390-10-21
2012-02-04,182,23,93,19,1512007,3043468,1001838,3553637,38086406781,76855498731,25470793040,89471112472,25189.305857049603,25424.06361108283,25252.60614897216,25177.335915851843,510169.0,1390-11-15
2012-02-05,47,11,124,12,233211,2726504,979791,1979924,5885387414,68858900008,24762660084,49981627338,25236.3199591786,25273.410435490838,25255.381986602624,25244.215100175563,-746580.0,1390-11-16
2012-02-06,32,9,41,7,133980,818631,207304,745307,3393892978,20746049771,5251501074,18888441675,25331.340334378267,25332.36731563308,25342.37009226379,25343.169559657967,-73324.0,1390-11-17
2012-02-07,32,4,43,3,32803,869614,826091,76326,825033832,21867827292,20767435712,1925425412,25151.17007590769,25139.40439007325,25146.59066206386,25226.33718523177,-793288.0,1390-11-18
2012-02-08,18,7,30,4,27539,275207,257746,45000,682847588,6844630477,6407233065,1120245000,24795.65663241221,24858.709989679763,24870.844408027413,24894.33333333333,-230207.0,1390-11-19
2012-02-12,11,6,26,2,16017,319211,113282,221946,394910852,7811771522,2781249580,5425432794,24655.7315352438,24551.55788209954,24472.125089674228,24444.83249979725,-97265.0,1390-11-23
2012-02-13,23,6,53,5,31084,264313,241016,54381,759375550,6440656927,5872722332,1327310145,24429.788637241025,24366.524761841534,24367.537453700726,24407.608263915707,-209932.0,1390-11-24
2012-02-14,22,8,52,4,39793,388751,299064,129480,955446811,9340092838,7182294117,3113245532,24010.42422034026,24015.91002929139,24025.90048128493,24044.219431572445,-259271.0,1390-11-25
2012-02-15,25,6,56,7,32326,2009945,1156332,885939,778710197,48403014926,27841025814,21340699309,24089.2840747386,24077.017512271563,24081.76090689049,24088.226513337824,-1124006.0,1390-11-26
2012-02-18,45,10,80,11,148253,1334628,525310,957571,3603917257,33086472500,12976096977,23714292780,24309.236622530403,24701.789375797147,24790.782525168062,24765.04904597153,-377057.0,1390-11-29
2012-02-19,29,3,34,4,55409,428927,215747,268589,1410457664,10918630355,5494695187,6834392832,25455.389268891337,25468.2344922525,25455.68442881889,25445.54256503431,-160338.0,1390-11-30
2012-02-20,29,3,33,3,163416,201469,313385,51500,4105479496,5037809250,7853494831,1289793915,25122.8735007588,25060.212936164786,25005.381721257363,25044.542038834952,-149969.0,1390-12-01
2012-02-21,24,3,30,2,28019,75999,90063,13955,705405732,1905805925,2259167567,352044090,25175.97815767872,25084.30284356506,25076.72370689088,25227.093514869222,-62044.0,1390-12-02
2012-02-22,9,4,34,2,42580,134724,117372,59932,1063115600,3363067262,2935706394,1490476468,24967.487083137625,25011.982363766485,24962.644087170807,24869.45985450177,-74792.0,1390-12-03
2012-02-25,8,3,24,6,18445,585417,202714,401148,460920870,14627803337,5066679207,10022045000,24988.93304418541,24994.22440975956,24986.98079659457,24983.41011297576,-184269.0,1390-12-06
2012-02-26,23,8,33,3,55756,203679,99435,160000,1397374490,5098722741,2491490366,4004606865,25062.31598392998,25056.472730929752,25033.129291679557,25028.79290625,-43679.0,1390-12-07
2012-02-27,60,9,60,10,277517,346708,473930,150295,7078267732,8821700396,12061925928,3838042200,25505.708594428448,25450.859679699533,25444.17895174037,25536.72577264713,-196413.0,1390-12-08
2012-02-28,64,8,39,11,262661,293234,164091,391804,6797527790,7600058418,4253083090,10144503118,25879.471219556766,25919.05156285232,25918.066861278025,25891.78037488132,98570.0,1390-12-09
2012-02-29,38,10,37,3,266986,499059,248225,517820,6881532536,12814918440,6420407519,13276043457,25774.881589296816,25865.273517977643,25678.163183110613,25638.336597659418,18761.0,1390-12-10
2012-03-03,16,6,14,2,126388,387513,61721,452180,3254350279,9970019721,1589144853,11635225147,25748.886595246386,25747.2311368902,25728.22001068351,25731.40153699854,64667.0,1390-12-13
2012-03-04,22,9,26,6,62812,186215,124660,124367,1628699886,4826605837,3232112884,3223192839,25929.756829905116,25927.425669821914,25919.53299680477,25916.78531282414,-61848.0,1390-12-14
2012-03-05,17,2,18,2,42361,58271,50561,50071,1089314163,1493020600,1300219359,1282115404,25715.024739737026,25715.855283716697,25622.01781332052,25605.94763435921,-8200.0,1390-12-15
2012-03-06,10,5,25,4,8384,370488,214981,163891,216208583,9553011654,5543142437,4226077800,25788.23747614504,25784.336462292016,25784.94216816739,25785.90526630504,-206597.0,1390-12-16
2012-03-07,26,10,27,5,92332,412292,22057,482567,2396333527,10670596036,572995218,12493934345,25953.44546852662,25977.930724939928,25881.1619822844,25890.569278462888,70275.0,1390-12-17
2012-03-10,33,8,20,3,227712,212140,156650,283202,5918274850,5512048600,4072674730,7357648720,25990.17552873805,25998.561953399298,25983.07061374564,25980.21454650744,71062.0,1390-12-20
2012-03-11,63,10,22,8,350487,207022,56496,501013,9146658886,5389057797,1480080289,13055636394,26096.998992829976,26197.966032993485,26031.329023002385,26058.47831094203,293991.0,1390-12-21
2012-03-12,27,4,22,1,135314,26398,111712,50000,3520983323,686550900,2907186711,1300347512,26020.835412448083,26023.942915711832,26007.6861883476,26006.95024,23602.0,1390-12-22
2012-03-13,34,5,38,6,245942,92008,109523,228427,6596289332,2455205374,2919381198,6132113508,26820.507810784657,26655.41665221004,26684.694526562907,26844.95925612997,136419.0,1390-12-23
2012-03-14,98,14,4,6,880220,407580,14020,1273780,24299595760,11252468640,385546160,35166518240,27606.27543114221,27499.72610556348,27608.0,27608.0,866200.0,1390-12-24
2012-03-17,72,14,59,15,323265,562684,409472,476477,9281196246,16154956962,11756300221,13679852987,28710.798403786368,28710.876985483745,28710.53195399194,28710.416215263274,-86207.0,1390-12-27
2012-03-18,93,17,64,13,289865,1925947,450230,1765582,8613732466,57241073430,13390001788,52464804108,29716.359222396637,29740.35890100615,29721.00137231191,29715.303003768728,-160365.0,1390-12-28
2012-03-24,16,2,16,2,54340,12000,36340,30000,1679427288,370894432,1123081720,927240000,30905.91255060729,30904.835443037973,30907.86933333333,30908.0,18000.0,1391-01-05
