,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2503,2008-12-15,1,0,1,0,5,0,5,0,17035,0,17035,0,3407.0,3407.0,,,0.0,1387-09-25
2502,2008-12-23,1,0,1,0,100,0,100,0,330500,0,330500,0,3305.0,3305.0,,,0.0,1387-10-03
2501,2008-12-24,2,0,1,0,4654,0,4654,0,14920724,0,14920724,0,3206.0,3206.0,,,0.0,1387-10-04
2500,2008-12-27,4,0,1,0,7319,0,7319,0,22762090,0,22762090,0,3110.0,3110.0,,,0.0,1387-10-07
2499,2008-12-28,1,0,1,0,150,0,150,0,452550,0,452550,0,3017.0,3017.0,,,0.0,1387-10-08
2498,2008-12-29,87,0,104,3,1690728,0,1545728,145000,5042308800,0,4607310244,434998556,2982.3299785654463,2980.673342269791,,2999.9900413793102,145000.0,1387-10-09
2497,2008-12-30,19,0,15,0,83415,0,83415,0,248460784,0,248460784,0,2978.610369837559,2978.610369837559,,,0.0,1387-10-10
2496,2008-12-31,4,0,3,0,35000,0,35000,0,101220000,0,101220000,0,2892.0,2892.0,,,0.0,1387-10-11
2495,2009-01-10,0,1,1,0,0,950,950,0,0,2674250,2674250,0,,2815.0,2815.0,,-950.0,1387-10-21
2494,2009-01-12,0,1,1,0,0,1000,1000,0,0,2813000,2813000,0,,2813.0,2813.0,,-1000.0,1387-10-23
2493,2009-01-19,2,0,2,0,6256,0,6256,0,17591872,0,17591872,0,2812.0,2812.0,,,0.0,1387-10-30
2492,2009-01-20,50,2,31,0,461225,90000,551225,0,1322411329,255740000,1578151329,0,2867.171833703724,2862.9893945303643,2841.555555555556,,-90000.0,1387-11-01
