date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,1,1,1,1,871,10,871,10,2958787,34990,2958787,34990,3397.0,3397.0,3499.0,3499.0,0.0,1387-09-06
2008-11-29,2,1,1,1,3050,10,3050,10,10354750,34900,10354750,34900,3395.0,3395.0,3490.0,3490.0,0.0,1387-09-09
2008-12-01,1,1,1,1,517,10,517,10,1750562,34890,1750562,34890,3386.0,3386.0,3489.0,3489.0,0.0,1387-09-11
2008-12-08,1,0,0,1,2000,0,0,2000,6000000,0,0,6000000,3000.0,,,3000.0,2000.0,1387-09-18
2008-12-10,5,1,8,1,57980,60838,42285,76533,173621800,177172660,126783430,224011030,2994.511900655398,2998.3074376256354,2912.2038857293137,2926.986136699202,15695.0,1387-09-20
2008-12-13,0,1,1,0,0,1282,1282,0,0,3671648,3671648,0,,2864.0,2864.0,,-1282.0,1387-09-23
2008-12-14,9,1,3,0,34482,2000,36482,0,99168620,5740000,104908620,0,2875.9532509715214,2875.626884490982,2870.0,,-2000.0,1387-09-24
2008-12-15,3,0,2,0,5018,0,5018,0,14863316,0,14863316,0,2962.0,2962.0,,,0.0,1387-09-25
2008-12-16,2,1,2,0,10000,10000,20000,0,28040000,29000000,57040000,0,2804.0,2852.0,2900.0,,-10000.0,1387-09-26
2008-12-21,3,0,1,0,15500,0,15500,0,45787000,0,45787000,0,2954.0,2954.0,,,0.0,1387-10-01
2008-12-28,1,0,1,0,14933,0,14933,0,44679536,0,44679536,0,2992.0,2992.0,,,0.0,1387-10-08
2008-12-30,1,0,1,0,10000,0,10000,0,30290000,0,30290000,0,3029.0,3029.0,,,0.0,1387-10-10
2008-12-31,11,0,4,1,66667,0,46667,20000,203534351,0,142474351,61060000,3053.0,3053.0,,3053.0,20000.0,1387-10-11
2009-01-03,11,0,9,1,83167,0,53167,30000,260768973,0,166458973,94310000,3135.486106268111,3130.8701450147646,,3143.6666666666665,30000.0,1387-10-14
2009-01-04,5,0,5,0,18187,0,18187,0,58651757,0,58651757,0,3224.927530653764,3224.927530653764,,,0.0,1387-10-15
2009-01-05,1,0,3,0,7000,0,7000,0,22397000,0,22397000,0,3199.5714285714284,3199.5714285714284,,,0.0,1387-10-16
2009-01-10,2,0,2,0,6100,0,6100,0,18963900,0,18963900,0,3108.8360655737706,3108.8360655737706,,,0.0,1387-10-21
2009-01-13,3,0,10,0,67000,0,67000,0,206097000,0,206097000,0,3076.074626865672,3076.074626865672,,,0.0,1387-10-24
2009-01-14,1,0,1,0,5,0,5,0,15145,0,15145,0,3029.0,3029.0,,,0.0,1387-10-25
2009-01-19,3,0,3,0,11388,0,11388,0,35254274,0,35254274,0,3095.738847910081,3095.738847910081,,,0.0,1387-10-30
2009-01-20,1,0,1,0,1000,0,1000,0,3100000,0,3100000,0,3100.0,3100.0,,,0.0,1387-11-01
2009-01-21,5,0,2,0,20990,0,20990,0,65066500,0,65066500,0,3099.880895664602,3099.880895664602,,,0.0,1387-11-02
2009-01-25,2,0,1,0,1625,0,1625,0,5008000,0,5008000,0,3081.846153846154,3081.846153846154,,,0.0,1387-11-06
2009-01-26,2,0,1,0,1475,0,1475,0,4425000,0,4425000,0,3000.0,3000.0,,,0.0,1387-11-07
