date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-04-08,1928213,2624,0,2,1497899733,2099456,0,1499999189,17974796796000,25193472000,0,17999990268000,12000.0,,12000.0,12000.0,1497899733.0,1399-01-20
2020-04-11,49,0,2644,16,1605380,0,1593211,12169,20227788000,0,20074458600,153329400,12600.0,12600.0,,12600.0,12169.0,1399-01-23
2020-04-12,1492,85,3472,12,49009616,8420117,2237189,55192544,625803786704,107516473973,28566666341,704753594336,12769.0,12769.0,12769.0,12769.0,46772427.0,1399-01-24
2020-04-13,192,4,4252,9,5893168,173255,3165849,2900574,79009703376,2322829785,42444537543,38887995618,13407.0,13407.0,13407.0,13407.0,2727319.0,1399-01-25
2020-04-14,532,20,24218,33,16584430,1119450,17677946,25934,233459021110,15758497650,248852445842,365072918,14077.0,14077.0,14077.0,14077.0,-1093516.0,1399-01-26
2020-04-15,168,1,13644,8,9764572,149989,9908801,5760,144320374160,2216837420,146452078780,85132800,14780.0,14780.0,14780.0,14780.0,-144229.0,1399-01-27
2020-04-18,91,4,5896,10,3649671,250000,3892908,6763,56639244249,3879750000,60414039252,104954997,15519.0,15519.0,15519.0,15519.0,-243237.0,1399-01-30
2020-04-19,195,10,9611,16,6941404,945049,7230612,655841,111222116292,15142520127,115856096076,10508540343,16023.0,16023.0,16023.0,16023.0,-289208.0,1399-01-31
2020-04-20,101,6,5946,37,3526192,400000,3897994,28198,59324654208,6729600000,65579851056,474403152,16824.0,16824.0,16824.0,16824.0,-371802.0,1399-02-01
2020-04-21,122,2,4826,11,4991099,150000,3237573,1903526,86715354026,2606100000,56249593302,33071860724,17374.0,17374.0,17374.0,17374.0,1753526.0,1399-02-02
2020-04-22,203,3,5879,10,5980689,150000,3834842,2295847,108358123302,2717700000,69479667356,41596155946,18118.0,18118.0,18118.0,18118.0,2145847.0,1399-02-03
2020-04-26,748,11,13739,54,27332265,2059216,11553446,17838035,544571021259,40893243408,229170533721,356293730946,19924.108787142228,19835.686575329997,19858.64688697057,19973.82172117052,15778819.0,1399-02-07
2020-04-27,1355,5,8975,9,23197787,275476,8220019,15253244,485204912892,5761856016,171929917404,319036851504,20916.0,20916.0,20916.0,20916.0,14977768.0,1399-02-08
2020-04-28,28628,67,164630,302,207068332,59165977,204680729,61553580,4545504257172,1299154230715,4492930926825,1351727561062,21951.71136633293,21950.92302424328,21957.792241223364,21960.177800576344,2387603.0,1399-02-09
2020-05-06,34273,25,67884,107,134852101,1074431,98925336,37001196,3559253246515,28028649786,2610550079740,976731816561,26393.754491930384,26389.094900218483,26086.9704857734,26397.303929337853,35926765.0,1399-02-17
2020-05-09,23588,20,53879,56,91857023,683915,89443991,3096947,2606886865415,19354621193,2537214435221,89027051387,28379.831832945423,28366.516373592945,28299.746595702683,28746.71455049118,2413032.0,1399-02-20
2020-05-10,44839,23,75923,99,143061137,3815088,132260024,14616201,4006226784387,104167177995,3684300677457,426093284925,28003.59949877233,27856.49485030337,27304.00399545174,29152.122697614792,10801113.0,1399-02-21
2020-05-11,8764,2,2444,12,16751003,4700,15656892,1098811,445343440383,124954200,416255405337,29212989246,26586.076092458465,26586.08140983536,26586.0,26586.0,1094111.0,1399-02-22
2020-05-12,2905,1,230,2,3867339,2000,3669339,200000,97678679599,50514000,92677793599,5051400000,25257.33575437788,25257.3538719099,25257.0,25257.0,198000.0,1399-02-23
2020-05-13,3885,5,736,6,6186588,1100689,6764558,522719,148447179060,26411032555,162315569210,12542642405,23995.0,23995.0,23995.0,23995.0,-577970.0,1399-02-24
2020-05-16,1492,1,186,0,1946411,77621,2024032,0,44370385156,1769448316,46139833472,0,22796.0,22796.0,22796.0,,-77621.0,1399-02-27
2020-05-17,1954,1,705,5,5216595,50000,5104162,162433,116032722585,1112150000,113531875366,3612997219,22243.0,22243.0,22243.0,22243.0,112433.0,1399-02-28
2020-05-18,18232,10,60562,110,97220036,2126871,81972408,17374499,2242071458581,49667852405,1889298490011,402440820975,23061.825019083517,23047.980852422927,23352.54578439407,23162.72952532329,15247628.0,1399-02-29
2020-05-19,41899,33,137614,175,177248624,18673490,186115341,9806773,3930534245001,409693231208,4122564373497,217663102712,22175.25956647765,22150.588722812485,21939.831879739675,22195.181096982666,-8866717.0,1399-02-30
2020-05-20,20196,25,97339,65,89833951,30247165,117829581,2251535,1902636635458,636623257369,2490465858637,48794034190,21179.482971399088,21136.16833312002,21047.36947641209,21671.452671177663,-27995630.0,1399-02-31
2020-05-23,19010,25,103412,111,131331028,29082299,135974834,24438493,2886322343294,642228314300,2989483062185,539067595409,21977.45945683148,21985.56140311229,22083.134290724403,22058.13572093009,-4643806.0,1399-03-03
2020-05-26,12201,14,36057,64,53501370,9351189,58238997,4613562,1148265658471,196808753618,1248018980085,97055432004,21462.35990725097,21429.266374298997,21046.388177802844,21036.984439355103,-4737627.0,1399-03-06
