date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-01-10,2,0,4,0,160000,0,160000,0,559920000,0,559920000,0,3499.5,3499.5,,,0.0,1387-10-21
2009-01-25,1,0,3,0,200000,0,200000,0,700000000,0,700000000,0,3500.0,3500.0,,,0.0,1387-11-06
2009-02-04,2,0,3,1,133710,0,103710,30000,466647900,0,361947900,104700000,3490.0,3490.0,,3490.0,30000.0,1387-11-16
2009-03-02,2,0,1,2,201100,0,200000,1100,693587600,0,689800000,3787600,3448.968672302337,3449.0,,3443.2727272727275,1100.0,1387-12-12
2009-04-20,2,0,4,0,261210,0,261210,0,927684500,0,927684500,0,3551.489223230351,3551.489223230351,,,0.0,1388-01-31
2009-06-28,2,0,4,0,340785,0,340785,0,1190104325,0,1190104325,0,3492.2438634329565,3492.2438634329565,,,0.0,1388-04-07
2009-06-29,0,1,4,1,0,802987,777987,25000,0,2720519956,2635819956,84700000,,3388.0,3388.0,3388.0,-777987.0,1388-04-08
2009-09-27,0,1,4,0,0,18757,18757,0,0,58056266,58056266,0,,3095.178653302767,3095.178653302767,,-18757.0,1388-07-05
2010-06-19,2,0,0,1,5038,0,0,5038,8055762,0,0,8055762,1599.0,,,1599.0,5038.0,1389-03-29
2010-07-14,1,0,1,0,20,0,20,0,30720,0,30720,0,1536.0,1536.0,,,0.0,1389-04-23
2010-07-17,8,0,1,1,10883,0,1231,9652,16716288,0,1890816,14825472,1536.0,1536.0,,1536.0,9652.0,1389-04-26
2010-07-25,7,0,0,1,90895,0,0,90895,129161840,0,0,129161840,1421.0004950767368,,,1421.0004950767368,90895.0,1389-05-03
2010-07-26,21,0,3,1,267481,0,30220,237261,394529437,0,44634940,349894497,1474.9811650173283,1477.0,,1474.7240254403378,237261.0,1389-05-04
2010-07-28,3,0,1,0,30000,0,30000,0,46020000,0,46020000,0,1534.0,1534.0,,,0.0,1389-05-06
2010-07-31,22,0,6,1,278409,0,76700,201709,441541674,0,121631200,319910474,1585.9461224313868,1585.8044328552803,,1586.0,201709.0,1389-05-09
2010-08-01,13,1,6,1,202669,10000,49882,162787,334201181,16490000,82255418,268435763,1649.0,1649.0,1649.0,1649.0,152787.0,1389-05-10
2010-08-02,5,0,1,1,115000,0,15000,100000,197110000,0,25710000,171400000,1714.0,1714.0,,1714.0,100000.0,1389-05-11
2010-08-03,1,0,2,1,49400,0,19400,30000,88030800,0,34570800,53460000,1782.0,1782.0,,1782.0,30000.0,1389-05-12
2010-08-04,46,1,17,1,416867,6000,222867,200000,744556680,11118000,397304389,358370291,1786.0772860408715,1782.6972544163111,1853.0,1791.851455,194000.0,1389-05-13
2010-08-07,8,0,4,1,35514,0,29514,6000,61187024,0,50747024,10440000,1722.8986878414146,1719.422104763841,,1740.0,6000.0,1389-05-16
2010-08-08,18,0,17,1,139926,0,129926,10000,239776627,0,222456627,17320000,1713.5959507168077,1712.1794483013407,,1732.0,10000.0,1389-05-17
2010-08-09,14,0,5,0,81330,0,81330,0,138701415,0,138701415,0,1705.4151604573958,1705.4151604573958,,,0.0,1389-05-18
2010-08-10,6,0,5,0,47666,0,47666,0,79305004,0,79305004,0,1663.764612092477,1663.764612092477,,,0.0,1389-05-19
2010-08-11,4,0,4,1,18855,0,15748,3107,31331533,0,26158378,5173155,1661.7095200212143,1661.0603251206503,,1665.0,3107.0,1389-05-20
2010-08-14,7,0,5,0,26534,0,26534,0,43214060,0,43214060,0,1628.6296826712896,1628.6296826712896,,,0.0,1389-05-23
2010-08-15,9,0,3,1,60325,0,14846,45479,94990277,0,23435570,71554707,1574.6419726481558,1578.5780681665094,,1573.357087886717,45479.0,1389-05-24
2010-08-16,7,0,4,1,123835,0,11835,112000,198807545,0,18555545,180252000,1605.422901441434,1567.8534009294465,,1609.392857142857,112000.0,1389-05-25
2010-08-17,7,0,4,1,339414,0,30000,309414,562139966,0,49945000,512194966,1656.2073632790634,1664.8333333333333,,1655.3710110079053,309414.0,1389-05-26
2010-08-18,19,0,12,0,123324,0,123324,0,211942558,0,211942558,0,1718.5832279199508,1718.5832279199508,,,0.0,1389-05-27
2010-08-21,3,0,6,0,62522,0,62522,0,111522134,0,111522134,0,1783.726272352132,1783.726272352132,,,0.0,1389-05-30
2010-08-22,13,0,15,0,288335,0,288335,0,534780129,0,534780129,0,1854.718050184681,1854.718050184681,,,0.0,1389-05-31
2010-08-23,29,0,27,0,368430,0,368430,0,705236756,0,705236756,0,1914.16756507342,1914.16756507342,,,0.0,1389-06-01
2010-08-24,39,1,17,0,714480,50000,764480,0,1421195986,99500000,1520695986,0,1989.133336132572,1989.1900193595648,1990.0,,-50000.0,1389-06-02
2010-08-25,2,0,6,0,49676,0,49676,0,102729968,0,102729968,0,2068.0,2068.0,,,0.0,1389-06-03
2010-08-28,1,0,2,0,35000,0,35000,0,75250000,0,75250000,0,2150.0,2150.0,,,0.0,1389-06-06
2010-08-29,28,1,26,0,412946,100000,512946,0,916468601,223238000,1139706601,0,2219.342483036523,2221.884176891914,2232.38,,-100000.0,1389-06-07
2010-08-30,15,0,7,1,66454,0,50454,16000,146783034,0,111007034,35776000,2208.7915550606435,2200.1631981607006,,2236.0,16000.0,1389-06-08
2010-08-31,14,0,14,0,149735,0,149735,0,320063072,0,320063072,0,2137.5301165392198,2137.5301165392198,,,0.0,1389-06-09
2010-09-04,11,0,9,0,113840,0,113840,0,241828640,0,241828640,0,2124.2853127196063,2124.2853127196063,,,0.0,1389-06-13
2010-09-05,14,0,13,0,90427,0,90427,0,185478900,0,185478900,0,2051.1451225850687,2051.1451225850687,,,0.0,1389-06-14
2010-09-06,12,0,10,0,48469,0,48469,0,96496818,0,96496818,0,1990.8976459180092,1990.8976459180092,,,0.0,1389-06-15
2010-09-07,7,0,10,0,49661,0,49661,0,100022410,0,100022410,0,2014.10382392622,2014.10382392622,,,0.0,1389-06-16
2010-09-08,12,0,8,0,220702,0,220702,0,462149988,0,462149988,0,2094.0,2094.0,,,0.0,1389-06-17
2010-09-12,14,0,10,0,127848,0,127848,0,274023058,0,274023058,0,2143.350369188411,2143.350369188411,,,0.0,1389-06-21
2010-09-13,11,0,14,0,131003,0,131003,0,277210988,0,277210988,0,2116.0659526881063,2116.0659526881063,,,0.0,1389-06-22
2010-09-14,1,0,2,0,3000,0,3000,0,6151254,0,6151254,0,2050.418,2050.418,,,0.0,1389-06-23
2010-09-15,6,0,6,0,56770,0,56770,0,115460596,0,115460596,0,2033.8311784393163,2033.8311784393163,,,0.0,1389-06-24
2010-09-18,3,0,4,0,25000,0,25000,0,50740000,0,50740000,0,2029.6,2029.6,,,0.0,1389-06-27
2010-09-19,6,0,4,0,51948,0,51948,0,101926801,0,101926801,0,1962.0928813428811,1962.0928813428811,,,0.0,1389-06-28
2010-09-20,4,0,5,0,10852,0,10852,0,20687645,0,20687645,0,1906.343991890896,1906.343991890896,,,0.0,1389-06-29
2010-09-21,4,0,4,1,24538,0,21898,2640,49504683,0,44171883,5332800,2017.470168717907,2017.1651749018172,,2020.0,2640.0,1389-06-30
2010-09-22,2,0,2,0,8186,0,8186,0,16908670,0,16908670,0,2065.559491815294,2065.559491815294,,,0.0,1389-06-31
2010-09-25,4,0,3,1,39254,0,7894,31360,79074048,0,15977728,63096320,2014.4201355275893,2024.0344565492776,,2012.0,31360.0,1389-07-03
2010-09-26,1,0,2,0,3000,0,3000,0,6060000,0,6060000,0,2020.0,2020.0,,,0.0,1389-07-04
2010-09-28,2,0,2,0,1072,0,1072,0,2176360,0,2176360,0,2030.186567164179,2030.186567164179,,,0.0,1389-07-06
2010-09-29,3,0,3,0,9060,0,9060,0,17569130,0,17569130,0,1939.1975717439293,1939.1975717439293,,,0.0,1389-07-07
2010-10-02,2,0,2,0,8660,0,8660,0,16694860,0,16694860,0,1927.812933025404,1927.812933025404,,,0.0,1389-07-10
2010-10-03,6,0,8,0,36365,0,36365,0,70355360,0,70355360,0,1934.699848755672,1934.699848755672,,,0.0,1389-07-11
2010-10-06,8,0,5,1,68410,0,24496,43914,129733100,0,46676410,83056690,1896.4054962724747,1905.4706890920968,,1891.3487726009928,43914.0,1389-07-14
2010-10-09,9,0,1,1,61086,0,5000,56086,111595606,0,9105000,102490606,1826.860589987886,1821.0,,1827.3830545947296,56086.0,1389-07-17
2010-10-10,3,0,3,0,14382,0,14382,0,25291028,0,25291028,0,1758.519538311779,1758.519538311779,,,0.0,1389-07-18
