date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-03,0,2,1,1,0,1010,1000,10,0,3949280,3909000,40280,,3909.0,3910.1782178217823,4028.0,-1000.0,1387-09-13
2008-12-06,0,1,1,0,0,41000,41000,0,0,160228000,160228000,0,,3908.0,3908.0,,-41000.0,1387-09-16
2008-12-16,1,0,1,0,107,0,107,0,414839,0,414839,0,3877.0,3877.0,,,0.0,1387-09-26
2008-12-24,1,0,2,0,5000,0,5000,0,19385000,0,19385000,0,3877.0,3877.0,,,0.0,1387-10-04
2008-12-28,1,0,1,0,3263,0,3263,0,12637599,0,12637599,0,3873.0,3873.0,,,0.0,1387-10-08
2008-12-30,0,2,24,1,0,176776,164721,12055,0,684263448,637610598,46652850,,3870.8519132351066,3870.7938181653617,3870.0,-164721.0,1387-10-10
2008-12-31,1,1,3,2,6000,183000,10055,178945,22530000,687165000,37756525,671938475,3755.0,3755.0,3755.0,3755.0,-4055.0,1387-10-11
2009-01-03,2,2,9,0,1806,60337,62143,0,6579258,219807691,226386949,0,3643.0,3643.0,3643.0,,-60337.0,1387-10-14
2009-01-04,0,1,5,0,0,2659,2659,0,0,9569741,9569741,0,,3599.0,3599.0,,-2659.0,1387-10-15
2009-01-05,0,1,2,0,0,4643,4643,0,0,16705514,16705514,0,,3598.0,3598.0,,-4643.0,1387-10-16
2009-01-10,0,1,1,0,0,2000,2000,0,0,7200000,7200000,0,,3600.0,3600.0,,-2000.0,1387-10-21
2009-01-13,0,2,1,0,0,16000,16000,0,0,57658000,57658000,0,,3603.625,3603.625,,-16000.0,1387-10-24
2009-01-14,0,2,2,1,0,15163,5163,10000,0,54440170,18540170,35900000,,3590.968429207825,3590.3297500494623,3590.0,-5163.0,1387-10-25
2009-01-19,0,1,1,0,0,40,40,0,0,143640,143640,0,,3591.0,3591.0,,-40.0,1387-10-30
2009-01-20,0,1,1,0,0,323,323,0,0,1162800,1162800,0,,3600.0,3600.0,,-323.0,1387-11-01
2009-01-21,0,1,1,0,0,500,500,0,0,1800000,1800000,0,,3600.0,3600.0,,-500.0,1387-11-02
2009-01-24,1,1,4,0,6000,20000,26000,0,21444000,72000000,93444000,0,3574.0,3594.0,3600.0,,-20000.0,1387-11-05
2009-01-25,1,1,3,0,534,9966,10500,0,1975266,35877600,37852866,0,3699.0,3605.034857142857,3600.0,,-9966.0,1387-11-06
2009-01-26,1,1,4,0,200,29800,30000,0,712000,106448800,107160800,0,3560.0,3572.026666666666,3572.1073825503354,,-29800.0,1387-11-07
2009-01-27,0,1,2,0,0,13086,13086,0,0,46298268,46298268,0,,3538.0,3538.0,,-13086.0,1387-11-08
2009-01-28,0,2,2,0,0,16035,16035,0,0,56598515,56598515,0,,3529.685999376364,3529.685999376364,,-16035.0,1387-11-09
2009-01-31,0,1,2,0,0,1323,1323,0,0,4655637,4655637,0,,3519.0,3519.0,,-1323.0,1387-11-12
2009-02-02,0,1,1,0,0,5000,5000,0,0,17590000,17590000,0,,3518.0,3518.0,,-5000.0,1387-11-14
2009-03-16,1,1,8,0,2000,20000,22000,0,7389690,73900000,81289690,0,3694.845,3694.985909090909,3695.0,,-20000.0,1387-12-26
2009-03-29,1,0,1,2,500,0,323,177,1792500,0,1157955,634545,3585.0,3585.0,,3585.0,177.0,1388-01-09
2009-04-08,3,0,6,1,31295,0,27276,4019,112234573,0,97826458,14408115,3586.3420035149384,3586.539741897639,,3585.0,4019.0,1388-01-19
2009-04-11,1,0,4,0,1625,0,1625,0,5804500,0,5804500,0,3572.0,3572.0,,,0.0,1388-01-22
