date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-09-04,360,2,0,1,11250000,350000,0,11600000,112500000000,3500000000,0,116000000000,10000.0,,10000.0,10000.0,11250000.0,1398-06-13
2019-09-16,8,0,4,0,307075,0,307075,0,3254995000,0,3254995000,0,10600.0,10600.0,,,0.0,1398-06-25
2019-09-17,4,0,4,0,56133,0,56133,0,612860094,0,612860094,0,10918.0,10918.0,,,0.0,1398-06-26
2019-09-18,186,0,100,0,3656959,0,3656959,0,39506280229,0,39506280229,0,10803.041606154184,10803.041606154184,,,0.0,1398-06-27
2019-09-21,101,0,117,1,1961214,0,1861214,100000,20861514609,0,19831091650,1030422959,10637.041449326794,10654.92288903909,,10304.22959,100000.0,1398-06-30
2019-09-22,49,1,28,0,782720,50000,832720,0,8540718773,545900000,9086618773,0,10911.588783984056,10911.97374027284,10918.0,,-50000.0,1398-06-31
2019-09-23,4,0,6,0,15466,0,15466,0,176630018,0,176630018,0,11420.53653174706,11420.53653174706,,,0.0,1398-07-01
2019-09-24,71,0,42,0,2046207,0,2046207,0,24387598470,0,24387598470,0,11918.44152131236,11918.44152131236,,,0.0,1398-07-02
2019-09-25,44,0,16,0,721431,0,721431,0,8855426430,0,8855426430,0,12274.80719569855,12274.80719569855,,,0.0,1398-07-03
2019-09-28,1,0,4,0,2110,0,2110,0,26676730,0,26676730,0,12643.0,12643.0,,,0.0,1398-07-06
2019-09-29,111,1,49,1,1532395,150000,1582395,100000,19945049253,1953300000,20596149253,1302200000,13015.605802028853,13015.807843806382,13022.0,13022.0,-50000.0,1398-07-07
2019-09-30,1,1,4,0,1845,1756,3601,0,24734070,23540936,48275006,0,13406.0,13406.0,13406.0,,-1756.0,1398-07-08
2019-10-01,7,1,12,0,324329,50000,374329,0,4478334832,690400000,5168734832,0,13808.0,13808.0,13808.0,,-50000.0,1398-07-09
2019-10-02,46,0,24,0,380983,0,380983,0,5409408417,0,5409408417,0,14198.555885695689,14198.555885695689,,,0.0,1398-07-10
2019-10-05,6,0,15,0,256695,0,256695,0,3753907680,0,3753907680,0,14624.0,14624.0,,,0.0,1398-07-13
2019-10-06,76,1,41,1,1842506,50000,1842506,50000,27751051724,753100000,27751151724,753000000,15061.580111000996,15061.63438490838,15062.0,15060.0,0.0,1398-07-14
2019-10-07,1,0,3,0,741,0,741,0,11495133,0,11495133,0,15513.0,15513.0,,,0.0,1398-07-15
2019-10-08,124,1,75,0,2120156,50000,2170156,0,33523545339,798900000,34322445339,0,15811.829572446555,15815.658108910144,15978.0,,-50000.0,1398-07-16
2019-10-09,54,0,60,0,358571,0,358571,0,5821886685,0,5821886685,0,16236.35677453001,16236.35677453001,,,0.0,1398-07-17
2019-10-12,129,1,67,0,891728,24000,915728,0,14907614206,401352000,15308966206,0,16717.669744585794,16717.809443415514,16723.0,,-24000.0,1398-07-20
2019-10-13,117,0,91,1,1056509,0,1054753,1756,17236682739,0,17207294323,29388416,16314.752395862222,16314.051083997863,,16736.0,1756.0,1398-07-21
2019-10-14,23,0,3,0,21842,0,21842,0,345671492,0,345671492,0,15826.0,15826.0,,,0.0,1398-07-22
2019-10-15,4,0,2,0,9382,0,9382,0,144032464,0,144032464,0,15352.0,15352.0,,,0.0,1398-07-23
2019-10-16,5,0,1,1,19268,0,800,18468,286939056,0,11913600,275025456,14892.0,14892.0,,14892.0,18468.0,1398-07-24
2019-10-20,2,0,1,0,5075,0,5075,0,71801100,0,71801100,0,14148.0,14148.0,,,0.0,1398-07-28
2019-10-21,65,1,72,0,835215,700000,1535215,0,11481459057,9614500000,21095959057,0,13746.710795423933,13741.37111544637,13735.0,,-700000.0,1398-07-29
2019-10-22,38,1,38,0,156828,217059,373887,0,2161382505,2972927072,5134309577,0,13781.86615272783,13732.249521914377,13696.400849538604,,-217059.0,1398-07-30
2019-10-23,58,1,52,0,332645,226570,559215,0,4614865458,3104088148,7718953606,0,13873.244624148869,13803.19484634711,13700.34933133248,,-226570.0,1398-08-01
2019-10-26,30,1,38,0,222580,256371,478951,0,3070252474,3533315820,6603568294,0,13793.927909066402,13787.565521316375,13782.041728588649,,-256371.0,1398-08-04
2019-10-28,122,1,49,1,753456,250000,947013,56443,10170732649,3438081701,12807267307,801547043,13498.774512380283,13523.855857311357,13752.326804,14201.0,-193557.0,1398-08-06
2019-10-30,205,2,114,1,1102265,188019,1240284,50000,15102304673,2567814205,16972028878,698090000,13701.155958866517,13683.985988692912,13657.205947271286,13961.8,-138019.0,1398-08-08
2019-11-02,58,1,42,0,213981,110981,324962,0,2882601554,1495189401,4377790955,0,13471.296769339331,13471.701168136582,13472.4808841153,,-110981.0,1398-08-11
2019-11-03,25,1,31,0,170378,51000,221378,0,2300393402,689230623,2989624025,0,13501.704457148224,13504.612133997054,13514.32594117647,,-51000.0,1398-08-12
2019-11-04,37,1,24,0,152870,50000,202870,0,2008558689,662488190,2671046879,0,13138.998423497089,13166.298018435453,13249.7638,,-50000.0,1398-08-13
2019-11-05,17,1,21,0,113915,1463,115378,0,1517757848,19238450,1536996298,0,13323.599596190144,13321.398342838324,13150.0,,-1463.0,1398-08-14
2019-11-09,22,0,25,0,80196,0,80196,0,1057574827,0,1057574827,0,13187.37626564916,13187.37626564916,,,0.0,1398-08-18
2019-11-10,57,1,16,0,350637,50000,400637,0,4541213265,644700000,5185913265,0,12951.323633843547,12944.169572455865,12894.0,,-50000.0,1398-08-19
2019-11-11,155,0,38,0,1654966,0,1654966,0,22032386389,0,22032386389,0,13312.893672135862,13312.893672135862,,,0.0,1398-08-20
2019-11-12,141,0,35,0,938406,0,938406,0,12864946917,0,12864946917,0,13709.361318022264,13709.361318022264,,,0.0,1398-08-21
2019-11-13,82,2,37,0,211142,32005,243147,0,2906454473,441329604,3347784077,0,13765.401829100794,13768.560076825954,13789.395531948134,,-32005.0,1398-08-22
2019-11-16,42,1,34,0,225256,30000,255256,0,3010889585,400680000,3411569585,0,13366.523355648684,13365.28655545805,13356.0,,-30000.0,1398-08-25
2019-11-17,13,0,2,0,13857,0,13857,0,179656005,0,179656005,0,12965.0,12965.0,,,0.0,1398-08-26
2019-11-18,46,1,56,0,140049,134683,274732,0,1763303883,1694023673,3457327556,0,12590.62101835786,12584.36423860344,12577.85817809226,,-134683.0,1398-08-27
2019-11-19,47,0,41,0,656306,0,656306,0,8361539409,0,8361539409,0,12740.30621234607,12740.30621234607,,,0.0,1398-08-28
2019-11-20,120,2,33,0,455064,20000,475064,0,5958257331,261190000,6219447331,0,13093.229372132271,13091.809379367833,13059.5,,-20000.0,1398-08-29
2019-11-23,132,1,35,0,527278,8000,535278,0,6945955145,106018000,7051973145,0,13173.231473719745,13174.41244549561,13252.25,,-8000.0,1398-09-02
2019-11-24,166,0,38,1,767981,0,667981,100000,10023821456,0,8722721033,1301100423,13052.173759507072,13058.337038029526,,13011.00423,100000.0,1398-09-03
2019-11-25,145,0,51,1,742881,0,724881,18000,9940033953,0,9699133195,240900758,13380.38522051311,13380.310968283067,,13383.375444444444,18000.0,1398-09-04
2019-11-26,124,0,57,0,463290,0,463290,0,6232442674,0,6232442674,0,13452.573278076366,13452.573278076366,,,0.0,1398-09-05
2019-11-27,122,0,87,0,416344,0,416344,0,5600548014,0,5600548014,0,13451.732255058318,13451.732255058318,,,0.0,1398-09-06
2019-11-30,131,0,65,0,1021722,0,1021722,0,14154132723,0,14154132723,0,13853.213225319609,13853.213225319609,,,0.0,1398-09-09
2019-12-01,128,0,81,1,730674,0,720309,10365,10360199068,0,10212352708,147846360,14178.962256765672,14177.738592742837,,14264.0,10365.0,1398-09-10
2019-12-02,195,0,124,1,1082916,0,948281,134635,15734761004,0,13768601607,1966159397,14529.992172984794,14519.537570614615,,14603.627563412188,134635.0,1398-09-11
2019-12-03,170,0,97,2,923701,0,743361,180340,13764010171,0,11067127261,2696882910,14900.936743599932,14887.957884527168,,14954.435566152824,180340.0,1398-09-12
2019-12-04,170,0,92,2,602799,0,428305,174494,9057845824,0,6415036020,2642809804,15026.31196136689,14977.728534572328,,15145.562621064337,174494.0,1398-09-13
2019-12-07,234,2,119,1,727802,210771,797953,140620,10670996650,3072198096,11693502152,2049692594,14661.950159521408,14654.374570933376,14576.0,14576.11004124591,-70151.0,1398-09-16
2019-12-08,166,0,93,1,610670,0,608270,2400,8880915922,0,8845017522,35898400,14542.90520575761,14541.26871619511,,14957.666666666666,2400.0,1398-09-17
2019-12-09,164,0,113,1,1252125,0,804525,447600,18693924066,0,11997738736,6696185330,14929.758663072776,14912.82276622852,,14960.199575513852,447600.0,1398-09-18
2019-12-10,171,0,92,0,591378,0,591378,0,8950682414,0,8950682414,0,15135.298259319758,15135.298259319758,,,0.0,1398-09-19
2019-12-11,129,0,72,2,450383,0,422388,27995,6677461387,0,6255327887,422133500,14826.184351984866,14809.435606598672,,15078.889087337024,27995.0,1398-09-20
2019-12-14,145,0,130,1,1217879,0,1017879,200000,18542817886,0,15488817886,3054000000,15225.50096191822,15216.75747903238,,15270.0,200000.0,1398-09-23
2019-12-15,177,0,102,0,541363,0,541363,0,8252021159,0,8252021159,0,15243.046087375753,15243.046087375753,,,0.0,1398-09-24
2019-12-16,144,0,150,1,1412855,0,1212855,200000,21712361761,0,18632361761,3080000000,15367.721217676266,15362.39844086886,,15400.0,200000.0,1398-09-25
2019-12-17,162,0,62,1,510688,0,477525,33163,8009577592,0,7486833910,522743682,15683.896218434738,15678.412460080624,,15762.85866779242,33163.0,1398-09-26
2019-12-18,186,0,81,0,500823,0,500823,0,7677284113,0,7677284113,0,15329.336138715676,15329.336138715676,,,0.0,1398-09-27
2019-12-21,117,0,59,1,485811,0,435811,50000,7475327391,0,6700326411,775000980,15387.316036483324,15374.385710778295,,15500.0196,50000.0,1398-09-30
2019-12-22,143,0,101,0,472757,0,472757,0,7222085319,0,7222085319,0,15276.52751625042,15276.52751625042,,,0.0,1398-10-01
2019-12-23,132,0,97,1,592748,0,570907,21841,8874869887,0,8538518487,336351400,14972.416418106852,14956.058494640984,,15400.0,21841.0,1398-10-02
