date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-29,1,1,1,1,944,10,944,10,5457264,59480,5457264,59480,5781.0,5781.0,5948.0,5948.0,0.0,1387-09-09
2008-11-30,4,1,4,2,9202,10,8756,456,53140140,58480,50522120,2676500,5774.846772440774,5770.0,5848.0,5869.517543859649,446.0,1387-09-10
2008-12-01,2,1,1,1,1270,10,1270,10,7204710,58340,7204710,58340,5673.0,5673.0,5834.0,5834.0,0.0,1387-09-11
2008-12-02,4,1,2,1,3815,10,3815,10,21589085,57920,21589085,57920,5659.0,5659.0,5792.0,5792.0,0.0,1387-09-12
2008-12-03,2,1,1,1,299,10,299,10,1680081,57890,1680081,57890,5619.0,5619.0,5789.0,5789.0,0.0,1387-09-13
2008-12-24,3,0,1,0,1000,0,1000,0,5616000,0,5616000,0,5616.0,5616.0,,,0.0,1387-10-04
2008-12-27,1,0,1,0,1000,0,1000,0,5605000,0,5605000,0,5605.0,5605.0,,,0.0,1387-10-07
2008-12-28,2,0,1,0,245,0,245,0,1370530,0,1370530,0,5594.0,5594.0,,,0.0,1387-10-08
2008-12-29,1,0,2,0,2000,0,2000,0,11184000,0,11184000,0,5592.0,5592.0,,,0.0,1387-10-09
2008-12-30,1,0,2,0,250,0,250,0,1392500,0,1392500,0,5570.0,5570.0,,,0.0,1387-10-10
2009-01-03,1,0,1,0,79,0,79,0,439793,0,439793,0,5567.0,5567.0,,,0.0,1387-10-14
2009-01-10,1,0,1,0,201,0,201,0,1118766,0,1118766,0,5566.0,5566.0,,,0.0,1387-10-21
2009-01-11,2,0,2,0,100,0,100,0,556400,0,556400,0,5564.0,5564.0,,,0.0,1387-10-22
2009-01-12,2,0,1,0,210,0,210,0,1168230,0,1168230,0,5563.0,5563.0,,,0.0,1387-10-23
2009-01-13,2,0,1,0,210,0,210,0,1168020,0,1168020,0,5562.0,5562.0,,,0.0,1387-10-24
2009-01-17,1,0,1,0,230,0,230,0,1278800,0,1278800,0,5560.0,5560.0,,,0.0,1387-10-28
2009-01-19,1,0,1,0,400,0,400,0,2223200,0,2223200,0,5558.0,5558.0,,,0.0,1387-10-30
2009-01-20,1,0,1,0,400,0,400,0,2221600,0,2221600,0,5554.0,5554.0,,,0.0,1387-11-01
2009-01-26,8,0,12,0,37760,0,37760,0,209603850,0,209603850,0,5550.949417372882,5550.949417372882,,,0.0,1387-11-07
2009-01-27,3,0,1,0,5600,0,5600,0,30156500,0,30156500,0,5385.089285714285,5385.089285714285,,,0.0,1387-11-08
2009-01-28,6,0,9,0,39575,0,39575,0,220198335,0,220198335,0,5564.076689829438,5564.076689829438,,,0.0,1387-11-09
2009-01-31,12,0,7,0,22154,0,22154,0,126942420,0,126942420,0,5730.0,5730.0,,,0.0,1387-11-12
2009-02-01,8,1,12,1,90844,10000,65844,35000,536013954,59010000,388488954,206535000,5900.3781647659725,5900.142063058138,5901.0,5901.0,25000.0,1387-11-13
2009-02-02,5,0,9,0,27600,0,27600,0,167725200,0,167725200,0,6077.0,6077.0,,,0.0,1387-11-14
2009-02-03,7,2,19,1,25623,64675,85298,5000,160374357,404800825,533880182,31295000,6259.0,6259.0,6259.0,6259.0,-59675.0,1387-11-15
2009-02-04,5,1,17,2,58180,66541,90095,34626,375023980,428874816,580699600,223199196,6445.926091440358,6445.414284921471,6445.271576922499,6446.0,-31915.0,1387-11-16
2009-02-07,0,2,4,1,0,16000,8000,8000,0,106224000,53112000,53112000,,6639.0,6639.0,6639.0,-8000.0,1387-11-19
2009-02-08,14,3,19,1,52353,253830,298183,8000,354077894,1721942644,2021316538,54704000,6763.278016541554,6778.77859569459,6783.842114801245,6838.0,-245830.0,1387-11-20
2009-02-09,1,3,15,1,5000,94620,98986,634,32955000,622855006,651631312,4178694,6591.0,6583.06540318833,6582.69928133587,6591.0,-93986.0,1387-11-21
2009-02-11,0,1,4,0,0,10000,10000,0,0,63860000,63860000,0,,6386.0,6386.0,,-10000.0,1387-11-23
2009-02-15,3,1,7,0,3865,15100,18965,0,24222955,94654159,118877114,0,6267.258732212161,6268.236962826259,6268.487350993378,,-15100.0,1387-11-27
2009-02-17,4,1,2,0,3109,18000,21109,0,18902720,109440000,128342720,0,6080.0,6080.0,6080.0,,-18000.0,1387-11-29
2009-02-21,2,0,2,0,1440,0,1440,0,9017280,0,9017280,0,6262.0,6262.0,,,0.0,1387-12-03
2009-02-23,3,2,3,0,4755,8500,13255,0,29025335,51871500,80896835,0,6104.171398527866,6103.118445869483,6102.529411764706,,-8500.0,1387-12-05
2009-02-25,3,1,4,0,5782,4000,9782,0,34692000,23990500,58682500,0,6000.0,5999.028828460438,5997.625,,-4000.0,1387-12-07
2009-03-02,1,0,1,0,470,0,470,0,2754200,0,2754200,0,5860.0,5860.0,,,0.0,1387-12-12
2009-03-04,2,0,3,0,1500,0,1500,0,8817800,0,8817800,0,5878.533333333334,5878.533333333334,,,0.0,1387-12-14
2009-03-09,1,0,1,0,400,0,400,0,2342400,0,2342400,0,5856.0,5856.0,,,0.0,1387-12-19
2009-03-11,3,0,3,0,2350,0,2350,0,13723960,0,13723960,0,5839.982978723404,5839.982978723404,,,0.0,1387-12-21
2009-04-04,4,0,2,0,973,0,973,0,5653680,0,5653680,0,5810.565262076054,5810.565262076054,,,0.0,1388-01-15
2009-04-06,4,0,2,0,1934,0,1934,0,11218964,0,11218964,0,5800.912099276112,5800.912099276112,,,0.0,1388-01-17
2009-04-07,1,0,1,0,506,0,506,0,2935306,0,2935306,0,5801.0,5801.0,,,0.0,1388-01-18
2009-04-14,1,0,1,0,1246,0,1246,0,7416192,0,7416192,0,5952.0,5952.0,,,0.0,1388-01-25
2009-04-15,1,0,2,0,364,0,364,0,2231320,0,2231320,0,6130.0,6130.0,,,0.0,1388-01-26
2009-04-20,2,0,1,0,368,0,368,0,2257312,0,2257312,0,6134.0,6134.0,,,0.0,1388-01-31
2009-04-21,6,0,3,0,11820,0,11820,0,72551160,0,72551160,0,6138.0,6138.0,,,0.0,1388-02-01
2009-04-25,2,0,1,0,3200,0,3200,0,19491200,0,19491200,0,6091.0,6091.0,,,0.0,1388-02-05
2009-04-26,2,0,1,0,1251,0,1251,0,7620092,0,7620092,0,6091.200639488409,6091.200639488409,,,0.0,1388-02-06
2009-04-27,2,0,3,0,9290,0,9290,0,56538880,0,56538880,0,6085.993541442411,6085.993541442411,,,0.0,1388-02-07
2009-04-28,4,0,2,0,529,0,529,0,3221610,0,3221610,0,6090.0,6090.0,,,0.0,1388-02-08
2009-05-04,3,0,1,0,213,0,213,0,1335084,0,1335084,0,6268.0,6268.0,,,0.0,1388-02-14
2009-05-06,5,0,2,0,20050,0,20050,0,118459030,0,118459030,0,5908.181047381546,5908.181047381546,,,0.0,1388-02-16
2009-05-09,1,0,3,0,4000,0,4000,0,24340000,0,24340000,0,6085.0,6085.0,,,0.0,1388-02-19
2009-05-10,1,1,3,0,1622,7465,9087,0,9942860,45760450,55703310,0,6130.0,6130.0,6130.0,,-7465.0,1388-02-20
2009-05-12,1,0,3,0,4000,0,4000,0,24935500,0,24935500,0,6233.875,6233.875,,,0.0,1388-02-22
2009-05-13,3,0,2,0,16020,0,16020,0,99868680,0,99868680,0,6234.0,6234.0,,,0.0,1388-02-23
2009-05-16,3,0,1,0,2000,0,2000,0,12384114,0,12384114,0,6192.057,6192.057,,,0.0,1388-02-26
2009-05-24,6,0,3,1,20600,0,10600,10000,97503000,0,53443000,44060000,4733.155339805825,5041.792452830188,,4406.0,10000.0,1388-03-03
2009-05-26,1,0,2,0,236,0,236,0,1150264,0,1150264,0,4874.0,4874.0,,,0.0,1388-03-05
2009-05-27,1,0,1,0,1500,0,1500,0,7315500,0,7315500,0,4877.0,4877.0,,,0.0,1388-03-06
2009-06-14,4,0,1,0,902,0,902,0,4410780,0,4410780,0,4890.0,4890.0,,,0.0,1388-03-24
2009-06-15,1,0,1,0,550,0,550,0,2693900,0,2693900,0,4898.0,4898.0,,,0.0,1388-03-25
2009-06-16,2,0,1,0,1000,0,1000,0,4903000,0,4903000,0,4903.0,4903.0,,,0.0,1388-03-26
2009-06-29,1,0,1,0,718,0,718,0,3527534,0,3527534,0,4913.0,4913.0,,,0.0,1388-04-08
2009-07-01,1,0,1,0,25,0,25,0,122975,0,122975,0,4919.0,4919.0,,,0.0,1388-04-10
2009-07-04,1,0,1,0,10,0,10,0,50660,0,50660,0,5066.0,5066.0,,,0.0,1388-04-13
2009-07-05,0,1,0,1,0,10,0,10,0,52170,0,52170,,,5217.0,5217.0,0.0,1388-04-14
2009-07-07,23,2,8,1,118724,55020,26375,147369,637146122,295155960,141678445,790623637,5366.6160338263535,5371.694597156398,5364.521264994548,5364.92503172309,92349.0,1388-04-16
