date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,5,0,2,0,28225,0,28225,0,64945725,0,64945725,0,2301.0,2301.0,,,0.0,1387-09-06
2008-11-30,1,1,0,2,300,10,0,310,711000,23020,0,734020,2370.0,,2302.0,2367.8064516129034,300.0,1387-09-10
2008-12-07,1,0,1,0,925,0,925,0,2193175,0,2193175,0,2371.0,2371.0,,,0.0,1387-09-17
2008-12-13,0,1,1,0,0,10000,10000,0,0,23740000,23740000,0,,2374.0,2374.0,,-10000.0,1387-09-23
2008-12-14,1,0,1,0,4500,0,4500,0,10818000,0,10818000,0,2404.0,2404.0,,,0.0,1387-09-24
2008-12-15,1,0,2,0,1091,0,1091,0,2636947,0,2636947,0,2417.0,2417.0,,,0.0,1387-09-25
2008-12-20,1,0,1,0,2700,0,2700,0,6534000,0,6534000,0,2420.0,2420.0,,,0.0,1387-09-30
2008-12-21,1,0,1,0,5000,0,5000,0,12140000,0,12140000,0,2428.0,2428.0,,,0.0,1387-10-01
2009-01-19,9,0,10,1,62412,0,52412,10000,122157000,0,102507000,19650000,1957.2678331090176,1955.792566587804,,1965.0,10000.0,1387-10-30
2009-01-20,3,0,4,0,19442,0,19442,0,37064800,0,37064800,0,1906.4293796934471,1906.4293796934471,,,0.0,1387-11-01
2009-01-21,3,0,4,0,6267,0,6267,0,11919610,0,11919610,0,1901.9642572203609,1901.9642572203609,,,0.0,1387-11-02
2009-01-24,1,0,3,0,9791,0,9791,0,18162305,0,18162305,0,1855.0,1855.0,,,0.0,1387-11-05
2009-01-25,4,0,3,1,15425,0,12941,2484,28326366,0,23765742,4560624,1836.3932576985408,1836.468742755583,,1836.0,2484.0,1387-11-06
2009-02-01,1,0,1,0,2900,0,2900,0,5220000,0,5220000,0,1800.0,1800.0,,,0.0,1387-11-13
2009-02-02,3,0,5,0,26650,0,26650,0,47966118,0,47966118,0,1799.8543339587245,1799.8543339587245,,,0.0,1387-11-14
2009-02-03,3,0,1,1,112132,0,500,111632,196281000,0,915000,195366000,1750.4459030428425,1830.0,,1750.0895800487317,111632.0,1387-11-15
2009-02-04,3,0,1,0,8385,0,8385,0,15109770,0,15109770,0,1802.0,1802.0,,,0.0,1387-11-16
