date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-02-04,1,0,0,1,2000,0,0,2000,3318000,0,0,3318000,1659.0,,,1659.0,2000.0,1387-11-16
2009-02-07,1,0,2,0,100,0,100,0,165900,0,165900,0,1659.0,1659.0,,,0.0,1387-11-19
2009-02-08,1,0,0,1,400,0,0,400,644000,0,0,644000,1610.0,,,1610.0,400.0,1387-11-20
2009-02-17,0,1,0,1,0,100,0,100,0,170600,0,170600,,,1706.0,1706.0,0.0,1387-11-29
2009-03-10,1,0,1,0,7500,0,7500,0,12802500,0,12802500,0,1707.0,1707.0,,,0.0,1387-12-20
2009-03-11,1,0,7,0,12500,0,12500,0,21537500,0,21537500,0,1723.0,1723.0,,,0.0,1387-12-21
2009-03-14,1,0,1,0,10000,0,10000,0,17490000,0,17490000,0,1749.0,1749.0,,,0.0,1387-12-24
2009-03-16,2,0,1,0,20000,0,20000,0,35420000,0,35420000,0,1771.0,1771.0,,,0.0,1387-12-26
2009-03-29,1,0,1,0,1000,0,1000,0,1814000,0,1814000,0,1814.0,1814.0,,,0.0,1388-01-09
2009-04-08,2,0,2,0,15235,0,15235,0,27663000,0,27663000,0,1815.7531998687236,1815.7531998687236,,,0.0,1388-01-19
2009-04-15,2,0,3,2,90000,0,29785,60215,166500000,0,55102250,111397750,1850.0,1850.0,,1850.0,60215.0,1388-01-26
2009-04-18,2,0,0,4,98125,0,0,98125,186908125,0,0,186908125,1904.796178343949,,,1904.796178343949,98125.0,1388-01-29
2009-04-19,2,0,0,4,93500,0,0,93500,183447000,0,0,183447000,1962.0,,,1962.0,93500.0,1388-01-30
2009-04-20,1,0,1,1,24000,0,20000,4000,48480000,0,40400000,8080000,2020.0,2020.0,,2020.0,4000.0,1388-01-31
2009-04-21,2,0,0,3,24000,0,0,24000,49920000,0,0,49920000,2080.0,,,2080.0,24000.0,1388-02-01
2009-04-22,4,0,1,2,24000,0,4000,20000,51408000,0,8568000,42840000,2142.0,2142.0,,2142.0,20000.0,1388-02-02
2009-04-25,2,0,3,2,38587,0,19950,18637,85122922,0,44009700,41113222,2206.0,2206.0,,2206.0,18637.0,1388-02-05
2009-04-26,7,0,0,3,29000,0,0,29000,65888000,0,0,65888000,2272.0,,,2272.0,29000.0,1388-02-06
2009-04-27,4,0,2,1,39534,0,12000,27534,92509560,0,28080000,64429560,2340.0,2340.0,,2340.0,27534.0,1388-02-07
2009-04-28,1,0,2,2,51750,0,1750,50000,124717500,0,4217500,120500000,2410.0,2410.0,,2410.0,50000.0,1388-02-08
2009-04-29,4,0,0,1,24000,0,0,24000,59568000,0,0,59568000,2482.0,,,2482.0,24000.0,1388-02-09
2009-05-02,1,1,0,3,10000,15132,0,25132,25560000,38677392,0,64237392,2556.0,,2556.0,2556.0,10000.0,1388-02-12
2009-05-03,5,0,1,3,26458,0,200,26258,69637456,0,526400,69111056,2632.0,2632.0,,2632.0,26258.0,1388-02-13
