date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2017-01-04,109,1,23,2,12210468,1000000,10210468,3000000,15885818868,1301000000,13283818868,3903000000,1301.0,1301.0,1301.0,1301.0,2000000.0,1395-10-15
2017-01-07,162,3,91,2,16872478,1280000,12952478,5200000,23047804948,1748480000,17693084948,7103200000,1366.0,1366.0,1366.0,1366.0,3920000.0,1395-10-18
2017-01-08,262,3,192,4,22785799,2230000,20741011,4274788,32482069732,3186100000,29540816940,6127352792,1425.540080117445,1424.2708294209958,1428.744394618834,1433.369980452832,2044788.0,1395-10-19
2017-01-09,210,0,145,4,16040851,0,13448278,2592573,23851502033,0,19989081800,3862420233,1486.9224851599208,1486.367384731339,,1489.801919945938,2592573.0,1395-10-20
2017-01-11,248,7,126,1,18455966,5383629,22839595,1000000,28769919296,8401570869,35610490165,1561000000,1558.8411517446443,1559.1559379665007,1560.5776083381677,1561.0,-4383629.0,1395-10-22
2017-01-14,403,4,192,0,20616231,2184000,22800231,0,33675430112,3568246155,37243676267,0,1633.4426070410252,1633.4780234024822,1633.812342032967,,-2184000.0,1395-10-25
2017-01-15,316,11,266,4,13122796,683200,12553309,1252687,21436047464,1094854459,20482794419,2048107504,1633.4969669573466,1631.6649593346265,1602.5387280444966,1634.9714685312451,569487.0,1395-10-26
2017-01-16,259,4,184,2,8835123,952050,9747173,40000,14475297812,1545518545,15954670515,66145842,1638.3810176723064,1636.8510659449669,1623.3585893598026,1653.64605,-912050.0,1395-10-27
2017-01-17,202,4,195,1,11700131,980900,11711031,970000,19551296149,1652827934,19565086200,1639037883,1671.0322430577914,1670.65446244656,1685.0116566418594,1689.72977628866,-10900.0,1395-10-28
2017-01-18,82,4,55,1,4893072,110000,3003072,2000000,8587317360,193050000,5270367360,3510000000,1754.9950951058966,1754.99200818362,1755.0,1755.0,1890000.0,1395-10-29
2017-01-21,596,13,396,15,35035143,5577000,27485346,13126797,64279003133,10253337031,50422853188,24109486976,1834.700749844235,1834.5358718787825,1838.5040399856557,1836.6618281672213,7549797.0,1395-11-02
2017-01-22,280,2,227,6,11691681,385500,9162054,2915127,21193416015,704571280,16665294254,5232693041,1812.691948659906,1818.9473947654096,1827.6816601815824,1795.0137476000189,2529627.0,1395-11-03
2017-01-23,402,21,201,3,14060581,1789000,15463581,386000,24438083469,3127180000,26892028469,673235000,1738.056447951902,1739.055686325179,1748.0044717719395,1744.1321243523316,-1403000.0,1395-11-04
2017-01-24,363,2,323,2,11555407,213000,11508407,260000,19802225445,363072272,19723788897,441508820,1713.6761556732706,1713.859172429338,1704.5646572769954,1698.110846153846,47000.0,1395-11-05
2017-01-25,290,3,217,6,7883003,209500,7733081,359422,14075810997,371465464,13805015959,642260502,1785.589958166957,1785.1896235148706,1773.1048400954653,1786.9259589006797,149922.0,1395-11-06
2017-01-28,216,1,180,3,5919075,46000,5885075,80000,10372264985,80601889,10315036874,137830000,1752.3455920055076,1752.7451857452963,1752.2149782608697,1722.875,34000.0,1395-11-09
2017-01-29,374,3,192,2,9214400,2109200,10903600,420000,15519905141,3512945025,18333448102,699402064,1684.3098998306998,1681.412386918082,1665.5343376635692,1665.2430095238096,-1689200.0,1395-11-10
2017-01-30,74,1,153,1,5421261,180000,5101261,500000,9542762924,317700000,8979102924,881360000,1760.247832377006,1760.1732050173478,1765.0,1762.72,320000.0,1395-11-11
2017-01-31,188,3,145,4,5978908,370000,4885279,1463629,10380583571,655120000,8449464802,2586238769,1736.200585625335,1729.576714451723,1770.5945945945946,1767.004322133546,1093629.0,1395-11-12
2017-02-01,344,4,214,2,12822298,1814000,14442095,194203,22374388776,3170237497,25204691863,339934410,1744.959349408351,1745.2240733079238,1747.6502188533627,1750.40761471244,-1619797.0,1395-11-13
2017-02-04,178,0,51,0,3210235,0,3210235,0,5334524404,0,5334524404,0,1661.7239560343712,1661.7239560343712,,,0.0,1395-11-16
2017-02-05,276,1,190,0,6927027,50000,6977027,0,11019237879,78950000,11098187879,0,1590.760058969021,1590.6757819627185,1579.0,,-50000.0,1395-11-17
2017-02-07,316,1,69,1,9307843,200000,9327843,180000,14264514639,319880000,14306519311,277875328,1532.526347833757,1533.7435794105884,1599.4,1543.7518222222222,-20000.0,1395-11-19
2017-02-08,209,0,151,0,4332607,0,4332607,0,6761246967,0,6761246967,0,1560.5493336921627,1560.5493336921627,,,0.0,1395-11-20
2017-02-11,225,0,123,1,5214520,0,5114520,100000,7911542530,0,7759980144,151562386,1517.2139583317353,1517.2450482156682,,1515.62386,100000.0,1395-11-23
2017-02-12,136,1,142,0,3347838,25000,3372838,0,5169051617,38229365,5207280982,0,1543.996936829082,1543.887071362455,1529.1746,,-25000.0,1395-11-24
2017-02-13,86,1,57,0,1404957,65000,1469957,0,2151206429,98475000,2249681429,0,1531.1546396081874,1530.4402979134763,1515.0,,-65000.0,1395-11-25
2017-02-14,154,2,75,0,3406197,525000,3931197,0,5208616790,816488176,6025104966,0,1529.1589975565123,1532.6387779599954,1555.2155733333334,,-525000.0,1395-11-26
2017-02-15,222,0,86,1,6828129,0,6823129,5000,10284082279,0,10276582279,7500000,1506.1347374954398,1506.1392330410283,,1500.0,5000.0,1395-11-27
2017-02-18,207,3,132,1,4148196,1950000,5898196,200000,6277977026,2960102127,8938325513,299753640,1513.4234317761263,1515.4337890772026,1518.0010907692308,1498.7682,-1750000.0,1395-11-30
2017-02-19,123,2,119,0,2830700,20000,2850700,0,4322765505,30200000,4352965505,0,1527.1012488077154,1526.9812695127512,1510.0,,-20000.0,1395-12-01
2017-02-20,189,3,186,0,7317677,511164,7828841,0,11670715480,816100165,12486815645,0,1594.8661685942136,1594.9762736272205,1596.5525056537629,,-511164.0,1395-12-02
2017-02-21,125,3,141,0,7564424,1160000,8724424,0,12660960554,1941235692,14602196246,0,1673.750777851691,1673.7146482105868,1673.4790448275862,,-1160000.0,1395-12-03
2017-02-22,287,1,296,3,9185596,200000,9345596,40000,15302627059,325000000,15560827059,66800000,1665.9373065177265,1665.043840863654,1625.0,1670.0,-160000.0,1395-12-04
2017-02-25,246,2,147,1,6788767,177007,6945774,20000,10810803146,281105074,11059626960,32281260,1592.454586525064,1592.28143040646,1588.1014536148289,1614.063,-157007.0,1395-12-07
2017-02-26,204,2,111,0,5322077,315000,5637077,0,8328661945,492711058,8821373003,0,1564.926990909752,1564.884248166204,1564.162088888889,,-315000.0,1395-12-08
2017-02-27,177,1,101,0,3874713,50000,3924713,0,6115098350,79158000,6194256350,0,1578.2067858961425,1578.2698887791285,1583.16,,-50000.0,1395-12-09
2017-02-28,172,11,79,1,3238307,333000,2771307,800000,4986864547,514234000,4268535575,1232562972,1539.9604012219966,1540.2608137604386,1544.2462462462463,1540.703715,467000.0,1395-12-10
2017-03-01,81,1,83,2,2279472,39000,2088472,230000,3522912518,59436000,3226248833,356099685,1545.494973397348,1544.7891247763916,1524.0,1548.2595,191000.0,1395-12-11
2017-03-04,105,1,224,1,6913458,50000,6924458,39000,10996319281,79000000,11014479281,60840000,1590.567163494737,1590.6630209902348,1580.0,1560.0,-11000.0,1395-12-14
2017-03-05,110,0,63,1,2835237,0,2720499,114738,4405923441,0,4226710763,179212678,1553.9877057896747,1553.6527537778916,,1561.929596123342,114738.0,1395-12-15
2017-03-06,114,8,58,2,2939199,600000,3339199,200000,4527818262,923630000,5140778262,310670000,1540.4939447788329,1539.5243775528204,1539.3833333333334,1553.35,-400000.0,1395-12-16
2017-03-07,110,3,37,1,2172936,308477,1524567,956846,3316577102,471981002,2327213384,1461344720,1526.3114523391394,1526.4749820768782,1530.036281473173,1527.2517416595774,648369.0,1395-12-17
2017-03-08,67,0,62,0,1926074,0,1926074,0,2926802400,0,2926802400,0,1519.5690300580352,1519.5690300580352,,,0.0,1395-12-18
