,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
1110,2013-12-22,2,0,0,1,400,0,0,400,3200000,0,0,3200000,8000.0,,,8000.0,400.0,1392-10-01
1109,2013-12-25,1,0,1,0,452,0,452,0,4158400,0,4158400,0,9200.0,9200.0,,,0.0,1392-10-04
1108,2014-01-01,1,0,2,0,7221,0,7221,0,68599500,0,68599500,0,9500.0,9500.0,,,0.0,1392-10-11
1107,2014-01-18,2,0,3,0,8995,0,8995,0,204812100,0,204812100,0,22769.549749861035,22769.549749861035,,,0.0,1392-10-28
1106,2014-01-29,1,0,2,0,675,0,675,0,15362500,0,15362500,0,22759.25925925926,22759.25925925926,,,0.0,1392-11-09
1105,2014-02-03,1,0,1,0,1000,0,1000,0,23000000,0,23000000,0,23000.0,23000.0,,,0.0,1392-11-14
1104,2014-02-12,2,0,1,1,2003,0,2000,3,46060630,0,46000000,60630,22995.82126809785,23000.0,,20210.0,3.0,1392-11-23
1103,2014-02-17,1,0,1,0,43,0,43,0,989000,0,989000,0,23000.0,23000.0,,,0.0,1392-11-28
1102,2014-02-23,2,0,3,0,743,0,743,0,15509500,0,15509500,0,20874.158815612383,20874.158815612383,,,0.0,1392-12-04
1101,2014-02-24,1,0,2,0,545,0,545,0,10900545,0,10900545,0,20001.0,20001.0,,,0.0,1392-12-05
1100,2014-03-02,1,0,2,0,656,0,656,0,13476000,0,13476000,0,20542.682926829268,20542.682926829268,,,0.0,1392-12-11
1099,2014-03-04,4,0,2,0,1300,0,1300,0,26000901,0,26000901,0,20000.69307692308,20000.69307692308,,,0.0,1392-12-13
1098,2014-03-10,2,0,3,0,2168,0,2168,0,42314537,0,42314537,0,19517.77536900369,19517.77536900369,,,0.0,1392-12-19
1097,2014-03-12,2,0,2,0,600,0,600,0,12000000,0,12000000,0,20000.0,20000.0,,,0.0,1392-12-21
1096,2014-03-17,2,0,3,0,3258,0,3258,0,66078000,0,66078000,0,20281.767955801104,20281.767955801104,,,0.0,1392-12-26
1095,2014-03-30,1,0,1,0,601,0,601,0,10884110,0,10884110,0,18110.0,18110.0,,,0.0,1393-01-10
1094,2014-03-31,1,0,2,0,1651,0,1651,0,36322000,0,36322000,0,22000.0,22000.0,,,0.0,1393-01-11
1093,2014-04-08,2,0,1,0,1524,0,1524,0,30480000,0,30480000,0,20000.0,20000.0,,,0.0,1393-01-19
1092,2014-04-09,2,0,2,0,1000,0,1000,0,19500500,0,19500500,0,19500.5,19500.5,,,0.0,1393-01-20
1091,2014-04-16,1,0,1,0,161,0,161,0,2898000,0,2898000,0,18000.0,18000.0,,,0.0,1393-01-27
1090,2014-04-19,3,0,3,0,1582,0,1582,0,30374600,0,30374600,0,19200.12642225032,19200.12642225032,,,0.0,1393-01-30
1089,2014-04-20,3,0,2,0,851,0,851,0,16594500,0,16594500,0,19500.0,19500.0,,,0.0,1393-01-31
1088,2014-04-21,2,0,4,0,2260,0,2260,0,43828960,0,43828960,0,19393.34513274336,19393.34513274336,,,0.0,1393-02-01
1087,2014-04-27,1,0,1,0,300,0,300,0,6000000,0,6000000,0,20000.0,20000.0,,,0.0,1393-02-07
