date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-10-04,30196,85,0,1,19273075,726925,0,20000000,47219033750,1780966250,0,49000000000,2450.0,,2450.0,2450.0,19273075.0,1394-07-12
2015-10-05,8,0,142,0,78805,0,78805,0,202686460,0,202686460,0,2572.0,2572.0,,,0.0,1394-07-13
2015-10-06,1198,2,17561,53,16125531,188000,15750006,563525,42599649935,502396879,41613857811,1488189003,2641.751762159026,2642.1486957528778,2672.323824468085,2640.857110154829,375525.0,1394-07-14
2015-10-07,361,2,2701,8,3396969,32450,3359269,70150,8840664539,84192269,8740589008,184267800,2602.5155186873944,2601.9318512450177,2594.522927580894,2626.768353528154,37700.0,1394-07-15
2015-10-10,130,1,1066,1,1692480,15000,1703980,3500,4356893606,38445000,4386291087,9047519,2574.2659328322934,2574.1447006420262,2563.0,2585.0054285714286,-11500.0,1394-07-18
2015-10-11,96,3,712,2,971289,272000,1239289,4000,2458699417,690391378,3138978795,10112000,2531.3778051640656,2532.8868367265422,2538.203595588235,2528.0,-268000.0,1394-07-19
2015-10-12,117,2,915,2,1359866,79396,1428312,10950,3500395169,204111344,3676255463,28251050,2574.073599163447,2573.846234576199,2570.8013501939645,2580.0045662100456,-68446.0,1394-07-20
2015-10-13,82,1,363,3,712435,10000,714635,7800,1841866018,25760000,1847434018,20192000,2585.31096591268,2585.143490033374,2576.0,2588.7179487179487,-2200.0,1394-07-21
2015-10-14,121,3,276,0,1188372,138604,1326976,0,3046351500,354982280,3401333780,0,2563.466237844715,2563.2217764300185,2561.125797235289,,-138604.0,1394-07-22
2015-10-17,94,2,250,0,830513,30380,860893,0,2109783986,76867736,2186651722,0,2540.338304156588,2539.9808361782475,2530.2085582620143,,-30380.0,1394-07-25
2015-10-18,86,2,244,0,1099900,210000,1309900,0,2766697292,523160000,3289857292,0,2515.408029820893,2511.533164363692,2491.2380952380954,,-210000.0,1394-07-26
2015-10-19,39,2,159,0,503053,30545,533598,0,1277212724,77495645,1354708369,0,2538.9227854719084,2538.8183032919915,2537.0975609756097,,-30545.0,1394-07-27
2015-10-20,35,3,104,0,497440,76350,573790,0,1252990894,192613478,1445604372,0,2518.8784456416856,2519.39624601335,2522.7698493778653,,-76350.0,1394-07-28
2015-10-21,44,3,98,1,386139,123500,504639,5000,971475217,309915000,1268785217,12605000,2515.869199951313,2514.2432848035924,2509.433198380567,2521.0,-118500.0,1394-07-29
2015-10-25,37,1,61,0,335710,100000,435710,0,833879590,247100000,1080979590,0,2483.928360787585,2480.961166831149,2471.0,,-100000.0,1394-08-03
2015-10-26,26,4,64,1,144241,230065,371306,3000,356499523,567829520,916916043,7413000,2471.5547105192004,2469.4350293289094,2468.126485993089,2471.0,-227065.0,1394-08-04
2015-10-27,32,4,107,0,274915,89032,363947,0,686851124,221870162,908721286,0,2498.4126875579723,2496.8506018733497,2492.027158774373,,-89032.0,1394-08-05
2015-10-28,20,2,51,0,200909,120000,320909,0,499421687,297930000,797351687,0,2485.8104266110527,2484.666017469127,2482.75,,-120000.0,1394-08-06
