date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,0,2,4,1,0,3010,3000,10,0,4809632,4793452,16180,,1597.8173333333334,1597.8843853820597,1618.0,-3000.0,1387-09-06
2008-11-29,0,2,4,1,0,3066,3056,10,0,4890480,4874320,16160,,1595.0,1595.0684931506848,1616.0,-3056.0,1387-09-09
2008-12-01,1,2,2,1,27400,2010,29400,10,42990600,3151810,46126600,15810,1569.0,1568.9319727891157,1568.0646766169154,1581.0,-2000.0,1387-09-11
2008-12-02,0,2,1,1,0,3010,3000,10,0,4617770,4602000,15770,,1534.0,1534.142857142857,1577.0,-3000.0,1387-09-12
2008-12-03,0,2,1,1,0,2010,2000,10,0,3075750,3060000,15750,,1530.0,1530.2238805970148,1575.0,-2000.0,1387-09-13
2008-12-07,0,1,1,0,0,2000,2000,0,0,3056000,3056000,0,,1528.0,1528.0,,-2000.0,1387-09-17
2008-12-08,0,1,1,0,0,2000,2000,0,0,3052000,3052000,0,,1526.0,1526.0,,-2000.0,1387-09-18
2008-12-10,0,1,1,0,0,2000,2000,0,0,3048000,3048000,0,,1524.0,1524.0,,-2000.0,1387-09-20
2008-12-14,0,1,1,0,0,2000,2000,0,0,3044000,3044000,0,,1522.0,1522.0,,-2000.0,1387-09-24
2008-12-15,0,1,1,0,0,2000,2000,0,0,3040000,3040000,0,,1520.0,1520.0,,-2000.0,1387-09-25
2008-12-16,0,1,1,0,0,2000,2000,0,0,3038000,3038000,0,,1519.0,1519.0,,-2000.0,1387-09-26
2008-12-22,0,1,1,0,0,2000,2000,0,0,3034000,3034000,0,,1517.0,1517.0,,-2000.0,1387-10-02
2008-12-23,0,1,1,0,0,2000,2000,0,0,3030000,3030000,0,,1515.0,1515.0,,-2000.0,1387-10-03
2008-12-24,0,1,1,0,0,2000,2000,0,0,3026000,3026000,0,,1513.0,1513.0,,-2000.0,1387-10-04
2008-12-27,0,1,1,0,0,2000,2000,0,0,3022000,3022000,0,,1511.0,1511.0,,-2000.0,1387-10-07
2008-12-28,0,1,1,0,0,2000,2000,0,0,3018000,3018000,0,,1509.0,1509.0,,-2000.0,1387-10-08
2008-12-29,0,1,1,0,0,2000,2000,0,0,3014000,3014000,0,,1507.0,1507.0,,-2000.0,1387-10-09
2008-12-30,0,1,2,0,0,2000,2000,0,0,3010000,3010000,0,,1505.0,1505.0,,-2000.0,1387-10-10
2008-12-31,0,1,1,0,0,2000,2000,0,0,3006000,3006000,0,,1503.0,1503.0,,-2000.0,1387-10-11
2009-01-03,0,1,1,0,0,2000,2000,0,0,3002000,3002000,0,,1501.0,1501.0,,-2000.0,1387-10-14
2009-01-04,0,1,1,0,0,2000,2000,0,0,2998000,2998000,0,,1499.0,1499.0,,-2000.0,1387-10-15
2009-01-05,0,1,1,0,0,2000,2000,0,0,2994000,2994000,0,,1497.0,1497.0,,-2000.0,1387-10-16
2009-01-10,0,1,1,0,0,2000,2000,0,0,2990000,2990000,0,,1495.0,1495.0,,-2000.0,1387-10-21
2009-01-11,0,1,1,0,0,2000,2000,0,0,2986000,2986000,0,,1493.0,1493.0,,-2000.0,1387-10-22
2009-01-12,0,1,1,0,0,2000,2000,0,0,2982000,2982000,0,,1491.0,1491.0,,-2000.0,1387-10-23
2009-01-13,0,1,1,0,0,2000,2000,0,0,2978000,2978000,0,,1489.0,1489.0,,-2000.0,1387-10-24
2009-01-14,0,1,1,0,0,2000,2000,0,0,2976000,2976000,0,,1488.0,1488.0,,-2000.0,1387-10-25
2009-01-17,0,1,1,0,0,2000,2000,0,0,2972000,2972000,0,,1486.0,1486.0,,-2000.0,1387-10-28
2009-01-18,0,1,1,0,0,2000,2000,0,0,2968000,2968000,0,,1484.0,1484.0,,-2000.0,1387-10-29
2009-01-19,0,1,1,0,0,2000,2000,0,0,2964000,2964000,0,,1482.0,1482.0,,-2000.0,1387-10-30
2009-01-20,0,1,1,0,0,2000,2000,0,0,2960000,2960000,0,,1480.0,1480.0,,-2000.0,1387-11-01
2009-01-21,0,1,2,0,0,2000,2000,0,0,2956000,2956000,0,,1478.0,1478.0,,-2000.0,1387-11-02
2009-01-24,0,1,1,0,0,2000,2000,0,0,2952000,2952000,0,,1476.0,1476.0,,-2000.0,1387-11-05
2009-01-25,0,1,1,0,0,2000,2000,0,0,2948000,2948000,0,,1474.0,1474.0,,-2000.0,1387-11-06
2009-01-26,0,1,1,0,0,2000,2000,0,0,2944000,2944000,0,,1472.0,1472.0,,-2000.0,1387-11-07
2009-01-27,0,1,1,0,0,2000,2000,0,0,2940000,2940000,0,,1470.0,1470.0,,-2000.0,1387-11-08
2009-01-28,0,1,1,0,0,2000,2000,0,0,2936000,2936000,0,,1468.0,1468.0,,-2000.0,1387-11-09
2009-01-31,0,1,1,0,0,2000,2000,0,0,2932000,2932000,0,,1466.0,1466.0,,-2000.0,1387-11-12
2009-02-01,1,1,2,0,400,2000,2400,0,585600,2928000,3513600,0,1464.0,1464.0,1464.0,,-2000.0,1387-11-13
2009-02-02,0,1,2,0,0,2000,2000,0,0,2922000,2922000,0,,1461.0,1461.0,,-2000.0,1387-11-14
2009-02-03,0,1,4,0,0,2500,2500,0,0,3647500,3647500,0,,1459.0,1459.0,,-2500.0,1387-11-15
2009-02-04,0,1,1,0,0,1500,1500,0,0,2184000,2184000,0,,1456.0,1456.0,,-1500.0,1387-11-16
2009-02-07,0,1,1,0,0,379,379,0,0,551445,551445,0,,1455.0,1455.0,,-379.0,1387-11-19
2009-02-08,0,1,2,0,0,1621,1621,0,0,2360176,2360176,0,,1456.0,1456.0,,-1621.0,1387-11-20
2009-02-09,0,1,1,1,0,2000,1809,191,0,2906000,2628477,277523,,1453.0,1453.0,1453.0,-1809.0,1387-11-21
2009-02-11,0,1,1,0,0,2000,2000,0,0,2902000,2902000,0,,1451.0,1451.0,,-2000.0,1387-11-23
2009-02-14,0,1,2,0,0,1131,1131,0,0,1638819,1638819,0,,1449.0,1449.0,,-1131.0,1387-11-26
2009-02-15,0,1,1,0,0,493,493,0,0,715343,715343,0,,1451.0,1451.0,,-493.0,1387-11-27
2009-02-18,0,1,1,0,0,2000,2000,0,0,2894000,2894000,0,,1447.0,1447.0,,-2000.0,1387-11-30
2009-02-21,0,1,1,0,0,2000,2000,0,0,2890000,2890000,0,,1445.0,1445.0,,-2000.0,1387-12-03
2009-02-22,0,1,1,0,0,2000,2000,0,0,2886000,2886000,0,,1443.0,1443.0,,-2000.0,1387-12-04
2009-02-23,0,1,1,0,0,1000,1000,0,0,1441000,1441000,0,,1441.0,1441.0,,-1000.0,1387-12-05
2009-02-28,0,1,1,0,0,2000,2000,0,0,2880000,2880000,0,,1440.0,1440.0,,-2000.0,1387-12-10
2009-03-03,0,1,1,0,0,2000,2000,0,0,2876000,2876000,0,,1438.0,1438.0,,-2000.0,1387-12-13
2009-03-08,0,1,1,0,0,2654,2654,0,0,3715600,3715600,0,,1400.0,1400.0,,-2654.0,1387-12-18
2009-04-13,0,1,1,0,0,10000,10000,0,0,13580000,13580000,0,,1358.0,1358.0,,-10000.0,1388-01-24
2009-04-14,0,1,1,0,0,5000,5000,0,0,6740000,6740000,0,,1348.0,1348.0,,-5000.0,1388-01-25
2009-04-18,0,1,1,0,0,5000,5000,0,0,6715000,6715000,0,,1343.0,1343.0,,-5000.0,1388-01-29
2009-04-19,0,1,2,0,0,5000,5000,0,0,6690000,6690000,0,,1338.0,1338.0,,-5000.0,1388-01-30
2009-04-21,0,1,1,0,0,5000,5000,0,0,6665000,6665000,0,,1333.0,1333.0,,-5000.0,1388-02-01
2009-04-22,0,1,2,0,0,5000,5000,0,0,6640000,6640000,0,,1328.0,1328.0,,-5000.0,1388-02-02
2009-04-25,0,1,1,0,0,5000,5000,0,0,6620000,6620000,0,,1324.0,1324.0,,-5000.0,1388-02-05
2009-04-26,0,1,1,0,0,5000,5000,0,0,6595000,6595000,0,,1319.0,1319.0,,-5000.0,1388-02-06
2009-04-27,0,1,1,0,0,5000,5000,0,0,6570000,6570000,0,,1314.0,1314.0,,-5000.0,1388-02-07
2009-04-28,0,1,1,0,0,5000,5000,0,0,6545000,6545000,0,,1309.0,1309.0,,-5000.0,1388-02-08
2009-04-29,0,1,1,0,0,5000,5000,0,0,6520000,6520000,0,,1304.0,1304.0,,-5000.0,1388-02-09
2009-05-02,0,1,1,0,0,5000,5000,0,0,6495000,6495000,0,,1299.0,1299.0,,-5000.0,1388-02-12
2009-05-03,0,1,1,0,0,5000,5000,0,0,6470000,6470000,0,,1294.0,1294.0,,-5000.0,1388-02-13
2009-05-04,0,1,1,0,0,5000,5000,0,0,6450000,6450000,0,,1290.0,1290.0,,-5000.0,1388-02-14
2009-05-05,0,1,2,0,0,2055,2055,0,0,2640675,2640675,0,,1285.0,1285.0,,-2055.0,1388-02-15
2009-06-09,0,1,0,1,0,1111,0,1111,0,1425413,0,1425413,,,1283.0,1283.0,0.0,1388-03-19
2010-04-12,0,1,2,0,0,1435,1435,0,0,1482355,1482355,0,,1033.0,1033.0,,-1435.0,1389-01-23
2010-05-25,1,0,1,0,1240,0,1240,0,1325560,0,1325560,0,1069.0,1069.0,,,0.0,1389-03-04
2010-05-26,0,1,7,0,0,3592,3592,0,0,3843440,3843440,0,,1070.0,1070.0,,-3592.0,1389-03-05
2010-06-12,0,1,6,0,0,7497,7497,0,0,8044281,8044281,0,,1073.0,1073.0,,-7497.0,1389-03-22
