date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-07-08,110,8,6,1,3699230,8910000,50387,12558843,45500529000,109593000000,619760100,154473768900,12300.0,12300.0,12300.0,12300.0,3648843.0,1398-04-17
2019-07-09,142,2,87,2,3509387,217488,221875,3505000,45323733105,2808857520,2865515625,45267075000,12915.0,12915.0,12915.0,12915.0,3287512.0,1398-04-18
2019-07-10,78,9,96,1,4425509,500000,925509,4000000,60009902040,6780000000,12549902040,54240000000,13560.0,13560.0,13560.0,13560.0,3500000.0,1398-04-19
2019-07-13,691,20,715,8,10794033,1144207,10917488,1020752,152499139235,16243351790,154253097358,14489393667,14128.096443192271,14128.991701937295,14196.165370426854,14194.82270620092,-123455.0,1398-04-22
2019-07-14,392,1,410,6,2949466,290871,3033439,206898,41288353022,4037382278,42442342824,2883392476,13998.585853167997,13991.493754777994,13880.319034898632,13936.29941323744,-83973.0,1398-04-23
2019-07-15,313,3,330,2,2657706,331944,2819650,170000,37966995206,4667564544,40227215233,2407344517,14285.6264786248,14266.740635539873,14061.301135131229,14160.8501,-161944.0,1398-04-24
2019-07-16,185,3,136,0,951076,980000,1931076,0,12937008047,13288782646,26225790693,0,13602.49659017786,13580.921047643904,13559.982291836735,,-980000.0,1398-04-25
2019-07-17,229,3,349,3,3498267,2120751,5018018,601000,48734105507,29783788178,69948749041,8569144644,13930.927944322146,13939.517363429146,14043.981673473218,14258.144166389353,-1519751.0,1398-04-26
2019-07-20,191,3,152,1,1297959,249577,1449075,98461,18141008955,3488422706,20239659122,1389772539,13976.565480881907,13967.295772820593,13977.340484099095,14114.954540376391,-151116.0,1398-04-29
2019-07-21,417,5,159,0,1511946,483681,1995627,0,20310273521,6496401553,26806675074,0,13433.200339826952,13432.70815337736,13431.169620059502,,-483681.0,1398-04-30
2019-07-22,172,2,154,1,875140,335000,1028618,181522,11777425672,4504725086,13842584350,2439566408,13457.761811824394,13457.458794226815,13446.94055522388,13439.508202862464,-153478.0,1398-04-31
2019-07-23,399,3,90,2,2016661,446386,2406701,56346,25912539112,5723874466,30907921843,728491735,12849.229053370893,12842.44359519525,12822.70157666235,12928.898857061726,-390040.0,1398-05-01
