date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-08-01,119,4,0,1,10707158,3330000,0,14037158,26767895000,8325000000,0,35092895000,2500.0,,2500.0,2500.0,10707158.0,1397-05-10
2018-08-04,135,1,39,1,7696962,146187,2684790,5158359,20781797400,394704900,7248933000,13927569300,2700.0,2700.0,2700.0,2700.0,5012172.0,1397-05-13
2018-08-06,146,0,91,2,4427504,0,4261317,166187,14610763200,0,14062346100,548417100,3300.0,3300.0,,3300.0,166187.0,1397-05-15
2018-08-08,113,0,50,1,2864541,0,2824541,40000,9999063150,0,9859063150,140000000,3490.6336303093585,3490.5009875940905,,3500.0,40000.0,1397-05-17
2018-08-11,76,0,20,1,1066213,0,966213,100000,3534363690,0,3213363690,321000000,3314.875817496129,3325.730134038768,,3210.0,100000.0,1397-05-20
2018-08-13,48,0,29,0,1165365,0,1165365,0,3729020850,0,3729020850,0,3199.87373054794,3199.87373054794,,,0.0,1397-05-22
2018-08-15,70,0,67,2,2600741,0,2430741,170000,8801984646,0,8229764646,572220000,3384.4141519666896,3385.70199210858,,3366.0,170000.0,1397-05-24
2018-08-18,78,0,56,0,1677975,0,1677975,0,6240221096,0,6240221096,0,3718.899921631729,3718.899921631729,,,0.0,1397-05-27
2018-08-20,44,0,35,0,486520,0,486520,0,1831447619,0,1831447619,0,3764.3830037819616,3764.3830037819616,,,0.0,1397-05-29
2018-08-25,15,0,38,0,536109,0,536109,0,2084171614,0,2084171614,0,3887.589303667725,3887.589303667725,,,0.0,1397-06-03
2018-08-27,83,0,57,1,2081772,0,1431772,650000,8954619600,0,6159619600,2795000000,4301.441080002997,4302.0953056771605,,4300.0,650000.0,1397-06-05
2018-08-29,32,0,13,0,444461,0,444461,0,2102744991,0,2102744991,0,4731.0,4731.0,,,0.0,1397-06-07
2018-09-01,99,2,82,1,3494364,950000,2094364,2350000,16461734680,4691531852,10162488451,10990778081,4710.938723040874,4852.302871420632,4938.454581052632,4676.926842978724,1400000.0,1397-06-10
2018-09-02,141,1,110,0,2558647,300000,2858647,0,13161838818,1564031770,14725870588,0,5144.062005427087,5151.342781392736,5213.4392333333335,,-300000.0,1397-06-11
2018-09-03,106,0,77,0,1942386,0,1942386,0,9332325285,0,9332325285,0,4804.567827918859,4804.567827918859,,,0.0,1397-06-12
2018-09-04,451,0,144,2,4144068,0,3959570,184498,21311153596,0,20378087414,933066182,5142.568509010953,5146.540511722233,,5057.324101074267,184498.0,1397-06-13
2018-09-05,329,1,122,2,3598752,10000,3391716,217036,17821510903,48800000,16771713489,1098597414,4952.136435908893,4944.905024182449,4880.0,5061.821144879191,207036.0,1397-06-14
2018-09-08,236,0,95,2,2619739,0,2399739,220000,13341157876,0,12210711405,1130446471,5092.552302347676,5088.349776788225,,5138.39305,220000.0,1397-06-17
2018-09-09,138,0,131,2,2048731,0,1714265,334466,10845465669,0,9074379208,1771086461,5293.748017187225,5293.451833876326,,5295.266068897885,334466.0,1397-06-18
2018-09-10,112,0,111,2,1833215,0,1539215,294000,10569876573,0,8869235573,1700641000,5765.759375196036,5762.181094259086,,5784.493197278912,294000.0,1397-06-19
2018-09-11,140,0,121,0,1862318,0,1862318,0,11657498530,0,11657498530,0,6259.671296738796,6259.671296738796,,,0.0,1397-06-20
2018-09-12,241,0,95,0,2615325,0,2615325,0,17086626253,0,17086626253,0,6533.270722759122,6533.270722759122,,,0.0,1397-06-21
2018-09-15,168,0,144,0,1993106,0,1993106,0,13150825231,0,13150825231,0,6598.156460820448,6598.156460820448,,,0.0,1397-06-24
2018-09-16,152,0,117,0,1403803,0,1403803,0,8953284690,0,8953284690,0,6377.87829916306,6377.87829916306,,,0.0,1397-06-25
2018-09-17,163,0,86,0,1985892,0,1985892,0,13071844246,0,13071844246,0,6582.354048457822,6582.354048457822,,,0.0,1397-06-26
2018-09-18,177,0,86,0,1044441,0,1044441,0,6585553935,0,6585553935,0,6305.338391541504,6305.338391541504,,,0.0,1397-06-27
2018-09-22,120,0,140,0,1356571,0,1356571,0,9228284819,0,9228284819,0,6802.655238096642,6802.655238096642,,,0.0,1397-06-31
2018-09-23,149,0,107,0,1089406,0,1089406,0,7655083298,0,7655083298,0,7026.841506288748,7026.841506288748,,,0.0,1397-07-01
2018-09-24,44,0,67,0,633062,0,633062,0,4812882607,0,4812882607,0,7602.545417352487,7602.545417352487,,,0.0,1397-07-02
2018-09-25,2,0,3,0,54422,0,54422,0,455131186,0,455131186,0,8363.0,8363.0,,,0.0,1397-07-03
2018-09-30,238,0,73,0,1940467,0,1940467,0,17884286217,0,17884286217,0,9216.4856279442,9216.4856279442,,,0.0,1397-07-08
2018-10-01,183,0,189,0,2509969,0,2509969,0,23790386252,0,23790386252,0,9478.358598054398,9478.358598054398,,,0.0,1397-07-09
2018-10-02,84,0,51,0,398375,0,398375,0,3485072951,0,3485072951,0,8748.222029494822,8748.222029494822,,,0.0,1397-07-10
2018-10-03,172,1,130,0,1666219,5130,1671349,0,13476673571,40988700,13517662271,0,8088.17662684197,8087.875285772152,7990.0,,-5130.0,1397-07-11
2018-10-06,106,0,64,0,535052,0,535052,0,4142095992,0,4142095992,0,7741.4830558525155,7741.4830558525155,,,0.0,1397-07-14
2018-10-07,56,0,55,0,622633,0,622633,0,4357073711,0,4357073711,0,6997.820081813846,6997.820081813846,,,0.0,1397-07-15
2018-10-08,77,0,49,0,270037,0,270037,0,1700963063,0,1700963063,0,6299.0,6299.0,,,0.0,1397-07-16
2018-10-09,137,0,251,0,2033718,0,2033718,0,12742371485,0,12742371485,0,6265.554754887354,6265.554754887354,,,0.0,1397-07-17
2018-10-10,114,0,105,0,1306589,0,1306589,0,7547347954,0,7547347954,0,5776.374938102188,5776.374938102188,,,0.0,1397-07-18
2018-10-13,107,0,285,1,2473873,0,2468743,5130,14907370365,0,14879565765,27804600,6025.923871193065,6027.18296922766,,5420.0,5130.0,1397-07-21
2018-10-14,46,0,47,0,423315,0,423315,0,2805731820,0,2805731820,0,6628.0,6628.0,,,0.0,1397-07-22
2018-10-15,4,0,50,0,313986,0,313986,0,2288957940,0,2288957940,0,7290.0,7290.0,,,0.0,1397-07-23
2018-10-16,7,0,30,0,101563,0,101563,0,814433697,0,814433697,0,8019.0,8019.0,,,0.0,1397-07-24
2018-10-17,40,0,19,0,389997,0,389997,0,3438799841,0,3438799841,0,8817.50331669218,8817.50331669218,,,0.0,1397-07-25
2018-10-28,28,0,20,0,315204,0,315204,0,2619998600,0,2619998600,0,8312.072816334818,8312.072816334818,,,0.0,1397-08-06
2018-10-29,20,0,5,0,153131,0,153131,0,1145573011,0,1145573011,0,7481.0,7481.0,,,0.0,1397-08-07
2018-10-31,136,0,189,0,1854294,0,1854294,0,14213984614,0,14213984614,0,7665.442812196987,7665.442812196987,,,0.0,1397-08-09
2018-11-03,86,0,129,0,1492285,0,1492285,0,11834688464,0,11834688464,0,7930.58193575624,7930.58193575624,,,0.0,1397-08-12
2018-11-04,90,0,71,0,587700,0,587700,0,4380578046,0,4380578046,0,7453.765604900459,7453.765604900459,,,0.0,1397-08-13
2018-11-05,44,0,52,0,404356,0,404356,0,3098476696,0,3098476696,0,7662.744452907834,7662.744452907834,,,0.0,1397-08-14
2018-11-06,61,0,140,0,845086,0,845086,0,6736507929,0,6736507929,0,7971.387443408126,7971.387443408126,,,0.0,1397-08-15
2018-11-10,69,0,48,0,341212,0,341212,0,2569114738,0,2569114738,0,7529.379793207741,7529.379793207741,,,0.0,1397-08-19
2018-11-11,90,0,82,0,925839,0,925839,0,6569562923,0,6569562923,0,7095.794109991046,7095.794109991046,,,0.0,1397-08-20
2018-11-12,63,0,50,0,465092,0,465092,0,3386379095,0,3386379095,0,7281.095127415651,7281.095127415651,,,0.0,1397-08-21
2018-11-13,54,0,59,0,406624,0,406624,0,3002507114,0,3002507114,0,7383.988928346581,7383.988928346581,,,0.0,1397-08-22
2018-11-14,59,0,99,0,608982,0,608982,0,4644490469,0,4644490469,0,7626.646549487506,7626.646549487506,,,0.0,1397-08-23
2018-11-17,77,0,65,0,618619,0,618619,0,4393018250,0,4393018250,0,7101.330948451308,7101.330948451308,,,0.0,1397-08-26
2018-11-18,100,0,42,0,481089,0,481089,0,3209737869,0,3209737869,0,6671.81720845831,6671.81720845831,,,0.0,1397-08-27
2018-11-19,36,0,44,0,194378,0,194378,0,1350573605,0,1350573605,0,6948.181404274146,6948.181404274146,,,0.0,1397-08-28
2018-11-20,55,0,100,0,647923,0,647923,0,4713559608,0,4713559608,0,7274.876193621773,7274.876193621773,,,0.0,1397-08-29
2018-11-21,35,0,30,0,163379,0,163379,0,1177893867,0,1177893867,0,7209.579364545015,7209.579364545015,,,0.0,1397-08-30
2018-11-24,43,0,26,0,130456,0,130456,0,902047486,0,902047486,0,6914.572622186791,6914.572622186791,,,0.0,1397-09-03
2018-11-26,72,0,30,0,305494,0,305494,0,1959019970,0,1959019970,0,6412.629937085508,6412.629937085508,,,0.0,1397-09-05
2018-11-27,63,0,94,0,449574,0,449574,0,3083364705,0,3083364705,0,6858.41419877484,6858.41419877484,,,0.0,1397-09-06
2018-11-28,94,0,105,0,616577,0,616577,0,4522856751,0,4522856751,0,7335.42890993339,7335.42890993339,,,0.0,1397-09-07
2018-12-01,37,0,59,0,235825,0,235825,0,1679293088,0,1679293088,0,7120.929027880844,7120.929027880844,,,0.0,1397-09-10
2018-12-02,40,0,44,0,383119,0,383119,0,2745284391,0,2745284391,0,7165.617969873591,7165.617969873591,,,0.0,1397-09-11
2018-12-03,54,0,84,0,546425,0,546425,0,4080424218,0,4080424218,0,7467.491820469415,7467.491820469415,,,0.0,1397-09-12
2018-12-04,48,0,34,0,364277,0,364277,0,2680771932,0,2680771932,0,7359.1578167164,7359.1578167164,,,0.0,1397-09-13
2018-12-05,90,0,29,0,540795,0,540795,0,3806026161,0,3806026161,0,7037.835336865171,7037.835336865171,,,0.0,1397-09-14
2018-12-08,16,0,21,0,85265,0,85265,0,608664072,0,608664072,0,7138.498469477511,7138.498469477511,,,0.0,1397-09-17
2018-12-09,23,0,31,0,103902,0,103902,0,741382106,0,741382106,0,7135.397836422783,7135.397836422783,,,0.0,1397-09-18
2018-12-10,65,0,28,0,263034,0,263034,0,1802813928,0,1802813928,0,6853.919751819157,6853.919751819157,,,0.0,1397-09-19
2018-12-11,6,0,5,0,13305,0,13305,0,88871201,0,88871201,0,6679.534084930478,6679.534084930478,,,0.0,1397-09-20
2018-12-12,43,0,54,0,246689,0,246689,0,1710155398,0,1710155398,0,6932.434757934079,6932.434757934079,,,0.0,1397-09-21
2018-12-15,51,0,36,0,253527,0,253527,0,1741483043,0,1741483043,0,6869.023981666647,6869.023981666647,,,0.0,1397-09-24
2018-12-16,46,0,39,0,293908,0,293908,0,1993459047,0,1993459047,0,6782.595393796698,6782.595393796698,,,0.0,1397-09-25
2018-12-17,48,0,73,0,425572,0,425572,0,2989123960,0,2989123960,0,7023.779665955467,7023.779665955467,,,0.0,1397-09-26
2018-12-18,38,0,24,0,143980,0,143980,0,992140349,0,992140349,0,6890.820593137936,6890.820593137936,,,0.0,1397-09-27
2018-12-19,48,1,40,1,280301,40000,280301,40000,1919470872,279595460,1936490394,262575938,6847.891630782623,6908.610365285889,6989.8865,6564.39845,0.0,1397-09-28
2018-12-22,38,0,37,0,144151,0,144151,0,974145744,0,974145744,0,6757.814680439262,6757.814680439262,,,0.0,1397-10-01
2018-12-23,29,0,39,0,98510,0,98510,0,681929167,0,681929167,0,6922.435965891787,6922.435965891787,,,0.0,1397-10-02
2018-12-24,99,0,54,0,661566,0,661566,0,4443403787,0,4443403787,0,6716.49357282569,6716.49357282569,,,0.0,1397-10-03
2018-12-25,33,0,16,0,185764,0,185764,0,1225100780,0,1225100780,0,6594.931095368317,6594.931095368317,,,0.0,1397-10-04
2018-12-26,61,1,73,0,680860,62756,743616,0,4539373276,437206936,4976580212,0,6667.116993214464,6692.4060429038645,6966.775065332398,,-62756.0,1397-10-05
2018-12-29,67,0,46,1,274647,0,272837,1810,1854600818,0,1841933568,12667250,6752.670948526654,6751.040247473767,,6998.480662983426,1810.0,1397-10-08
2018-12-30,37,0,47,0,179366,0,179366,0,1233833300,0,1233833300,0,6878.858312054682,6878.858312054682,,,0.0,1397-10-09
2018-12-31,113,0,155,1,1432540,0,1371594,60946,10516508726,0,10086353072,430155654,7341.1623591662365,7353.745402794121,,7057.980080727201,60946.0,1397-10-10
2019-01-01,229,0,260,0,3169972,0,3169972,0,25259506470,0,25259506470,0,7968.368954047543,7968.368954047543,,,0.0,1397-10-11
2019-01-02,142,1,139,0,1515401,26000,1541401,0,13256698419,227864000,13484562419,0,8747.980514068553,8748.25072709827,8764.0,,-26000.0,1397-10-12
2019-01-05,263,0,204,0,3070717,0,3070717,0,28647654749,0,28647654749,0,9329.304767909254,9329.304767909254,,,0.0,1397-10-15
2019-01-06,141,0,161,0,2914228,0,2914228,0,28066748211,0,28066748211,0,9630.93766548122,9630.93766548122,,,0.0,1397-10-16
2019-01-07,143,0,155,0,1453578,0,1453578,0,15089850595,0,15089850595,0,10381.177064457495,10381.177064457495,,,0.0,1397-10-17
2019-01-08,16,0,18,0,73650,0,73650,0,841009350,0,841009350,0,11419.0,11419.0,,,0.0,1397-10-18
