date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,1,1,1,2,11000,10,10500,510,48474500,44060,46210500,2308060,4406.772727272727,4401.0,4406.0,4525.607843137255,500.0,1387-09-06
2008-11-29,1,1,1,1,368,10,368,10,1572832,44000,1572832,44000,4274.0,4274.0,4400.0,4400.0,0.0,1387-09-09
2008-11-30,2,2,1,3,23713,10118,1501,32330,105878986,45813247,6795027,144897206,4465.018597393834,4527.0,4527.895532713975,4481.818929786576,22212.0,1387-09-10
2008-12-01,4,1,2,2,5619,10,4118,1511,25461783,45170,18732800,6774153,4531.37266417512,4549.004371053909,4517.0,4483.225016545334,1501.0,1387-09-11
2008-12-02,2,1,3,2,4000,10,2458,1552,18381904,45560,11270200,7157264,4595.476,4585.109845402766,4556.0,4611.639175257732,1542.0,1387-09-12
2008-12-03,4,2,1,2,3780,2101,2413,3468,17445274,9767139,11218037,15994376,4615.151851851852,4649.0,4648.804854831033,4611.988465974625,1367.0,1387-09-13
2008-12-08,2,0,3,0,3850,0,3850,0,17489500,0,17489500,0,4542.727272727273,4542.727272727273,,,0.0,1387-09-18
2008-12-10,2,0,2,0,1519,0,1519,0,6744360,0,6744360,0,4440.0,4440.0,,,0.0,1387-09-20
2008-12-13,1,0,1,0,3670,0,3670,0,16716850,0,16716850,0,4555.0,4555.0,,,0.0,1387-09-23
2008-12-15,1,0,1,0,385,0,385,0,1700545,0,1700545,0,4417.0,4417.0,,,0.0,1387-09-25
2009-02-15,1,0,1,0,100,0,100,0,441000,0,441000,0,4410.0,4410.0,,,0.0,1387-11-27
2009-02-25,1,0,1,0,50,0,50,0,213900,0,213900,0,4278.0,4278.0,,,0.0,1387-12-07
2009-02-28,1,0,3,0,1000,0,1000,0,4277000,0,4277000,0,4277.0,4277.0,,,0.0,1387-12-10
2009-03-01,1,0,1,0,8000,0,8000,0,33192000,0,33192000,0,4149.0,4149.0,,,0.0,1387-12-11
2009-03-02,1,0,2,0,8695,0,8695,0,34997375,0,34997375,0,4025.0,4025.0,,,0.0,1387-12-12
2009-03-03,1,0,6,0,8000,0,8000,0,31240000,0,31240000,0,3905.0,3905.0,,,0.0,1387-12-13
2009-04-08,1,0,2,0,3000,0,3000,0,11364000,0,11364000,0,3788.0,3788.0,,,0.0,1388-01-19
2009-04-11,2,0,6,0,8000,0,8000,0,29400000,0,29400000,0,3675.0,3675.0,,,0.0,1388-01-22
2009-04-12,2,0,3,0,8000,0,8000,0,28520000,0,28520000,0,3565.0,3565.0,,,0.0,1388-01-23
2009-04-22,1,0,1,0,10000,0,10000,0,30000000,0,30000000,0,3000.0,3000.0,,,0.0,1388-02-02
2009-04-25,1,0,1,1,450,0,350,100,1390500,0,1081500,309000,3090.0,3090.0,,3090.0,100.0,1388-02-05
2009-04-26,2,0,5,1,8312,0,5927,2385,25323650,0,17942075,7381575,3046.63739172281,3027.176480512907,,3095.0,2385.0,1388-02-06
2009-04-28,1,0,1,0,1406,0,1406,0,4284082,0,4284082,0,3047.0,3047.0,,,0.0,1388-02-08
2009-04-29,2,0,2,0,2127,0,2127,0,6479694,0,6479694,0,3046.400564174894,3046.400564174894,,,0.0,1388-02-09
2009-05-02,0,1,1,1,0,15317,2000,13317,0,48064746,6276000,41788746,,3138.0,3138.0,3138.0,-2000.0,1388-02-12
2009-05-05,1,0,1,0,308,0,308,0,994840,0,994840,0,3230.0,3230.0,,,0.0,1388-02-15
2009-05-06,3,0,1,0,1250,0,1250,0,3927500,0,3927500,0,3142.0,3142.0,,,0.0,1388-02-16
2009-05-18,1,0,1,0,309,0,309,0,971187,0,971187,0,3143.0,3143.0,,,0.0,1388-02-28
2009-05-20,2,0,1,0,1124,0,1124,0,3426002,0,3426002,0,3048.044483985765,3048.044483985765,,,0.0,1388-02-30
2009-05-23,1,0,1,0,50,0,50,0,156000,0,156000,0,3120.0,3120.0,,,0.0,1388-03-02
2009-05-25,2,0,1,0,20,0,20,0,62560,0,62560,0,3128.0,3128.0,,,0.0,1388-03-04
2009-05-26,4,0,2,0,6639,0,6639,0,20760183,0,20760183,0,3127.0045187528244,3127.0045187528244,,,0.0,1388-03-05
2009-06-02,1,0,3,0,5141,0,5141,0,16168020,0,16168020,0,3144.91733125851,3144.91733125851,,,0.0,1388-03-12
2009-06-07,1,0,1,0,135,0,135,0,436455,0,436455,0,3233.0,3233.0,,,0.0,1388-03-17
2009-06-08,1,0,1,0,100,0,100,0,323300,0,323300,0,3233.0,3233.0,,,0.0,1388-03-18
2009-06-15,1,0,1,0,10,0,10,0,32360,0,32360,0,3236.0,3236.0,,,0.0,1388-03-25
2009-06-16,1,0,1,0,200,0,200,0,647200,0,647200,0,3236.0,3236.0,,,0.0,1388-03-26
2009-06-17,1,1,1,0,4550,10000,14550,0,14732900,32380000,47112900,0,3238.0,3238.0,3238.0,,-10000.0,1388-03-27
2009-06-20,1,0,2,0,350,0,350,0,1166280,0,1166280,0,3332.2285714285717,3332.2285714285717,,,0.0,1388-03-30
2009-06-21,0,1,1,0,0,14655,14655,0,0,48933045,48933045,0,,3339.0,3339.0,,-14655.0,1388-03-31
2009-06-22,2,0,2,0,16629,0,16629,0,57187131,0,57187131,0,3439.0,3439.0,,,0.0,1388-04-01
2009-06-23,7,0,1,0,15000,0,15000,0,53130000,0,53130000,0,3542.0,3542.0,,,0.0,1388-04-02
2009-06-24,1,0,4,0,18549,0,18549,0,67666752,0,67666752,0,3648.0,3648.0,,,0.0,1388-04-03
2009-06-27,0,1,1,0,0,8000,8000,0,0,30056000,30056000,0,,3757.0,3757.0,,-8000.0,1388-04-06
2009-06-28,10,2,13,0,90243,50000,140243,0,349150167,193450000,542600167,0,3869.0,3869.0,3869.0,,-50000.0,1388-04-07
2009-06-29,0,1,2,0,0,13000,13000,0,0,51805000,51805000,0,,3985.0,3985.0,,-13000.0,1388-04-08
2009-06-30,0,1,1,0,0,8000,8000,0,0,32832000,32832000,0,,4104.0,4104.0,,-8000.0,1388-04-09
2009-07-01,5,0,4,0,28584,0,28584,0,120824568,0,120824568,0,4227.0,4227.0,,,0.0,1388-04-10
2009-07-04,7,0,5,0,28834,0,28834,0,124576207,0,124576207,0,4320.46219740584,4320.46219740584,,,0.0,1388-04-13
2009-07-05,2,2,8,0,5239,70000,75239,0,22124297,293370000,315494297,0,4223.0,4193.228206116509,4191.0,,-70000.0,1388-04-14
2009-07-07,2,1,4,0,16899,20000,36899,0,70806810,81360000,152166810,0,4190.0,4123.873546708583,4068.0,,-20000.0,1388-04-16
