date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-09-28,47622,320,0,1,14202564,406543,0,14609107,67604204640,1935144680,0,69539349320,4760.0,,4760.0,4760.0,14202564.0,1395-07-07
2016-10-01,8,0,59,0,15771,0,15771,0,78823458,0,78823458,0,4998.0,4998.0,,,0.0,1395-07-10
2016-10-02,2,0,70,0,16702,0,16702,0,87635394,0,87635394,0,5247.0,5247.0,,,0.0,1395-07-11
2016-10-03,12,0,219,0,53047,0,53047,0,292235923,0,292235923,0,5509.0,5509.0,,,0.0,1395-07-12
2016-10-04,28,0,253,3,264258,0,69865,194393,1528468272,0,404099160,1124369112,5784.0,5784.0,,5784.0,194393.0,1395-07-13
2016-10-05,1154,8,23277,155,10207635,979750,9989624,1197761,61929013778,5938692827,60594684834,7273021771,6066.930662979231,6065.762318381553,6061.436924725696,6072.181153836199,218011.0,1395-07-14
2016-10-08,423,4,6659,78,3508972,639602,4025822,122752,21605520184,3933927307,24782563837,756883654,6157.222167632001,6155.90153687868,6150.586313050929,6165.9578173879045,-516850.0,1395-07-17
2016-10-09,356,1,2221,11,5194417,1000,3265325,1930092,33451873711,6463000,20993443298,12464893413,6439.9669319964105,6429.204841172012,6463.0,6458.186145012776,1929092.0,1395-07-18
2016-10-10,256,2,1038,2,1759281,51750,1807547,3484,11416257757,340619032,11734233329,22643460,6489.161058978071,6491.799841995809,6582.010280193237,6499.270952927669,-48266.0,1395-07-19
2016-10-15,183,18,1488,16,1306650,350868,1644418,13100,8201404687,2196471763,10316405742,81470708,6276.665279148969,6273.590864366603,6260.108539393732,6219.138015267175,-337768.0,1395-07-24
2016-10-16,191,2,1239,4,2112804,202087,2189391,125500,13829774364,1307929966,14314165114,823539216,6545.696791562303,6537.966545948166,6472.113327428286,6562.065466135458,-76587.0,1395-07-25
2016-10-17,136,0,659,9,1004364,0,892030,112334,6637497494,0,5894746630,742750864,6608.657313483956,6608.238097373407,,6611.98625527445,112334.0,1395-07-26
2016-10-18,133,1,504,1,726378,8800,734428,750,4684450063,56320000,4735895063,4875000,6449.052783812285,6448.413000321339,6400.0,6500.0,-8050.0,1395-07-27
2016-10-19,177,2,736,2,4199306,170000,3878200,491106,28179686958,1136945597,26002354935,3314277620,6710.5581155552845,6704.748320096952,6687.915276470589,6748.599324789353,321106.0,1395-07-28
2016-10-22,22,0,119,1,761942,0,761722,220,5367881390,0,5366331490,1549900,7045.0,7045.0,,7045.0,220.0,1395-08-01
2016-10-23,194,3,561,22,5568036,333800,5592416,309420,40974666158,2459630830,41173354893,2260942095,7358.908268193668,7362.355535246305,7368.576482923907,7307.032819468684,-24380.0,1395-08-02
2016-10-24,91,1,229,4,2770385,150000,1607385,1313000,21361074868,1158900000,12386776226,10133198642,7710.50769766657,7706.166367111799,7726.0,7717.59226351866,1163000.0,1395-08-03
2016-10-25,340,6,572,2,5147811,833534,5950345,31000,41543156816,6738884265,48031236081,250805000,8070.062559794833,8072.0086114334545,8084.714318792035,8090.483870967741,-802534.0,1395-08-04
2016-10-26,102,6,399,2,557820,2009058,2566128,750,4621410309,16741237651,21356292960,6355000,8284.76983435517,8322.380239800976,8332.879215532852,8473.333333333334,-2008308.0,1395-08-05
2016-10-29,225,1,283,7,1917130,17500,1615659,318971,16650919422,151899778,14034669284,2768149916,8685.336634448367,8686.653114301966,8679.987314285714,8678.37488674519,301471.0,1395-08-08
2016-10-30,102,3,349,3,681972,510344,955676,236640,5864202747,4395773852,8235742723,2024233876,8598.890785838716,8617.71429124515,8613.354623548039,8554.064722785666,-273704.0,1395-08-09
2016-10-31,84,2,226,3,403557,920758,1235265,89050,3533697418,8067817129,10820118489,781396058,8756.377458450726,8759.350009107358,8762.147197200567,8774.801325098259,-831708.0,1395-08-10
