date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-04-29,2354885,2435,0,1,33964247,35221,0,33999468,424790837229,440509047,0,425231346276,12507.0,,12507.0,12507.0,33964247.0,1399-02-10
2020-05-02,13,0,6932,11,97925,0,97779,146,1285951100,0,1284033828,1917272,13132.0,13132.0,,13132.0,146.0,1399-02-13
2020-05-03,76,0,8725,4,903061,0,123937,779124,11873446028,0,1629523676,10243922352,13148.0,13148.0,,13148.0,779124.0,1399-02-14
2020-05-04,11,0,10149,17,146445,0,146198,247,1947132720,0,1943848608,3284112,13296.0,13296.0,,13296.0,247.0,1399-02-15
2020-05-05,8,0,10505,31,165302,0,164856,446,2201822640,0,2195881920,5940720,13320.0,13320.0,,13320.0,446.0,1399-02-16
2020-05-06,10,1,14010,12,163286,50000,213112,174,2179378242,667350000,2844405864,2322378,13347.0,13347.0,13347.0,13347.0,-49826.0,1399-02-17
2020-05-09,5,0,14952,66,246276,0,234358,11918,3295911708,0,3136413114,159498594,13383.0,13383.0,,13383.0,11918.0,1399-02-20
2020-05-10,11,0,18623,8,350524,0,350427,97,4705784700,0,4704482475,1302225,13425.0,13425.0,,13425.0,97.0,1399-02-21
2020-05-11,11,0,12825,8,185999,0,185898,101,2508196515,0,2506834530,1361985,13485.0,13485.0,,13485.0,101.0,1399-02-22
2020-05-12,7,0,17507,15,256299,0,256099,200,3464137284,0,3461434084,2703200,13516.0,13516.0,,13516.0,200.0,1399-02-23
2020-05-13,6,0,15914,5,255970,0,255897,73,3470953200,0,3469963320,989880,13560.0,13560.0,,13560.0,73.0,1399-02-24
2020-05-16,5,1,14255,10,177878,50000,227746,132,2419852312,680200000,3098256584,1795728,13604.0,13604.0,13604.0,13604.0,-49868.0,1399-02-27
2020-05-17,6,0,15450,14,229213,0,221732,7481,3127382172,0,3025311408,102070764,13644.0,13644.0,,13644.0,7481.0,1399-02-28
2020-05-26,7,0,8247,4,194360,0,194302,58,2593345480,0,2592571586,773894,13343.0,13343.0,,13343.0,58.0,1399-03-06
2020-05-27,3,0,8048,4,115830,0,115774,56,1549226250,0,1548477250,749000,13375.0,13375.0,,13375.0,56.0,1399-03-07
2020-05-30,14,0,28337,29,483435,0,431088,52347,6475611825,0,5774423760,701188065,13395.0,13395.0,,13395.0,52347.0,1399-03-10
2020-05-31,8,0,18759,14,269085,0,268890,195,3626727630,0,3624099420,2628210,13478.0,13478.0,,13478.0,195.0,1399-03-11
2020-06-01,7,0,15518,17,227771,0,227527,244,3080602775,0,3077302675,3300100,13525.0,13525.0,,13525.0,244.0,1399-03-12
2020-06-02,8,0,15460,50,273757,0,273016,741,3712966191,0,3702916008,10050183,13563.0,13563.0,,13563.0,741.0,1399-03-13
2020-06-06,9,1,15294,19,223662,13710,237084,288,3044263482,186606810,3226950324,3919968,13611.0,13611.0,13611.0,13611.0,-13422.0,1399-03-17
2020-06-07,10,0,13986,22,430356,0,342083,88273,5875650468,0,4670459199,1205191269,13653.0,13653.0,,13653.0,88273.0,1399-03-18
2020-06-08,6,0,15762,9,384659,0,384528,131,5280983411,0,5279184912,1798499,13729.0,13729.0,,13729.0,131.0,1399-03-19
2020-06-09,5,0,14673,11,222324,0,222165,159,3067626552,0,3065432670,2193882,13798.0,13798.0,,13798.0,159.0,1399-03-20
