date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,27,0,12,0,720950,0,720950,0,251999517,0,251999517,0,349.53813301893337,349.53813301893337,,,0.0,1387-09-06
2008-11-29,3,1,2,1,35869,10,35869,10,12159591,3480,12159591,3480,339.0,339.0,348.0,348.0,0.0,1387-09-09
2008-11-30,2,1,0,3,13245,10,0,13255,4476810,3480,0,4480290,338.0,,348.0,338.00754432289705,13245.0,1387-09-10
2008-12-01,2,1,1,1,32000,10,32000,10,10816000,3470,10816000,3470,338.0,338.0,347.0,347.0,0.0,1387-09-11
2008-12-02,3,2,0,2,16588,25,0,16613,5590156,8525,0,5598681,337.0,,341.0,337.0060193824113,16588.0,1387-09-12
2008-12-03,4,2,1,1,14125,20,14135,10,4760125,6840,4763495,3470,337.0,337.0,342.0,347.0,-10.0,1387-09-13
2008-12-06,1,0,0,1,20,0,0,20,6740,0,0,6740,337.0,,,337.0,20.0,1387-09-16
2008-12-16,0,1,0,1,0,3000,0,3000,0,1011000,0,1011000,,,337.0,337.0,0.0,1387-09-26
2008-12-20,1,0,2,0,30000,0,30000,0,9810000,0,9810000,0,327.0,327.0,,,0.0,1387-09-30
2008-12-22,7,0,7,2,253257,0,203257,50000,82561782,0,66261782,16300000,326.0,326.0,,326.0,50000.0,1387-10-02
2008-12-23,47,1,63,3,1815416,1260000,2651019,424397,578684135,399420000,843570286,134533849,318.7611737475047,318.2060505790415,317.0,317.0,-835603.0,1387-10-03
2008-12-24,11,0,9,0,387463,0,387463,0,126670401,0,126670401,0,326.9225732521557,326.9225732521557,,,0.0,1387-10-04
2008-12-27,18,0,12,0,243779,0,243779,0,79693843,0,79693843,0,326.9102055550314,326.9102055550314,,,0.0,1387-10-07
2008-12-28,10,0,8,1,228298,0,183563,44735,72603764,0,58378034,14225730,318.0219011993097,318.0272386047297,,318.0,44735.0,1387-10-08
2008-12-29,3,0,7,0,80000,0,80000,0,25040000,0,25040000,0,313.0,313.0,,,0.0,1387-10-09
2008-12-30,2,0,1,0,60000,0,60000,0,18660000,0,18660000,0,311.0,311.0,,,0.0,1387-10-10
2008-12-31,3,0,3,0,117806,0,117806,0,36519860,0,36519860,0,310.0,310.0,,,0.0,1387-10-11
2009-01-10,3,1,16,0,96150,604047,700197,0,29614200,186046476,215660676,0,308.0,308.0,308.0,,-604047.0,1387-10-21
2009-01-11,10,0,4,0,226220,0,226220,0,67751780,0,67751780,0,299.49509327203606,299.49509327203606,,,0.0,1387-10-22
2009-01-12,4,3,9,0,216298,214000,430298,0,63807910,63130000,126937910,0,295.0,295.0,295.0,,-214000.0,1387-10-23
2009-01-13,4,0,5,0,51239,0,51239,0,15159200,0,15159200,0,295.852768399071,295.852768399071,,,0.0,1387-10-24
2009-01-14,1,0,4,0,55630,0,55630,0,16580850,0,16580850,0,298.0559050871832,298.0559050871832,,,0.0,1387-10-25
2009-01-17,2,0,3,0,96922,0,96922,0,29367366,0,29367366,0,303.0,303.0,,,0.0,1387-10-28
2009-01-18,2,0,0,1,100000,0,0,100000,30500000,0,0,30500000,305.0,,,305.0,100000.0,1387-10-29
2009-01-19,2,0,1,0,100000,0,100000,0,30700000,0,30700000,0,307.0,307.0,,,0.0,1387-10-30
2009-01-20,2,0,3,0,102644,0,102644,0,31819640,0,31819640,0,310.0,310.0,,,0.0,1387-11-01
2009-01-21,2,0,4,1,62655,0,57655,5000,19548360,0,17988360,1560000,312.0,312.0,,312.0,5000.0,1387-11-02
2009-01-24,17,0,17,0,790354,0,790354,0,246557366,0,246557366,0,311.9581428068941,311.9581428068941,,,0.0,1387-11-05
2009-01-25,10,0,12,0,348624,0,348624,0,109173574,0,109173574,0,313.1556461976227,313.1556461976227,,,0.0,1387-11-06
2009-01-26,6,0,3,0,59097,0,59097,0,18487785,0,18487785,0,312.8379613178334,312.8379613178334,,,0.0,1387-11-07
2009-01-27,6,0,4,0,175708,0,175708,0,53425232,0,53425232,0,304.05691260500373,304.05691260500373,,,0.0,1387-11-08
2009-01-28,2,0,2,0,14961,0,14961,0,4493300,0,4493300,0,300.33420225920725,300.33420225920725,,,0.0,1387-11-09
2009-01-31,4,0,2,0,70055,0,70055,0,21076500,0,21076500,0,300.8564699164942,300.8564699164942,,,0.0,1387-11-12
2009-02-01,3,0,2,0,20460,0,20460,0,6135831,0,6135831,0,299.8939882697947,299.8939882697947,,,0.0,1387-11-13
2009-02-02,3,0,3,0,76778,0,76778,0,22961547,0,22961547,0,299.064145979317,299.064145979317,,,0.0,1387-11-14
2009-02-03,4,0,6,0,25616,0,25616,0,7747307,0,7747307,0,302.4401545908807,302.4401545908807,,,0.0,1387-11-15
2009-02-04,5,0,6,0,59950,0,59950,0,18195000,0,18195000,0,303.50291909924937,303.50291909924937,,,0.0,1387-11-16
2009-02-07,4,0,7,0,99506,0,99506,0,29668666,0,29668666,0,298.15956826724016,298.15956826724016,,,0.0,1387-11-19
2009-02-08,3,0,2,0,54000,0,54000,0,15930000,0,15930000,0,295.0,295.0,,,0.0,1387-11-20
2009-02-09,8,0,8,2,210247,0,150136,60111,65485455,0,46732488,18752967,311.46915294867466,311.2677039484201,,311.972301242701,60111.0,1387-11-21
2009-02-11,5,0,6,0,158466,0,158466,0,49533336,0,49533336,0,312.5802127901253,312.5802127901253,,,0.0,1387-11-23
2009-02-14,4,0,7,0,234237,0,234237,0,73657570,0,73657570,0,314.45745121394145,314.45745121394145,,,0.0,1387-11-26
2009-02-15,7,0,2,1,189690,0,69690,120000,57476070,0,21116070,36360000,303.0,303.0,,303.0,120000.0,1387-11-27
2009-02-17,5,0,6,0,334923,0,334923,0,100146900,0,100146900,0,299.0146989009414,299.0146989009414,,,0.0,1387-11-29
2009-02-18,2,0,3,0,6391,0,6391,0,1886045,0,1886045,0,295.10952902519165,295.10952902519165,,,0.0,1387-11-30
2009-02-21,4,0,3,0,160153,0,160153,0,46864676,0,46864676,0,292.6244029147128,292.6244029147128,,,0.0,1387-12-03
2009-02-22,6,0,8,0,343960,0,343960,0,99778400,0,99778400,0,290.0872194441214,290.0872194441214,,,0.0,1387-12-04
2009-02-23,8,0,3,0,322819,0,322819,0,91736508,0,91736508,0,284.17319922309406,284.17319922309406,,,0.0,1387-12-05
2009-02-25,5,0,2,0,29681,0,29681,0,8258174,0,8258174,0,278.2309895219164,278.2309895219164,,,0.0,1387-12-07
2009-02-28,1,0,2,0,18000,0,18000,0,5130000,0,5130000,0,285.0,285.0,,,0.0,1387-12-10
2009-03-01,4,0,3,0,38619,0,38619,0,10956101,0,10956101,0,283.69716978689246,283.69716978689246,,,0.0,1387-12-11
2009-03-02,3,0,1,0,20000,0,20000,0,5860000,0,5860000,0,293.0,293.0,,,0.0,1387-12-12
2009-03-03,4,0,5,0,57125,0,57125,0,16717625,0,16717625,0,292.6498905908096,292.6498905908096,,,0.0,1387-12-13
2009-03-04,15,0,7,0,377728,0,377728,0,111052032,0,111052032,0,294.0,294.0,,,0.0,1387-12-14
2009-03-07,1,0,2,0,2362,0,2362,0,696180,0,696180,0,294.74174428450465,294.74174428450465,,,0.0,1387-12-17
2009-03-08,8,0,6,1,202000,0,182000,20000,60742000,0,54762000,5980000,300.7029702970297,300.8901098901099,,299.0,20000.0,1387-12-18
2009-03-09,8,0,8,1,170322,0,100322,70000,51195647,0,30175647,21020000,300.5815279294513,300.78793285620304,,300.2857142857143,70000.0,1387-12-19
2009-03-10,9,0,9,1,215866,0,185866,30000,65085261,0,56095261,8990000,301.5076992208129,301.8048540346271,,299.6666666666667,30000.0,1387-12-20
2009-03-11,8,0,1,1,269652,0,1000,268652,78689474,0,291000,78398474,291.8186180706985,291.0,,291.82166520256686,268652.0,1387-12-21
2009-03-14,5,0,3,1,119584,0,19584,100000,34344608,0,5644608,28700000,287.2006957452502,288.22549019607845,,287.0,100000.0,1387-12-24
2009-03-16,11,0,6,1,343927,0,323927,20000,102503517,0,96633517,5870000,298.03858667682385,298.3188094848531,,293.5,20000.0,1387-12-26
2009-03-17,9,0,5,1,341625,0,31625,310000,104063243,0,9633243,94430000,304.6124932308818,304.6084743083004,,304.61290322580646,310000.0,1387-12-27
2009-03-18,8,0,2,1,197728,0,19998,177730,59573287,0,6199380,53373907,301.2890789367211,310.0,,300.3089349012547,177730.0,1387-12-28
2009-03-28,3,0,1,1,106239,0,26239,80000,33014090,0,8134090,24880000,310.7530191360988,310.0,,311.0,80000.0,1388-01-08
2009-03-29,3,0,0,1,100000,0,0,100000,31300000,0,0,31300000,313.0,,,313.0,100000.0,1388-01-09
2009-04-13,86,3,97,4,3267426,653846,3341945,579327,1526339540,314265902,1571040242,269565200,467.1382121584391,470.0975755136605,480.6420808569602,465.3075033616593,-74519.0,1388-01-24
2009-04-14,59,1,42,1,2600667,400000,2700667,300000,1255882164,193200000,1304182164,144900000,482.9077171356425,482.9111341753722,483.0,483.0,-100000.0,1388-01-25
2009-04-15,46,3,17,2,1663986,533101,1935887,261200,826312400,264951197,961447197,129816400,496.5861491623127,496.6442757247712,497.0,497.0,-271901.0,1388-01-26
2009-04-18,89,3,44,2,4498517,223192,2411998,2309711,2298019043,114051112,1231807834,1180262321,510.8392483567362,510.70018880612673,511.0,511.0,2086519.0,1388-01-29
2009-04-19,22,0,4,2,425602,0,22410,403192,223866652,0,11787660,212078992,526.0,526.0,,526.0,403192.0,1388-01-30
2009-04-20,1,0,1,0,1000,0,1000,0,541000,0,541000,0,541.0,541.0,,,0.0,1388-01-31
2009-04-21,18,0,1,1,400000,0,300000,100000,216400000,0,162300000,54100000,541.0,541.0,,541.0,100000.0,1388-02-01
2009-04-22,4,1,1,1,130001,70000,1,200000,72280556,38920000,556,111200000,556.0,556.0,556.0,556.0,130000.0,1388-02-02
2009-04-25,13,0,1,1,307700,0,107700,200000,173235100,0,60635100,112600000,563.0,563.0,,563.0,200000.0,1388-02-05
2009-04-26,22,1,2,3,336776,80000,3575,413201,193309424,45920000,2052050,237177374,574.0,574.0,574.0,574.0,333201.0,1388-02-06
2009-04-27,0,1,1,0,0,100,100,0,0,59000,59000,0,,590.0,590.0,,-100.0,1388-02-07
2009-04-28,0,1,2,0,0,16852,16852,0,0,9942680,9942680,0,,590.0,590.0,,-16852.0,1388-02-08
2009-04-29,1,0,1,0,20000,0,20000,0,11820000,0,11820000,0,591.0,591.0,,,0.0,1388-02-09
2009-05-02,3,0,3,0,58853,0,58853,0,34840976,0,34840976,0,592.0,592.0,,,0.0,1388-02-12
2009-05-03,3,0,2,0,20750,0,20750,0,12325500,0,12325500,0,594.0,594.0,,,0.0,1388-02-13
2009-05-04,1,0,1,0,6399,0,6399,0,3807405,0,3807405,0,595.0,595.0,,,0.0,1388-02-14
2009-05-05,3,0,3,0,21769,0,21769,0,12952555,0,12952555,0,595.0,595.0,,,0.0,1388-02-15
2009-05-06,1,0,2,0,24774,0,24774,0,14765304,0,14765304,0,596.0,596.0,,,0.0,1388-02-16
2009-05-09,1,0,1,0,8,0,8,0,4776,0,4776,0,597.0,597.0,,,0.0,1388-02-19
2009-05-10,7,0,1,1,87647,0,20000,67647,52325259,0,11940000,40385259,597.0,597.0,,597.0,67647.0,1388-02-20
2009-05-11,7,0,2,0,77190,0,77190,0,46314000,0,46314000,0,600.0,600.0,,,0.0,1388-02-21
2009-05-12,10,1,4,1,190000,10000,158299,41701,114570000,6030000,95454297,25145703,603.0,603.0,603.0,603.0,31701.0,1388-02-22
2009-05-13,3,0,1,0,20443,0,20443,0,12490673,0,12490673,0,611.0,611.0,,,0.0,1388-02-23
2009-05-16,1,0,2,0,11970,0,11970,0,7325640,0,7325640,0,612.0,612.0,,,0.0,1388-02-26
2009-05-17,4,0,3,0,23357,0,23357,0,14294484,0,14294484,0,612.0,612.0,,,0.0,1388-02-27
2009-05-19,2,0,1,0,10000,0,10000,0,6130000,0,6130000,0,613.0,613.0,,,0.0,1388-02-29
2009-05-20,3,0,1,0,16919,0,16919,0,10371347,0,10371347,0,613.0,613.0,,,0.0,1388-02-30
2009-05-23,7,0,1,1,60769,0,2470,58299,37312166,0,1516580,35795586,614.0,614.0,,614.0,58299.0,1388-03-02
2009-05-25,1,0,2,0,652,0,652,0,401632,0,401632,0,616.0,616.0,,,0.0,1388-03-04
2009-05-26,10,1,1,1,104800,10000,4800,110000,64556800,6160000,2956800,67760000,616.0,616.0,616.0,616.0,100000.0,1388-03-05
2009-05-27,2,0,2,0,20000,0,20000,0,12440000,0,12440000,0,622.0,622.0,,,0.0,1388-03-06
2009-05-30,2,0,4,0,15449,0,15449,0,9624727,0,9624727,0,623.0,623.0,,,0.0,1388-03-09
2009-05-31,2,0,3,0,7008,0,7008,0,4372992,0,4372992,0,624.0,624.0,,,0.0,1388-03-10
2009-06-01,1,0,1,0,2201,0,2201,0,1373424,0,1373424,0,624.0,624.0,,,0.0,1388-03-11
2009-06-02,3,0,1,0,9535,0,9535,0,5949840,0,5949840,0,624.0,624.0,,,0.0,1388-03-12
2009-06-03,3,0,2,0,6730,0,6730,0,4199520,0,4199520,0,624.0,624.0,,,0.0,1388-03-13
2009-06-06,1,0,1,0,46,0,46,0,28704,0,28704,0,624.0,624.0,,,0.0,1388-03-16
2009-06-07,5,0,1,0,22060,0,22060,0,13765440,0,13765440,0,624.0,624.0,,,0.0,1388-03-17
2009-06-08,1,0,1,0,50,0,50,0,32100,0,32100,0,642.0,642.0,,,0.0,1388-03-18
2009-06-09,1,0,1,0,50,0,50,0,33050,0,33050,0,661.0,661.0,,,0.0,1388-03-19
2009-06-10,0,1,1,0,0,50,50,0,0,34000,34000,0,,680.0,680.0,,-50.0,1388-03-20
2009-06-13,58,0,33,2,2360949,0,1828997,531952,1652664300,0,1280297900,372366400,700.0,700.0,,700.0,531952.0,1388-03-23
2009-06-14,111,3,65,3,4221284,450000,2596284,2075000,3043545764,324450000,1871920764,1496075000,721.0,721.0,721.0,721.0,1625000.0,1388-03-24
2009-06-15,128,7,153,1,4596580,1519360,6055940,60000,3254314957,1072600000,4284914957,42000000,707.9861455690971,707.555715050017,705.9551390058972,700.0,-1459360.0,1388-03-25
2009-06-16,3,1,3,0,35979,44021,80000,0,24681594,30198406,54880000,0,686.0,686.0,686.0,,-44021.0,1388-03-26
2009-06-17,73,2,134,0,5826598,180000,6006598,0,4169251815,128070000,4297321815,0,715.5550829145927,715.4335640573915,711.5,,-180000.0,1388-03-27
2009-06-20,18,0,29,1,1083008,0,583009,499999,797093888,0,429094624,367999264,736.0,736.0,,736.0,499999.0,1388-03-30
2009-06-21,122,5,72,3,6322532,560000,4292542,2589990,4791152586,424370000,3252330166,1963192420,757.790167926394,757.6699694493379,757.8035714285714,757.9922779624632,2029990.0,1388-03-31
2009-06-22,1,0,2,0,8634,0,8634,0,6734520,0,6734520,0,780.0,780.0,,,0.0,1388-04-01
