date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-02-24,4,0,0,1,265000,0,0,265000,1212905000,0,0,1212905000,4577.0,,,4577.0,265000.0,1393-12-05
2015-02-25,31,0,0,1,910000,0,0,910000,4165070000,0,0,4165070000,4577.0,,,4577.0,910000.0,1393-12-06
2015-03-01,5,0,0,2,39000,0,0,39000,201800000,0,0,201800000,5174.358974358975,,,5174.358974358975,39000.0,1393-12-10
2015-03-02,1,0,0,1,1000,0,0,1000,5200000,0,0,5200000,5200.0,,,5200.0,1000.0,1393-12-11
2015-03-03,2,0,0,1,20000,0,0,20000,107500000,0,0,107500000,5375.0,,,5375.0,20000.0,1393-12-12
2015-03-04,3,0,1,1,31000,0,1000,30000,174090000,0,5980000,168110000,5615.806451612903,5980.0,,5603.666666666667,30000.0,1393-12-13
2015-03-08,2,0,1,1,12000,0,2000,10000,68496000,0,11416000,57080000,5708.0,5708.0,,5708.0,10000.0,1393-12-17
2015-03-09,2,1,3,0,44000,3000,47000,0,253982000,17910000,271892000,0,5772.318181818182,5784.936170212766,5970.0,,-3000.0,1393-12-18
2015-03-10,1,0,1,0,13000,0,13000,0,74113000,0,74113000,0,5701.0,5701.0,,,0.0,1393-12-19
2015-03-14,0,1,0,1,0,40000,0,40000,0,228000000,0,228000000,,,5700.0,5700.0,0.0,1393-12-23
2015-03-18,0,1,3,0,0,115000,115000,0,0,655500000,655500000,0,,5700.0,5700.0,,-115000.0,1393-12-27
2015-04-06,2,0,1,0,2492,0,2492,0,14902160,0,14902160,0,5980.0,5980.0,,,0.0,1394-01-17
2015-04-11,0,1,1,0,0,2000,2000,0,0,11940000,11940000,0,,5970.0,5970.0,,-2000.0,1394-01-22
2015-04-12,0,1,1,0,0,3000,3000,0,0,17907000,17907000,0,,5969.0,5969.0,,-3000.0,1394-01-23
2015-04-15,0,1,1,0,0,2000,2000,0,0,11896000,11896000,0,,5948.0,5948.0,,-2000.0,1394-01-26
2015-04-22,0,1,1,0,0,3000,3000,0,0,17790000,17790000,0,,5930.0,5930.0,,-3000.0,1394-02-02
2015-04-26,4,0,16,0,468508,0,468508,0,2595519080,0,2595519080,0,5539.967471206468,5539.967471206468,,,0.0,1394-02-06
2015-04-27,0,1,3,0,0,42000,42000,0,0,247790000,247790000,0,,5899.761904761905,5899.761904761905,,-42000.0,1394-02-07
2015-04-28,0,1,2,0,0,27000,27000,0,0,166000000,166000000,0,,6148.148148148148,6148.148148148148,,-27000.0,1394-02-08
2015-04-29,0,1,2,0,0,37000,37000,0,0,234600000,234600000,0,,6340.540540540541,6340.540540540541,,-37000.0,1394-02-09
2015-05-03,0,1,3,0,0,205000,205000,0,0,1434000000,1434000000,0,,6995.121951219512,6995.121951219512,,-205000.0,1394-02-13
2015-05-04,0,1,5,0,0,508508,508508,0,0,3805810000,3805810000,0,,7484.267700803134,7484.267700803134,,-508508.0,1394-02-14
2015-05-11,0,1,2,0,0,21492,21492,0,0,143996400,143996400,0,,6700.0,6700.0,,-21492.0,1394-02-21
2016-08-27,1,0,1,0,30000,0,30000,0,81300000,0,81300000,0,2710.0,2710.0,,,0.0,1395-06-06
2016-09-24,5,0,3,0,28345,0,28345,0,76693200,0,76693200,0,2705.704709825366,2705.704709825366,,,0.0,1395-07-03
2016-09-25,3,0,1,0,12905,0,12905,0,34908025,0,34908025,0,2705.0,2705.0,,,0.0,1395-07-04
2016-10-05,1,0,1,0,7000,0,7000,0,18942000,0,18942000,0,2706.0,2706.0,,,0.0,1395-07-14
2016-10-24,2,0,1,0,40000,0,40000,0,94010000,0,94010000,0,2350.25,2350.25,,,0.0,1395-08-03
2017-03-13,1,0,1,0,1000,0,1000,0,2090000,0,2090000,0,2090.0,2090.0,,,0.0,1395-12-23
2017-03-15,3,0,1,0,2729,0,2729,0,6273971,0,6273971,0,2299.0,2299.0,,,0.0,1395-12-25
2017-03-18,2,0,3,0,8211,0,8211,0,19081429,0,19081429,0,2323.886128364389,2323.886128364389,,,0.0,1395-12-28
2017-03-28,8,0,2,0,56810,0,56810,0,145194160,0,145194160,0,2555.785249075867,2555.785249075867,,,0.0,1396-01-08
2017-03-29,9,0,7,0,118990,0,118990,0,315026532,0,315026532,0,2647.504260862257,2647.504260862257,,,0.0,1396-01-09
2017-04-03,5,0,4,0,99894,0,99894,0,286890520,0,286890520,0,2871.9494664344206,2871.9494664344206,,,0.0,1396-01-14
2017-04-08,10,0,2,1,119193,0,30693,88500,375844594,0,96556650,279287944,3153.2438482125626,3145.8850552243184,,3155.79597740113,88500.0,1396-01-19
2017-04-09,6,0,3,1,27056,0,22056,5000,83159930,0,66909930,16250000,3073.622486694264,3033.6384657236126,,3250.0,5000.0,1396-01-20
2017-04-10,5,0,4,1,34649,0,15497,19152,112565312,0,48667400,63897912,3248.731911454876,3140.4400851777764,,3336.3571428571427,19152.0,1396-01-21
2017-04-12,20,0,3,1,144976,0,4976,140000,517996449,0,17776449,500220000,3572.9806933561417,3572.4375,,3573.0,140000.0,1396-01-23
2017-04-15,23,0,9,1,199794,0,132447,67347,758148169,0,518450903,239697266,3794.649333813829,3914.402764879537,,3559.1379868442546,67347.0,1396-01-26
2017-04-17,4,0,3,0,6306,0,6306,0,24661820,0,24661820,0,3910.849984142087,3910.849984142087,,,0.0,1396-01-28
2017-04-18,5,0,2,1,9871,0,6861,3010,40987408,0,28873900,12113508,4152.305541485159,4208.409852791138,,4024.421262458472,3010.0,1396-01-29
2017-04-19,12,0,9,1,105837,0,56937,48900,405298436,0,215976436,189322000,3829.458847095061,3793.252823295924,,3871.6155419222905,48900.0,1396-01-30
2017-04-22,7,0,6,0,37061,0,37061,0,132202344,0,132202344,0,3567.155338495993,3567.155338495993,,,0.0,1396-02-02
2017-04-23,6,0,8,1,144951,0,139251,5700,468974583,0,450671883,18302700,3235.4008113086493,3236.3996165198096,,3211.0,5700.0,1396-02-03
2017-04-24,3,0,10,0,49592,0,49592,0,175014862,0,175014862,0,3529.094652363284,3529.094652363284,,,0.0,1396-02-04
2017-04-26,6,0,3,2,73693,0,52400,21293,283372929,0,200798100,82574829,3845.3167736420014,3832.024809160305,,3878.0270041797776,21293.0,1396-02-06
2017-04-29,5,0,9,1,90285,0,33285,57000,359411980,0,129500980,229911000,3980.860386553691,3890.67087276551,,4033.5263157894738,57000.0,1396-02-09
2017-04-30,1,0,1,0,10000,0,10000,0,40800000,0,40800000,0,4080.0,4080.0,,,0.0,1396-02-10
2017-05-01,1,0,1,0,2000,0,2000,0,7480000,0,7480000,0,3740.0,3740.0,,,0.0,1396-02-11
2017-05-02,5,0,4,1,77434,0,52000,25434,291334520,0,191615768,99718752,3762.359170390268,3684.918615384616,,3920.686954470394,25434.0,1396-02-12
2017-05-03,5,0,12,1,114126,0,62524,51602,445033800,0,239726394,205307406,3899.4952946743074,3834.149990403685,,3978.671485601333,51602.0,1396-02-13
2017-05-06,4,0,2,1,231729,0,6729,225000,865613679,0,27918911,837694768,3735.456843985863,4149.043097042651,,3723.0878577777776,225000.0,1396-02-16
2017-05-07,5,0,10,1,54770,0,53770,1000,223479938,0,219499938,3980000,4080.334818331203,4082.200818300167,,3980.0,1000.0,1396-02-17
2017-05-08,4,0,5,0,45900,0,45900,0,205607592,0,205607592,0,4479.468235294117,4479.468235294117,,,0.0,1396-02-18
2017-05-09,6,0,3,0,40392,0,40392,0,198005288,0,198005288,0,4902.091701326996,4902.091701326996,,,0.0,1396-02-19
2017-05-10,11,0,14,0,121409,0,121409,0,653142498,0,653142498,0,5379.687650833134,5379.687650833134,,,0.0,1396-02-20
2017-05-13,12,0,10,0,118284,0,118284,0,698899809,0,698899809,0,5908.658897230394,5908.658897230394,,,0.0,1396-02-23
2017-05-14,11,0,5,1,87195,0,36787,50408,511516715,0,204636815,306879900,5866.353747347898,5562.748117541523,,6087.920568163783,50408.0,1396-02-24
2017-05-15,5,0,6,0,20195,0,20195,0,107275120,0,107275120,0,5311.964347610795,5311.964347610795,,,0.0,1396-02-25
2017-05-16,13,0,4,0,30961,0,30961,0,150525386,0,150525386,0,4861.774038306256,4861.774038306256,,,0.0,1396-02-26
2017-05-17,13,0,9,0,56834,0,56834,0,254243460,0,254243460,0,4473.43949044586,4473.43949044586,,,0.0,1396-02-27
2017-05-21,7,0,14,0,30398,0,30398,0,148162896,0,148162896,0,4874.100138166985,4874.100138166985,,,0.0,1396-02-31
2017-05-22,8,0,9,0,30281,0,30281,0,153370580,0,153370580,0,5064.9113305373,5064.9113305373,,,0.0,1396-03-01
2017-05-23,7,0,8,0,25103,0,25103,0,130078305,0,130078305,0,5181.7832529976495,5181.7832529976495,,,0.0,1396-03-02
2017-05-24,6,0,9,0,81309,0,81309,0,452709653,0,452709653,0,5567.768057656594,5567.768057656594,,,0.0,1396-03-03
2017-05-27,10,1,23,1,254920,80000,234920,100000,1504568608,489541580,1430125168,563985020,5902.120696689158,6087.711425166014,6119.26975,5639.8502,20000.0,1396-03-06
2017-05-28,5,1,8,0,63737,37653,101390,0,413491770,246589497,660081267,0,6487.468346486342,6510.319232665944,6549.0,,-37653.0,1396-03-07
2017-05-29,10,0,7,0,38044,0,38044,0,272384532,0,272384532,0,7159.72379350226,7159.72379350226,,,0.0,1396-03-08
2017-05-30,10,0,7,1,48584,0,38584,10000,353058075,0,281458075,71600000,7266.961859871562,7294.6836771718845,,7160.0,10000.0,1396-03-09
2017-05-31,3,1,3,1,8563,11378,9941,10000,62674263,85335000,75346700,72662563,7319.194557982016,7579.388391509909,7500.0,7266.2563,-1378.0,1396-03-10
