date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,2,0,1,0,6000,0,6000,0,5904000,0,5904000,0,984.0,984.0,,,0.0,1387-09-06
2008-11-29,65,3,50,4,1572744,73695,1288949,357490,1517705700,70584090,1243833044,344456746,965.0049213349408,964.9978734612464,957.7866883777732,963.542325659459,283795.0,1387-09-09
2008-11-30,20,3,15,1,186438,150010,336438,10,179097669,143821722,322909801,9590,960.6285682103434,959.7899196880256,958.7475634957668,959.0,-150000.0,1387-09-10
2008-12-01,19,3,10,1,170217,66010,236217,10,159219561,61459430,220669561,9430,935.3916530076316,934.1815407019816,931.0624147856386,943.0,-66000.0,1387-09-11
2008-12-02,26,4,22,1,464519,210010,674519,10,425749210,192614730,618354780,9160,916.5377734818168,916.7344137081388,917.1693252702252,916.0,-210000.0,1387-09-12
2008-12-08,16,1,16,0,362601,20000,382601,0,271912288,15000000,286912288,0,749.8939274850318,749.8994722962042,750.0,,-20000.0,1387-09-18
2008-12-10,7,0,8,0,101178,0,101178,0,76820635,0,76820635,0,759.2622408033367,759.2622408033367,,,0.0,1387-09-20
2008-12-13,9,0,7,0,117610,0,117610,0,87767344,0,87767344,0,746.25749511096,746.25749511096,,,0.0,1387-09-23
2008-12-14,4,0,13,0,71324,0,71324,0,54520022,0,54520022,0,764.3993887050642,764.3993887050642,,,0.0,1387-09-24
2008-12-16,3,0,3,0,60432,0,60432,0,46895232,0,46895232,0,776.0,776.0,,,0.0,1387-09-26
2008-12-20,2,0,2,0,29148,0,29148,0,22735440,0,22735440,0,780.0,780.0,,,0.0,1387-09-30
2008-12-21,4,0,1,1,42052,0,1052,41000,32884664,0,822664,32062000,782.0,782.0,,782.0,41000.0,1387-10-01
2008-12-22,3,0,3,0,26328,0,26328,0,20667480,0,20667480,0,785.0,785.0,,,0.0,1387-10-02
2008-12-28,1,0,2,0,7379,0,7379,0,5807273,0,5807273,0,787.0,787.0,,,0.0,1387-10-08
2008-12-29,1,0,2,1,8807,0,1309,7498,6931109,0,1030183,5900926,787.0,787.0,,787.0,7498.0,1387-10-09
2008-12-30,1,0,1,0,100,0,100,0,78800,0,78800,0,788.0,788.0,,,0.0,1387-10-10
2008-12-31,1,0,4,0,9460,0,9460,0,7672060,0,7672060,0,811.0,811.0,,,0.0,1387-10-11
2009-01-03,1,0,1,0,1000,0,1000,0,835000,0,835000,0,835.0,835.0,,,0.0,1387-10-14
2009-01-04,5,0,8,0,66735,0,66735,0,57392100,0,57392100,0,860.0,860.0,,,0.0,1387-10-15
2009-01-05,1,0,2,0,4110,0,4110,0,3555150,0,3555150,0,865.0,865.0,,,0.0,1387-10-16
2009-01-10,1,0,2,0,23000,0,23000,0,19895000,0,19895000,0,865.0,865.0,,,0.0,1387-10-21
2009-01-11,38,1,30,0,611206,10000,621206,0,541472838,8900000,550372838,0,885.9089046900717,885.9747619952158,890.0,,-10000.0,1387-10-22
2009-01-12,11,1,8,1,171103,10000,151103,30000,148432104,8800000,130952104,26280000,867.5014698748707,866.6413241298982,880.0,876.0,20000.0,1387-10-23
2009-01-13,8,0,21,1,359976,0,259976,100000,319055897,0,228755897,90300000,886.3254689201502,879.9115956857556,,903.0,100000.0,1387-10-24
2009-01-14,9,0,8,2,306741,0,156741,150000,279667792,0,142867792,136800000,911.7391936519734,911.4896038688026,,912.0,150000.0,1387-10-25
2009-01-17,9,0,11,0,323543,0,323543,0,302512705,0,302512705,0,935.0,935.0,,,0.0,1387-10-28
2009-01-18,8,0,11,0,59358,0,59358,0,55886907,0,55886907,0,941.5227433538864,941.5227433538864,,,0.0,1387-10-29
2009-01-19,9,0,6,1,105197,0,55197,50000,98090012,0,52128152,45961860,932.441153264827,944.401905900683,,919.2372,50000.0,1387-10-30
2009-01-20,2,0,2,0,3000,0,3000,0,2814000,0,2814000,0,938.0,938.0,,,0.0,1387-11-01
2009-01-21,7,0,15,0,100937,0,100937,0,95751002,0,95751002,0,948.621437134054,948.621437134054,,,0.0,1387-11-02
2009-01-24,7,0,3,0,50823,0,50823,0,48134996,0,48134996,0,947.1104814749228,947.1104814749228,,,0.0,1387-11-05
2009-01-25,7,0,5,0,67811,0,67811,0,62187453,0,62187453,0,917.0702835823096,917.0702835823096,,,0.0,1387-11-06
2009-01-26,2,0,2,0,10235,0,10235,0,9283145,0,9283145,0,907.0,907.0,,,0.0,1387-11-07
2009-01-27,5,0,13,2,132637,0,118637,14000,123240710,0,110216710,13024000,929.1578518814508,929.0247561890473,,930.2857142857144,14000.0,1387-11-08
2009-01-28,7,0,2,0,83000,0,83000,0,75264920,0,75264920,0,906.806265060241,906.806265060241,,,0.0,1387-11-09
2009-01-31,7,0,5,0,83134,0,83134,0,74946521,0,74946521,0,901.514675102846,901.514675102846,,,0.0,1387-11-12
2009-02-01,2,1,7,0,38333,50000,88333,0,34277767,44650000,78927767,0,894.2103931338534,893.5252623594806,893.0,,-50000.0,1387-11-13
2009-02-02,1,0,1,0,3363,0,3363,0,2982981,0,2982981,0,887.0,887.0,,,0.0,1387-11-14
