date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-01-05,1,0,1,0,3000,0,3000,0,600000,0,600000,0,200.0,200.0,,,0.0,1392-10-15
2014-01-29,1,0,1,0,50000,0,50000,0,20000000,0,20000000,0,400.0,400.0,,,0.0,1392-11-09
2014-02-05,1,0,1,0,10000,0,10000,0,5030000,0,5030000,0,503.0,503.0,,,0.0,1392-11-16
2014-02-17,2,0,1,0,72900,0,72900,0,36463200,0,36463200,0,500.1810699588477,500.1810699588477,,,0.0,1392-11-28
2014-02-23,1,0,1,0,10000,0,10000,0,5020000,0,5020000,0,502.0,502.0,,,0.0,1392-12-04
2014-02-26,1,0,1,0,10000,0,10000,0,5020000,0,5020000,0,502.0,502.0,,,0.0,1392-12-07
2014-03-02,1,0,1,0,23000,0,23000,0,11500000,0,11500000,0,500.0,500.0,,,0.0,1392-12-11
2014-03-09,1,0,1,0,13200,0,13200,0,7920000,0,7920000,0,600.0,600.0,,,0.0,1392-12-18
2014-04-06,2,0,1,1,11036,0,10000,1036,5539036,0,5018964,520072,501.9061254077564,501.8964,,502.0,1036.0,1393-01-17
2014-04-13,1,0,1,0,1665,0,1665,0,839160,0,839160,0,504.0,504.0,,,0.0,1393-01-24
2014-04-16,1,0,1,0,24400,0,24400,0,12297600,0,12297600,0,504.0,504.0,,,0.0,1393-01-27
2014-05-25,1,0,1,0,20706,0,20706,0,13044780,0,13044780,0,630.0,630.0,,,0.0,1393-03-04
2014-05-26,1,0,1,0,6900,0,6900,0,4347000,0,4347000,0,630.0,630.0,,,0.0,1393-03-05
2014-06-01,1,0,1,0,1036,0,1036,0,657860,0,657860,0,635.0,635.0,,,0.0,1393-03-11
2014-07-16,4,0,9,0,129738,0,129738,0,80984260,0,80984260,0,624.2138771986619,624.2138771986619,,,0.0,1393-04-25
2014-07-20,1,0,1,0,110,0,110,0,66110,0,66110,0,601.0,601.0,,,0.0,1393-04-29
2014-08-02,1,0,1,0,1417,0,1417,0,977730,0,977730,0,690.0,690.0,,,0.0,1393-05-11
2014-08-09,1,0,5,0,3600,0,3600,0,2174400,0,2174400,0,604.0,604.0,,,0.0,1393-05-18
2014-08-10,1,0,1,0,200,0,200,0,121400,0,121400,0,607.0,607.0,,,0.0,1393-05-19
2014-08-11,1,0,1,1,10000,0,396,9604,6996040,0,273240,6722800,699.604,690.0,,700.0,9604.0,1393-05-20
2014-08-17,2,0,6,0,5058,0,5058,0,3485520,0,3485520,0,689.1103202846975,689.1103202846975,,,0.0,1393-05-26
2014-08-31,1,0,1,0,9716,0,9716,0,6694324,0,6694324,0,689.0,689.0,,,0.0,1393-06-09
2014-09-10,2,0,2,0,2080,0,2080,0,1421040,0,1421040,0,683.1923076923077,683.1923076923077,,,0.0,1393-06-19
2014-09-13,1,0,1,0,1690,0,1690,0,1029210,0,1029210,0,609.0,609.0,,,0.0,1393-06-22
2014-09-16,1,0,2,0,483,0,483,0,294147,0,294147,0,609.0,609.0,,,0.0,1393-06-25
2014-09-17,1,0,3,0,644,0,644,0,392196,0,392196,0,609.0,609.0,,,0.0,1393-06-26
2014-10-07,2,0,4,0,43986,0,43986,0,30840200,0,30840200,0,701.1367253216932,701.1367253216932,,,0.0,1393-07-15
2014-10-08,2,0,2,0,24449,0,24449,0,19086540,0,19086540,0,780.6675119636795,780.6675119636795,,,0.0,1393-07-16
2014-10-11,3,0,1,0,43986,0,43986,0,43986000,0,43986000,0,1000.0,1000.0,,,0.0,1393-07-19
2014-10-12,6,0,6,0,74913,0,74913,0,92990770,0,92990770,0,1241.316860891968,1241.316860891968,,,0.0,1393-07-20
2014-10-15,1,0,2,0,20000,0,20000,0,22220000,0,22220000,0,1111.0,1111.0,,,0.0,1393-07-23
2014-10-20,1,0,1,0,500,0,500,0,550000,0,550000,0,1100.0,1100.0,,,0.0,1393-07-28
2014-10-25,1,0,1,0,14216,0,14216,0,15637600,0,15637600,0,1100.0,1100.0,,,0.0,1393-08-03
2014-10-28,1,0,1,0,283,0,283,0,311300,0,311300,0,1100.0,1100.0,,,0.0,1393-08-06
2014-11-05,2,0,1,0,1813,0,1813,0,1992704,0,1992704,0,1099.1196911196912,1099.1196911196912,,,0.0,1393-08-14
2014-11-08,2,0,3,0,31543,0,31543,0,31539250,0,31539250,0,999.8811146688648,999.8811146688648,,,0.0,1393-08-17
2014-11-10,1,0,2,0,20846,0,20846,0,20012300,0,20012300,0,960.0067159167228,960.0067159167228,,,0.0,1393-08-19
2014-11-12,2,0,2,0,20100,0,20100,0,19920000,0,19920000,0,991.044776119403,991.044776119403,,,0.0,1393-08-21
2014-11-16,1,0,1,0,37063,0,37063,0,36692370,0,36692370,0,990.0,990.0,,,0.0,1393-08-25
2014-11-17,1,0,4,0,4751,0,4751,0,4499197,0,4499197,0,947.0,947.0,,,0.0,1393-08-26
2014-11-22,2,0,1,0,100,0,100,0,99000,0,99000,0,990.0,990.0,,,0.0,1393-09-01
2014-11-23,1,0,1,0,1620,0,1620,0,1620000,0,1620000,0,1000.0,1000.0,,,0.0,1393-09-02
2014-12-01,1,0,1,0,383,0,383,0,363084,0,363084,0,948.0,948.0,,,0.0,1393-09-10
2014-12-02,1,0,2,0,69772,0,69772,0,66143856,0,66143856,0,948.0,948.0,,,0.0,1393-09-11
2014-12-03,1,0,1,0,889,0,889,0,977900,0,977900,0,1100.0,1100.0,,,0.0,1393-09-12
2014-12-08,1,0,1,0,4000,0,4000,0,3792000,0,3792000,0,948.0,948.0,,,0.0,1393-09-17
2014-12-09,1,0,1,0,2558,0,2558,0,2424984,0,2424984,0,948.0,948.0,,,0.0,1393-09-18
2014-12-15,1,0,2,0,3980,0,3980,0,3625780,0,3625780,0,911.0,911.0,,,0.0,1393-09-24
2014-12-22,1,0,7,0,238,0,238,0,216818,0,216818,0,911.0,911.0,,,0.0,1393-10-01
2014-12-28,1,0,1,0,5510,0,5510,0,5510000,0,5510000,0,1000.0,1000.0,,,0.0,1393-10-07
2014-12-29,1,0,1,0,643,0,643,0,585773,0,585773,0,911.0,911.0,,,0.0,1393-10-08
2015-01-03,1,0,2,0,5538,0,5538,0,5045118,0,5045118,0,911.0,911.0,,,0.0,1393-10-13
2015-01-04,1,0,1,0,412,0,412,0,375332,0,375332,0,911.0,911.0,,,0.0,1393-10-14
2015-01-05,1,0,1,0,20,0,20,0,18220,0,18220,0,911.0,911.0,,,0.0,1393-10-15
2015-01-12,1,0,1,0,29490,0,29490,0,29490000,0,29490000,0,1000.0,1000.0,,,0.0,1393-10-22
2015-02-03,1,0,1,0,2625,0,2625,0,2625000,0,2625000,0,1000.0,1000.0,,,0.0,1393-11-14
2015-02-14,1,0,0,1,44256,0,0,44256,44256000,0,0,44256000,1000.0,,,1000.0,44256.0,1393-11-25
2015-02-18,1,0,1,0,774,0,774,0,705888,0,705888,0,912.0,912.0,,,0.0,1393-11-29
2015-02-21,2,0,1,0,13200,0,13200,0,11506426,0,11506426,0,871.6989393939394,871.6989393939394,,,0.0,1393-12-02
2015-03-03,1,0,1,0,1000,0,1000,0,871000,0,871000,0,871.0,871.0,,,0.0,1393-12-12
2015-03-11,1,0,1,0,3500,0,3500,0,3048500,0,3048500,0,871.0,871.0,,,0.0,1393-12-20
2015-04-06,1,0,1,0,4000,0,4000,0,4160000,0,4160000,0,1040.0,1040.0,,,0.0,1394-01-17
2015-04-27,1,0,2,0,29765,0,29765,0,25895550,0,25895550,0,870.0,870.0,,,0.0,1394-02-07
2015-05-11,2,0,1,0,2217,0,2217,0,1871430,0,1871430,0,844.127198917456,844.127198917456,,,0.0,1394-02-21
2015-05-17,1,0,1,0,2000,0,2000,0,1580000,0,1580000,0,790.0,790.0,,,0.0,1394-02-27
2015-05-18,1,0,1,0,1500,0,1500,0,1185000,0,1185000,0,790.0,790.0,,,0.0,1394-02-28
2015-05-19,1,0,1,0,2000,0,2000,0,1580000,0,1580000,0,790.0,790.0,,,0.0,1394-02-29
2015-05-20,2,0,2,0,20961,0,20961,0,16530588,0,16530588,0,788.6354658651782,788.6354658651782,,,0.0,1394-02-30
2015-05-23,1,0,1,0,55,0,55,0,42955,0,42955,0,781.0,781.0,,,0.0,1394-03-02
2015-05-25,1,0,1,0,1596,0,1596,0,1248072,0,1248072,0,782.0,782.0,,,0.0,1394-03-04
2015-05-26,1,0,1,0,1300,0,1300,0,1168700,0,1168700,0,899.0,899.0,,,0.0,1394-03-05
2015-05-31,1,0,1,0,238,0,238,0,185878,0,185878,0,781.0,781.0,,,0.0,1394-03-10
2015-06-24,1,0,1,0,6529,0,6529,0,5099149,0,5099149,0,781.0,781.0,,,0.0,1394-04-03
2015-08-16,1,0,1,0,330,0,330,0,244200,0,244200,0,740.0,740.0,,,0.0,1394-05-25
2015-08-17,1,0,2,0,1400,0,1400,0,988000,0,988000,0,705.7142857142857,705.7142857142857,,,0.0,1394-05-26
2015-08-24,2,0,1,0,36462,0,36462,0,23183370,0,23183370,0,635.8227743952608,635.8227743952608,,,0.0,1394-06-02
2015-09-05,1,0,1,0,391,0,391,0,246330,0,246330,0,630.0,630.0,,,0.0,1394-06-14
2015-09-13,2,0,2,0,10451,0,10451,0,6534130,0,6534130,0,625.2157688259497,625.2157688259497,,,0.0,1394-06-22
2015-09-21,1,0,1,0,136,0,136,0,85816,0,85816,0,631.0,631.0,,,0.0,1394-06-30
2015-09-22,1,0,2,0,6300,0,6300,0,3975300,0,3975300,0,631.0,631.0,,,0.0,1394-06-31
2015-10-21,1,0,1,0,383,0,383,0,248950,0,248950,0,650.0,650.0,,,0.0,1394-07-29
2015-10-26,1,0,1,0,1575,0,1575,0,1025325,0,1025325,0,651.0,651.0,,,0.0,1394-08-04
2015-10-28,1,0,2,0,1890,0,1890,0,1230390,0,1230390,0,651.0,651.0,,,0.0,1394-08-06
2015-11-09,1,0,1,0,109,0,109,0,71068,0,71068,0,652.0,652.0,,,0.0,1394-08-18
2015-12-06,1,0,2,0,14445,0,14445,0,10111500,0,10111500,0,700.0,700.0,,,0.0,1394-09-15
