date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-01-05,1,0,1,0,399998,0,399998,0,635196824,0,635196824,0,1588.0,1588.0,,,0.0,1387-10-16
2009-04-21,0,1,1,1,0,15218,15038,180,0,23450938,23173558,277380,,1541.0,1541.0,1541.0,-15038.0,1388-02-01
2009-06-30,2,1,7,1,1200120,7269,1204889,2500,1849050546,11201529,1856514575,3737500,1540.721382861714,1540.817930116384,1541.0,1495.0,-4769.0,1388-04-09
2009-07-05,1,0,1,0,200,0,200,0,299000,0,299000,0,1495.0,1495.0,,,0.0,1388-04-14
2009-07-11,1,0,3,0,765,0,765,0,1142917,0,1142917,0,1494.0091503267977,1494.0091503267977,,,0.0,1388-04-20
2009-07-13,0,1,5,0,0,785938,785938,0,0,1241635607,1241635607,0,,1579.8136837765828,1579.8136837765828,,-785938.0,1388-04-22
2009-07-28,0,1,1,0,0,451147,451147,0,0,563933750,563933750,0,,1250.0,1250.0,,-451147.0,1388-05-06
2009-08-02,1,0,1,0,50,0,50,0,62500,0,62500,0,1250.0,1250.0,,,0.0,1388-05-11
2010-04-12,1,0,1,0,4720,0,4720,0,5078720,0,5078720,0,1076.0,1076.0,,,0.0,1389-01-23
2010-04-13,1,0,1,0,4728,0,4728,0,4954944,0,4954944,0,1048.0,1048.0,,,0.0,1389-01-24
2010-04-14,2,0,1,0,4939,0,4939,0,5185950,0,5185950,0,1050.0,1050.0,,,0.0,1389-01-25
2010-04-24,1,0,1,1,2366,0,1966,400,2569476,0,2135076,434400,1086.0,1086.0,,1086.0,400.0,1389-02-04
2010-04-28,1,0,2,0,6664,0,6664,0,7270424,0,7270424,0,1091.0,1091.0,,,0.0,1389-02-08
2010-05-09,1,0,1,0,124,0,124,0,137268,0,137268,0,1107.0,1107.0,,,0.0,1389-02-19
2010-05-10,1,0,1,0,3196,0,3196,0,3537972,0,3537972,0,1107.0,1107.0,,,0.0,1389-02-20
2010-05-19,2,0,1,0,1306,0,1306,0,1454884,0,1454884,0,1114.0,1114.0,,,0.0,1389-02-29
2010-06-01,2,0,1,0,26720,0,26720,0,29846240,0,29846240,0,1117.0,1117.0,,,0.0,1389-03-11
2010-06-06,1,0,1,0,10000,0,10000,0,11560000,0,11560000,0,1156.0,1156.0,,,0.0,1389-03-16
2010-06-07,1,0,1,0,2354,0,2354,0,2777720,0,2777720,0,1180.0,1180.0,,,0.0,1389-03-17
2010-06-12,1,0,1,0,13180,0,13180,0,15644660,0,15644660,0,1187.0,1187.0,,,0.0,1389-03-22
2010-06-19,1,0,1,0,10000,0,10000,0,12210000,0,12210000,0,1221.0,1221.0,,,0.0,1389-03-29
2010-06-23,3,0,1,0,16000,0,16000,0,19968000,0,19968000,0,1248.0,1248.0,,,0.0,1389-04-02
2010-06-28,0,1,1,0,0,3324,3324,0,0,4311228,4311228,0,,1297.0,1297.0,,-3324.0,1389-04-07
2010-06-29,1,0,1,0,25534,0,25534,0,33398472,0,33398472,0,1308.0,1308.0,,,0.0,1389-04-08
2010-06-30,1,0,1,0,5534,0,5534,0,7526240,0,7526240,0,1360.0,1360.0,,,0.0,1389-04-09
2010-07-06,1,0,0,1,3324,0,0,3324,4583796,0,0,4583796,1379.0,,,1379.0,3324.0,1389-04-15
2010-07-07,1,0,1,0,5534,0,5534,0,7692260,0,7692260,0,1390.0,1390.0,,,0.0,1389-04-16
2010-07-24,1,0,2,0,3348,0,3348,0,4680504,0,4680504,0,1398.0,1398.0,,,0.0,1389-05-02
2010-07-25,1,0,3,0,6078,0,6078,0,8569980,0,8569980,0,1410.0,1410.0,,,0.0,1389-05-03
2010-07-26,1,0,2,0,2868,0,2868,0,4106976,0,4106976,0,1432.0,1432.0,,,0.0,1389-05-04
2010-07-28,1,0,1,0,50,0,50,0,72100,0,72100,0,1442.0,1442.0,,,0.0,1389-05-06
2010-07-31,2,0,1,0,16000,0,16000,0,23072000,0,23072000,0,1442.0,1442.0,,,0.0,1389-05-09
2010-08-01,1,0,3,0,8220,0,8220,0,12321780,0,12321780,0,1499.0,1499.0,,,0.0,1389-05-10
2010-08-02,2,0,4,0,19998,0,19998,0,30576942,0,30576942,0,1529.0,1529.0,,,0.0,1389-05-11
2010-08-03,1,0,2,0,5000,0,5000,0,7950000,0,7950000,0,1590.0,1590.0,,,0.0,1389-05-12
2010-08-04,3,0,3,0,11614,0,11614,0,18686926,0,18686926,0,1609.0,1609.0,,,0.0,1389-05-13
2010-08-07,1,0,1,0,50,0,50,0,82750,0,82750,0,1655.0,1655.0,,,0.0,1389-05-16
2010-08-08,1,0,1,0,4738,0,4738,0,7841390,0,7841390,0,1655.0,1655.0,,,0.0,1389-05-17
2010-08-11,1,0,2,0,10231,0,10231,0,17136925,0,17136925,0,1675.0,1675.0,,,0.0,1389-05-20
2010-08-14,2,0,6,0,32520,0,32520,0,55869360,0,55869360,0,1718.0,1718.0,,,0.0,1389-05-23
2010-08-15,1,0,1,0,50,0,50,0,89300,0,89300,0,1786.0,1786.0,,,0.0,1389-05-24
2010-08-16,1,0,1,0,4500,0,4500,0,8037000,0,8037000,0,1786.0,1786.0,,,0.0,1389-05-25
2010-09-06,9,0,7,0,79067,0,79067,0,169900070,0,169900070,0,2148.811387810338,2148.811387810338,,,0.0,1389-06-15
2010-09-07,6,0,4,0,45296,0,45296,0,101132424,0,101132424,0,2232.7009890498057,2232.7009890498057,,,0.0,1389-06-16
2010-09-08,3,0,2,0,27230,0,27230,0,62511778,0,62511778,0,2295.695115681234,2295.695115681234,,,0.0,1389-06-17
2010-09-12,2,0,1,0,10000,0,10000,0,23870000,0,23870000,0,2387.0,2387.0,,,0.0,1389-06-21
2010-09-13,1,0,1,0,4737,0,4737,0,11591439,0,11591439,0,2447.0,2447.0,,,0.0,1389-06-22
2010-09-14,1,0,1,0,918,0,918,0,2272968,0,2272968,0,2476.0,2476.0,,,0.0,1389-06-23
2010-09-19,1,0,1,0,5000,0,5000,0,12405000,0,12405000,0,2481.0,2481.0,,,0.0,1389-06-28
2010-09-20,2,0,2,0,15853,0,15853,0,39822736,0,39822736,0,2512.0,2512.0,,,0.0,1389-06-29
2010-09-21,2,0,2,0,15765,0,15765,0,41162415,0,41162415,0,2611.0,2611.0,,,0.0,1389-06-30
2010-09-22,2,0,2,0,15500,0,15500,0,42067000,0,42067000,0,2714.0,2714.0,,,0.0,1389-06-31
2010-09-25,15,0,5,0,133851,0,133851,0,377325969,0,377325969,0,2819.0,2819.0,,,0.0,1389-07-03
2010-09-26,4,0,3,0,15270,0,15270,0,41335890,0,41335890,0,2707.0,2707.0,,,0.0,1389-07-04
2010-09-27,2,0,1,0,682,0,682,0,1775928,0,1775928,0,2604.0,2604.0,,,0.0,1389-07-05
2010-10-10,2,0,1,0,1004,0,1004,0,2609396,0,2609396,0,2599.0,2599.0,,,0.0,1389-07-18
2010-10-30,1,0,1,0,1147,0,1147,0,2973024,0,2973024,0,2592.0,2592.0,,,0.0,1389-08-08
2010-11-03,1,0,1,0,500,0,500,0,1292500,0,1292500,0,2585.0,2585.0,,,0.0,1389-08-12
2010-11-08,1,0,1,0,4805,0,4805,0,11926010,0,11926010,0,2482.0,2482.0,,,0.0,1389-08-17
2010-12-01,1,0,1,0,509,0,509,0,1212947,0,1212947,0,2383.0,2383.0,,,0.0,1389-09-10
2010-12-07,0,2,22,0,0,134057,134057,0,0,309780788,309780788,0,,2310.81396719306,2310.81396719306,,-134057.0,1389-09-16
2010-12-08,1,1,11,0,20000,97242,117242,0,44380000,215779998,260159998,0,2219.0,2219.0,2219.0,,-97242.0,1389-09-17
2010-12-12,1,1,1,0,2000,1000,3000,0,4262000,2131000,6393000,0,2131.0,2131.0,2131.0,,-1000.0,1389-09-21
2010-12-13,1,0,1,0,1000,0,1000,0,2114000,0,2114000,0,2114.0,2114.0,,,0.0,1389-09-22
2010-12-14,0,1,3,0,0,11512,11512,0,0,25326400,25326400,0,,2200.0,2200.0,,-11512.0,1389-09-23
2010-12-25,0,1,2,0,0,24434,24434,0,0,51604608,51604608,0,,2112.0,2112.0,,-24434.0,1389-10-04
2010-12-26,2,1,3,0,1148,10000,11148,0,2383624,20280000,22663624,0,2076.3275261324043,2032.9766774309292,2028.0,,-10000.0,1389-10-05
2010-12-29,2,0,1,0,1000,0,1000,0,2134870,0,2134870,0,2134.87,2134.87,,,0.0,1389-10-08
2011-01-01,2,0,1,0,2200,0,2200,0,4712185,0,4712185,0,2141.9022727272727,2141.9022727272727,,,0.0,1389-10-11
2011-01-02,2,0,2,0,2194,0,2194,0,4670870,0,4670870,0,2128.928896991796,2128.928896991796,,,0.0,1389-10-12
2011-01-03,2,0,2,0,8220,0,8220,0,17788080,0,17788080,0,2164.0,2164.0,,,0.0,1389-10-13
2011-01-04,2,0,3,0,3244,0,3244,0,7162752,0,7162752,0,2208.0,2208.0,,,0.0,1389-10-14
2011-01-05,2,0,3,0,7686,0,7686,0,17109036,0,17109036,0,2226.0,2226.0,,,0.0,1389-10-15
2011-01-08,5,0,3,0,19982,0,19982,0,45339158,0,45339158,0,2269.0,2269.0,,,0.0,1389-10-18
2011-01-09,1,0,1,0,1154,0,1154,0,2722286,0,2722286,0,2359.0,2359.0,,,0.0,1389-10-19
2011-01-10,5,0,4,0,30528,0,30528,0,72002063,0,72002063,0,2358.558143343816,2358.558143343816,,,0.0,1389-10-20
2011-01-11,2,0,2,0,6651,0,6651,0,16312307,0,16312307,0,2452.609682754473,2452.609682754473,,,0.0,1389-10-21
2011-01-12,9,0,3,0,165004,0,165004,0,410769848,0,410769848,0,2489.453879905941,2489.453879905941,,,0.0,1389-10-22
2011-01-15,2,0,3,0,4998,0,4998,0,12151014,0,12151014,0,2431.175270108043,2431.175270108043,,,0.0,1389-10-25
2011-01-16,3,0,3,0,9583,0,9583,0,24439190,0,24439190,0,2550.2650526974853,2550.2650526974853,,,0.0,1389-10-26
2011-01-18,2,0,1,0,1277,0,1277,0,3087786,0,3087786,0,2418.0,2418.0,,,0.0,1389-10-28
2011-01-22,1,1,1,0,4000,50000,54000,0,9600000,123500000,133100000,0,2400.0,2464.814814814815,2470.0,,-50000.0,1389-11-02
2011-02-07,1,0,4,0,5000,0,5000,0,11835000,0,11835000,0,2367.0,2367.0,,,0.0,1389-11-18
2011-03-19,1,0,3,0,4000,0,4000,0,9348000,0,9348000,0,2337.0,2337.0,,,0.0,1389-12-28
2011-03-26,2,0,16,0,129646,0,129646,0,300706612,0,300706612,0,2319.443808524752,2319.443808524752,,,0.0,1390-01-06
2011-03-27,3,0,9,0,47405,0,47405,0,113968667,0,113968667,0,2404.148655205147,2404.148655205147,,,0.0,1390-01-07
2011-03-28,3,0,0,1,50000,0,0,50000,125000000,0,0,125000000,2500.0,,,2500.0,50000.0,1390-01-08
2011-03-29,2,0,4,0,10390,0,10390,0,27009760,0,27009760,0,2599.591915303176,2599.591915303176,,,0.0,1390-01-09
2011-03-30,2,0,1,0,20004,0,20004,0,53350668,0,53350668,0,2667.0,2667.0,,,0.0,1390-01-10
2011-04-03,4,0,5,0,34827,0,34827,0,91738708,0,91738708,0,2634.126051626612,2634.126051626612,,,0.0,1390-01-14
2011-04-04,6,0,1,0,37414,0,37414,0,102366946,0,102366946,0,2736.059924092586,2736.059924092586,,,0.0,1390-01-15
2011-04-05,5,0,2,0,12982,0,12982,0,34127660,0,34127660,0,2628.8445539978434,2628.8445539978434,,,0.0,1390-01-16
2011-04-06,5,0,3,0,11775,0,11775,0,30523819,0,30523819,0,2592.256390658174,2592.256390658174,,,0.0,1390-01-17
2011-04-09,1,0,1,0,1000,0,1000,0,2504000,0,2504000,0,2504.0,2504.0,,,0.0,1390-01-20
2011-04-10,1,0,2,0,5000,0,5000,0,13005000,0,13005000,0,2601.0,2601.0,,,0.0,1390-01-21
2011-04-11,4,0,2,0,6944,0,6944,0,17498880,0,17498880,0,2520.0,2520.0,,,0.0,1390-01-22
2011-04-12,4,0,2,0,6831,0,6831,0,16831584,0,16831584,0,2464.0,2464.0,,,0.0,1390-01-23
2011-04-13,1,0,2,0,4178,0,4178,0,10294592,0,10294592,0,2464.0,2464.0,,,0.0,1390-01-24
2011-04-16,1,0,1,0,3810,0,3810,0,9928860,0,9928860,0,2606.0,2606.0,,,0.0,1390-01-27
2011-04-23,2,0,1,0,2409,0,2409,0,5853870,0,5853870,0,2430.0,2430.0,,,0.0,1390-02-03
2011-04-25,1,0,1,0,1000,0,1000,0,2416000,0,2416000,0,2416.0,2416.0,,,0.0,1390-02-05
2011-04-26,3,0,8,0,137529,0,137529,0,331572093,0,331572093,0,2410.9249176537314,2410.9249176537314,,,0.0,1390-02-06
