date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,1,2,4,1,3970,3350,7310,10,11949700,10067660,21986400,30960,3010.0,3007.7154582763337,3005.2716417910447,3096.0,-3340.0,1387-09-06
2008-11-29,1,2,4,1,500,29485,29975,10,1502500,88633690,90105280,30910,3005.0,3006.01434528774,3006.060369679498,3091.0,-29475.0,1387-09-09
2008-11-30,2,2,11,1,7977,36499,44466,10,23948910,109497830,133415910,30830,3002.2452049642725,3000.402779651869,3000.0227403490508,3083.0,-36489.0,1387-09-10
2008-12-01,1,2,10,2,6030,165018,56038,115010,18090000,493569448,167663928,343995520,3000.0,2991.9684499803707,2991.003696566436,2991.0053038866185,-50008.0,1387-09-11
2008-12-02,0,2,6,1,0,126800,126790,10,0,375455480,375425190,30290,,2961.0,2961.0053627760253,3029.0,-126790.0,1387-09-12
2008-12-03,1,4,9,2,377,62303,22670,40010,1112150,183172200,66650400,117633950,2950.0,2940.0264666960743,2940.022149816221,2940.113721569608,-22293.0,1387-09-13
2008-12-07,0,1,5,0,0,15000,15000,0,0,45000000,45000000,0,,3000.0,3000.0,,-15000.0,1387-09-17
2008-12-08,0,1,8,0,0,21395,21395,0,0,62623165,62623165,0,,2927.0,2927.0,,-21395.0,1387-09-18
2008-12-10,0,1,3,0,0,8950,8950,0,0,26699850,26699850,0,,2983.223463687151,2983.223463687151,,-8950.0,1387-09-20
2008-12-13,6,1,5,0,6624,2726,9350,0,19872000,8115066,27987066,0,3000.0,2993.269090909091,2976.9134262655907,,-2726.0,1387-09-23
2008-12-14,0,1,7,0,0,24120,24120,0,0,71798700,71798700,0,,2976.728855721393,2976.728855721393,,-24120.0,1387-09-24
2008-12-15,3,1,2,1,20400,30700,1100,50000,60968800,91316000,3247000,149037800,2988.6666666666665,2951.818181818182,2974.462540716612,2980.756,19300.0,1387-09-25
2008-12-16,2,1,6,0,10664,17736,28400,0,31885360,52968752,84854112,0,2990.0,2987.8208450704224,2986.510599909788,,-17736.0,1387-09-26
2008-12-20,0,1,1,0,0,1756,1756,0,0,5239904,5239904,0,,2984.0,2984.0,,-1756.0,1387-09-30
2008-12-21,2,1,5,1,5265,42408,27673,20000,16189200,130470594,84999794,61660000,3074.871794871795,3071.578578397716,3076.556168647425,3083.0,-22408.0,1387-10-01
