date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,7,1,10,2,97717,10,91477,6250,132897651,13600,124423731,8487520,1360.0259013273023,1360.1640958929568,1360.0,1358.0032,6240.0,1387-09-06
2008-11-29,2,1,7,1,13204,10,13204,10,17595220,13500,17595220,13500,1332.5674038170253,1332.5674038170253,1350.0,1350.0,0.0,1387-09-09
2008-11-30,1,1,2,1,1821,10,1821,10,2385510,13480,2385510,13480,1310.0,1310.0,1348.0,1348.0,0.0,1387-09-10
2008-12-01,2,1,4,1,18808,10,18808,10,24610864,13280,24610864,13280,1308.5316886431306,1308.5316886431306,1328.0,1328.0,0.0,1387-09-11
2008-12-02,2,1,3,1,5600,10,5600,10,7218400,13220,7218400,13220,1289.0,1289.0,1322.0,1322.0,0.0,1387-09-12
2008-12-10,4,0,7,0,85089,0,85089,0,109169187,0,109169187,0,1283.0,1283.0,,,0.0,1387-09-20
2008-12-13,2,0,3,0,30000,0,30000,0,38850000,0,38850000,0,1295.0,1295.0,,,0.0,1387-09-23
2008-12-28,1,0,2,0,7537,0,7537,0,9451398,0,9451398,0,1254.0,1254.0,,,0.0,1387-10-08
2009-01-18,3,2,12,1,45000,2065676,130413,1980263,56512770,2591751076,163033781,2485230065,1255.8393333333331,1250.134426782606,1254.6745355999683,1255.0,-85413.0,1387-10-29
2009-01-19,3,1,2,0,10913,10000,20913,0,14099596,12920000,27019596,0,1292.0,1292.0,1292.0,,-10000.0,1387-10-30
2009-01-20,14,0,6,0,183840,0,183840,0,241381920,0,241381920,0,1313.0,1313.0,,,0.0,1387-11-01
2009-01-27,2,0,2,0,2843,0,2843,0,3621982,0,3621982,0,1274.0,1274.0,,,0.0,1387-11-08
2009-01-28,1,0,1,0,1000,0,1000,0,1271000,0,1271000,0,1271.0,1271.0,,,0.0,1387-11-09
2009-01-31,1,0,1,0,695,0,695,0,882650,0,882650,0,1270.0,1270.0,,,0.0,1387-11-12
2009-02-01,4,0,2,0,27744,0,27744,0,35207136,0,35207136,0,1269.0,1269.0,,,0.0,1387-11-13
2009-02-03,2,0,1,0,12200,0,12200,0,15152400,0,15152400,0,1242.0,1242.0,,,0.0,1387-11-15
2009-02-07,1,0,3,0,40000,0,40000,0,49200000,0,49200000,0,1230.0,1230.0,,,0.0,1387-11-19
2009-02-08,2,0,2,0,21910,0,21910,0,26160540,0,26160540,0,1194.0,1194.0,,,0.0,1387-11-20
2009-02-11,2,0,0,1,2114,0,0,2114,2479722,0,0,2479722,1173.0,,,1173.0,2114.0,1387-11-23
2009-02-23,11,1,7,1,152114,50000,52114,150000,152113107,50000000,52113107,150000000,999.9941294029478,999.9828644893888,1000.0,1000.0,100000.0,1387-12-05
2009-02-25,1,0,1,0,100,0,100,0,100000,0,100000,0,1000.0,1000.0,,,0.0,1387-12-07
2009-02-28,6,0,7,1,20669,0,12306,8363,21115164,0,12501274,8613890,1021.5861434999274,1015.8681943767268,,1030.0,8363.0,1387-12-10
2009-03-01,3,0,1,1,7839,0,4772,3067,7841126,0,4774126,3067000,1000.2712080622528,1000.4455155071248,,1000.0,3067.0,1387-12-11
2009-03-02,3,0,2,1,11682,0,690,10992,11479844,0,705700,10774144,982.6950864577984,1022.7536231884058,,980.1804949053858,10992.0,1387-12-12
2009-03-03,3,0,3,1,26728,0,5303,21425,26193440,0,5196940,20996500,980.0,980.0,,980.0,21425.0,1387-12-13
2009-03-04,4,0,1,3,33339,0,1000,32339,33838636,0,990000,32848636,1014.9865322895108,990.0,,1015.7591762268468,32339.0,1387-12-14
2009-03-07,5,0,3,1,53295,0,23295,30000,55440095,0,24240095,31200000,1040.2494605497702,1040.5707233311869,,1040.0,30000.0,1387-12-17
2009-03-10,1,0,3,0,15000,0,15000,0,16041020,0,16041020,0,1069.4013333333332,1069.4013333333332,,,0.0,1387-12-20
2009-03-11,4,0,3,0,18355,0,18355,0,19454110,0,19454110,0,1059.8806864614546,1059.8806864614546,,,0.0,1387-12-21
2009-03-14,7,0,3,0,94260,0,94260,0,101898200,0,101898200,0,1081.0333121154254,1081.0333121154254,,,0.0,1387-12-24
2009-03-17,2,0,2,0,38400,0,38400,0,42739200,0,42739200,0,1113.0,1113.0,,,0.0,1387-12-27
2009-03-18,9,0,4,0,82879,0,82879,0,94979334,0,94979334,0,1146.0,1146.0,,,0.0,1387-12-28
2009-03-31,3,0,2,0,25000,0,25000,0,29500000,0,29500000,0,1180.0,1180.0,,,0.0,1388-01-11
2009-04-04,1,0,1,0,1000,0,1000,0,1203000,0,1203000,0,1203.0,1203.0,,,0.0,1388-01-15
2009-04-07,1,0,1,0,735,0,735,0,884940,0,884940,0,1204.0,1204.0,,,0.0,1388-01-18
2009-04-11,2,0,1,0,7537,0,7537,0,9082085,0,9082085,0,1205.0,1205.0,,,0.0,1388-01-22
2009-04-12,1,0,1,0,390,0,390,0,472680,0,472680,0,1212.0,1212.0,,,0.0,1388-01-23
2009-04-14,1,0,1,0,5000,0,5000,0,6060000,0,6060000,0,1212.0,1212.0,,,0.0,1388-01-25
2009-04-15,2,0,1,0,5000,0,5000,0,6085000,0,6085000,0,1217.0,1217.0,,,0.0,1388-01-26
2009-04-19,1,0,1,0,10,0,10,0,12220,0,12220,0,1222.0,1222.0,,,0.0,1388-01-30
2009-04-20,1,0,1,1,1500,0,500,1000,1887000,0,629000,1258000,1258.0,1258.0,,1258.0,1000.0,1388-01-31
2009-04-21,1,0,1,0,211,0,211,0,273245,0,273245,0,1295.0,1295.0,,,0.0,1388-02-01
2009-04-26,1,0,2,0,466,0,466,0,603470,0,603470,0,1295.0,1295.0,,,0.0,1388-02-06
2009-04-27,1,0,1,0,100,0,100,0,133300,0,133300,0,1333.0,1333.0,,,0.0,1388-02-07
2009-04-28,2,0,2,0,1520,0,1520,0,2085440,0,2085440,0,1372.0,1372.0,,,0.0,1388-02-08
2009-05-05,96,2,42,4,1947673,478000,695729,1729944,3242449133,787071344,1172696791,2856823686,1664.7810659181496,1685.5654874239826,1646.592769874477,1651.396626711616,1251944.0,1388-02-15
2009-05-06,2,1,2,1,31213,6737,2950,35000,53374230,11520270,5044500,59850000,1710.0,1710.0,1710.0,1710.0,28263.0,1388-02-16
2009-05-09,2,0,0,1,40000,0,0,40000,70400000,0,0,70400000,1760.0,,,1760.0,40000.0,1388-02-19
2009-05-10,5,0,2,1,37798,0,7798,30000,68489976,0,14129976,54360000,1812.0,1812.0,,1812.0,30000.0,1388-02-20
2009-05-11,2,0,1,1,41000,0,1000,40000,76465000,0,1865000,74600000,1865.0,1865.0,,1865.0,40000.0,1388-02-21
2009-05-12,1,0,1,1,40000,0,5000,35000,76800000,0,9600000,67200000,1920.0,1920.0,,1920.0,35000.0,1388-02-22
2009-05-13,37,2,39,0,565244,129803,695047,0,1117203388,256620531,1373823919,0,1976.497562114768,1976.5913945387863,1977.0,,-129803.0,1388-02-23
2009-05-16,0,1,7,0,0,39343,39343,0,0,80102348,80102348,0,,2036.0,2036.0,,-39343.0,1388-02-26
2009-05-17,53,1,36,2,1000325,84500,765825,319000,2097317943,176988203,1605363146,668943000,2096.636536125759,2096.2532510691085,2094.534946745562,2097.0,234500.0,1388-02-27
2009-05-18,8,0,12,0,170627,0,170627,0,367409045,0,367409045,0,2153.287844245049,2153.287844245049,,,0.0,1388-02-28
2009-05-19,3,0,3,0,33110,0,33110,0,73404870,0,73404870,0,2217.0,2217.0,,,0.0,1388-02-29
2009-05-20,2,0,1,1,40000,0,10000,30000,90960000,0,22740000,68220000,2274.0,2274.0,,2274.0,30000.0,1388-02-30
2009-05-23,1,0,1,1,36400,0,1400,35000,85248800,0,3278800,81970000,2342.0,2342.0,,2342.0,35000.0,1388-03-02
2009-05-24,3,0,2,1,40273,0,5273,35000,96977384,0,12697384,84280000,2408.0,2408.0,,2408.0,35000.0,1388-03-03
2009-05-25,0,1,2,0,0,600,600,0,0,1488000,1488000,0,,2480.0,2480.0,,-600.0,1388-03-04
2009-05-26,1,0,0,1,10000,0,0,10000,24810000,0,0,24810000,2481.0,,,2481.0,10000.0,1388-03-05
2009-05-27,2,0,3,0,13221,0,13221,0,33052500,0,33052500,0,2500.0,2500.0,,,0.0,1388-03-06
2009-05-30,2,0,2,0,2380,0,2380,0,6011880,0,6011880,0,2526.0,2526.0,,,0.0,1388-03-09
2009-05-31,1,0,2,0,35045,0,35045,0,88698895,0,88698895,0,2531.0,2531.0,,,0.0,1388-03-10
2009-06-01,1,0,3,0,4285,0,4285,0,11141000,0,11141000,0,2600.0,2600.0,,,0.0,1388-03-11
2009-06-03,2,0,1,0,980,0,980,0,2555840,0,2555840,0,2608.0,2608.0,,,0.0,1388-03-13
2009-06-08,1,0,1,0,1000,0,1000,0,2611000,0,2611000,0,2611.0,2611.0,,,0.0,1388-03-18
2009-06-14,2,0,2,0,15000,0,15000,0,39195000,0,39195000,0,2613.0,2613.0,,,0.0,1388-03-24
2009-06-15,1,0,1,0,1200,0,1200,0,3172800,0,3172800,0,2644.0,2644.0,,,0.0,1388-03-25
2009-06-16,1,0,1,0,3604,0,3604,0,9536184,0,9536184,0,2646.0,2646.0,,,0.0,1388-03-26
2009-06-17,1,0,2,0,20,0,20,0,54500,0,54500,0,2725.0,2725.0,,,0.0,1388-03-27
2009-06-21,1,0,2,0,3372,0,3372,0,9188700,0,9188700,0,2725.0,2725.0,,,0.0,1388-03-31
2009-06-23,1,0,1,1,36800,0,15670,21130,100537600,0,42810440,57727160,2732.0,2732.0,,2732.0,21130.0,1388-04-02
2009-06-28,1,0,1,0,4910,0,4910,0,13797100,0,13797100,0,2810.0,2810.0,,,0.0,1388-04-07
2009-06-29,1,0,1,0,1005,0,1005,0,2835105,0,2835105,0,2821.0,2821.0,,,0.0,1388-04-08
2009-07-01,1,0,0,1,500,0,0,500,1411500,0,0,1411500,2823.0,,,2823.0,500.0,1388-04-10
2009-07-04,1,0,0,1,500,0,0,500,1412000,0,0,1412000,2824.0,,,2824.0,500.0,1388-04-13
2009-07-07,3,0,1,0,10000,0,10000,0,28250000,0,28250000,0,2825.0,2825.0,,,0.0,1388-04-16
2009-07-11,3,0,2,0,31677,0,31677,0,90152742,0,90152742,0,2846.0,2846.0,,,0.0,1388-04-20
2009-07-12,1,0,2,0,6495,0,6495,0,18939420,0,18939420,0,2916.0,2916.0,,,0.0,1388-04-21
2009-07-13,8,1,3,0,29800,3692,33492,0,87343800,10821252,98165052,0,2931.0,2931.0,2931.0,,-3692.0,1388-04-22
2009-07-14,21,1,17,0,174514,87515,262029,0,524763598,263157605,787921203,0,3007.0,3007.0,3007.0,,-87515.0,1388-04-23
2009-07-15,1,0,3,0,27786,0,27786,0,86053242,0,86053242,0,3097.0,3097.0,,,0.0,1388-04-24
2009-07-18,6,0,3,0,14970,0,14970,0,47365080,0,47365080,0,3164.0,3164.0,,,0.0,1388-04-27
2009-07-21,1,0,1,0,200,0,200,0,640200,0,640200,0,3201.0,3201.0,,,0.0,1388-04-30
2009-07-22,16,1,3,0,151450,20000,171450,0,484791450,64020000,548811450,0,3201.0,3201.0,3201.0,,-20000.0,1388-04-31
2009-08-25,119,3,85,7,1852893,402197,1027746,1227344,11938390267,2659253796,6659535124,7938108939,6443.108299831669,6479.748035020326,6611.819073737497,6467.713158658045,825147.0,1388-06-03
2009-08-26,89,2,73,4,1181945,550000,786245,945700,7836201505,3666850000,5201282805,6301768700,6629.920601212409,6615.346113488798,6667.0,6663.6023051707725,395700.0,1388-06-04
2009-08-29,61,1,52,1,387433,673688,991321,69800,2610307875,4552825163,6695335813,467797225,6737.443312779242,6753.953374335861,6758.061837230291,6701.965974212035,-603888.0,1388-06-07
2009-08-30,11,0,11,0,39939,0,39939,0,261583431,0,261583431,0,6549.573875159618,6549.573875159618,,,0.0,1388-06-08
2009-08-31,65,2,68,2,602773,279988,730061,152700,3838733972,1816228432,4661808770,993153634,6368.457067585973,6385.505827595229,6486.808120348015,6503.953071381794,-127288.0,1388-06-09
2009-09-01,45,1,26,1,212334,316689,485536,43487,1344859907,2052549545,3117706644,279702808,6333.700241129542,6421.164741646346,6481.278304582729,6431.871777772668,-273202.0,1388-06-10
2009-09-02,14,1,10,1,78601,311000,99601,290000,490415087,1989050000,624045087,1855420000,6239.298316815308,6265.450015562093,6395.6591639871385,6398.0,-21000.0,1388-06-11
2009-09-05,35,0,37,2,366237,0,294605,71632,2324043674,0,1875488751,448554923,6345.736979060008,6366.113103986694,,6261.9349313156135,71632.0,1388-06-14
2009-09-06,18,0,10,0,58548,0,58548,0,360787834,0,360787834,0,6162.257190681151,6162.257190681151,,,0.0,1388-06-15
2009-09-07,15,0,22,1,174186,0,164186,10000,1041432572,0,981652572,59780000,5978.8534784655485,5978.905460879734,,5978.0,10000.0,1388-06-16
2009-09-08,17,1,15,2,190272,16000,169272,37000,1171461036,98394000,1042009036,227846000,6156.770496972755,6155.82633867385,6149.625,6158.0,21000.0,1388-06-17
2009-09-09,17,0,8,1,94849,0,74849,20000,601342660,0,474542660,126800000,6340.0,6340.0,,6340.0,20000.0,1388-06-18
2009-09-13,44,0,26,0,225917,0,225917,0,1427033858,0,1427033858,0,6316.628930093795,6316.628930093795,,,0.0,1388-06-22
2009-09-14,9,0,12,0,32289,0,32289,0,198063442,0,198063442,0,6134.084115333395,6134.084115333395,,,0.0,1388-06-23
2009-09-15,15,0,12,0,68858,0,68858,0,412314766,0,412314766,0,5987.89924191815,5987.89924191815,,,0.0,1388-06-24
