date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-08-11,231,0,58,1,2742575,0,1742575,1000000,35653475000,0,22653475000,13000000000,13000.0,13000.0,,13000.0,1000000.0,1398-05-20
2019-08-13,383,1,442,4,5165941,662000,3793941,2034000,69603954977,9015740062,50880595039,27739100000,13473.625613803952,13411.013781974996,13618.9426918429,13637.70894788594,1372000.0,1398-05-22
2019-08-14,1741,5,1151,8,16852790,252894,15485309,1620375,244105641109,3601323400,223821075174,23885889335,14484.583330653262,14453.768741327667,14240.446194848437,14740.963872560364,1367481.0,1398-05-23
2019-08-18,778,5,386,3,4488381,1413302,5645197,256486,62250620393,19465028822,78147667248,3567981967,13869.281683751891,13843.213487146684,13772.731392158224,13911.02035588687,-1156816.0,1398-05-27
2019-08-19,1360,6,1084,4,11620755,703801,12086231,238325,157866050960,9429979687,164132678447,3163352200,13584.836007643222,13580.137467751529,13398.644910990464,13273.270533934752,-465476.0,1398-05-28
2019-08-21,295,1,327,2,3204255,8500,2842755,370000,45587901809,118235000,40433026809,5273110000,14227.30145041515,14223.18378087454,13910.0,14251.648648648648,361500.0,1398-05-30
2019-08-24,1304,5,700,4,8769732,784121,9283991,269862,123311079535,10941012951,130451466628,3800625858,14060.986075173108,14051.227174606263,13953.220167550671,14083.590346176936,-514259.0,1398-06-02
2019-08-25,1025,2,426,0,6641844,92000,6733844,0,89663788447,1233720000,90897508447,0,13499.833547279944,13498.606211697212,13410.0,,-92000.0,1398-06-03
2019-08-26,572,2,359,1,3225722,35000,3222676,38046,44624988426,482585000,44578896518,528676908,13834.10858902286,13832.881902493456,13788.142857142857,13895.729064816274,3046.0,1398-06-04
2019-08-27,658,2,351,0,3421097,9705,3430802,0,46626804720,133817000,46760621720,0,13629.196927184468,13629.647446865194,13788.459556929418,,-9705.0,1398-06-05
