date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-14,1,0,1,0,60470,0,60470,0,187517470,0,187517470,0,3101.0,3101.0,,,0.0,1387-09-24
2008-12-15,1,0,1,0,10,0,10,0,31000,0,31000,0,3100.0,3100.0,,,0.0,1387-09-25
2008-12-16,1,0,1,0,470,0,470,0,1457000,0,1457000,0,3100.0,3100.0,,,0.0,1387-09-26
2008-12-28,1,0,1,0,1,0,1,0,3120,0,3120,0,3120.0,3120.0,,,0.0,1387-10-08
2008-12-29,1,1,3,0,400000,7528,407528,0,1245995000,22794784,1268789784,0,3114.9875,3113.380636422528,3028.0,,-7528.0,1387-10-09
2008-12-31,1,0,1,0,1000,0,1000,0,3113000,0,3113000,0,3113.0,3113.0,,,0.0,1387-10-11
2009-01-31,3,0,2,0,7674,0,7674,0,23846619,0,23846619,0,3107.456215793589,3107.456215793589,,,0.0,1387-11-12
2009-02-01,1,0,1,0,1000,0,1000,0,3200000,0,3200000,0,3200.0,3200.0,,,0.0,1387-11-13
2009-02-02,4,0,1,1,33830,0,3830,30000,108289830,0,12259830,96030000,3201.0,3201.0,,3201.0,30000.0,1387-11-14
2009-02-04,1,0,1,0,892,0,892,0,2890972,0,2890972,0,3241.0,3241.0,,,0.0,1387-11-16
2009-02-08,1,0,2,1,4138,0,3938,200,13415396,0,12766996,648400,3242.0,3242.0,,3242.0,200.0,1387-11-20
2009-02-09,1,0,1,0,1000,0,1000,0,3247000,0,3247000,0,3247.0,3247.0,,,0.0,1387-11-21
2009-02-14,1,0,3,0,2464,0,2464,0,8003072,0,8003072,0,3248.0,3248.0,,,0.0,1387-11-26
2009-02-15,15,1,3,0,109047,41353,150400,0,354511797,134438603,488950400,0,3251.0,3251.0,3251.0,,-41353.0,1387-11-27
2009-02-17,1,0,1,0,10000,0,10000,0,33480000,0,33480000,0,3348.0,3348.0,,,0.0,1387-11-29
2009-02-18,2,0,5,0,24203,0,24203,0,81322080,0,81322080,0,3360.0,3360.0,,,0.0,1387-11-30
2009-02-21,5,0,3,0,47400,0,47400,0,160686000,0,160686000,0,3390.0,3390.0,,,0.0,1387-12-03
2009-02-22,4,1,3,0,52464,20000,72464,0,181000800,69000000,250000800,0,3450.0,3450.0,3450.0,,-20000.0,1387-12-04
2009-02-23,8,4,16,0,13400,95600,109000,0,46675400,338801600,385477000,0,3483.2388059701493,3536.4862385321103,3543.949790794979,,-95600.0,1387-12-05
2009-03-02,1,0,2,0,20000,0,20000,0,70700000,0,70700000,0,3535.0,3535.0,,,0.0,1387-12-12
2009-03-10,1,0,1,0,855,0,855,0,2932650,0,2932650,0,3430.0,3430.0,,,0.0,1387-12-20
2009-04-25,1,0,1,0,2000,0,2000,0,6858000,0,6858000,0,3429.0,3429.0,,,0.0,1388-02-05
2009-04-26,1,0,1,0,2000,0,2000,0,6854000,0,6854000,0,3427.0,3427.0,,,0.0,1388-02-06
2009-04-27,3,0,2,0,20020,0,20020,0,68548480,0,68548480,0,3424.0,3424.0,,,0.0,1388-02-07
2009-04-28,1,0,1,0,1522,0,1522,0,5171756,0,5171756,0,3398.0,3398.0,,,0.0,1388-02-08
2009-05-23,3,0,1,1,32600,0,2600,30000,105006000,0,7826000,97180000,3221.042944785276,3010.0,,3239.333333333333,30000.0,1388-03-02
2009-05-24,2,0,2,1,5867,0,2867,3000,18468550,0,9018550,9450000,3147.869439236407,3145.640041855598,,3150.0,3000.0,1388-03-03
2009-05-27,1,0,1,0,6000,0,6000,0,18720000,0,18720000,0,3120.0,3120.0,,,0.0,1388-03-06
2009-05-30,2,0,1,0,110,0,110,0,342430,0,342430,0,3113.0,3113.0,,,0.0,1388-03-09
2009-06-01,2,0,1,0,360,0,360,0,1120680,0,1120680,0,3113.0,3113.0,,,0.0,1388-03-11
2009-06-02,1,0,3,0,13210,0,13210,0,41122730,0,41122730,0,3113.0,3113.0,,,0.0,1388-03-12
2009-06-03,23,1,17,2,423668,100,406168,17600,1314339002,327900,1260127102,54539800,3102.285284704061,3102.477551161096,3279.0,3098.8522727272725,17500.0,1388-03-13
2009-06-06,3,0,3,0,19550,0,19550,0,62449750,0,62449750,0,3194.3606138107416,3194.3606138107416,,,0.0,1388-03-16
2009-06-07,5,0,4,0,38317,0,38317,0,123304106,0,123304106,0,3218.0,3218.0,,,0.0,1388-03-17
2009-06-08,7,0,2,1,31442,0,21442,10000,102479578,0,69879578,32600000,3259.32122638509,3259.0046637440537,,3260.0,10000.0,1388-03-18
2009-06-09,3,0,5,0,34815,0,34815,0,113283700,0,113283700,0,3253.876202786156,3253.876202786156,,,0.0,1388-03-19
2009-06-10,3,0,5,1,41400,0,31400,10000,137137800,0,103957800,33180000,3312.5072463768115,3310.7579617834394,,3318.0,10000.0,1388-03-20
2009-06-13,4,0,9,0,99416,0,99416,0,334926504,0,334926504,0,3368.939647541644,3368.939647541644,,,0.0,1388-03-23
2009-06-14,3,0,5,0,55914,0,55914,0,183813433,0,183813433,0,3287.43128733412,3287.43128733412,,,0.0,1388-03-24
2009-06-16,2,0,2,0,2857,0,2857,0,9179541,0,9179541,0,3213.0,3213.0,,,0.0,1388-03-26
2009-06-17,4,0,11,0,76725,0,76725,0,257514107,0,257514107,0,3356.3259302704464,3356.3259302704464,,,0.0,1388-03-27
2009-06-28,1,0,1,0,5000,0,5000,0,13250000,0,13250000,0,2650.0,2650.0,,,0.0,1388-04-07
2009-06-29,1,1,0,1,10000,20000,0,30000,27290000,54580000,0,81870000,2729.0,,2729.0,2729.0,10000.0,1388-04-08
2009-06-30,4,0,1,0,11331,0,11331,0,30367080,0,30367080,0,2680.0,2680.0,,,0.0,1388-04-09
2009-07-01,4,0,2,1,110266,0,73094,37172,291247240,0,191626280,99620960,2641.3150019044856,2621.6417216187374,,2680.0,37172.0,1388-04-10
2009-07-05,4,0,1,0,60144,0,60144,0,154466536,0,154466536,0,2568.278398510242,2568.278398510242,,,0.0,1388-04-14
2009-07-07,1,0,1,0,2500,0,2500,0,6657500,0,6657500,0,2663.0,2663.0,,,0.0,1388-04-16
2009-07-11,1,0,1,0,72513,0,72513,0,182080143,0,182080143,0,2511.0,2511.0,,,0.0,1388-04-20
2009-07-12,1,0,1,0,9306,0,9306,0,23413896,0,23413896,0,2516.0,2516.0,,,0.0,1388-04-21
