date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-11-16,1,0,1,0,1410,0,1410,0,1551000,0,1551000,0,1100.0,1100.0,,,0.0,1392-08-25
2013-11-19,1,0,1,0,50000,0,50000,0,100000000,0,100000000,0,2000.0,2000.0,,,0.0,1392-08-28
2013-12-11,1,1,2,0,23712,11844,35556,0,47424000,23688000,71112000,0,2000.0,2000.0,2000.0,,-11844.0,1392-09-20
2013-12-22,3,1,2,1,160000,40000,80000,120000,338550000,80000000,166000000,252550000,2115.9375,2075.0,2000.0,2104.583333333333,80000.0,1392-10-01
2013-12-24,1,0,0,1,40000,0,0,40000,83600000,0,0,83600000,2090.0,,,2090.0,40000.0,1392-10-03
2013-12-29,1,0,1,1,35000,0,15000,20000,101500000,0,43500000,58000000,2900.0,2900.0,,2900.0,20000.0,1392-10-08
2013-12-30,2,0,1,1,42000,0,2000,40000,88002000,0,4402000,83600000,2095.285714285714,2201.0,,2090.0,40000.0,1392-10-09
2014-01-01,2,0,0,1,25000,0,0,25000,80000000,0,0,80000000,3200.0,,,3200.0,25000.0,1392-10-11
2014-01-04,1,0,1,0,20000,0,20000,0,64000000,0,64000000,0,3200.0,3200.0,,,0.0,1392-10-14
2014-01-05,1,0,1,0,25000,0,25000,0,95000000,0,95000000,0,3800.0,3800.0,,,0.0,1392-10-15
2014-01-07,3,1,8,1,52021,145000,97021,100000,222881900,579500000,402381900,400000000,4284.460121873859,4147.369126271632,3996.551724137931,4000.0,-45000.0,1392-10-17
2014-01-13,6,0,7,1,67952,0,62551,5401,283464100,0,259154600,24309500,4171.534318342359,4143.092836245623,,4500.925754489909,5401.0,1392-10-23
2014-01-15,1,0,0,1,49411,0,0,49411,222843610,0,0,222843610,4510.0,,,4510.0,49411.0,1392-10-25
2014-01-22,5,0,3,0,90589,0,90589,0,375876390,0,375876390,0,4149.249798540662,4149.249798540662,,,0.0,1392-11-02
2014-01-27,0,2,7,0,0,128900,128900,0,0,565161000,565161000,0,,4384.491854150504,4384.491854150504,,-128900.0,1392-11-07
2014-02-03,1,0,0,1,60000,0,0,60000,192000000,0,0,192000000,3200.0,,,3200.0,60000.0,1392-11-14
2014-02-18,20,1,17,1,657246,260718,867964,50000,2553277200,1037360400,3397502600,193135000,3884.812079495349,3914.3358480305633,3978.859917612133,3862.7,-210718.0,1392-11-29
2014-02-19,1,1,2,0,8250,50000,58250,0,33825000,185050000,218875000,0,4100.0,3757.510729613734,3701.0,,-50000.0,1392-11-30
2014-02-22,12,1,12,1,412620,100000,462620,50000,1666719000,444600000,1888819000,222500000,4039.3558237603606,4082.873632787169,4446.0,4450.0,-50000.0,1392-12-03
2014-02-23,20,1,5,2,1026720,100000,796165,330555,3228232000,293600000,2474000250,1047831750,3144.218482156771,3107.396393963563,2936.0,3169.916504061352,230555.0,1392-12-04
2014-02-24,7,0,2,0,79780,0,79780,0,230216500,0,230216500,0,2885.6417648533466,2885.6417648533466,,,0.0,1392-12-05
2014-02-26,1,0,1,0,3000,0,3000,0,7530000,0,7530000,0,2510.0,2510.0,,,0.0,1392-12-07
2014-03-02,10,1,8,1,87100,31000,88100,30000,219017000,107275000,250792000,75500000,2514.5464982778417,2846.674233825199,3460.483870967742,2516.6666666666665,-1000.0,1392-12-11
2014-03-03,1,0,1,0,100000,0,100000,0,328000000,0,328000000,0,3280.0,3280.0,,,0.0,1392-12-12
2014-03-04,6,0,4,0,38495,0,38495,0,89557110,0,89557110,0,2326.460839070009,2326.460839070009,,,0.0,1392-12-13
2014-03-05,7,0,0,1,106870,0,0,106870,249002570,0,0,249002570,2329.957612052026,,,2329.957612052026,106870.0,1392-12-14
2014-03-09,13,1,5,0,459844,4500,464344,0,880069000,11450000,891519000,0,1913.8425205069543,1919.953741191875,2544.4444444444443,,-4500.0,1392-12-18
2014-03-11,3,1,4,0,45000,20000,65000,0,101740000,59940000,161680000,0,2260.8888888888887,2487.3846153846152,2997.0,,-20000.0,1392-12-20
2014-03-12,2,0,1,0,53000,0,53000,0,106000000,0,106000000,0,2000.0,2000.0,,,0.0,1392-12-21
2014-03-18,4,0,4,0,71955,0,71955,0,163562250,0,163562250,0,2273.1186158015425,2273.1186158015425,,,0.0,1392-12-27
2014-03-25,3,0,1,0,10000,0,10000,0,24500000,0,24500000,0,2450.0,2450.0,,,0.0,1393-01-05
2014-03-26,1,0,2,0,58000,0,58000,0,143900000,0,143900000,0,2481.0344827586205,2481.0344827586205,,,0.0,1393-01-06
2014-03-29,5,0,2,0,50700,0,50700,0,124683000,0,124683000,0,2459.230769230769,2459.230769230769,,,0.0,1393-01-09
2014-03-31,1,0,1,0,4000,0,4000,0,10000000,0,10000000,0,2500.0,2500.0,,,0.0,1393-01-11
2014-04-05,2,0,1,0,24300,0,24300,0,55211000,0,55211000,0,2272.0576131687244,2272.0576131687244,,,0.0,1393-01-16
2014-04-08,1,0,1,0,4000,0,4000,0,10000000,0,10000000,0,2500.0,2500.0,,,0.0,1393-01-19
2014-04-09,2,0,3,0,13000,0,13000,0,29900000,0,29900000,0,2300.0,2300.0,,,0.0,1393-01-20
2014-04-12,2,0,2,0,30000,0,30000,0,68200000,0,68200000,0,2273.333333333333,2273.333333333333,,,0.0,1393-01-23
2014-04-13,3,0,4,0,26725,0,26725,0,58045500,0,58045500,0,2171.955098222638,2171.955098222638,,,0.0,1393-01-24
2014-04-16,10,0,1,0,200000,0,200000,0,409698000,0,409698000,0,2048.49,2048.49,,,0.0,1393-01-27
2014-04-21,5,0,2,0,38900,0,38900,0,75070000,0,75070000,0,1929.8200514138816,1929.8200514138816,,,0.0,1393-02-01
2014-04-23,2,0,2,0,16500,0,16500,0,31600000,0,31600000,0,1915.1515151515152,1915.1515151515152,,,0.0,1393-02-03
2014-04-26,4,0,3,0,33940,0,33940,0,69309000,0,69309000,0,2042.1037124337065,2042.1037124337065,,,0.0,1393-02-06
2014-04-27,0,1,2,0,0,10031,10031,0,0,21062000,21062000,0,,2099.6909580301067,2099.6909580301067,,-10031.0,1393-02-07
2014-04-29,3,0,4,0,42442,0,42442,0,86163200,0,86163200,0,2030.1399557042555,2030.1399557042555,,,0.0,1393-02-09
2014-04-30,1,0,3,0,20000,0,20000,0,42000000,0,42000000,0,2100.0,2100.0,,,0.0,1393-02-10
2014-05-03,1,0,1,0,2342,0,2342,0,4918200,0,4918200,0,2100.0,2100.0,,,0.0,1393-02-13
2014-05-04,5,0,4,1,122227,0,33227,89000,249543000,0,68543000,181000000,2041.6356451520533,2062.870557077076,,2033.7078651685392,89000.0,1393-02-14
2014-05-10,4,0,1,0,100000,0,100000,0,192670000,0,192670000,0,1926.7,1926.7,,,0.0,1393-02-20
2014-05-11,3,0,2,0,36774,0,36774,0,77199100,0,77199100,0,2099.2848207973025,2099.2848207973025,,,0.0,1393-02-21
2014-05-14,1,0,1,0,400,0,400,0,780000,0,780000,0,1950.0,1950.0,,,0.0,1393-02-24
