date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,2,1,1,2,10468,10,714,9764,9573924,8950,619752,8963122,914.5896064195643,868.0,895.0,917.976444080295,9754.0,1387-09-06
2008-11-30,1,2,5,1,100,17182,17272,10,89600,15791824,15872424,9000,896.0,918.968503937008,919.0911418926784,900.0,-17172.0,1387-09-10
2008-12-01,1,1,1,1,3885,10,3885,10,3574200,9010,3574200,9010,920.0,920.0,901.0,901.0,0.0,1387-09-11
2008-12-02,2,2,2,1,2643,4353,6986,10,2354700,3809115,6154825,8990,890.9194097616345,881.0227598053249,875.0551343900759,899.0,-4343.0,1387-09-12
2008-12-03,1,2,4,1,19657,20,19667,10,17690000,18090,17699100,8990,899.9338657984433,899.9389840850155,904.5,899.0,-10.0,1387-09-13
2008-12-07,1,0,2,0,70002,0,70002,0,63001800,0,63001800,0,900.0,900.0,,,0.0,1387-09-17
2008-12-08,1,0,2,0,10341,0,10341,0,9306900,0,9306900,0,900.0,900.0,,,0.0,1387-09-18
2008-12-13,0,1,1,0,0,5000,5000,0,0,4365000,4365000,0,,873.0,873.0,,-5000.0,1387-09-23
2008-12-15,0,1,1,0,0,10000,10000,0,0,8720000,8720000,0,,872.0,872.0,,-10000.0,1387-09-25
2008-12-16,0,1,1,0,0,1000,1000,0,0,868000,868000,0,,868.0,868.0,,-1000.0,1387-09-26
2008-12-23,0,1,3,0,0,39417,39417,0,0,34213956,34213956,0,,868.0,868.0,,-39417.0,1387-10-03
2008-12-24,0,1,3,0,0,18105,18105,0,0,15461670,15461670,0,,854.0,854.0,,-18105.0,1387-10-04
2008-12-27,0,1,0,1,0,349508,0,349508,0,314557200,0,314557200,,,900.0,900.0,0.0,1387-10-07
2008-12-28,1,0,3,0,6107,0,6107,0,5661189,0,5661189,0,927.0,927.0,,,0.0,1387-10-08
2008-12-29,1,0,1,0,1017,0,1017,0,942759,0,942759,0,927.0,927.0,,,0.0,1387-10-09
2009-01-03,1,0,1,0,50,0,50,0,43750,0,43750,0,875.0,875.0,,,0.0,1387-10-14
2009-01-12,1,0,1,0,2550,0,2550,0,2231250,0,2231250,0,875.0,875.0,,,0.0,1387-10-23
2009-01-13,1,0,1,0,3000,0,3000,0,2622000,0,2622000,0,874.0,874.0,,,0.0,1387-10-24
2009-01-17,1,0,1,0,3419,0,3419,0,2984787,0,2984787,0,873.0,873.0,,,0.0,1387-10-28
2009-01-21,1,0,1,0,5697,0,5697,0,4973481,0,4973481,0,873.0,873.0,,,0.0,1387-11-02
2009-01-24,1,0,1,0,20000,0,20000,0,17460000,0,17460000,0,873.0,873.0,,,0.0,1387-11-05
2009-01-25,1,0,2,0,2302,0,2302,0,1988928,0,1988928,0,864.0,864.0,,,0.0,1387-11-06
2009-01-28,1,0,1,0,2305,0,2305,0,1989215,0,1989215,0,863.0,863.0,,,0.0,1387-11-09
2009-02-01,1,2,1,1,605,49508,605,49508,521510,34655600,521510,34655600,862.0,862.0,700.0,700.0,0.0,1387-11-13
