,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
32,2020-02-17,1,0,0,1,550000,0,0,550000,4125550000,0,0,4125550000,7501.0,,,7501.0,550000.0,1398-11-28
31,2020-05-18,1,0,0,2,300000,0,0,300000,3270000000,0,0,3270000000,10900.0,,,10900.0,300000.0,1399-02-29
30,2020-06-27,1,2,5,1,475141,209609,674750,10000,10288761000,4401789000,14480550000,210000000,21654.12161863531,21460.615042608373,21000.0,21000.0,-199609.0,1399-04-07
29,2020-07-06,3,2,2,2,218537,270000,322521,166016,5892512150,7531300000,8806585270,4617226880,26963.453099475148,27305.46311713036,27893.703703703704,27811.93909020817,-103984.0,1399-04-16
28,2020-07-08,2,1,3,1,217800,157001,354801,20000,6283747800,4529635851,10236363651,577020000,28851.0,28851.0,28851.0,28851.0,-137001.0,1399-04-18
27,2020-07-11,2,5,5,0,29580,555000,584580,0,808598880,15171480000,15980078880,0,27336.0,27336.0,27336.0,,-555000.0,1399-04-21
26,2020-11-15,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-08-25
25,2020-11-18,0,1,2,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-08-28
24,2020-11-25,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-05
23,2020-12-06,0,1,1,0,0,50000,50000,0,0,1349500000,1349500000,0,,26990.0,26990.0,,-50000.0,1399-09-16
22,2020-12-07,0,1,1,0,0,80000,80000,0,0,2159200000,2159200000,0,,26990.0,26990.0,,-80000.0,1399-09-17
21,2020-12-08,1,1,2,0,150000,50000,200000,0,4048500000,1349400000,5397900000,0,26990.0,26989.5,26988.0,,-50000.0,1399-09-18
20,2020-12-12,1,0,1,0,450000,0,450000,0,12546000000,0,12546000000,0,27880.0,27880.0,,,0.0,1399-09-22
19,2020-12-14,0,1,1,0,0,450000,450000,0,0,12483000000,12483000000,0,,27740.0,27740.0,,-450000.0,1399-09-24
18,2020-12-16,0,1,1,0,0,100000,100000,0,0,2600000000,2600000000,0,,26000.0,26000.0,,-100000.0,1399-09-26
17,2020-12-21,0,2,2,1,0,970000,170000,800000,0,25061800000,4269800000,20792000000,,25116.470588235294,25836.907216494845,25990.0,-170000.0,1399-10-01
16,2020-12-22,0,1,1,0,0,38000,38000,0,0,912000000,912000000,0,,24000.0,24000.0,,-38000.0,1399-10-02
15,2020-12-23,0,1,1,0,0,210,210,0,0,5040000,5040000,0,,24000.0,24000.0,,-210.0,1399-10-03
14,2021-01-04,0,1,2,0,0,616369,616369,0,0,14786692310,14786692310,0,,23990.0,23990.0,,-616369.0,1399-10-15
13,2021-01-06,1,1,1,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-10-17
12,2021-01-09,1,1,0,1,0,0,0,0,0,0,0,0,,,,,0.0,1399-10-20
11,2021-01-10,0,1,1,0,0,250,250,0,0,6000000,6000000,0,,24000.0,24000.0,,-250.0,1399-10-21
10,2021-01-12,0,1,0,1,0,1650559,0,1650559,0,38788136500,0,38788136500,,,23500.0,23500.0,0.0,1399-10-23
9,2021-01-27,0,1,1,0,0,100000,100000,0,0,2239900000,2239900000,0,,22399.0,22399.0,,-100000.0,1399-11-08
8,2021-01-31,0,1,1,0,0,175000,175000,0,0,3919825000,3919825000,0,,22399.0,22399.0,,-175000.0,1399-11-12
7,2021-02-06,1,0,0,1,0,0,0,0,0,0,0,0,,,,,0.0,1399-11-18
6,2021-02-24,1,0,1,1,0,0,0,0,0,0,0,0,,,,,0.0,1399-12-06
5,2021-03-06,0,1,2,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-12-16
4,2021-03-08,1,2,3,1,160000,420000,420000,160000,3579200000,9395400000,9395400000,3579200000,22370.0,22370.0,22370.0,22370.0,-260000.0,1399-12-18
3,2021-03-13,0,1,1,0,0,160000,160000,0,0,3579040000,3579040000,0,,22369.0,22369.0,,-160000.0,1399-12-23
2,2021-03-14,0,1,2,1,0,535000,390000,145000,0,11235000000,8190000000,3045000000,,21000.0,21000.0,21000.0,-390000.0,1399-12-24
1,2021-03-16,0,1,6,2,0,985463,692000,293463,0,20201991500,14186000000,6015991500,,20500.0,20500.0,20500.0,-692000.0,1399-12-26
0,2021-03-17,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-12-27
