date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2017-12-25,611,15,0,1,2556837,21006050,0,23562887,25568370000,210060500000,0,235628870000,10000.0,,10000.0,10000.0,2556837.0,1396-10-04
2017-12-26,187,7,0,1,1302302,5300100,0,6602402,13023020000,53001000000,0,66024020000,10000.0,,10000.0,10000.0,1302302.0,1396-10-05
2017-12-27,444,11,0,1,3934772,8196650,0,12131422,39347720000,81966500000,0,121314220000,10000.0,,10000.0,10000.0,3934772.0,1396-10-06
2018-01-13,5,2,27,0,30480,3880,34360,0,308574540,39235220,347809760,0,10123.836614173228,10122.51920838184,10112.170103092783,,-3880.0,1396-10-23
2018-01-14,16,2,100,1,153486,9887023,167509,9873000,1555949973,100253683690,1697414663,100112219000,10137.406493100349,10133.274409136226,10139.926213380912,10139.999898713664,-14023.0,1396-10-24
2018-01-15,21,0,70,3,303471,0,58019,245452,3080799587,0,588407383,2492392204,10151.874765628349,10141.632620348506,,10154.29576454867,245452.0,1396-10-25
2018-01-16,11,1,14,1,337512,25193,321457,41248,3420846932,254927967,3257368134,418406765,10135.482388774326,10133.137974907995,10119.0,10143.686118114818,16055.0,1396-10-26
2018-01-17,6,1,65,1,134270,150000,73276,210994,1362277900,1522941482,743094580,2142124802,10145.809935205183,10141.036355696271,10152.943213333334,10152.53894423538,60994.0,1396-10-27
2018-01-20,7,3,52,1,263568,2211559,399666,2075461,2676634804,22462009348,4056111314,21082532838,10155.386101499424,10148.752493331933,10156.640337427129,10158.0,-136098.0,1396-10-30
2018-01-21,4,3,31,1,8352,112340,110031,10661,84865522,1141191724,1117720164,108337082,10161.101772030652,10158.229626196257,10158.373900658717,10162.0,-101679.0,1396-11-01
2018-01-22,3,2,3,1,4434,102100,4858,101676,45066258,1037565000,49393554,1033237704,10163.79296346414,10167.466858789625,10162.242899118512,10162.060899327274,-424.0,1396-11-02
2018-01-23,13,2,9,1,509816,1008534,14350,1504000,5192010652,10264977262,146251914,15310736000,10184.087302085458,10191.77101045296,10178.117209732143,10180.010638297872,495466.0,1396-11-03
2018-01-24,13,2,8,1,428587,1000300,2005,1426882,4373504495,10208060000,20480854,14561083641,10204.473059145515,10214.889775561098,10204.998500449865,10204.8267768463,426582.0,1396-11-04
2018-01-27,12,1,20,0,119134,13220,132354,0,1217502880,134936540,1352439420,0,10219.608843822922,10218.34942653792,10207.0,,-13220.0,1396-11-07
2018-01-28,3,0,7,0,3895,0,3895,0,39816485,0,39816485,0,10222.46084724005,10222.46084724005,,,0.0,1396-11-08
2018-01-29,9,4,6,1,40618,1400104,8107,1432615,415445721,14335063076,82863996,14667644801,10228.118592742134,10221.289749599113,10238.570189071668,10238.371649745395,32511.0,1396-11-09
2018-01-30,10,1,4,1,115186,200000,26600,288586,1179392902,2048000000,272368500,2955024402,10239.029934193391,10239.417293233082,10240.0,10239.666518819347,88586.0,1396-11-10
2018-01-31,2,0,7,0,3810,0,3810,0,39000040,0,39000040,0,10236.230971128609,10236.230971128609,,,0.0,1396-11-11
2018-02-03,8,1,9,3,49779,1950000,357387,1642392,509080245,19958100000,3657448125,16809732120,10226.807388657868,10233.858884066853,10234.923076923076,10234.908669793813,-307608.0,1396-11-14
2018-02-04,6,1,7,0,42302,53217,95519,0,431068638,541965411,973034049,0,10190.266133988936,10186.811513939636,10184.065449010655,,-53217.0,1396-11-15
2018-02-05,3,1,44,0,40130,124354,164484,0,408764700,1270250811,1679015511,0,10186.012957886867,10207.774075289995,10214.796556604531,,-124354.0,1396-11-16
2018-02-06,2,1,44,1,100000,1943402,93402,1950000,1019020000,19814058839,952423541,19880655298,10190.2,10197.03583435044,10195.553384734603,10195.207845128203,6598.0,1396-11-17
2018-02-07,7,2,30,1,28765,33337,50102,12000,293518975,340245463,511268438,122496000,10204.0318094907,10204.551474991018,10206.241203467618,10208.0,-21337.0,1396-11-18
2018-02-10,1,2,17,1,450,801750,308900,493300,4595850,8201950950,3155154800,5051392000,10213.0,10214.162512139852,10230.0604303087,10240.0,-308450.0,1396-11-21
2018-02-12,2,2,2,2,12560,606208,40650,578118,128429600,6196451968,415486250,5909395318,10225.286624203822,10221.063960639607,10221.659839527028,10221.780532694018,-28090.0,1396-11-23
2018-02-13,2,3,8,0,1065,292105,293170,0,10890870,2985035177,2995926047,0,10226.169014084508,10219.074417573422,10219.04855103473,,-292105.0,1396-11-24
2018-02-14,0,3,12,3,0,2250858,150858,2100000,0,23001903465,1541603465,21460300000,,10218.90430073314,10219.171296012451,10219.190476190475,-150858.0,1396-11-25
2018-02-17,1,2,4,0,600,10200,10800,0,6112800,104402500,110515300,0,10188.0,10232.898148148148,10235.539215686274,,-10200.0,1396-11-28
2018-02-18,0,1,14,1,0,949963,449963,500000,0,9689513440,4589513440,5100000000,,10199.757402275298,10199.88509026141,10200.0,-449963.0,1396-11-29
2018-02-19,1,2,20,3,108,2647829,752366,1895571,1102140,27051414167,7687665216,19364851091,10205.0,10217.98594832834,10216.450596696388,10215.840552002535,-752258.0,1396-11-30
2018-02-21,13,1,33,2,47663,817341,266004,599000,477003758,8302521142,2724007325,6055517575,10007.84168012924,10240.47504924738,10157.964842091613,10109.378255425709,-218341.0,1396-12-02
2018-02-24,0,1,15,1,0,4192693,301872,3890821,0,43023272982,3095667880,39927605102,,10254.902342714791,10261.488971885134,10262.0,-301872.0,1396-12-05
2018-02-25,2,1,7,2,8129,551530,56330,503329,83525475,5665704200,578524590,5170705085,10275.0,10270.274986685605,10272.703570068716,10273.012453087344,-48201.0,1396-12-06
2018-02-26,0,1,4,0,0,61150,61150,0,0,628208200,628208200,0,,10273.23303352412,10273.23303352412,,-61150.0,1396-12-07
2018-02-27,0,1,6,0,0,365662,365662,0,0,3752391310,3752391310,0,,10261.912121029804,10261.912121029804,,-365662.0,1396-12-08
