date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-04-05,35,0,10,3,319908,0,20812,299096,3867404100,0,255530900,3611873200,12089.113432611875,12278.055929271572,,12075.966244951454,299096.0,1394-01-16
2015-04-06,8,1,5,1,8078,100000,8078,100000,93164400,1155000000,93164400,1155000000,11533.102253032928,11533.102253032928,11550.0,11550.0,0.0,1394-01-17
2015-04-07,6,1,6,0,4831,4250,9081,0,54178655,47600000,101778655,0,11214.79093355413,11207.868626803216,11200.0,,-4250.0,1394-01-18
2015-04-08,17,0,10,1,114183,0,9937,104246,1344627870,0,119634030,1224993840,11776.077612254014,12039.250276743483,,11750.991309019051,104246.0,1394-01-19
2015-04-11,3,1,2,2,1187,100000,1183,100004,13705722,1161100000,13658434,1161147288,11546.522325189551,11545.590870667793,11611.0,11611.008439662412,4.0,1394-01-22
2015-04-12,8,1,4,0,8849,1632,10481,0,97252541,18278400,115530941,0,10990.2295174596,11022.892949146071,11200.0,,-1632.0,1394-01-23
2015-04-13,4,2,4,1,3350,12296,5646,10000,36528983,137740700,62089683,112180000,10904.174029850748,10997.109989373008,11202.073845152896,11218.0,-2296.0,1394-01-24
2015-04-14,5,1,2,1,790,10000,790,10000,9004080,112560000,9004080,112560000,11397.569620253164,11397.569620253164,11256.0,11256.0,0.0,1394-01-25
2015-04-15,2,1,2,1,2847,10000,2847,10000,31349760,111930000,31349760,111930000,11011.506849315068,11011.506849315068,11193.0,11193.0,0.0,1394-01-26
2015-04-18,2,2,8,1,1773,10360,2133,10000,19821050,114866070,23717120,110970000,11179.385222786235,11119.137365213315,11087.458494208497,11097.0,-360.0,1394-01-29
2015-04-19,1,1,4,1,1000,10000,4547,6453,10660000,110978000,50016153,71621847,10660.0,10999.813723334066,11097.8,11099.0,-3547.0,1394-01-30
2015-04-20,4,2,1,1,4050,86181,80231,10000,43771700,925006700,858908400,109870000,10807.827160493827,10705.443033241516,10733.302003921975,10987.0,-76181.0,1394-01-31
2015-04-21,2,1,2,1,204,10000,1297,8907,2255229,109977977,14265113,97968093,11055.04411764706,10998.545104086354,10997.7977,10999.0,-1093.0,1394-02-01
2015-04-22,4,0,4,0,793,0,793,0,8786762,0,8786762,0,11080.40605296343,11080.40605296343,,,0.0,1394-02-02
2015-04-25,4,2,3,2,4083,15767,5957,13893,43293141,170685350,62999540,150978951,10603.267450404115,10575.715964411616,10825.480433817467,10867.26776074282,-1874.0,1394-02-05
2015-04-26,0,3,3,1,0,1011132,1372,1009760,0,10770650280,14529800,10756120480,,10590.233236151604,10652.071420942071,10652.155442877516,-1372.0,1394-02-06
2015-04-27,0,2,3,1,0,11400,1400,10000,0,121820000,14670000,107150000,,10478.57142857143,10685.964912280702,10715.0,-1400.0,1394-02-07
2015-04-28,1,1,4,0,1330,15210,16540,0,13833330,158184000,172017330,0,10401.0,10400.080411124549,10400.0,,-15210.0,1394-02-08
2015-04-29,1,2,3,1,314,11600,1914,10000,3359800,124120000,20159800,107320000,10700.0,10532.810867293623,10700.0,10732.0,-1600.0,1394-02-09
2015-05-03,0,2,2,1,0,16000,6000,10000,0,168560000,63000000,105560000,,10500.0,10535.0,10556.0,-6000.0,1394-02-13
2015-05-04,1,1,2,0,102,99898,100000,0,1060902,1038939200,1040000102,0,10401.0,10400.00102,10400.0,,-99898.0,1394-02-14
2015-05-05,1,1,2,1,300,4550,4550,300,3165000,47529500,47529500,3165000,10550.0,10446.043956043955,10446.043956043955,10550.0,-4250.0,1394-02-15
2015-05-06,46,0,0,1,39141,0,0,39141,408047995,0,0,408047995,10425.078434378274,,,10425.078434378274,39141.0,1394-02-16
2015-05-09,0,1,6,0,0,6525,6525,0,0,67564450,67564450,0,,10354.704980842913,10354.704980842913,,-6525.0,1394-02-19
2015-05-10,2,1,5,1,401152,27201,28353,400000,4091525760,274730100,286255860,4080000000,10199.440012763242,10096.14009099566,10100.0,10200.0,372799.0,1394-02-20
2015-05-11,2,1,2,1,1880,107498,9378,100000,19082000,1095729800,94811800,1020000000,10150.0,10110.023459159736,10193.024986511376,10200.0,-7498.0,1394-02-21
2015-05-12,11,1,1,2,3850,600254,129,603975,39261486,6122590800,1307286,6160545000,10197.788571428571,10134.0,10200.0,10200.0,3721.0,1394-02-22
2015-05-13,0,1,5,1,0,101327,2103,99224,0,1033585400,21500600,1012084800,,10223.77555872563,10200.493451893375,10200.0,-2103.0,1394-02-23
2015-05-17,1,1,4,0,1000,8120,9120,0,10295000,82824000,93119000,0,10295.0,10210.416666666666,10200.0,,-8120.0,1394-02-27
2015-05-18,0,1,4,0,0,3071,3071,0,0,31305000,31305000,0,,10193.747964832302,10193.747964832302,,-3071.0,1394-02-28
2015-05-19,0,1,1,0,0,2000,2000,0,0,20700000,20700000,0,,10350.0,10350.0,,-2000.0,1394-02-29
2015-05-23,0,1,1,0,0,2000,2000,0,0,20700000,20700000,0,,10350.0,10350.0,,-2000.0,1394-03-02
2015-05-24,1,0,2,0,1000,0,1000,0,10063998,0,10063998,0,10063.998,10063.998,,,0.0,1394-03-03
2015-05-25,1,0,3,0,6721,0,6721,0,67251721,0,67251721,0,10006.207558399048,10006.207558399048,,,0.0,1394-03-04
2015-05-26,0,1,2,0,0,8114,8114,0,0,83595940,83595940,0,,10302.679319694356,10302.679319694356,,-8114.0,1394-03-05
