date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-12-07,1,0,1,0,67339,0,67339,0,404303356,0,404303356,0,6004.0,6004.0,,,0.0,1394-09-16
2016-01-10,1,0,1,0,2743,0,2743,0,16468972,0,16468972,0,6004.0,6004.0,,,0.0,1394-10-20
2016-01-13,1,0,1,0,21174,0,21174,0,127128696,0,127128696,0,6004.0,6004.0,,,0.0,1394-10-23
2016-09-04,0,1,1,0,0,41,41,0,0,246164,246164,0,,6004.0,6004.0,,-41.0,1395-06-14
2016-10-01,0,1,1,0,0,7349,7349,0,0,44123396,44123396,0,,6004.0,6004.0,,-7349.0,1395-07-10
2016-10-24,0,1,3,0,0,283085,283085,0,0,1699642340,1699642340,0,,6004.0,6004.0,,-283085.0,1395-08-03
2016-11-06,1,0,1,0,12249,0,12249,0,74731149,0,74731149,0,6101.0,6101.0,,,0.0,1395-08-16
2016-12-21,0,1,1,0,0,4458,4458,0,0,24969258,24969258,0,,5601.0,5601.0,,-4458.0,1395-10-01
2017-01-09,1,0,1,0,322,0,322,0,1835400,0,1835400,0,5700.0,5700.0,,,0.0,1395-10-20
2017-02-20,1,0,1,0,321,0,321,0,1829700,0,1829700,0,5700.0,5700.0,,,0.0,1395-12-02
2018-05-07,3,1,37,0,480000,1847809,2327809,0,24048000000,92575230900,116623230900,0,50100.0,50100.0,50100.0,,-1847809.0,1397-02-17
2018-05-09,0,1,4,0,0,151001,151001,0,0,8053336333,8053336333,0,,53333.0,53333.0,,-151001.0,1397-02-19
2018-06-27,0,1,2,0,0,2357,2357,0,0,125708238,125708238,0,,53334.0,53334.0,,-2357.0,1397-04-06
2018-07-14,0,1,1,0,0,2204,2204,0,0,117914000,117914000,0,,53500.0,53500.0,,-2204.0,1397-04-23
2018-09-01,0,1,7,0,0,4972,4972,0,0,266002000,266002000,0,,53500.0,53500.0,,-4972.0,1397-06-10
2018-10-01,1,1,0,1,16,13503,0,13519,898800,758531025,0,759429825,56175.0,,56175.0,56175.0,16.0,1397-07-09
2018-10-10,1,0,1,0,322,0,322,0,18088350,0,18088350,0,56175.0,56175.0,,,0.0,1397-07-18
2018-11-28,1,1,0,1,15,48984,0,48999,852600,2784250560,0,2785103160,56840.0,,56840.0,56840.0,15.0,1397-09-07
2020-06-13,1,0,1,0,3401,0,3401,0,9322141,0,9322141,0,2741.0,2741.0,,,0.0,1399-03-24
2020-07-19,1,0,1,0,1214,0,1214,0,3327574,0,3327574,0,2741.0,2741.0,,,0.0,1399-04-29
