date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-11-12,42343,162,0,1,17128417,871583,0,18000000,171284170000,8715830000,0,180000000000,10000.0,,10000.0,10000.0,17128417.0,1393-08-21
2014-11-15,17,0,70,2,101733,0,19233,82500,1068196500,0,201946500,866250000,10500.0,10500.0,,10500.0,82500.0,1393-08-24
2014-11-16,28,0,118,1,232744,0,32744,200000,2566002600,0,361002600,2205000000,11025.0,11025.0,,11025.0,200000.0,1393-08-25
2014-11-17,96,0,126,2,647036,0,46036,601000,7490088736,0,532912736,6957176000,11576.0,11576.0,,11576.0,601000.0,1393-08-26
2014-11-18,25,1,228,1,463218,10000,73218,400000,5629951572,121540000,889891572,4861600000,12154.0,12154.0,12154.0,12154.0,390000.0,1393-08-27
2014-11-19,514,10,512,3,4571683,109991,179324,4502350,58339246763,1403595151,2288353564,57454488350,12761.0,12761.0,12761.0,12761.0,4392359.0,1393-08-28
2014-11-22,137,0,437,1,2401592,0,183592,2218000,32178931208,0,2459949208,29718982000,13399.0,13399.0,,13399.0,2218000.0,1393-09-01
2014-11-23,273,4,620,2,2475796,40000,215496,2300300,34829498128,562720000,3031597728,32360620400,14068.0,14068.0,14068.0,14068.0,2260300.0,1393-09-02
2014-11-24,196,5,155,2,1442808,59995,45603,1457200,21311716968,886186145,673601913,21524301200,14771.0,14771.0,14771.0,14771.0,1397205.0,1393-09-03
2014-11-25,711,17,1992,14,6373441,451000,1058511,5765930,98845696469,6994559000,16416447099,89423808370,15509.0,15509.0,15509.0,15509.0,5314930.0,1393-09-04
2014-11-26,104,1,325,2,649665,10000,139665,520000,10579144860,162840000,2274304860,8467680000,16284.0,16284.0,16284.0,16284.0,510000.0,1393-09-05
2014-11-29,24,0,198,1,98174,0,94174,4000,1678579052,0,1610187052,68392000,17098.0,17098.0,,17098.0,4000.0,1393-09-08
2014-11-30,1494,15,10661,46,12018589,420000,11571149,867440,215750657457,7539839783,207718831360,15571665880,17951.41321972155,17951.443833278787,17951.999483333333,17951.288711611178,447440.0,1393-09-09
2014-12-01,717,5,3427,16,4632731,295000,4777381,150350,86697362639,5529204080,89425610919,2800955800,18714.093833421368,18718.54284156947,18743.0646779661,18629.569670768207,-144650.0,1393-09-10
2014-12-02,45,0,299,2,166809,0,160809,6000,3277963659,0,3160057659,117906000,19651.0,19651.0,,19651.0,6000.0,1393-09-11
2014-12-03,3548,24,7469,37,16521870,979077,17183206,317741,337496734000,19875005644,350861818326,6509921318,20427.27209450262,20418.879825220043,20299.73704213254,20488.137564872017,-661336.0,1393-09-12
2014-12-06,542,2,722,4,1323192,50000,1371892,1300,26073280335,970460000,27017995335,25745000,19704.835227994125,19693.966678863933,19409.2,19803.846153846152,-48700.0,1393-09-15
2014-12-07,49,0,11,0,55897,0,55897,0,1045832870,0,1045832870,0,18710.0,18710.0,,,0.0,1393-09-16
2014-12-08,2104,13,5015,13,10133263,624000,10288713,468550,186922366298,11259261064,189255354522,8926272840,18446.41418050632,18394.46338157163,18043.687602564103,19050.84375200085,-155450.0,1393-09-17
2014-12-09,1341,8,1191,5,4800108,244500,4918408,126200,88544524852,4459829831,90634674934,2369679749,18446.36096771156,18427.64466347648,18240.61280572597,18777.17709191759,-118300.0,1393-09-18
2014-12-10,545,3,324,2,1535891,57000,1565891,27000,27139550187,998355000,27656667690,481237497,17670.231928567846,17661.936680139293,17515.0,17823.611,-30000.0,1393-09-19
2014-12-14,263,3,130,1,692772,61510,744282,10000,11689301484,1032620820,12551914715,170007589,16873.230274895635,16864.460936849206,16787.85270687693,17000.7589,-51510.0,1393-09-23
2014-12-15,48,0,15,0,108529,0,108529,0,1738960167,0,1738960167,0,16023.0,16023.0,,,0.0,1393-09-24
2014-12-16,1054,6,1272,6,4459432,197851,4591933,65350,70938521043,3192472502,73089823121,1041170424,15907.523882637968,15917.005566283306,16135.74104755599,15932.21765876052,-132501.0,1393-09-25
2014-12-17,631,7,936,5,3033799,492200,3450899,75100,46220659329,7443506000,52527334487,1136830842,15235.241137926409,15221.347969616034,15122.929703372612,15137.561145139814,-417100.0,1393-09-26
2014-12-20,501,2,629,2,1676744,4000,1650744,30000,26001533436,62552680,25591466116,472620000,15507.157583984195,15502.989025554538,15638.17,15754.0,26000.0,1393-09-29
2014-12-22,169,5,314,4,667768,168920,730188,106500,10800555807,2743345116,11809887923,1734013000,16174.11407404967,16173.763363681684,16240.499147525456,16281.81220657277,-62420.0,1393-10-01
2014-12-24,564,3,456,2,1698942,144700,1841142,2500,27019930725,2265685050,29246261275,39354500,15903.974782541134,15884.848249075843,15657.809606081548,15741.8,-142200.0,1393-10-03
2014-12-27,438,1,406,6,1524988,10000,1491488,43500,23222426186,150910000,22712236096,661100090,15227.940276251356,15227.904009955158,15091.0,15197.703218390803,33500.0,1393-10-06
