date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-02-19,1496960,1741,0,1,99882807,7116520,0,106999327,1698007719000,120980840000,0,1818988559000,17000.0,,17000.0,17000.0,99882807.0,1398-11-30
2020-02-22,5,0,2091,14,334951,0,134075,200876,5978875350,0,2393238750,3585636600,17850.0,17850.0,,17850.0,200876.0,1398-12-03
2020-02-23,5,1,1958,6,300789,100000,124454,276335,5593773033,1859700000,2314471038,5139001995,18597.0,18597.0,18597.0,18597.0,176335.0,1398-12-04
2020-02-24,21,0,2477,9,403291,0,156755,246536,7874660066,0,3060798130,4813861936,19526.0,19526.0,,19526.0,246536.0,1398-12-05
2020-02-25,8,0,2187,12,400490,0,139782,260708,8210845980,0,2865810564,5345035416,20502.0,20502.0,,20502.0,260708.0,1398-12-06
2020-02-26,23,0,3440,11,401627,0,220955,180672,8645824429,0,4756498285,3889326144,21527.0,21527.0,,21527.0,180672.0,1398-12-07
2020-02-29,20,0,5358,5,798925,0,348656,450269,18058101775,0,7880671568,10177430207,22603.0,22603.0,,22603.0,450269.0,1398-12-10
2020-03-01,6,0,3272,6,401439,0,209102,192337,9527351787,0,4962617766,4564734021,23733.0,23733.0,,23733.0,192337.0,1398-12-11
2020-03-02,83,1,4270,11,2231653,93949,279932,2045670,55610561107,2341115131,6975625508,50976050730,24919.0,24919.0,24919.0,24919.0,1951721.0,1398-12-12
2020-03-03,27,3,520,2,1933441,400000,33374,2300067,50586550324,10465600000,873197336,60178952988,26164.0,26164.0,26164.0,26164.0,1900067.0,1398-12-13
2020-03-07,35,2,6355,5,3825916,583451,409098,4000269,110078319093,16829644095,11657689238,115250273950,28771.755337283936,28496.0797608397,28845.0,28810.63097256709,3416818.0,1398-12-17
2020-03-09,32,6,8623,6,2401000,600330,548994,2452336,72558220000,18141972600,16590598680,74109593920,30220.0,30220.0,30220.0,30220.0,1852006.0,1398-12-19
2020-03-10,53,4,9680,6,3402159,600000,606824,3395335,107953907229,19038600000,19255132344,107737374885,31731.0,31731.0,31731.0,31731.0,2795335.0,1398-12-20
2020-03-11,107,0,19200,13,4002903,0,1143135,2859768,133364719251,0,38085828795,95278890456,33317.0,33317.0,,33317.0,2859768.0,1398-12-21
2020-03-14,260,18,29181,27,19138787,3137068,2447082,19828773,669513046834,109740912776,85603822524,693650137086,34982.0,34982.0,34982.0,34982.0,16691705.0,1398-12-24
2020-03-15,237,16,17315,10,19194032,2015000,1208463,20000569,705015989392,74012965000,44388054453,734640899939,36731.0,36731.0,36731.0,36731.0,17985569.0,1398-12-25
2020-03-16,38,6,13243,18,2359066,550000,907966,2001100,90982098422,21211850000,35017524722,77176423700,38567.0,38567.0,38567.0,38567.0,1451100.0,1398-12-26
2020-03-17,31,1,13517,24,1402584,99971,866582,635973,56797639080,4048325645,35092238090,25753726635,40495.0,40495.0,40495.0,40495.0,536002.0,1398-12-27
2020-03-18,478,18,23114,33,33110029,2603000,2470146,33242883,1407805323051,110676957000,105028137774,1413454142277,42519.0,42519.0,42519.0,42519.0,30639883.0,1398-12-28
2020-03-24,39,5,2677,2,2334686,800000,1234686,1900000,104229721784,35715200000,55121321784,84823600000,44644.0,44644.0,44644.0,44644.0,1100000.0,1399-01-05
2020-03-29,17,1,10249,3,1205961,208693,912880,501774,58171355760,10271660767,44449102021,23993914506,48236.51491217378,48691.06785229165,49219.0,47818.17014432792,293081.0,1399-01-10
2020-03-30,85,1,28197,10,1846005,507,1845882,630,93777054000,25755600,93770805600,32004000,50800.0,50800.0,50800.0,50800.0,123.0,1399-01-11
2020-04-04,50,0,20798,12,1355576,0,1354771,805,72306423840,0,72263485140,42938700,53340.0,53340.0,,53340.0,805.0,1399-01-16
