date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-16,0,1,2,0,0,1000,1000,0,0,968000,968000,0,,968.0,968.0,,-1000.0,1387-09-26
2009-06-10,5,0,3,0,5000,0,5000,0,4980000,0,4980000,0,996.0,996.0,,,0.0,1388-03-20
2009-07-27,1,0,0,1,500,0,0,500,498000,0,0,498000,996.0,,,996.0,500.0,1388-05-05
2009-07-28,1,0,1,0,500,0,500,0,483500,0,483500,0,967.0,967.0,,,0.0,1388-05-06
2009-08-10,1,0,4,1,10000,0,9900,100,9670000,0,9573300,96700,967.0,967.0,,967.0,100.0,1388-05-19
2009-08-18,2,0,6,1,39000,0,11870,27130,39663000,0,12071790,27591210,1017.0,1017.0,,1017.0,27130.0,1388-05-27
2009-08-23,1,0,1,1,10000,0,2710,7290,10470000,0,2837370,7632630,1047.0,1047.0,,1047.0,7290.0,1388-06-01
2009-08-25,1,0,0,1,100,0,0,100,99600,0,0,99600,996.0,,,996.0,100.0,1388-06-03
2009-08-26,1,0,1,0,33000,0,33000,0,32868000,0,32868000,0,996.0,996.0,,,0.0,1388-06-04
2009-08-30,2,0,2,0,11030,0,11030,0,10688070,0,10688070,0,969.0,969.0,,,0.0,1388-06-08
2009-09-01,2,0,1,0,10844,0,10844,0,10420240,0,10420240,0,960.92216894135,960.92216894135,,,0.0,1388-06-10
2009-09-07,1,0,1,0,2210,0,2210,0,2106130,0,2106130,0,953.0,953.0,,,0.0,1388-06-16
2010-03-29,1,0,1,0,500,0,500,0,1317500,0,1317500,0,2635.0,2635.0,,,0.0,1389-01-09
2010-03-30,5,0,5,0,18798,0,18798,0,49513932,0,49513932,0,2634.0,2634.0,,,0.0,1389-01-10
2010-03-31,3,0,1,0,2410,0,2410,0,6229850,0,6229850,0,2585.0,2585.0,,,0.0,1389-01-11
2010-04-14,1,0,1,0,50,0,50,0,128950,0,128950,0,2579.0,2579.0,,,0.0,1389-01-25
2010-04-18,1,0,1,0,50,0,50,0,124450,0,124450,0,2489.0,2489.0,,,0.0,1389-01-29
2010-04-19,1,0,1,0,50,0,50,0,120100,0,120100,0,2402.0,2402.0,,,0.0,1389-01-30
2010-04-20,1,0,2,0,20000,0,20000,0,46360000,0,46360000,0,2318.0,2318.0,,,0.0,1389-01-31
2010-05-01,1,0,1,0,300,0,300,0,671100,0,671100,0,2237.0,2237.0,,,0.0,1389-02-11
2010-05-02,1,0,1,0,250,0,250,0,559000,0,559000,0,2236.0,2236.0,,,0.0,1389-02-12
2010-05-03,2,0,1,0,5590,0,5590,0,12493650,0,12493650,0,2235.0,2235.0,,,0.0,1389-02-13
2010-06-14,6,0,14,1,98424,0,97951,473,146812952,0,146103452,709500,1491.6377306348045,1491.5973496952558,,1500.0,473.0,1389-03-24
2010-06-15,5,0,10,0,59298,0,59298,0,91541392,0,91541392,0,1543.751762285406,1543.751762285406,,,0.0,1389-03-25
2010-06-16,4,0,6,0,35687,0,35687,0,54379390,0,54379390,0,1523.7870933393112,1523.7870933393112,,,0.0,1389-03-26
2010-06-19,6,0,4,0,10559,0,10559,0,16395854,0,16395854,0,1552.7847334027845,1552.7847334027845,,,0.0,1389-03-29
2010-06-20,2,0,2,0,14500,0,14500,0,22925000,0,22925000,0,1581.0344827586207,1581.0344827586207,,,0.0,1389-03-30
2010-06-21,4,0,2,0,2738,0,2738,0,4284514,0,4284514,0,1564.8334550766983,1564.8334550766983,,,0.0,1389-03-31
2010-07-03,1,0,1,0,5000,0,5000,0,7460000,0,7460000,0,1492.0,1492.0,,,0.0,1389-04-12
2010-07-13,1,0,1,0,5000,0,5000,0,7375000,0,7375000,0,1475.0,1475.0,,,0.0,1389-04-22
2010-07-14,1,0,8,0,30000,0,30000,0,42480000,0,42480000,0,1416.0,1416.0,,,0.0,1389-04-23
2010-07-17,7,0,5,0,98465,0,98465,0,143242408,0,143242408,0,1454.754562534911,1454.754562534911,,,0.0,1389-04-26
2010-07-18,1,0,2,0,5779,0,5779,0,8743627,0,8743627,0,1513.0,1513.0,,,0.0,1389-04-27
2010-07-19,1,0,2,0,35000,0,35000,0,53305000,0,53305000,0,1523.0,1523.0,,,0.0,1389-04-28
2010-07-20,16,0,6,0,127296,0,127296,0,201479568,0,201479568,0,1582.7643288084464,1582.7643288084464,,,0.0,1389-04-29
2010-07-21,11,0,7,1,86177,0,68648,17529,141665794,0,112813060,28852734,1643.8933126008098,1643.3553781610535,,1646.0,17529.0,1389-04-30
2010-07-24,4,0,7,0,55140,0,55140,0,88275860,0,88275860,0,1600.9405150525934,1600.9405150525934,,,0.0,1389-05-02
2010-07-28,4,0,3,0,13000,0,13000,0,21053000,0,21053000,0,1619.4615384615386,1619.4615384615386,,,0.0,1389-05-06
2010-07-31,3,0,2,0,8290,0,8290,0,13581000,0,13581000,0,1638.2388419782872,1638.2388419782872,,,0.0,1389-05-09
2010-08-01,6,0,4,0,24379,0,24379,0,40586890,0,40586890,0,1664.8299766192215,1664.8299766192215,,,0.0,1389-05-10
2010-08-02,5,0,4,0,45455,0,45455,0,77983605,0,77983605,0,1715.6221537784622,1715.6221537784622,,,0.0,1389-05-11
2010-08-03,5,0,3,1,38278,0,18278,20000,68287952,0,32607952,35680000,1784.0,1784.0,,1784.0,20000.0,1389-05-12
2010-08-04,3,0,2,0,22675,0,22675,0,42062125,0,42062125,0,1855.0,1855.0,,,0.0,1389-05-13
2010-08-07,12,0,14,0,130970,0,130970,0,248485886,0,248485886,0,1897.273314499504,1897.273314499504,,,0.0,1389-05-16
2010-08-08,4,0,4,0,26525,0,26525,0,50260100,0,50260100,0,1894.819981149859,1894.819981149859,,,0.0,1389-05-17
2010-08-14,1,0,3,0,13525,0,13525,0,24615500,0,24615500,0,1820.0,1820.0,,,0.0,1389-05-23
2010-08-15,1,0,4,0,20000,0,20000,0,36000000,0,36000000,0,1800.0,1800.0,,,0.0,1389-05-24
2010-08-16,3,1,9,0,57000,89298,146298,0,100068510,156967990,257036500,0,1755.587894736842,1756.937893887818,1757.7996147730073,,-89298.0,1389-05-25
