date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-05-13,376,7,134,6,15495779,3393000,13398090,5490689,162752166837,35636679000,140720139270,57668706567,10503.0,10503.0,10503.0,10503.0,2097689.0,1398-02-23
2019-05-15,1964,4,405,11,43267433,1198000,39477243,4988190,475901489125,13176850000,434212737315,54865601810,10999.069187326182,10999.064380331729,10999.040066777963,10999.100236759225,3790190.0,1398-02-25
2019-05-18,1290,1,275,1,22370545,56986,19167887,3259644,246075995000,626846000,210846757000,35856084000,11000.0,11000.0,11000.0,11000.0,3202658.0,1398-02-28
2019-05-20,372,0,173,0,6084731,0,6084731,0,64232716970,0,64232716970,0,10556.377425723504,10556.377425723504,,,0.0,1398-02-30
2019-05-22,416,1,130,1,4145470,500,4095970,50000,41233029350,5334500,40768913850,469450000,9946.527016237002,9953.421008942936,10669.0,9389.0,49500.0,1398-03-01
2019-05-25,379,2,150,1,3796885,540000,4116885,220000,33159637500,4590000000,35775367000,1974270500,8733.379467642555,8689.911668652392,8500.0,8973.956818181818,-320000.0,1398-03-04
2019-05-29,394,2,177,2,5212061,750000,4708498,1253563,54030030102,7476300000,47967849702,13538480400,10366.346461025689,10187.505591379671,9968.4,10800.0,503563.0,1398-03-08
2019-06-01,794,2,282,4,8534529,3260000,10720005,1074524,92172913200,35208000000,115776054000,11604859200,10800.0,10800.0,10800.0,10800.0,-2185476.0,1398-03-11
2019-06-03,287,2,129,0,1923190,4000000,5923190,0,20613737080,42642000000,63255737080,0,10718.513033033658,10679.33614825795,10660.5,,-4000000.0,1398-03-13
2019-06-08,271,1,223,0,6279574,250000,6529574,0,62797153520,2525000000,65322153520,0,10000.22509807194,10004.045213363075,10100.0,,-250000.0,1398-03-18
2019-06-10,267,1,290,0,8023593,5000,8028593,0,87846686151,53995000,87900681151,0,10948.547134806066,10948.454000719676,10799.0,,-5000.0,1398-03-20
2019-06-12,846,8,424,3,39469063,5646000,43906863,1208200,502136514655,71744605000,558777858655,15103261000,12722.281110524464,12726.435469894535,12707.156393907191,12500.629862605529,-4437800.0,1398-03-22
2019-06-15,721,4,369,4,27285867,1357482,23143349,5500000,364950020250,18054510600,309832030850,73172500000,13375.056773896904,13387.519276056371,13300.0,13304.09090909091,4142518.0,1398-03-25
2019-06-17,754,4,440,1,16014774,1060200,16924974,150000,219817701955,14543149800,232298501755,2062350000,13725.932189551972,13725.191055241798,13717.364459535936,13749.0,-910200.0,1398-03-27
2019-06-19,356,6,340,1,10585405,22800000,19055002,14330403,137951117998,296584663297,248254872698,186280908597,13032.200279346893,13028.33097041921,13008.09926741228,12999.0,-8469597.0,1398-03-29
2019-06-22,93,1,214,1,2694543,291762,2656305,330000,36665980500,3822082200,35981062700,4507000000,13607.495037191837,13545.53136782109,13100.0,13657.575757575758,38238.0,1398-04-01
2019-07-10,264,0,42,1,2941237,0,2769172,172065,35451386377,0,33233640592,2217745785,12053.223312844222,12001.291574521192,,12889.0,172065.0,1398-04-19
2019-07-13,231,0,102,1,1808037,0,1608037,200000,20109473418,0,17879573418,2229900000,11122.268746712594,11118.881852842938,,11149.5,200000.0,1398-04-22
2019-07-15,299,2,60,0,1884466,64589,1949055,0,18130547150,574842100,18705389250,0,9621.05294019632,9597.15823822314,8900.0,,-64589.0,1398-04-24
2019-07-17,258,1,144,2,2678751,50000,2585816,142935,26026064433,525050000,25050153998,1500960435,9715.746044705164,9687.52378282136,10501.0,10501.0,92935.0,1398-04-26
