date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,1,1,1,1,4938,10,4938,10,6913200,14100,6913200,14100,1400.0,1400.0,1410.0,1410.0,0.0,1387-09-06
2008-11-29,1,1,2,1,7000,10,7000,10,9839000,14080,9839000,14080,1405.571428571429,1405.571428571429,1408.0,1408.0,0.0,1387-09-09
2008-12-01,5,1,3,1,25650,10,25650,10,36084950,14060,36084950,14060,1406.8206627680313,1406.8206627680313,1406.0,1406.0,0.0,1387-09-11
2008-12-02,2,0,2,0,7656,0,7656,0,10768336,0,10768336,0,1406.5224660397075,1406.5224660397075,,,0.0,1387-09-12
2008-12-21,1,0,1,0,2452,0,2452,0,3432800,0,3432800,0,1400.0,1400.0,,,0.0,1387-10-01
2008-12-22,1,0,1,0,4200,0,4200,0,5724600,0,5724600,0,1363.0,1363.0,,,0.0,1387-10-02
2008-12-23,1,0,1,0,5000,0,5000,0,6775000,0,6775000,0,1355.0,1355.0,,,0.0,1387-10-03
2008-12-24,2,0,1,0,4000,0,4000,0,5376000,0,5376000,0,1344.0,1344.0,,,0.0,1387-10-04
2008-12-31,3,0,1,0,3200,0,3200,0,4300800,0,4300800,0,1344.0,1344.0,,,0.0,1387-10-11
2009-02-11,1,0,0,1,733,0,0,733,974890,0,0,974890,1330.0,,,1330.0,733.0,1387-11-23
2009-02-15,1,0,1,1,1000,0,800,200,1328000,0,1062400,265600,1328.0,1328.0,,1328.0,200.0,1387-11-27
2009-02-23,1,0,2,1,5000,0,3544,1456,6632912,0,4699344,1933568,1326.5824,1326.0,,1328.0,1456.0,1387-12-05
2009-02-25,1,0,0,1,5000,0,0,5000,6640000,0,0,6640000,1328.0,,,1328.0,5000.0,1387-12-07
2009-02-28,1,0,1,1,5000,0,2189,2811,6640000,0,2906992,3733008,1328.0,1328.0,,1328.0,2811.0,1387-12-10
