date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-04-14,1,0,0,1,2000,0,0,2000,20120000,0,0,20120000,10060.0,,,10060.0,2000.0,1394-01-25
2015-05-06,0,1,1,0,0,100000,100000,0,0,945000000,945000000,0,,9450.0,9450.0,,-100000.0,1394-02-16
2015-06-30,1,0,0,1,2000,0,0,2000,19732000,0,0,19732000,9866.0,,,9866.0,2000.0,1394-04-09
2015-07-05,1,0,0,1,20000,0,0,20000,200800000,0,0,200800000,10040.0,,,10040.0,20000.0,1394-04-14
2015-07-07,1,0,0,1,10000,0,0,10000,100370000,0,0,100370000,10037.0,,,10037.0,10000.0,1394-04-16
2015-07-15,0,1,1,0,0,32000,32000,0,0,326200000,326200000,0,,10193.75,10193.75,,-32000.0,1394-04-24
2015-07-25,1,0,0,1,1016,0,0,1016,10198608,0,0,10198608,10038.0,,,10038.0,1016.0,1394-05-03
2015-07-27,1,0,0,1,10000,0,0,10000,99850000,0,0,99850000,9985.0,,,9985.0,10000.0,1394-05-05
2015-07-28,2,0,0,1,20000,0,0,20000,201040000,0,0,201040000,10052.0,,,10052.0,20000.0,1394-05-06
2015-07-29,1,0,1,0,994,0,994,0,9950934,0,9950934,0,10011.0,10011.0,,,0.0,1394-05-07
2015-08-18,1,0,0,1,10,0,0,10,97330,0,0,97330,9733.0,,,9733.0,10.0,1394-05-27
2015-08-19,1,0,0,1,10,0,0,10,97230,0,0,97230,9723.0,,,9723.0,10.0,1394-05-28
2015-08-22,1,0,0,1,10,0,0,10,97700,0,0,97700,9770.0,,,9770.0,10.0,1394-05-31
2015-08-23,1,0,0,1,10,0,0,10,97470,0,0,97470,9747.0,,,9747.0,10.0,1394-06-01
2015-08-24,1,0,0,1,10,0,0,10,96770,0,0,96770,9677.0,,,9677.0,10.0,1394-06-02
2015-08-25,1,0,0,1,10,0,0,10,96290,0,0,96290,9629.0,,,9629.0,10.0,1394-06-03
2015-08-29,1,0,0,1,10,0,0,10,96150,0,0,96150,9615.0,,,9615.0,10.0,1394-06-07
2015-08-30,1,0,0,1,10,0,0,10,96220,0,0,96220,9622.0,,,9622.0,10.0,1394-06-08
2015-08-31,1,0,0,1,10,0,0,10,95980,0,0,95980,9598.0,,,9598.0,10.0,1394-06-09
2015-09-01,1,0,0,1,10,0,0,10,95540,0,0,95540,9554.0,,,9554.0,10.0,1394-06-10
2015-09-02,1,0,0,1,10,0,0,10,95860,0,0,95860,9586.0,,,9586.0,10.0,1394-06-11
2015-09-05,1,0,1,0,10,0,10,0,95980,0,95980,0,9598.0,9598.0,,,0.0,1394-06-14
2015-09-06,1,1,1,0,10,1986,1996,0,95980,18924594,19020574,0,9598.0,9529.345691382763,9529.0,,-1986.0,1394-06-15
2015-09-07,1,0,0,1,10,0,0,10,96380,0,0,96380,9638.0,,,9638.0,10.0,1394-06-16
2015-09-09,1,0,0,1,10,0,0,10,96460,0,0,96460,9646.0,,,9646.0,10.0,1394-06-18
2015-09-12,1,0,0,1,10,0,0,10,95980,0,0,95980,9598.0,,,9598.0,10.0,1394-06-21
2015-09-13,1,0,0,1,10,0,0,10,95520,0,0,95520,9552.0,,,9552.0,10.0,1394-06-22
2015-09-14,2,0,0,1,120,0,0,120,1129560,0,0,1129560,9413.0,,,9413.0,120.0,1394-06-23
2015-09-15,1,1,0,2,10,1500,0,1510,94570,13986000,0,14080570,9457.0,,9324.0,9324.880794701989,10.0,1394-06-24
2015-09-16,1,0,0,1,10,0,0,10,93370,0,0,93370,9337.0,,,9337.0,10.0,1394-06-25
2015-09-19,2,0,0,1,1510,0,0,1510,14006760,0,0,14006760,9276.0,,,9276.0,1510.0,1394-06-28
2015-09-20,1,0,0,1,10,0,0,10,93200,0,0,93200,9320.0,,,9320.0,10.0,1394-06-29
2015-09-21,1,0,0,1,10,0,0,10,91210,0,0,91210,9121.0,,,9121.0,10.0,1394-06-30
2015-09-22,1,0,0,1,10,0,0,10,91760,0,0,91760,9176.0,,,9176.0,10.0,1394-06-31
2015-09-23,1,0,0,1,10,0,0,10,92450,0,0,92450,9245.0,,,9245.0,10.0,1394-07-01
2015-09-26,1,0,0,1,10,0,0,10,92590,0,0,92590,9259.0,,,9259.0,10.0,1394-07-04
2015-09-27,1,0,0,1,10,0,0,10,92110,0,0,92110,9211.0,,,9211.0,10.0,1394-07-05
2015-09-28,1,0,0,1,10,0,0,10,92600,0,0,92600,9260.0,,,9260.0,10.0,1394-07-06
2015-09-29,1,0,0,1,10,0,0,10,92430,0,0,92430,9243.0,,,9243.0,10.0,1394-07-07
2015-09-30,1,0,0,1,10,0,0,10,92490,0,0,92490,9249.0,,,9249.0,10.0,1394-07-08
2015-10-03,1,0,0,1,10,0,0,10,92330,0,0,92330,9233.0,,,9233.0,10.0,1394-07-11
2015-10-04,1,0,0,1,10,0,0,10,91670,0,0,91670,9167.0,,,9167.0,10.0,1394-07-12
2015-10-05,1,0,0,1,10,0,0,10,91800,0,0,91800,9180.0,,,9180.0,10.0,1394-07-13
2015-10-06,1,0,0,1,10,0,0,10,91940,0,0,91940,9194.0,,,9194.0,10.0,1394-07-14
2015-10-07,1,0,0,1,10,0,0,10,92280,0,0,92280,9228.0,,,9228.0,10.0,1394-07-15
2015-10-10,1,0,0,1,10,0,0,10,92190,0,0,92190,9219.0,,,9219.0,10.0,1394-07-18
2015-10-11,1,0,0,1,10,0,0,10,92160,0,0,92160,9216.0,,,9216.0,10.0,1394-07-19
2015-10-12,1,1,0,2,10,1500,0,1510,92620,13699500,0,13792120,9262.0,,9133.0,9133.85430463576,10.0,1394-07-20
2015-10-13,1,0,0,1,10,0,0,10,93100,0,0,93100,9310.0,,,9310.0,10.0,1394-07-21
2015-10-14,1,0,0,1,10,0,0,10,93400,0,0,93400,9340.0,,,9340.0,10.0,1394-07-22
2015-10-17,1,0,0,1,10,0,0,10,94520,0,0,94520,9452.0,,,9452.0,10.0,1394-07-25
2015-10-18,1,0,0,1,10,0,0,10,96900,0,0,96900,9690.0,,,9690.0,10.0,1394-07-26
2015-10-19,1,0,0,1,10,0,0,10,95850,0,0,95850,9585.0,,,9585.0,10.0,1394-07-27
2015-10-20,2,0,0,1,710,0,0,710,6810320,0,0,6810320,9592.0,,,9592.0,710.0,1394-07-28
2015-10-21,1,0,0,1,10,0,0,10,96480,0,0,96480,9648.0,,,9648.0,10.0,1394-07-29
2015-10-25,1,0,0,1,10,0,0,10,96480,0,0,96480,9648.0,,,9648.0,10.0,1394-08-03
2015-10-26,1,0,0,1,10,0,0,10,95010,0,0,95010,9501.0,,,9501.0,10.0,1394-08-04
2015-10-27,1,0,0,1,10,0,0,10,95010,0,0,95010,9501.0,,,9501.0,10.0,1394-08-05
2015-10-28,1,0,0,1,10,0,0,10,95760,0,0,95760,9576.0,,,9576.0,10.0,1394-08-06
2015-10-31,1,0,0,1,10,0,0,10,96250,0,0,96250,9625.0,,,9625.0,10.0,1394-08-09
2015-11-01,1,0,0,1,10,0,0,10,95790,0,0,95790,9579.0,,,9579.0,10.0,1394-08-10
2015-11-02,1,0,0,1,10,0,0,10,95830,0,0,95830,9583.0,,,9583.0,10.0,1394-08-11
2015-11-03,1,0,0,1,10,0,0,10,95510,0,0,95510,9551.0,,,9551.0,10.0,1394-08-12
2015-11-04,1,0,0,1,10,0,0,10,95770,0,0,95770,9577.0,,,9577.0,10.0,1394-08-13
