date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-02-05,119,2,81,0,1254511,560000,1814511,0,9119177279,4073900000,13193077279,0,7269.109062415555,7270.872030536051,7274.821428571428,,-560000.0,1397-11-16
2019-02-06,134,2,54,0,665641,400000,1065641,0,4598931258,2763200000,7362131258,0,6909.026424153561,6908.641144625629,6908.0,,-400000.0,1397-11-17
2019-02-10,101,1,37,0,1698262,700000,2398262,0,11147391768,4594800000,15742191768,0,6564.0,6564.0,6564.0,,-700000.0,1397-11-21
2019-02-12,301,5,200,2,4907840,643036,5220189,330687,30771940741,4041291406,32727572601,2085659546,6269.955976763708,6269.422927215854,6284.704753699637,6307.05031041438,-312349.0,1397-11-23
2019-02-13,94,1,121,1,1027157,30000,1030929,26228,6520658013,190800000,6544079517,167378496,6348.258360698511,6347.749958532547,6360.0,6381.672106146103,-3772.0,1397-11-24
2019-02-16,113,1,81,1,1095052,158840,1252892,1000,6828100974,983891070,7805530044,6462000,6235.412541139599,6230.010283408306,6194.227335683707,6462.0,-157840.0,1397-11-27
2019-02-17,187,1,142,1,1989055,247029,2218048,18036,12232153149,1464533068,13587225733,109460484,6149.730977273127,6125.758204060508,5928.5876071230505,6069.0,-228993.0,1397-11-28
2019-02-18,104,1,38,1,500360,80000,578963,1397,3099395047,499180000,3589692921,8882126,6194.330176273083,6200.21127602282,6239.75,6358.0,-78603.0,1397-11-29
2019-02-19,67,1,108,1,1708754,50000,1458754,300000,11022867574,310050000,9382997574,1949920000,6450.821811682665,6432.200065261175,6201.0,6499.733333333334,250000.0,1397-11-30
2019-02-20,136,1,109,1,1668391,20000,1408296,280095,11210129396,129240000,9451740912,1887628484,6719.126029809559,6711.473235740214,6462.0,6739.243770863457,260095.0,1397-12-01
2019-02-23,33,0,72,1,1166600,0,883809,282791,8197833029,0,6204313704,1993519325,7027.115574318533,7019.971174767399,,7049.444024031882,282791.0,1397-12-04
2019-02-24,91,0,58,1,1329410,0,1029410,300000,9808260580,0,7594860580,2213400000,7377.90492022777,7377.877211218077,,7378.0,300000.0,1397-12-05
