date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-11-12,1,0,1,0,790,0,790,0,2370000,0,2370000,0,3000.0,3000.0,,,0.0,1392-08-21
2014-02-17,2,0,2,0,13180,0,13180,0,39540000,0,39540000,0,3000.0,3000.0,,,0.0,1392-11-28
2014-05-31,2,0,1,0,2300,0,2300,0,11500000,0,11500000,0,5000.0,5000.0,,,0.0,1393-03-10
2014-06-11,1,0,1,0,1458,0,1458,0,6561000,0,6561000,0,4500.0,4500.0,,,0.0,1393-03-21
2014-06-30,1,0,1,0,2810,0,2810,0,6182000,0,6182000,0,2200.0,2200.0,,,0.0,1393-04-09
2014-07-06,1,0,1,0,500,0,500,0,1001500,0,1001500,0,2003.0,2003.0,,,0.0,1393-04-15
2014-07-21,2,0,3,0,7914,0,7914,0,32501012,0,32501012,0,4106.774323982815,4106.774323982815,,,0.0,1393-04-30
2014-08-31,1,0,1,0,100,0,100,0,399000,0,399000,0,3990.0,3990.0,,,0.0,1393-06-09
2014-11-12,1,0,1,0,9300,0,9300,0,27900000,0,27900000,0,3000.0,3000.0,,,0.0,1393-08-21
2014-12-09,1,0,1,0,1260,0,1260,0,3805200,0,3805200,0,3020.0,3020.0,,,0.0,1393-09-18
2015-01-07,1,0,1,0,250,0,250,0,762500,0,762500,0,3050.0,3050.0,,,0.0,1393-10-17
2015-01-11,2,1,1,0,4050,10,4060,0,12312600,30500,12343100,0,3040.1481481481483,3040.1724137931037,3050.0,,-10.0,1393-10-21
2015-03-11,1,0,1,0,4060,0,4060,0,14210000,0,14210000,0,3500.0,3500.0,,,0.0,1393-12-20
2015-04-20,1,0,1,0,2754,0,2754,0,9639000,0,9639000,0,3500.0,3500.0,,,0.0,1394-01-31
2015-04-21,1,0,1,0,959,0,959,0,3356500,0,3356500,0,3500.0,3500.0,,,0.0,1394-02-01
2015-05-30,1,0,1,0,2000,0,2000,0,8000000,0,8000000,0,4000.0,4000.0,,,0.0,1394-03-09
2015-05-31,1,0,1,0,5900,0,5900,0,23600000,0,23600000,0,4000.0,4000.0,,,0.0,1394-03-10
2015-07-07,1,1,3,0,4000,1370,5370,0,16000000,4808700,20808700,0,4000.0,3874.990689013036,3510.0,,-1370.0,1394-04-16
2015-08-03,1,0,1,0,2030,0,2030,0,8120000,0,8120000,0,4000.0,4000.0,,,0.0,1394-05-12
2015-09-08,1,0,1,0,6000,0,6000,0,26898000,0,26898000,0,4483.0,4483.0,,,0.0,1394-06-17
2015-09-16,1,0,4,0,2672,0,2672,0,12024000,0,12024000,0,4500.0,4500.0,,,0.0,1394-06-25
2016-01-12,0,1,1,0,0,10,10,0,0,45000,45000,0,,4500.0,4500.0,,-10.0,1394-10-22
2016-01-16,1,0,2,0,4080,0,4080,0,18357000,0,18357000,0,4499.264705882353,4499.264705882353,,,0.0,1394-10-26
2016-02-07,0,1,1,0,0,3510,3510,0,0,15795000,15795000,0,,4500.0,4500.0,,-3510.0,1394-11-18
2016-02-13,0,1,1,0,0,580,580,0,0,2610000,2610000,0,,4500.0,4500.0,,-580.0,1394-11-24
2016-07-18,1,0,1,0,6920,0,6920,0,24220000,0,24220000,0,3500.0,3500.0,,,0.0,1395-04-28
2016-07-24,1,0,0,1,2,0,0,2,7000,0,0,7000,3500.0,,,3500.0,2.0,1395-05-03
2016-08-02,1,0,1,0,2000,0,2000,0,7000000,0,7000000,0,3500.0,3500.0,,,0.0,1395-05-12
2016-08-15,2,0,1,0,4060,0,4060,0,14210000,0,14210000,0,3500.0,3500.0,,,0.0,1395-05-25
2016-08-16,1,0,1,0,99,0,99,0,346500,0,346500,0,3500.0,3500.0,,,0.0,1395-05-26
2016-11-13,1,0,1,0,790,0,790,0,2765000,0,2765000,0,3500.0,3500.0,,,0.0,1395-08-23
2016-12-31,1,0,1,0,4060,0,4060,0,14413000,0,14413000,0,3550.0,3550.0,,,0.0,1395-10-11
2017-01-25,1,0,1,0,4060,0,4060,0,15022000,0,15022000,0,3700.0,3700.0,,,0.0,1395-11-06
2017-02-04,1,0,0,1,5000,0,0,5000,19250000,0,0,19250000,3850.0,,,3850.0,5000.0,1395-11-16
2017-02-07,1,0,1,0,4000,0,4000,0,15400000,0,15400000,0,3850.0,3850.0,,,0.0,1395-11-19
2017-02-08,1,0,1,0,11960,0,11960,0,46046000,0,46046000,0,3850.0,3850.0,,,0.0,1395-11-20
2017-03-27,1,0,2,0,190,0,190,0,804650,0,804650,0,4235.0,4235.0,,,0.0,1396-01-07
2017-03-29,2,0,2,0,4210,0,4210,0,19610180,0,19610180,0,4658.0,4658.0,,,0.0,1396-01-09
2017-04-04,2,0,3,0,2190,0,2190,0,11216370,0,11216370,0,5121.630136986301,5121.630136986301,,,0.0,1396-01-15
2017-04-08,1,0,1,0,1000,0,1000,0,5120000,0,5120000,0,5120.0,5120.0,,,0.0,1396-01-19
2017-04-09,3,0,1,0,1438,0,1438,0,7190000,0,7190000,0,5000.0,5000.0,,,0.0,1396-01-20
2017-04-19,3,0,1,0,4080,0,4080,0,22024000,0,22024000,0,5398.0392156862745,5398.0392156862745,,,0.0,1396-01-30
2017-04-24,0,1,1,0,0,310,310,0,0,1658500,1658500,0,,5350.0,5350.0,,-310.0,1396-02-04
2017-04-26,1,0,1,0,4112,0,4112,0,23849600,0,23849600,0,5800.0,5800.0,,,0.0,1396-02-06
2017-04-30,0,1,1,0,0,15000,15000,0,0,95250000,95250000,0,,6350.0,6350.0,,-15000.0,1396-02-10
2017-05-28,1,0,1,0,4440,0,4440,0,31013400,0,31013400,0,6985.0,6985.0,,,0.0,1396-03-07
2017-05-30,5,0,2,0,8735,0,8735,0,61332730,0,61332730,0,7021.491700057241,7021.491700057241,,,0.0,1396-03-09
2017-05-31,1,0,1,0,290,0,290,0,2025650,0,2025650,0,6985.0,6985.0,,,0.0,1396-03-10
2017-06-07,2,0,3,0,1625,0,1625,0,10726000,0,10726000,0,6600.615384615385,6600.615384615385,,,0.0,1396-03-17
2017-06-12,1,0,1,0,6560,0,6560,0,43302560,0,43302560,0,6601.0,6601.0,,,0.0,1396-03-22
2017-07-08,1,0,1,0,190,0,190,0,1235000,0,1235000,0,6500.0,6500.0,,,0.0,1396-04-17
2017-08-07,1,0,2,0,4424,0,4424,0,28756000,0,28756000,0,6500.0,6500.0,,,0.0,1396-05-16
2017-08-08,1,0,1,0,60,0,60,0,390000,0,390000,0,6500.0,6500.0,,,0.0,1396-05-17
2017-08-13,2,0,2,2,9384,0,3384,6000,67095600,0,24195600,42900000,7150.0,7150.0,,7150.0,6000.0,1396-05-22
2017-08-14,10,0,2,2,19500,0,4000,15500,153352500,0,31445000,121907500,7864.2307692307695,7861.25,,7865.0,15500.0,1396-05-23
2017-08-15,10,0,6,2,29244,0,5244,24000,252960600,0,45360600,207600000,8650.0,8650.0,,8650.0,24000.0,1396-05-24
2017-08-16,4,0,3,2,36485,0,6485,30000,347154775,0,61704775,285450000,9515.0,9515.0,,9515.0,30000.0,1396-05-25
2017-08-19,14,0,7,2,86954,0,21954,65000,910060564,0,229770564,680290000,10466.0,10466.0,,10466.0,65000.0,1396-05-28
2017-08-20,10,0,14,0,120615,0,120615,0,1388519880,0,1388519880,0,11512.0,11512.0,,,0.0,1396-05-29
2017-08-21,4,0,9,1,42395,0,32895,9500,536847885,0,416549385,120298500,12663.0,12663.0,,12663.0,9500.0,1396-05-30
