date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-13,0,1,3,0,0,694,694,0,0,4342358,4342358,0,,6257.0,6257.0,,-694.0,1387-09-23
2008-12-15,1,0,4,0,5885,0,5885,0,36121950,0,36121950,0,6137.969413763806,6137.969413763806,,,0.0,1387-09-25
2008-12-16,1,0,5,0,19027,0,19027,0,114450622,0,114450622,0,6015.169075524255,6015.169075524255,,,0.0,1387-09-26
2008-12-20,1,0,2,0,979,0,979,0,5860294,0,5860294,0,5986.0,5986.0,,,0.0,1387-09-30
2008-12-21,2,0,2,0,60200,0,60200,0,351026200,0,351026200,0,5831.0,5831.0,,,0.0,1387-10-01
2008-12-22,2,0,2,0,40200,0,40200,0,227411400,0,227411400,0,5657.0,5657.0,,,0.0,1387-10-02
2008-12-23,1,0,1,0,10000,0,10000,0,54880000,0,54880000,0,5488.0,5488.0,,,0.0,1387-10-03
2008-12-24,1,0,1,0,25000,0,25000,0,133100000,0,133100000,0,5324.0,5324.0,,,0.0,1387-10-04
2008-12-27,1,0,2,1,100000,0,60000,40000,516500000,0,309900000,206600000,5165.0,5165.0,,5165.0,40000.0,1387-10-07
2008-12-28,2,0,1,1,31000,0,2820,28180,155341000,0,14131020,141209980,5011.0,5011.0,,5011.0,28180.0,1387-10-08
2008-12-29,1,0,1,0,20000,0,20000,0,97220000,0,97220000,0,4861.0,4861.0,,,0.0,1387-10-09
2008-12-30,1,0,1,0,20000,0,20000,0,94320000,0,94320000,0,4716.0,4716.0,,,0.0,1387-10-10
2009-01-05,2,0,1,0,1200,0,1200,0,5490000,0,5490000,0,4575.0,4575.0,,,0.0,1387-10-16
2009-06-01,11,0,3,1,30110,0,15110,15000,131881740,0,62854650,69027090,4379.998007306543,4159.804765056254,,4601.806,15000.0,1388-03-11
2009-06-02,3,0,1,0,5000,0,5000,0,22555000,0,22555000,0,4511.0,4511.0,,,0.0,1388-03-12
2009-06-03,2,0,2,0,2100,0,2100,0,9647400,0,9647400,0,4594.0,4594.0,,,0.0,1388-03-13
2009-06-06,1,0,3,0,5348,0,5348,0,24755892,0,24755892,0,4629.0,4629.0,,,0.0,1388-03-16
2009-06-07,1,0,1,0,100,0,100,0,472000,0,472000,0,4720.0,4720.0,,,0.0,1388-03-17
2009-06-08,1,0,1,0,100,0,100,0,472200,0,472200,0,4722.0,4722.0,,,0.0,1388-03-18
2009-06-09,1,0,1,0,6550,0,6550,0,30942200,0,30942200,0,4724.0,4724.0,,,0.0,1388-03-19
