date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-02-21,2,0,1,1,5128,0,100,5028,1040600,0,20000,1020600,202.92511700468015,200.0,,202.98329355608595,5028.0,1387-12-03
2009-02-23,1,0,1,0,2000,0,2000,0,418000,0,418000,0,209.0,209.0,,,0.0,1387-12-05
2009-02-25,1,0,1,0,750,0,750,0,156750,0,156750,0,209.0,209.0,,,0.0,1387-12-07
2009-03-04,4,0,6,1,115601,0,115501,100,24160609,0,24139709,20900,209.0,209.0,,209.0,100.0,1387-12-14
2009-03-30,1,0,1,0,5000,0,5000,0,1075000,0,1075000,0,215.0,215.0,,,0.0,1388-01-10
2009-03-31,2,0,1,0,30028,0,30028,0,6486048,0,6486048,0,216.0,216.0,,,0.0,1388-01-11
2009-04-15,1,0,1,0,5315,0,5315,0,1174615,0,1174615,0,221.0,221.0,,,0.0,1388-01-26
2009-04-18,1,0,0,1,50,0,0,50,11100,0,0,11100,222.0,,,222.0,50.0,1388-01-29
2009-04-19,1,0,0,1,50,0,0,50,11400,0,0,11400,228.0,,,228.0,50.0,1388-01-30
2009-04-20,1,0,0,1,50,0,0,50,11700,0,0,11700,234.0,,,234.0,50.0,1388-01-31
2009-04-21,1,0,1,0,320,0,320,0,77120,0,77120,0,241.0,241.0,,,0.0,1388-02-01
2009-04-26,1,0,1,0,5,0,5,0,1240,0,1240,0,248.0,248.0,,,0.0,1388-02-06
2009-04-27,1,0,0,1,2900,0,0,2900,739500,0,0,739500,255.0,,,255.0,2900.0,1388-02-07
2009-04-29,1,0,1,0,10000,0,10000,0,2620000,0,2620000,0,262.0,262.0,,,0.0,1388-02-09
2009-05-04,1,0,1,0,5,0,5,0,1345,0,1345,0,269.0,269.0,,,0.0,1388-02-14
2009-05-05,1,0,0,1,50,0,0,50,13850,0,0,13850,277.0,,,277.0,50.0,1388-02-15
2009-05-06,1,0,1,0,10676,0,10676,0,3042660,0,3042660,0,285.0,285.0,,,0.0,1388-02-16
2009-05-16,1,0,0,1,50,0,0,50,14650,0,0,14650,293.0,,,293.0,50.0,1388-02-26
2009-05-17,1,0,0,1,50,0,0,50,15050,0,0,15050,301.0,,,301.0,50.0,1388-02-27
2009-05-18,1,0,1,1,55,0,5,50,17050,0,1550,15500,310.0,310.0,,310.0,50.0,1388-02-28
2009-05-19,1,0,1,0,25,0,25,0,7975,0,7975,0,319.0,319.0,,,0.0,1388-02-29
2009-05-20,1,0,1,0,20,0,20,0,6560,0,6560,0,328.0,328.0,,,0.0,1388-02-30
2009-05-25,1,0,0,1,30,0,0,30,10110,0,0,10110,337.0,,,337.0,30.0,1388-03-04
2009-05-26,1,0,3,1,53216,0,13150,40066,18465952,0,4563050,13902902,347.0,347.0,,347.0,40066.0,1388-03-05
2009-05-27,1,0,0,1,30,0,0,30,10710,0,0,10710,357.0,,,357.0,30.0,1388-03-06
2009-05-30,1,0,1,0,5000,0,5000,0,1835000,0,1835000,0,367.0,367.0,,,0.0,1388-03-09
2009-06-07,1,0,1,0,260,0,260,0,95680,0,95680,0,368.0,368.0,,,0.0,1388-03-17
2009-06-10,1,0,1,0,460,0,460,0,169280,0,169280,0,368.0,368.0,,,0.0,1388-03-20
2009-06-14,1,0,0,1,50,0,0,50,18400,0,0,18400,368.0,,,368.0,50.0,1388-03-24
2009-06-15,1,0,1,0,5000,0,5000,0,1895000,0,1895000,0,379.0,379.0,,,0.0,1388-03-25
2009-06-16,4,0,2,0,50690,0,50690,0,19769100,0,19769100,0,390.0,390.0,,,0.0,1388-03-26
2009-06-17,1,0,1,0,3000,0,3000,0,1203000,0,1203000,0,401.0,401.0,,,0.0,1388-03-27
2009-06-23,1,0,2,0,306,0,306,0,123012,0,123012,0,402.0,402.0,,,0.0,1388-04-02
2009-06-28,1,0,4,0,2128,0,2128,0,855456,0,855456,0,402.0,402.0,,,0.0,1388-04-07
2009-09-07,7,2,14,1,63343,50430,113373,400,34175042,30189440,64123682,240800,539.5235779802031,565.5992343856121,598.6404917707714,602.0,-50030.0,1388-06-16
2009-09-08,12,0,4,1,84462,0,74462,10000,49117156,0,43316884,5800272,581.5296346285903,581.7314066235126,,580.0272,10000.0,1388-06-17
2009-09-09,4,0,2,0,21000,0,21000,0,12579000,0,12579000,0,599.0,599.0,,,0.0,1388-06-18
2009-09-13,1,0,1,0,500,0,500,0,304000,0,304000,0,608.0,608.0,,,0.0,1388-06-22
2009-09-16,1,0,2,0,1270,0,1270,0,772160,0,772160,0,608.0,608.0,,,0.0,1388-06-25
2009-09-21,1,0,1,0,660,0,660,0,401940,0,401940,0,609.0,609.0,,,0.0,1388-06-30
2009-09-22,1,0,1,0,1660,0,1660,0,1010940,0,1010940,0,609.0,609.0,,,0.0,1388-06-31
2009-09-27,1,0,2,0,6060,0,6060,0,3696600,0,3696600,0,610.0,610.0,,,0.0,1388-07-05
2010-03-28,16,1,21,2,256375,10000,249970,16405,238587665,9020000,232477440,15130225,930.6198537298878,930.0213625635076,902.0,922.293508076806,6405.0,1389-01-08
2010-03-29,5,0,8,1,124438,0,120843,3595,119370268,0,115911878,3458390,959.275044600524,959.1939789644416,,962.0,3595.0,1389-01-09
2010-03-30,3,0,5,0,31883,0,31883,0,30702095,0,30702095,0,962.9612959884578,962.9612959884578,,,0.0,1389-01-10
2010-04-03,9,0,9,0,75782,0,75782,0,71200508,0,71200508,0,939.5437966799504,939.5437966799504,,,0.0,1389-01-14
2010-04-04,8,0,5,0,104469,0,104469,0,96055610,0,96055610,0,919.465200202931,919.465200202931,,,0.0,1389-01-15
2010-04-05,9,0,7,0,128705,0,128705,0,117184500,0,117184500,0,910.489102987452,910.489102987452,,,0.0,1389-01-16
2010-04-06,2,0,2,0,29475,0,29475,0,26311700,0,26311700,0,892.6785411365564,892.6785411365564,,,0.0,1389-01-17
2010-04-07,6,0,6,0,96112,0,96112,0,84214969,0,84214969,0,876.2170072415515,876.2170072415515,,,0.0,1389-01-18
2010-04-10,10,0,4,0,17204,0,17204,0,15230300,0,15230300,0,885.2766798418972,885.2766798418972,,,0.0,1389-01-21
2010-04-11,11,0,4,1,49117,0,39127,9990,44696470,0,35605570,9090900,910.0,910.0,,910.0,9990.0,1389-01-22
2010-04-12,4,0,5,0,19602,0,19602,0,18202786,0,18202786,0,928.6188144066932,928.6188144066932,,,0.0,1389-01-23
2010-04-13,11,0,4,0,14725,0,14725,0,13289625,0,13289625,0,902.521222410866,902.521222410866,,,0.0,1389-01-24
2010-04-14,4,0,3,0,24634,0,24634,0,21896721,0,21896721,0,888.8820735568726,888.8820735568726,,,0.0,1389-01-25
2010-04-17,2,0,2,0,5300,0,5300,0,4662700,0,4662700,0,879.7547169811321,879.7547169811321,,,0.0,1389-01-28
2010-04-18,1,0,2,0,4900,0,4900,0,4316900,0,4316900,0,881.0,881.0,,,0.0,1389-01-29
2010-04-19,3,0,1,0,6393,0,6393,0,5875167,0,5875167,0,919.0,919.0,,,0.0,1389-01-30
2010-04-20,2,0,1,0,18200,0,18200,0,15779400,0,15779400,0,867.0,867.0,,,0.0,1389-01-31
2010-04-21,2,0,3,0,7319,0,7319,0,6345573,0,6345573,0,867.0,867.0,,,0.0,1389-02-01
2010-04-25,1,0,1,1,2459,0,2000,459,2131953,0,1734000,397953,867.0,867.0,,867.0,459.0,1389-02-05
2010-04-26,2,0,3,0,24000,0,24000,0,20454980,0,20454980,0,852.2908333333334,852.2908333333334,,,0.0,1389-02-06
2010-04-27,9,0,8,0,155474,0,155474,0,130881342,0,130881342,0,841.8214106538713,841.8214106538713,,,0.0,1389-02-07
2010-04-28,6,0,1,1,34425,0,4330,30095,27987525,0,3520290,24467235,813.0,813.0,,813.0,30095.0,1389-02-08
2010-05-01,4,0,5,1,46155,0,36250,9905,36973795,0,29158750,7815045,801.0788646950493,804.3793103448276,,789.0,9905.0,1389-02-11
2010-05-02,2,0,4,0,7867,0,7867,0,6521743,0,6521743,0,829.0,829.0,,,0.0,1389-02-12
2010-05-03,5,0,4,0,45453,0,45453,0,37953255,0,37953255,0,835.0,835.0,,,0.0,1389-02-13
2010-05-05,3,0,3,0,31902,0,31902,0,27563328,0,27563328,0,864.0,864.0,,,0.0,1389-02-15
2010-05-08,1,0,6,0,24600,0,24600,0,21844800,0,21844800,0,888.0,888.0,,,0.0,1389-02-18
2010-05-09,11,0,17,0,188152,0,188152,0,170465712,0,170465712,0,906.0,906.0,,,0.0,1389-02-19
2010-05-10,5,0,3,0,43248,0,43248,0,39442380,0,39442380,0,912.004716981132,912.004716981132,,,0.0,1389-02-20
2010-05-11,3,0,1,0,2911,0,2911,0,2564591,0,2564591,0,881.0,881.0,,,0.0,1389-02-21
2010-05-18,2,0,11,0,50000,0,50000,0,43990866,0,43990866,0,879.81732,879.81732,,,0.0,1389-02-28
2010-05-19,4,0,2,0,59298,0,59298,0,50879250,0,50879250,0,858.026408985126,858.026408985126,,,0.0,1389-02-29
2010-05-22,2,0,4,0,38550,0,38550,0,32005050,0,32005050,0,830.2217898832685,830.2217898832685,,,0.0,1389-03-01
2010-05-23,5,0,6,0,36681,0,36681,0,30256906,0,30256906,0,824.8658978762847,824.8658978762847,,,0.0,1389-03-02
2010-05-24,1,0,2,0,5145,0,5145,0,4373565,0,4373565,0,850.0612244897959,850.0612244897959,,,0.0,1389-03-03
2010-05-25,1,0,1,0,2000,0,2000,0,1642000,0,1642000,0,821.0,821.0,,,0.0,1389-03-04
2010-05-26,1,0,4,0,5289,0,5289,0,4336980,0,4336980,0,820.0,820.0,,,0.0,1389-03-05
2010-05-29,1,0,1,0,5990,0,5990,0,4971700,0,4971700,0,830.0,830.0,,,0.0,1389-03-08
2010-05-30,3,0,6,0,48236,0,48236,0,39584420,0,39584420,0,820.6406003814578,820.6406003814578,,,0.0,1389-03-09
2010-05-31,2,0,3,0,25600,0,25600,0,21696400,0,21696400,0,847.515625,847.515625,,,0.0,1389-03-10
2010-06-01,3,0,3,0,12335,0,12335,0,10662435,0,10662435,0,864.4049452776652,864.4049452776652,,,0.0,1389-03-11
2010-06-06,1,0,1,0,3090,0,3090,0,2533800,0,2533800,0,820.0,820.0,,,0.0,1389-03-16
2010-06-07,2,0,1,0,4000,0,4000,0,3320000,0,3320000,0,830.0,830.0,,,0.0,1389-03-17
2010-06-08,2,0,1,0,13818,0,13818,0,11257248,0,11257248,0,814.6799826313504,814.6799826313504,,,0.0,1389-03-18
2010-06-09,1,0,1,0,5000,0,5000,0,4100000,0,4100000,0,820.0,820.0,,,0.0,1389-03-19
2010-06-12,2,0,2,0,7592,0,7592,0,6177848,0,6177848,0,813.7312961011592,813.7312961011592,,,0.0,1389-03-22
2010-06-13,1,0,2,0,1440,0,1440,0,1167840,0,1167840,0,811.0,811.0,,,0.0,1389-03-23
2010-06-14,1,0,1,0,260,0,260,0,210600,0,210600,0,810.0,810.0,,,0.0,1389-03-24
2010-06-15,2,0,6,0,4911,0,4911,0,3973064,0,3973064,0,809.0132355935655,809.0132355935655,,,0.0,1389-03-25
2010-06-29,1,0,3,0,1060,0,1060,0,840580,0,840580,0,793.0,793.0,,,0.0,1389-04-08
2010-06-30,1,0,1,0,1200,0,1200,0,952800,0,952800,0,794.0,794.0,,,0.0,1389-04-09
2010-07-03,4,0,4,0,39429,0,39429,0,33277871,0,33277871,0,843.994800781151,843.994800781151,,,0.0,1389-04-12
2010-07-06,2,0,1,0,3282,0,3282,0,2762162,0,2762162,0,841.6093845216332,841.6093845216332,,,0.0,1389-04-15
2010-07-17,3,1,3,0,12000,5000,17000,0,9732000,4197100,13929100,0,811.0,819.3588235294118,839.42,,-5000.0,1389-04-26
2010-07-18,8,0,9,0,60871,0,60871,0,48803738,0,48803738,0,801.7567971612098,801.7567971612098,,,0.0,1389-04-27
2010-07-19,2,0,1,0,12500,0,12500,0,10000000,0,10000000,0,800.0,800.0,,,0.0,1389-04-28
2010-07-20,2,0,5,0,40022,0,40022,0,33254186,0,33254186,0,830.897656289041,830.897656289041,,,0.0,1389-04-29
2010-07-21,4,1,6,0,56242,50000,106242,0,46769444,40805960,87575404,0,831.5750506738736,824.3011614992188,816.1192,,-50000.0,1389-04-30
2010-07-24,3,0,11,0,229119,0,229119,0,195983476,0,195983476,0,855.3785412820412,855.3785412820412,,,0.0,1389-05-02
2010-07-25,0,1,6,0,0,40027,40027,0,0,35584003,35584003,0,,889.0,889.0,,-40027.0,1389-05-03
2010-07-26,19,1,10,1,302846,30000,261530,71316,274507260,27234729,238067281,63674708,906.4252458345164,910.286701334455,907.8243,892.8530484042851,41316.0,1389-05-04
2010-07-28,14,0,21,2,545390,0,410043,135347,503973660,0,380579273,123394387,924.061057225105,928.1447872540195,,911.6891176014244,135347.0,1389-05-06
2010-07-31,4,0,5,1,50509,0,45509,5000,45036492,0,40436492,4600000,891.6528143499179,888.5383550506493,,920.0,5000.0,1389-05-09
2010-08-01,9,0,8,0,114661,0,114661,0,100065040,0,100065040,0,872.7033603404819,872.7033603404819,,,0.0,1389-05-10
2010-08-02,6,1,7,0,45286,29973,75259,0,40980402,27118504,68098906,0,904.9243033166985,904.8606279647616,904.7644213125146,,-29973.0,1389-05-11
2010-08-03,20,1,17,0,463066,10000,473066,0,435092250,9409200,444501450,0,939.5901448173696,939.618256226404,940.92,,-10000.0,1389-05-12
2010-08-04,13,1,6,0,225437,900,226337,0,215186799,873000,216059799,0,954.5318603423572,954.59336741231,970.0,,-900.0,1389-05-13
2010-08-07,4,2,4,0,26000,10900,36900,0,24171250,10025000,34196250,0,929.6634615384615,926.7276422764228,919.724770642202,,-10900.0,1389-05-16
2010-08-08,5,1,6,0,104970,50,105020,0,96107035,46500,96153535,0,915.5666857197294,915.5735574176348,930.0,,-50.0,1389-05-17
