date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2012-06-19,65,2,32,1,1230600,440000,670600,1000000,1474686876,528400000,803086876,1200000000,1198.3478595806923,1197.5646823739935,1200.909090909091,1200.0,560000.0,1391-03-30
2012-06-20,4,0,3,0,26174,0,26174,0,29838360,0,29838360,0,1140.0,1140.0,,,0.0,1391-03-31
2012-06-23,1,0,1,0,10,0,10,0,10830,0,10830,0,1083.0,1083.0,,,0.0,1391-04-03
2012-06-24,5,2,19,1,62001,523171,485172,100000,63799029,538342959,499241988,102900000,1029.0,1029.0,1029.0,1029.0,-423171.0,1391-04-04
2012-06-25,1,1,7,1,5000,31778,30947,5831,5150000,32645315,31795216,6000099,1030.0,1027.4086664297024,1027.2929385109196,1029.0,-25947.0,1391-04-05
2012-06-26,8,1,9,0,101061,40000,141061,0,105092832,41240000,146332832,0,1039.8950336925222,1037.372711096618,1031.0,,-40000.0,1391-04-06
2012-06-27,2,1,1,0,856,4144,5000,0,930128,4326336,5256464,0,1086.5981308411217,1051.2928,1044.0,,-4144.0,1391-04-07
2012-06-30,6,1,4,0,2070,20000,22070,0,2218150,20600000,22818150,0,1071.570048309179,1033.8989578613505,1030.0,,-20000.0,1391-04-10
2012-07-01,3,1,17,0,27748,106757,134505,0,28098000,109716449,137814449,0,1012.6135216952572,1024.604654102078,1027.7213578500707,,-106757.0,1391-04-11
2012-07-02,2,0,2,0,2030,0,2030,0,2101290,0,2101290,0,1035.1182266009853,1035.1182266009853,,,0.0,1391-04-12
2012-07-03,5,1,4,0,27119,27642,54761,0,27799994,28873050,56673044,0,1025.1113241638704,1034.9161629626924,1044.5354894725417,,-27642.0,1391-04-13
2012-07-04,9,0,4,0,54116,0,54116,0,53424888,0,53424888,0,987.2290634932368,987.2290634932368,,,0.0,1391-04-14
2012-07-07,1,1,2,0,60,20000,20060,0,60360,20060000,20120360,0,1006.0,1003.0089730807578,1003.0,,-20000.0,1391-04-17
2012-07-08,5,1,2,0,3500,1000,4500,0,3451100,1000000,4451100,0,986.0285714285716,989.1333333333332,1000.0,,-1000.0,1391-04-18
2012-07-09,1,1,3,0,100,8669,8769,0,100100,8408930,8509030,0,1001.0,970.3535180750372,970.0,,-8669.0,1391-04-19
2012-07-10,4,0,4,0,4297,0,4297,0,3966379,0,3966379,0,923.0577146846636,923.0577146846636,,,0.0,1391-04-20
2012-07-11,3,0,4,0,5250,0,5250,0,5087250,0,5087250,0,969.0,969.0,,,0.0,1391-04-21
2012-07-14,1,1,5,1,2700,13070,13739,2031,2742531,13250744,13929779,2063496,1015.7522222222224,1013.885945119732,1013.828921193573,1016.0,-11039.0,1391-04-24
2012-07-15,3,0,2,1,7323,0,6323,1000,7060372,0,6096372,964000,964.136556056261,964.1581527755812,,964.0,1000.0,1391-04-25
2012-07-16,5,0,5,0,8670,0,8670,0,8096280,0,8096280,0,933.8269896193772,933.8269896193772,,,0.0,1391-04-26
