date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-02,9,3,21,2,44326,291760,176076,160010,67344279,440247055,267576234,240015100,1519.2951992058836,1519.663293123424,1508.93561488895,1500.0006249609398,-131750.0,1387-09-12
2008-12-03,19,8,30,4,404671,647947,765949,286669,592917205,949331855,1122266608,419982452,1465.183334115862,1465.1975627620116,1465.1381285815044,1465.043140346532,-361278.0,1387-09-13
2008-12-07,1,1,9,0,859,66644,67503,0,1258435,100450089,101708524,0,1465.0,1506.7259825489236,1507.2638046935958,,-66644.0,1387-09-17
2008-12-08,0,1,1,0,0,28800,28800,0,0,43574400,43574400,0,,1513.0,1513.0,,-28800.0,1387-09-18
2008-12-10,1,1,6,0,3283,79236,82519,0,4973745,120042540,125016285,0,1515.0,1515.0,1515.0,,-79236.0,1387-09-20
2008-12-13,1,0,1,0,871,0,871,0,1323920,0,1323920,0,1520.0,1520.0,,,0.0,1387-09-23
2008-12-14,2,1,6,0,2411,32302,34713,0,3664720,49099040,52763760,0,1520.0,1520.0,1520.0,,-32302.0,1387-09-24
2008-12-15,10,0,3,0,58536,0,58536,0,89091792,0,89091792,0,1522.0,1522.0,,,0.0,1387-09-25
2008-12-16,23,1,0,1,389803,210197,0,600000,594839378,320760622,0,915600000,1526.0,,1526.0,1526.0,389803.0,1387-09-26
2008-12-20,5,2,4,1,90000,340225,10225,420000,140850000,532452125,16002125,657300000,1565.0,1565.0,1565.0,1565.0,79775.0,1387-09-30
2008-12-21,5,1,6,1,108136,600000,8136,700000,172368784,956400000,12968784,1115800000,1594.0,1594.0,1594.0,1594.0,100000.0,1387-10-01
2008-12-22,39,3,31,2,280053,2277155,956708,1600500,458661071,3736460309,1568700880,2626420500,1637.7652480066274,1639.6861738377854,1640.8458400943282,1641.0,-676655.0,1387-10-02
2008-12-23,16,1,24,0,101712,36960,138672,0,164178979,59136000,223314979,0,1614.1554487179487,1610.3826223029882,1600.0,,-36960.0,1387-10-03
2008-12-24,10,2,26,0,119591,240293,359884,0,194345284,384666650,579011934,0,1625.0828574056577,1608.8849018016915,1600.8233698026993,,-240293.0,1387-10-04
2008-12-27,6,1,27,0,74724,200000,274724,0,119575766,320145200,439720966,0,1600.2324019056796,1600.5917429856877,1600.726,,-200000.0,1387-10-07
2008-12-28,8,1,17,0,24568,20000,44568,0,39422584,32163300,71585884,0,1604.6313904265712,1606.2171064440854,1608.165,,-20000.0,1387-10-08
