date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-30,0,2,1,1,0,335,325,10,0,474790,460200,14590,,1416.0,1417.2835820895525,1459.0,-325.0,1387-09-10
2008-12-01,0,2,1,2,0,8965,7862,1103,0,12694830,11132592,1562238,,1416.0,1416.0435025097602,1416.3535811423392,-7862.0,1387-09-11
2008-12-03,0,2,2,1,0,5730,5720,10,0,8114050,8099520,14530,,1416.0,1416.064572425829,1453.0,-5720.0,1387-09-13
2008-12-21,1,0,1,0,552,0,552,0,778320,0,778320,0,1410.0,1410.0,,,0.0,1387-10-01
2009-02-15,1,0,1,0,2500,0,2500,0,3525000,0,3525000,0,1410.0,1410.0,,,0.0,1387-11-27
2009-04-20,1,1,2,0,5300,10000,15300,0,5503000,10000000,15503000,0,1038.301886792453,1013.2679738562092,1000.0,,-10000.0,1388-01-31
2009-04-22,1,0,1,1,4050,0,3645,405,4224150,0,3801735,422415,1043.0,1043.0,,1043.0,405.0,1388-02-02
2009-04-25,1,0,2,0,1405,0,1405,0,1466820,0,1466820,0,1044.0,1044.0,,,0.0,1388-02-05
2009-05-10,1,0,1,0,300,0,300,0,313200,0,313200,0,1044.0,1044.0,,,0.0,1388-02-20
2009-05-11,1,0,1,0,3500,0,3500,0,3654000,0,3654000,0,1044.0,1044.0,,,0.0,1388-02-21
2009-05-12,1,0,0,1,10,0,0,10,10450,0,0,10450,1045.0,,,1045.0,10.0,1388-02-22
2009-05-18,1,0,1,0,500,0,500,0,538000,0,538000,0,1076.0,1076.0,,,0.0,1388-02-28
2009-05-23,1,0,1,0,100,0,100,0,107600,0,107600,0,1076.0,1076.0,,,0.0,1388-03-02
2009-05-25,3,0,0,1,25000,0,0,25000,27700000,0,0,27700000,1108.0,,,1108.0,25000.0,1388-03-04
2009-05-26,1,0,1,0,5000,0,5000,0,5705000,0,5705000,0,1141.0,1141.0,,,0.0,1388-03-05
2009-05-27,0,1,1,0,0,5900,5900,0,0,6743700,6743700,0,,1143.0,1143.0,,-5900.0,1388-03-06
2009-05-30,0,1,2,0,0,21000,21000,0,0,24045000,24045000,0,,1145.0,1145.0,,-21000.0,1388-03-09
2009-05-31,1,0,1,0,100,0,100,0,115200,0,115200,0,1152.0,1152.0,,,0.0,1388-03-10
2009-06-03,4,1,1,0,34948,20000,54948,0,40260096,23040000,63300096,0,1152.0,1152.0,1152.0,,-20000.0,1388-03-13
2009-06-06,4,0,1,0,11900,0,11900,0,13946800,0,13946800,0,1172.0,1172.0,,,0.0,1388-03-16
2009-06-14,1,0,1,0,1108,0,1108,0,1303008,0,1303008,0,1176.0,1176.0,,,0.0,1388-03-24
2009-06-15,2,0,1,0,5852,0,5852,0,6881952,0,6881952,0,1176.0,1176.0,,,0.0,1388-03-25
2009-06-16,2,0,3,0,9312,0,9312,0,10855920,0,10855920,0,1165.798969072165,1165.798969072165,,,0.0,1388-03-26
2009-06-28,10,1,9,0,130377,1036,131413,0,181591150,1367520,182958670,0,1392.815834081165,1392.241787342196,1320.0,,-1036.0,1388-04-07
2009-06-29,2,0,1,0,10000,0,10000,0,14330000,0,14330000,0,1433.0,1433.0,,,0.0,1388-04-08
2009-06-30,3,0,1,1,20100,0,100,20000,28883700,0,143700,28740000,1437.0,1437.0,,1437.0,20000.0,1388-04-09
2009-07-01,16,1,5,2,170091,38954,62145,146900,245804613,56327484,89824697,212307400,1445.1359154805368,1445.405052699332,1446.0,1445.2511912865896,107946.0,1388-04-10
2009-07-12,5,0,4,1,63000,0,60000,3000,66407000,0,63110000,3297000,1054.079365079365,1051.8333333333333,,1099.0,3000.0,1388-04-21
2009-07-13,4,0,4,0,25900,0,25900,0,28101500,0,28101500,0,1085.0,1085.0,,,0.0,1388-04-22
2009-07-14,2,0,1,0,2950,0,2950,0,3068000,0,3068000,0,1040.0,1040.0,,,0.0,1388-04-23
2009-07-19,1,1,3,0,10000,27000,37000,0,10300000,27810000,38110000,0,1030.0,1030.0,1030.0,,-27000.0,1388-04-28
2009-07-21,2,0,1,1,70954,0,35000,35954,72231172,0,35630000,36601172,1018.0,1018.0,,1018.0,35954.0,1388-04-30
2009-07-22,2,1,2,0,20000,9000,29000,0,19941000,8964000,28905000,0,997.05,996.7241379310344,996.0,,-9000.0,1388-04-31
2009-07-26,1,0,1,0,1879,0,1879,0,1877121,0,1877121,0,999.0,999.0,,,0.0,1388-05-04
2009-07-28,2,0,1,0,1010,0,1010,0,996870,0,996870,0,987.0,987.0,,,0.0,1388-05-06
2009-08-02,1,0,1,0,3023,0,3023,0,2983701,0,2983701,0,987.0,987.0,,,0.0,1388-05-11
2009-08-08,0,1,3,0,0,10000,10000,0,0,9860000,9860000,0,,986.0,986.0,,-10000.0,1388-05-17
2009-08-09,1,1,2,0,5000,40000,45000,0,4915000,39320000,44235000,0,983.0,983.0,983.0,,-40000.0,1388-05-18
2009-08-10,1,1,2,0,1000,11000,12000,0,970000,10670000,11640000,0,970.0,970.0,970.0,,-11000.0,1388-05-19
2009-08-12,0,1,2,0,0,20000,20000,0,0,19320000,19320000,0,,966.0,966.0,,-20000.0,1388-05-21
2009-08-15,2,1,1,0,35954,10000,45954,0,34515840,9610000,44125840,0,960.0,960.2176089132612,961.0,,-10000.0,1388-05-24
2009-08-16,1,1,1,0,3886,20000,23886,0,3676156,18920000,22596156,0,946.0,946.0,946.0,,-20000.0,1388-05-25
2009-08-17,1,0,2,0,2840,0,2840,0,2726400,0,2726400,0,960.0,960.0,,,0.0,1388-05-26
2009-08-18,2,0,1,0,4300,0,4300,0,4042000,0,4042000,0,940.0,940.0,,,0.0,1388-05-27
