date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-01-25,0,1,4,0,0,23344,23344,0,0,21426480,21426480,0,,917.8581220013708,917.8581220013708,,-23344.0,1387-11-06
2009-05-04,1,0,2,1,7500,0,7400,100,6682500,0,6593400,89100,891.0,891.0,,891.0,100.0,1388-02-14
2009-05-06,4,0,1,0,3900,0,3900,0,3459300,0,3459300,0,887.0,887.0,,,0.0,1388-02-16
2009-05-09,1,0,1,0,2100,0,2100,0,1858500,0,1858500,0,885.0,885.0,,,0.0,1388-02-19
2009-05-10,3,0,2,0,8000,0,8000,0,7072000,0,7072000,0,884.0,884.0,,,0.0,1388-02-20
2009-05-12,1,0,1,0,950,0,950,0,836000,0,836000,0,880.0,880.0,,,0.0,1388-02-22
2009-09-01,1,0,2,0,9000,0,9000,0,6300000,0,6300000,0,700.0,700.0,,,0.0,1388-06-10
2009-09-08,1,0,2,1,20000,0,10000,10000,13580000,0,6790000,6790000,679.0,679.0,,679.0,10000.0,1388-06-17
2009-09-23,1,0,1,0,100,0,100,0,69200,0,69200,0,692.0,692.0,,,0.0,1388-07-01
2009-09-26,2,0,1,0,4900,0,4900,0,3390800,0,3390800,0,692.0,692.0,,,0.0,1388-07-04
2010-04-07,2,0,2,0,2542,0,2542,0,2393214,0,2393214,0,941.468922108576,941.468922108576,,,0.0,1389-01-18
2010-04-10,4,1,8,0,32543,75000,107543,0,31367583,72865000,104232583,0,963.881111145254,969.2177361613494,971.5333333333332,,-75000.0,1389-01-21
2010-04-11,2,0,3,0,7894,0,7894,0,7844911,0,7844911,0,993.7814796047631,993.7814796047631,,,0.0,1389-01-22
2010-04-12,4,0,6,0,21038,0,21038,0,21129740,0,21129740,0,1004.3606806730678,1004.3606806730678,,,0.0,1389-01-23
2010-04-13,2,1,3,0,10100,10000,20100,0,10273862,9800000,20073862,0,1017.2140594059406,998.6996019900496,980.0,,-10000.0,1389-01-24
2010-04-14,1,0,1,0,10000,0,10000,0,9600000,0,9600000,0,960.0,960.0,,,0.0,1389-01-25
2010-04-17,1,0,1,0,10000,0,10000,0,9600000,0,9600000,0,960.0,960.0,,,0.0,1389-01-28
2010-04-18,2,0,7,0,38100,0,38100,0,37566300,0,37566300,0,985.992125984252,985.992125984252,,,0.0,1389-01-29
