date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-03,0,2,1,1,0,20,10,10,0,113160,55720,57440,,5572.0,5658.0,5744.0,-10.0,1387-09-13
2008-12-13,2,0,2,0,6350,0,6350,0,35382200,0,35382200,0,5572.0,5572.0,,,0.0,1387-09-23
2008-12-20,2,0,1,0,5300,0,5300,0,29298400,0,29298400,0,5528.0,5528.0,,,0.0,1387-09-30
2008-12-23,2,0,1,0,2700,0,2700,0,14480100,0,14480100,0,5363.0,5363.0,,,0.0,1387-10-03
2008-12-30,2,0,1,0,12000,0,12000,0,62436000,0,62436000,0,5203.0,5203.0,,,0.0,1387-10-10
2008-12-31,1,0,1,0,1900,0,1900,0,9589300,0,9589300,0,5047.0,5047.0,,,0.0,1387-10-11
2009-01-03,1,0,1,0,500,0,500,0,2518000,0,2518000,0,5036.0,5036.0,,,0.0,1387-10-14
2009-01-04,3,0,5,0,16800,0,16800,0,84554400,0,84554400,0,5033.0,5033.0,,,0.0,1387-10-15
2009-01-05,19,1,32,1,215671,30000,225671,20000,1067198988,149550000,1117748988,99000000,4948.27300842487,4953.002326395505,4985.0,4950.0,-10000.0,1387-10-16
2009-01-10,1,1,6,0,10000,22720,32720,0,48703384,110177680,158881064,0,4870.3384,4855.778239608802,4849.369718309859,,-22720.0,1387-10-21
2009-01-11,5,1,5,0,4245,10000,14245,0,20109159,47610000,67719159,0,4737.139929328622,4753.889715689716,4761.0,,-10000.0,1387-10-22
2009-01-12,3,1,7,0,8032,10000,18032,0,37869120,46602600,84471720,0,4714.780876494024,4684.545252883762,4660.26,,-10000.0,1387-10-23
2009-01-13,1,2,6,0,5000,37747,42747,0,22860000,172541537,195401537,0,4572.0,4571.116967272557,4571.0,,-37747.0,1387-10-24
2009-01-14,5,1,5,0,13236,31086,44322,0,58866182,137835324,196701506,0,4447.429888183741,4438.010604214612,4434.0,,-31086.0,1387-10-25
2009-01-17,3,0,1,0,3500,0,3500,0,15293750,0,15293750,0,4369.642857142857,4369.642857142857,,,0.0,1387-10-28
2009-01-18,5,0,3,0,14500,0,14500,0,64014261,0,64014261,0,4414.776620689655,4414.776620689655,,,0.0,1387-10-29
2009-01-19,14,2,8,0,58864,10000,68864,0,267688323,45520000,313208323,0,4547.572760940473,4548.215656947026,4552.0,,-10000.0,1387-10-30
2009-01-20,13,0,7,1,45474,0,38840,6634,213000216,0,181926560,31073656,4684.0,4684.0,,4684.0,6634.0,1387-11-01
2009-01-21,13,1,10,0,71200,10000,81200,0,343468800,48240000,391708800,0,4824.0,4824.0,4824.0,,-10000.0,1387-11-02
2009-01-24,12,2,12,0,63100,25000,88100,0,313445800,122760000,436205800,0,4967.4453248811415,4951.257661748014,4910.4,,-25000.0,1387-11-05
2009-01-25,0,1,6,1,0,20000,16615,3385,0,96060000,79801845,16258155,,4803.0,4803.0,4803.0,-16615.0,1387-11-06
2009-01-26,1,0,3,0,7646,0,7646,0,35813864,0,35813864,0,4684.0,4684.0,,,0.0,1387-11-07
