date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-03-12,0,1,0,1,0,10000,0,10000,0,10000000,0,10000000,,,1000.0,1000.0,0.0,1394-12-22
2016-04-03,1,0,1,0,100000,0,100000,0,60000000,0,60000000,0,600.0,600.0,,,0.0,1395-01-15
2016-05-25,1,0,1,0,100000,0,100000,0,60000000,0,60000000,0,600.0,600.0,,,0.0,1395-03-05
2016-06-06,1,0,1,0,4000,0,4000,0,2400000,0,2400000,0,600.0,600.0,,,0.0,1395-03-17
2016-06-20,1,1,1,1,50000,10000,50000,10000,30000000,8000000,30000000,8000000,600.0,600.0,800.0,800.0,0.0,1395-03-31
2016-06-29,0,1,0,1,0,10000,0,10000,0,10000000,0,10000000,,,1000.0,1000.0,0.0,1395-04-09
2016-07-10,1,0,1,0,100,0,100,0,100000,0,100000,0,1000.0,1000.0,,,0.0,1395-04-20
2016-08-31,1,0,1,0,50,0,50,0,50000,0,50000,0,1000.0,1000.0,,,0.0,1395-06-10
2016-11-07,0,1,0,1,0,10,0,10,0,10000,0,10000,,,1000.0,1000.0,0.0,1395-08-17
2016-12-14,0,1,2,0,0,199850,199850,0,0,199850000,199850000,0,,1000.0,1000.0,,-199850.0,1395-09-24
2016-12-21,0,1,1,0,0,100000,100000,0,0,100000000,100000000,0,,1000.0,1000.0,,-100000.0,1395-10-01
2016-12-28,0,1,2,0,0,216400,216400,0,0,216400000,216400000,0,,1000.0,1000.0,,-216400.0,1395-10-08
2017-01-04,0,1,2,0,0,200000,200000,0,0,200000000,200000000,0,,1000.0,1000.0,,-200000.0,1395-10-15
2017-03-25,0,1,1,0,0,29166,29166,0,0,29166000,29166000,0,,1000.0,1000.0,,-29166.0,1396-01-05
2017-04-09,1,1,2,0,90,29166,29256,0,90000,29166000,29256000,0,1000.0,1000.0,1000.0,,-29166.0,1396-01-20
2017-04-17,0,1,1,0,0,100000,100000,0,0,100000000,100000000,0,,1000.0,1000.0,,-100000.0,1396-01-28
2017-05-30,0,1,1,0,0,108200,108200,0,0,108200000,108200000,0,,1000.0,1000.0,,-108200.0,1396-03-09
2017-06-10,0,1,2,0,0,200000,200000,0,0,200000000,200000000,0,,1000.0,1000.0,,-200000.0,1396-03-20
2017-07-05,0,1,1,0,0,100000,100000,0,0,100000000,100000000,0,,1000.0,1000.0,,-100000.0,1396-04-14
2017-07-15,0,1,1,0,0,229900,229900,0,0,229900000,229900000,0,,1000.0,1000.0,,-229900.0,1396-04-24
2017-07-18,0,1,1,0,0,100000,100000,0,0,100000000,100000000,0,,1000.0,1000.0,,-100000.0,1396-04-27
2017-08-19,0,1,0,1,0,1000,0,1000,0,1000000,0,1000000,,,1000.0,1000.0,0.0,1396-05-28
2017-09-16,1,0,0,1,1000,0,0,1000,1000000,0,0,1000000,1000.0,,,1000.0,1000.0,1396-06-25
2017-09-17,0,1,1,0,0,108200,108200,0,0,108200000,108200000,0,,1000.0,1000.0,,-108200.0,1396-06-26
2017-09-27,0,1,1,0,0,8200,8200,0,0,8200000,8200000,0,,1000.0,1000.0,,-8200.0,1396-07-05
2017-10-14,0,1,1,0,0,100000,100000,0,0,100000000,100000000,0,,1000.0,1000.0,,-100000.0,1396-07-22
2017-11-22,0,1,1,0,0,100000,100000,0,0,100000000,100000000,0,,1000.0,1000.0,,-100000.0,1396-09-01
2018-01-17,1,0,1,0,108200,0,108200,0,108200000,0,108200000,0,1000.0,1000.0,,,0.0,1396-10-27
2018-01-28,1,0,1,0,100000,0,100000,0,100000000,0,100000000,0,1000.0,1000.0,,,0.0,1396-11-08
2018-02-18,3,0,1,0,100000,0,100000,0,110000000,0,110000000,0,1100.0,1100.0,,,0.0,1396-11-29
2018-02-27,2,0,2,0,100073,0,100073,0,121088330,0,121088330,0,1210.0,1210.0,,,0.0,1396-12-08
2018-02-28,22,1,1,1,1950073,250000,73,2200000,2595547163,332750000,97163,2928200000,1331.0,1331.0,1331.0,1331.0,1950000.0,1396-12-09
2018-03-03,76,0,25,1,2781343,0,1230925,1550418,3606308935,0,1598088470,2008220465,1296.60704738682,1298.282567987489,,1295.2767995469608,1550418.0,1396-12-12
2018-03-04,75,0,36,1,2190288,0,1490288,700000,2646450800,0,1817510348,828940452,1208.2661275594808,1219.569873742525,,1184.2006457142857,700000.0,1396-12-13
2018-03-05,42,0,20,1,1630984,0,630984,1000000,1843718058,0,710895358,1132822700,1130.4329521319646,1126.6456170045517,,1132.8227,1000000.0,1396-12-14
2018-03-06,37,0,13,1,748242,0,448242,300000,776382771,0,463973486,312409285,1037.6091839271253,1035.0959660183562,,1041.364283333333,300000.0,1396-12-15
2018-03-07,31,0,16,1,768888,0,436582,332306,762843884,0,423296675,339547209,992.1391464036376,969.5696913752744,,1021.790786203078,332306.0,1396-12-16
2018-03-10,77,1,35,1,3193594,200000,1593594,1800000,3297019355,200000000,1624234604,1872784751,1032.385254669191,1019.2273590387514,1000.0,1040.4359727777778,1600000.0,1396-12-19
2018-03-11,28,1,24,1,1311247,223065,658390,875922,1365072394,223052000,668406294,919718100,1041.049012123574,1015.2133142969972,999.9417210230202,1050.0,652857.0,1396-12-20
