date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-10-30,2,0,3,0,102101,0,102101,0,195991900,0,195991900,0,1919.588446734116,1919.588446734116,,,0.0,1392-08-08
2013-11-12,1,0,1,0,10000,0,10000,0,20000000,0,20000000,0,2000.0,2000.0,,,0.0,1392-08-21
2013-12-22,2,0,2,0,1006,0,1006,0,2432000,0,2432000,0,2417.495029821074,2417.495029821074,,,0.0,1392-10-01
2014-01-01,2,0,2,0,5300,0,5300,0,13750000,0,13750000,0,2594.3396226415093,2594.3396226415093,,,0.0,1392-10-11
2014-01-04,1,0,1,0,10000,0,10000,0,26000000,0,26000000,0,2600.0,2600.0,,,0.0,1392-10-14
2014-01-13,2,0,4,0,16026,0,16026,0,44690200,0,44690200,0,2788.606015225259,2788.606015225259,,,0.0,1392-10-23
2014-01-25,2,0,4,0,36280,0,36280,0,105084000,0,105084000,0,2896.4718853362733,2896.4718853362733,,,0.0,1392-11-05
2014-01-29,1,0,3,0,20576,0,20576,0,62162800,0,62162800,0,3021.1314152410578,3021.1314152410578,,,0.0,1392-11-09
2014-02-05,1,0,1,0,7738,0,7738,0,24374700,0,24374700,0,3150.0,3150.0,,,0.0,1392-11-16
2014-02-17,2,0,2,0,8500,0,8500,0,27157500,0,27157500,0,3195.0,3195.0,,,0.0,1392-11-28
2014-02-18,2,0,2,0,18454,0,18454,0,58499180,0,58499180,0,3170.0,3170.0,,,0.0,1392-11-29
2014-03-04,2,0,2,0,30542,0,30542,0,99150660,0,99150660,0,3246.370899089778,3246.370899089778,,,0.0,1392-12-13
2014-03-05,3,0,1,0,1110,0,1110,0,4283490,0,4283490,0,3859.0,3859.0,,,0.0,1392-12-14
2014-03-08,4,0,2,0,56438,0,56438,0,178690200,0,178690200,0,3166.1327474396685,3166.1327474396685,,,0.0,1392-12-17
2014-03-16,3,0,1,0,6730,0,6730,0,21307180,0,21307180,0,3166.0,3166.0,,,0.0,1392-12-25
2014-03-17,3,0,3,0,3002,0,3002,0,9667502,0,9667502,0,3220.3537641572284,3220.3537641572284,,,0.0,1392-12-26
2014-03-26,1,0,1,0,4871,0,4871,0,16127881,0,16127881,0,3311.0,3311.0,,,0.0,1393-01-06
2014-04-06,1,0,1,0,1500,0,1500,0,4966500,0,4966500,0,3311.0,3311.0,,,0.0,1393-01-17
2014-04-07,2,0,1,0,26027,0,26027,0,85889100,0,85889100,0,3300.0,3300.0,,,0.0,1393-01-18
2014-04-09,2,0,1,0,746,0,746,0,2377200,0,2377200,0,3186.5951742627344,3186.5951742627344,,,0.0,1393-01-20
2014-04-16,1,0,1,0,949,0,949,0,2941900,0,2941900,0,3100.0,3100.0,,,0.0,1393-01-27
2014-04-26,1,0,1,0,5000,0,5000,0,15500000,0,15500000,0,3100.0,3100.0,,,0.0,1393-02-06
2014-04-29,2,0,1,0,14113,0,14113,0,40750300,0,40750300,0,2887.430029051229,2887.430029051229,,,0.0,1393-02-09
2014-04-30,1,0,1,0,5887,0,5887,0,16483600,0,16483600,0,2800.0,2800.0,,,0.0,1393-02-10
2014-05-07,4,0,3,0,12690,0,12690,0,33387390,0,33387390,0,2631.0,2631.0,,,0.0,1393-02-17
2014-05-10,2,0,2,0,4200,0,4200,0,11354400,0,11354400,0,2703.428571428572,2703.428571428572,,,0.0,1393-02-20
2014-05-18,1,0,1,0,233,0,233,0,613023,0,613023,0,2631.0,2631.0,,,0.0,1393-02-28
2014-05-21,3,0,1,0,30,0,30,0,88200,0,88200,0,2940.0,2940.0,,,0.0,1393-02-31
2014-05-25,4,0,6,0,55720,0,55720,0,157474800,0,157474800,0,2826.180904522613,2826.180904522613,,,0.0,1393-03-04
2014-05-31,2,0,1,0,6600,0,6600,0,17820000,0,17820000,0,2700.0,2700.0,,,0.0,1393-03-10
2014-06-03,1,0,1,0,1000,0,1000,0,2631000,0,2631000,0,2631.0,2631.0,,,0.0,1393-03-13
2014-06-08,1,0,1,0,40000,0,40000,0,108000000,0,108000000,0,2700.0,2700.0,,,0.0,1393-03-18
2014-06-09,2,0,2,0,700,0,700,0,1848000,0,1848000,0,2640.0,2640.0,,,0.0,1393-03-19
2014-06-11,1,0,1,0,8662,0,8662,0,22867680,0,22867680,0,2640.0,2640.0,,,0.0,1393-03-21
2014-06-14,1,0,2,0,16954,0,16954,0,44758560,0,44758560,0,2640.0,2640.0,,,0.0,1393-03-24
2014-06-17,1,0,1,0,10000,0,10000,0,26400000,0,26400000,0,2640.0,2640.0,,,0.0,1393-03-27
2014-06-21,3,0,2,0,26384,0,26384,0,69633528,0,69633528,0,2639.233171619163,2639.233171619163,,,0.0,1393-03-31
2014-06-22,1,0,1,0,6000,0,6000,0,15828000,0,15828000,0,2638.0,2638.0,,,0.0,1393-04-01
2014-06-23,2,0,2,0,6243,0,6243,0,18356100,0,18356100,0,2940.269101393561,2940.269101393561,,,0.0,1393-04-02
2014-06-28,5,0,6,0,48149,0,48149,0,139588600,0,139588600,0,2899.0965544455757,2899.0965544455757,,,0.0,1393-04-07
2014-06-29,2,0,3,0,26551,0,26551,0,79481400,0,79481400,0,2993.5369665925955,2993.5369665925955,,,0.0,1393-04-08
2014-07-14,1,0,1,0,3620,0,3620,0,9658160,0,9658160,0,2668.0,2668.0,,,0.0,1393-04-23
2014-08-17,1,0,1,0,1200,0,1200,0,3241200,0,3241200,0,2701.0,2701.0,,,0.0,1393-05-26
2014-08-19,1,0,5,0,21985,0,21985,0,64080714,0,64080714,0,2914.747054810098,2914.747054810098,,,0.0,1393-05-28
2014-08-26,3,0,1,0,18757,0,18757,0,49227627,0,49227627,0,2624.4936290451565,2624.4936290451565,,,0.0,1393-06-04
2014-09-06,1,0,1,0,600,0,600,0,1596000,0,1596000,0,2660.0,2660.0,,,0.0,1393-06-15
2014-09-08,2,0,2,0,12857,0,12857,0,34005334,0,34005334,0,2644.88869876332,2644.88869876332,,,0.0,1393-06-17
2014-09-09,2,0,2,0,5100,0,5100,0,13013000,0,13013000,0,2551.5686274509803,2551.5686274509803,,,0.0,1393-06-18
2014-09-14,1,0,1,0,8000,0,8000,0,19200000,0,19200000,0,2400.0,2400.0,,,0.0,1393-06-23
2014-09-15,1,0,1,0,200000,0,200000,0,480000000,0,480000000,0,2400.0,2400.0,,,0.0,1393-06-24
2014-09-16,2,0,2,0,222569,0,222569,0,534165600,0,534165600,0,2400.0,2400.0,,,0.0,1393-06-25
2014-09-17,1,0,1,0,470,0,470,0,1269000,0,1269000,0,2700.0,2700.0,,,0.0,1393-06-26
2014-09-21,1,0,1,0,460,0,460,0,1012000,0,1012000,0,2200.0,2200.0,,,0.0,1393-06-30
2014-10-06,1,0,1,0,300,0,300,0,690000,0,690000,0,2300.0,2300.0,,,0.0,1393-07-14
2014-10-11,1,0,1,0,5700,0,5700,0,13281000,0,13281000,0,2330.0,2330.0,,,0.0,1393-07-19
2014-10-14,4,0,2,0,108088,0,108088,0,255911096,0,255911096,0,2367.618014950781,2367.618014950781,,,0.0,1393-07-22
2014-10-18,1,0,1,0,300,0,300,0,678600,0,678600,0,2262.0,2262.0,,,0.0,1393-07-26
2014-10-19,2,0,4,0,113443,0,113443,0,289081200,0,289081200,0,2548.2506633287203,2548.2506633287203,,,0.0,1393-07-27
2014-10-22,1,0,2,0,6292,0,6292,0,16359200,0,16359200,0,2600.0,2600.0,,,0.0,1393-07-30
2014-10-27,2,0,1,0,59990,0,59990,0,154505420,0,154505420,0,2575.519586597766,2575.519586597766,,,0.0,1393-08-05
2014-11-02,1,0,1,0,5000,0,5000,0,12995000,0,12995000,0,2599.0,2599.0,,,0.0,1393-08-11
2014-11-05,1,0,7,0,20580,0,20580,0,54724200,0,54724200,0,2659.0962099125363,2659.0962099125363,,,0.0,1393-08-14
2014-11-12,1,0,2,0,10000,0,10000,0,30500000,0,30500000,0,3050.0,3050.0,,,0.0,1393-08-21
2014-11-17,5,0,2,0,22148,0,22148,0,60751400,0,60751400,0,2742.974534946722,2742.974534946722,,,0.0,1393-08-26
2014-11-19,3,0,2,0,65000,0,65000,0,174578000,0,174578000,0,2685.8153846153846,2685.8153846153846,,,0.0,1393-08-28
2014-11-23,1,0,1,0,1450,0,1450,0,3770000,0,3770000,0,2600.0,2600.0,,,0.0,1393-09-02
2014-11-25,1,0,1,0,376,0,376,0,943760,0,943760,0,2510.0,2510.0,,,0.0,1393-09-04
2014-12-02,2,0,1,0,15000,0,15000,0,36770000,0,36770000,0,2451.333333333333,2451.333333333333,,,0.0,1393-09-11
2014-12-07,2,0,1,0,10000,0,10000,0,24660000,0,24660000,0,2466.0,2466.0,,,0.0,1393-09-16
2014-12-09,2,0,2,0,2143,0,2143,0,5754640,0,5754640,0,2685.3196453569763,2685.3196453569763,,,0.0,1393-09-18
2014-12-10,1,0,2,0,19651,0,19651,0,59435500,0,59435500,0,3024.553457839296,3024.553457839296,,,0.0,1393-09-19
2014-12-14,2,0,2,0,9501,0,9501,0,25802423,0,25802423,0,2715.7586569834752,2715.7586569834752,,,0.0,1393-09-23
2014-12-17,1,0,1,0,177,0,177,0,531000,0,531000,0,3000.0,3000.0,,,0.0,1393-09-26
2014-12-24,3,0,2,0,52158,0,52158,0,142442340,0,142442340,0,2730.9777982284595,2730.9777982284595,,,0.0,1393-10-03
2014-12-27,2,0,1,0,9177,0,9177,0,25552060,0,25552060,0,2784.358722894192,2784.358722894192,,,0.0,1393-10-06
2014-12-28,2,0,1,0,54823,0,54823,0,152307940,0,152307940,0,2778.1759480510004,2778.1759480510004,,,0.0,1393-10-07
2014-12-31,1,0,1,0,150,0,150,0,376500,0,376500,0,2510.0,2510.0,,,0.0,1393-10-10
2015-01-03,1,0,1,0,1000,0,1000,0,2621000,0,2621000,0,2621.0,2621.0,,,0.0,1393-10-13
2015-01-05,1,0,1,0,50,0,50,0,131150,0,131150,0,2623.0,2623.0,,,0.0,1393-10-15
2015-01-07,3,0,3,0,88580,0,88580,0,227239030,0,227239030,0,2565.3536915782342,2565.3536915782342,,,0.0,1393-10-17
2015-01-10,3,0,5,0,31360,0,31360,0,80231320,0,80231320,0,2558.3966836734694,2558.3966836734694,,,0.0,1393-10-20
2015-01-11,1,0,3,0,51803,0,51803,0,136487299,0,136487299,0,2634.737351118661,2634.737351118661,,,0.0,1393-10-21
2015-01-18,1,0,1,0,10000,0,10000,0,29000000,0,29000000,0,2900.0,2900.0,,,0.0,1393-10-28
