date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-02-05,1291090,1699,0,1,49059916,64893,0,49124809,1447267522000,1914343500,0,1449181865500,29500.0,,29500.0,29500.0,49059916.0,1398-11-16
2020-02-08,3,0,2025,4,73759,0,73606,153,2284685025,0,2279945850,4739175,30975.0,30975.0,,30975.0,153.0,1398-11-19
2020-02-09,9,0,1870,5,67949,0,67758,191,2209905327,0,2203693434,6211893,32523.0,32523.0,,32523.0,191.0,1398-11-20
2020-02-10,8,0,2482,6,86512,0,86287,225,2954298288,0,2946614763,7683525,34149.0,34149.0,,34149.0,225.0,1398-11-21
2020-02-12,6,0,1741,2,62096,0,62028,68,2226514176,0,2224075968,2438208,35856.0,35856.0,,35856.0,68.0,1398-11-23
2020-02-15,6,0,2426,2,127604,0,127528,76,4804035392,0,4801174144,2861248,37648.0,37648.0,,37648.0,76.0,1398-11-26
2020-02-16,13,0,2777,5,101935,0,101743,192,4029490550,0,4021900790,7589760,39530.0,39530.0,,39530.0,192.0,1398-11-27
2020-02-17,9,0,3251,7,145157,0,144890,267,6024886442,0,6013804340,11082102,41506.0,41506.0,,41506.0,267.0,1398-11-28
2020-02-18,4,0,4477,11,159584,0,159163,421,6954830304,0,6936482703,18347601,43581.0,43581.0,,43581.0,421.0,1398-11-29
2020-02-19,2,0,1290,0,45325,0,45325,0,2074072000,0,2074072000,0,45760.0,45760.0,,,0.0,1398-11-30
2020-02-24,122,0,5793,12,3355763,0,355343,3000420,169210327748,0,17839230024,151371097724,50423.801605774905,50202.8463315726,,50449.969578925615,3000420.0,1398-12-05
2020-02-25,27,0,4211,6,276626,0,276397,229,14645963570,0,14633839165,12124405,52945.0,52945.0,,52945.0,229.0,1398-12-06
2020-02-26,124,7,6950,24,2977104,430000,406221,3000883,165503165568,23904560000,22582637832,166825087736,55592.0,55592.0,55592.0,55592.0,2570883.0,1398-12-07
2020-02-29,39,0,12448,4,740282,0,740128,154,43211000622,0,43202011488,8989134,58371.0,58371.0,,58371.0,154.0,1398-12-10
2020-03-01,92,5,7832,12,3036901,349882,386383,3000400,186128625389,21443917898,23681027687,183891515600,61289.0,61289.0,61289.0,61289.0,2650518.0,1398-12-11
2020-03-02,30,0,13160,12,921643,0,721222,200421,62001210081,0,48458885357,13542324724,67272.47977904677,67189.97112816857,,67569.39005393647,200421.0,1398-12-12
2020-03-03,45,1,15968,8,851025,50000,590782,310243,60112150875,3531750000,41729886570,21914014305,70635.0,70635.0,70635.0,70635.0,260243.0,1398-12-13
2020-03-04,16,0,13200,12,440309,0,439884,425,32655957294,0,32624436744,31520550,74166.0,74166.0,,74166.0,425.0,1398-12-14
2020-03-07,112,2,52554,26,2005747,150000,2104803,50944,152399971716,11397300000,159926444708,3870827008,75981.65257931335,75981.66892958629,75982.0,75982.0,-99056.0,1398-12-17
2020-03-09,3914,6,73781,92,12594023,417193,9852902,3158314,1050313934181,34741281817,820647094776,264408121222,83397.80975316625,83289.88705824944,83273.88478953385,83718.12341078183,2741121.0,1398-12-19
2020-03-10,18386,26,202814,135,18050310,1523268,19177113,396465,1551602666863,132035016528,1649924383608,33713299783,85959.89026576275,86036.11938919064,86678.78306903316,85034.74400766776,-1126803.0,1398-12-20
2020-03-11,8147,27,96645,92,7399669,362893,7659129,103433,611825298330,30124290538,633492936449,8456652419,82682.79274789183,82710.83258279107,83011.4952286211,81759.71323465432,-259460.0,1398-12-21
2020-03-14,1571,2,17,0,416886,1550,418436,0,32752231704,121774200,32874005904,0,78564.0,78564.0,78564.0,,-1550.0,1398-12-24
2020-03-15,628,4,64,0,821147,180500,1001647,0,62280715362,13690203000,75970918362,0,75846.0,75846.0,75846.0,,-180500.0,1398-12-25
2020-03-16,7220,13,75461,157,8800286,52968,8713182,140072,673375462842,4006973353,666684118432,10698317763,76517.45214212357,76514.42589308934,75648.94564642804,76377.2757082072,87104.0,1398-12-26
2020-03-17,4989,5,41546,54,5866233,1261148,7104930,22451,436739121050,95368627610,530390085470,1717663190,74449.67171436934,74650.99381274692,75620.488324923,76507.20190637388,-1238697.0,1398-12-27
2020-03-18,3672,5,21524,31,5237763,14938,3851818,1400883,405996601608,1146886212,298326882018,108816605802,77513.35858609868,77450.92889072122,76776.42334984602,77677.1549101531,1385945.0,1398-12-28
2020-03-24,2965,5,18489,19,3079776,14601,3078326,16051,244899628406,1147107671,244751268973,1295467104,79518.64954009642,79507.91078430289,78563.63749058284,80709.43268332191,1450.0,1399-01-05
2020-03-25,1462,3,6615,67,1440002,55128,1482562,12568,119631779648,4596804028,123192800550,1035783126,83077.50937012587,83094.53537187653,83384.19728631548,82414.31619987269,-42560.0,1399-01-06
2020-03-28,71,1,5079,3,450093,100000,545054,5039,39267463599,8724300000,47552146122,439617477,87243.0,87243.0,87243.0,87243.0,-94961.0,1399-01-09
2020-03-29,5340,7,11242,14,4989590,280780,3911331,1359039,441660626212,25147260563,342903650247,123904236528,88516.41642138934,87669.29984882384,89562.15030628962,91170.47893989798,1078259.0,1399-01-10
2020-03-30,6239,7,21682,30,5717399,192598,5875681,34316,496059848257,16936033297,510027595624,2968285930,86763.20268307319,86803.14598835437,87934.62703143335,86498.59919571046,-158282.0,1399-01-11
2020-04-04,5737,8,26274,20,5443428,240607,5393752,290283,467813150985,20492692182,463462218043,24843625124,85940.90910819432,85925.75595670694,85170.80626083197,85584.15451128726,49676.0,1399-01-16
2020-04-05,2613,4,3279,4,1246281,113183,1322350,37114,102166463098,9311424179,108448776045,3029111232,81977.06865305657,82012.15717850796,82268.75218893297,81616.40437570728,-76069.0,1399-01-17
2020-04-06,3109,2,47449,77,6420316,99924,6232306,287934,524463121403,7945321936,508748905128,23659538211,81688.05420216077,81630.92523505745,79513.64973379769,82170.00496988893,188010.0,1399-01-18
2020-04-07,3650,3,40244,24,4806783,17808,4657601,166990,408411845075,1519859178,395713309748,14218394505,84965.73385463833,84960.75764068241,85346.98888140162,85145.18537038146,149182.0,1399-01-19
2020-04-08,3803,6,36664,75,4460649,265948,4671452,55145,368639688909,22592770620,386557908206,4674551323,82642.61297156535,82748.98429995641,84951.83502037992,84768.36200924835,-210803.0,1399-01-20
2020-04-11,3912,2,19484,21,4548177,690,4296527,252340,360761719698,55009133,340958763466,19857965365,79320.07037061223,79356.83017143847,79723.38115942029,78695.27369818499,251650.0,1399-01-23
2020-04-12,2736,4,16020,12,3273878,6331,3266145,14064,259576466055,502009715,258946715796,1131759974,79287.15305060237,79282.06365485917,79293.9053861949,80472.12556882821,7733.0,1399-01-24
2020-04-13,2423,3,11319,34,2629397,30166,2658129,1434,202480895663,2348644004,204719562838,109976829,77006.58959563733,77016.41373988998,77857.32294636345,76692.34937238494,-28732.0,1399-01-25
