date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-06-18,7,0,0,1,250000,0,0,250000,338750000,0,0,338750000,1355.0,,,1355.0,250000.0,1397-03-28
2018-06-23,18,0,8,0,216000,0,216000,0,669600000,0,669600000,0,3100.0,3100.0,,,0.0,1397-04-02
2018-06-25,26,0,8,1,329408,0,151352,178056,1475747840,0,678056960,797690880,4480.0,4480.0,,4480.0,178056.0,1397-04-04
2018-06-27,6,0,6,1,23240,0,18349,4891,104115200,0,82203520,21911680,4480.0,4480.0,,4480.0,4891.0,1397-04-06
2018-06-30,2,0,1,0,1332,0,1332,0,5967360,0,5967360,0,4480.0,4480.0,,,0.0,1397-04-09
2018-07-02,4,0,2,0,5524,0,5524,0,24581800,0,24581800,0,4450.0,4450.0,,,0.0,1397-04-11
2018-07-04,2,0,1,0,1877,0,1877,0,3228440,0,3228440,0,1720.0,1720.0,,,0.0,1397-04-13
2018-07-21,2,0,3,0,1111,0,1111,0,1907587,0,1907587,0,1717.0,1717.0,,,0.0,1397-04-30
2018-07-25,1,0,1,0,680,0,680,0,2009400,0,2009400,0,2955.0,2955.0,,,0.0,1397-05-03
2018-07-28,2,0,3,0,5551,0,5551,0,16403205,0,16403205,0,2955.0,2955.0,,,0.0,1397-05-06
2018-07-30,1,0,4,0,6710,0,6710,0,12500730,0,12500730,0,1863.0,1863.0,,,0.0,1397-05-08
2018-08-06,4,0,2,0,16878,0,16878,0,31443714,0,31443714,0,1863.0,1863.0,,,0.0,1397-05-15
2018-08-08,3,0,5,0,8712,0,8712,0,18295200,0,18295200,0,2100.0,2100.0,,,0.0,1397-05-17
2018-08-11,2,0,1,0,20000,0,20000,0,42000000,0,42000000,0,2100.0,2100.0,,,0.0,1397-05-20
2018-08-13,3,0,2,0,29500,0,29500,0,61950000,0,61950000,0,2100.0,2100.0,,,0.0,1397-05-22
2018-08-15,4,0,3,0,15241,0,15241,0,32006100,0,32006100,0,2100.0,2100.0,,,0.0,1397-05-24
2018-08-18,4,0,3,0,11900,0,11900,0,24990000,0,24990000,0,2100.0,2100.0,,,0.0,1397-05-27
2018-08-25,1,0,2,0,58895,0,58895,0,123679500,0,123679500,0,2100.0,2100.0,,,0.0,1397-06-03
2018-08-27,8,0,4,0,29684,0,29684,0,65304800,0,65304800,0,2200.0,2200.0,,,0.0,1397-06-05
2018-08-29,7,0,5,0,43344,0,43344,0,99691200,0,99691200,0,2300.0,2300.0,,,0.0,1397-06-07
2018-09-01,2,0,2,0,5954,0,5954,0,13694200,0,13694200,0,2300.0,2300.0,,,0.0,1397-06-10
2018-09-03,3,0,3,0,9074,0,9074,0,20870200,0,20870200,0,2300.0,2300.0,,,0.0,1397-06-12
2018-09-05,2,0,2,0,4899,0,4899,0,11267700,0,11267700,0,2300.0,2300.0,,,0.0,1397-06-14
2018-09-08,2,0,4,0,12712,0,12712,0,31780000,0,31780000,0,2500.0,2500.0,,,0.0,1397-06-17
2018-09-10,3,0,4,0,3419,0,3419,0,8547500,0,8547500,0,2500.0,2500.0,,,0.0,1397-06-19
2018-09-12,4,0,2,0,13500,0,13500,0,33750000,0,33750000,0,2500.0,2500.0,,,0.0,1397-06-21
2018-09-15,5,0,5,0,41200,0,41200,0,115385000,0,115385000,0,2800.606796116505,2800.606796116505,,,0.0,1397-06-24
2018-09-22,4,0,3,0,22327,0,22327,0,62540327,0,62540327,0,2801.107493169705,2801.107493169705,,,0.0,1397-06-31
2018-09-24,3,0,1,0,14631,0,14631,0,40981431,0,40981431,0,2801.0,2801.0,,,0.0,1397-07-02
2018-09-26,4,0,5,0,13907,0,13907,0,40780300,0,40780300,0,2932.35780542173,2932.35780542173,,,0.0,1397-07-04
2018-10-06,2,0,3,0,5870,0,5870,0,17210840,0,17210840,0,2932.0,2932.0,,,0.0,1397-07-14
2018-10-08,1,0,1,0,3391,0,3391,0,9942412,0,9942412,0,2932.0,2932.0,,,0.0,1397-07-16
2018-10-10,1,0,5,0,9926,0,9926,0,29103032,0,29103032,0,2932.0,2932.0,,,0.0,1397-07-18
2018-10-13,3,0,3,0,44390,0,44390,0,130151480,0,130151480,0,2932.0,2932.0,,,0.0,1397-07-21
2018-10-15,2,0,3,0,11459,0,11459,0,33861345,0,33861345,0,2955.0,2955.0,,,0.0,1397-07-23
2018-10-17,1,0,1,0,500,0,500,0,1477500,0,1477500,0,2955.0,2955.0,,,0.0,1397-07-25
2018-10-20,3,0,1,0,2484,0,2484,0,7340220,0,7340220,0,2955.0,2955.0,,,0.0,1397-07-28
2018-10-22,1,0,1,0,6574,0,6574,0,19426170,0,19426170,0,2955.0,2955.0,,,0.0,1397-07-30
2018-10-24,1,0,3,0,1509,0,1509,0,4459095,0,4459095,0,2955.0,2955.0,,,0.0,1397-08-02
2018-10-29,1,0,1,0,500,0,500,0,1477500,0,1477500,0,2955.0,2955.0,,,0.0,1397-08-07
2018-11-03,2,0,2,0,3726,0,3726,0,11010330,0,11010330,0,2955.0,2955.0,,,0.0,1397-08-12
2018-11-05,2,0,1,0,3400,0,3400,0,10047000,0,10047000,0,2955.0,2955.0,,,0.0,1397-08-14
2018-11-12,2,0,1,0,11000,0,11000,0,32505000,0,32505000,0,2955.0,2955.0,,,0.0,1397-08-21
2018-11-21,3,0,3,0,4000,0,4000,0,11820000,0,11820000,0,2955.0,2955.0,,,0.0,1397-08-30
