date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-05-18,99,3,22,2,161259,3257181,351688,3066752,2362145196,47602417280,5120684308,44843878168,14648.144884936655,14560.30432656218,14614.606090358504,14622.596860783004,-190429.0,1393-02-28
2014-05-19,40,1,32,0,33624,8460,42084,0,474097952,118722060,592820012,0,14099.986676183678,14086.589012451288,14033.340425531916,,-8460.0,1393-02-29
2014-05-20,13,3,17,1,12663,42858,43021,12500,178103468,603896008,606673744,175325732,14064.87151543868,14101.804793008068,14090.625040832516,14026.05856,-30358.0,1393-02-30
2014-05-21,8,1,24,0,30045,5001,35046,0,421890539,70164030,492054569,0,14041.955034115494,14040.249072647375,14030.0,,-5001.0,1393-02-31
2014-05-24,30,1,40,2,184725,943176,799901,328000,2583859988,13207873963,11209289863,4582444088,13987.603128975505,14013.346480376948,14003.615404760088,13970.86612195122,-615176.0,1393-03-03
2014-05-28,20,2,38,2,38550,1339313,436852,941011,529188120,18183927028,5933640392,12779474756,13727.318287937744,13582.724565756824,13577.055571027831,13580.579563894576,-398302.0,1393-03-07
2014-05-31,48,2,30,0,66580,32354,98934,0,868520806,421831872,1290352678,0,13044.770291378793,13042.560474659876,13038.012981393336,,-32354.0,1393-03-10
2014-06-01,29,7,38,2,30749,566972,151231,446490,398074486,7357363931,1963557764,5791880653,12945.93274578035,12983.8311192811,12976.591314915022,12972.027711706867,-120482.0,1393-03-11
2014-06-09,5,1,15,1,3536,61000,54536,10000,42394400,733444900,655833800,120005500,11989.366515837104,12025.704122047822,12023.6868852459,12000.55,-51000.0,1393-03-19
2014-06-10,14,2,16,1,19505,20800,34181,6124,227785338,243159084,398434462,72509960,11678.304947449373,11656.606360258624,11690.340576923078,11840.293925538865,-14676.0,1393-03-20
2014-06-11,7,1,11,0,5808,6379,12187,0,67072257,73051813,140124070,0,11548.25361570248,11497.831295642898,11451.922401630349,,-6379.0,1393-03-21
2014-06-14,5,1,4,0,3182,10000,13182,0,36418563,113940000,150358563,0,11445.18007542426,11406.354346836595,11394.0,,-10000.0,1393-03-24
2014-06-15,4,1,31,0,3135,70947,74082,0,35754690,811691838,847446528,0,11405.004784688996,11439.304122458896,11440.819738678169,,-70947.0,1393-03-25
2014-06-16,6,0,7,0,9590,0,9590,0,112404800,0,112404800,0,11721.04275286757,11721.04275286757,,,0.0,1393-03-26
2014-06-17,8,0,10,1,68890,0,26712,42178,780448410,0,302699289,477749121,11328.907098272608,11331.95900718778,,11326.974275688748,42178.0,1393-03-27
2014-06-18,2,2,13,2,1320,193075,74395,120000,15834800,2327727800,903763100,1439799500,11996.060606060606,12148.16990389139,12056.080797617506,11998.329166666666,-73075.0,1393-03-28
2014-06-21,14,0,8,0,7950,0,7950,0,90715180,0,90715180,0,11410.714465408804,11410.714465408804,,,0.0,1393-03-31
2014-06-22,4,1,12,0,6708,160,6868,0,78252515,1819840,80072355,0,11665.550834824093,11658.758736167734,11374.0,,-160.0,1393-04-01
2014-06-23,11,1,13,1,32234,1909,23962,10181,374400232,21709148,280226818,115882562,11615.072035738662,11694.633920373926,11372.0,11382.237697672135,8272.0,1393-04-02
2014-06-24,5,1,12,1,7003,28939,35667,275,79526797,338476825,414775672,3227950,11356.10409824361,11629.115765273222,11696.217042745084,11738.0,-28664.0,1393-04-03
2014-06-25,10,0,7,0,14690,0,14690,0,167612939,0,167612939,0,11410.002654867256,11410.002654867256,,,0.0,1393-04-04
2014-06-28,5,1,9,0,47299,5701,53000,0,536009158,66012748,602021906,0,11332.357090001902,11358.903886792454,11579.152429398351,,-5701.0,1393-04-07
2014-06-29,2,0,1,0,310,0,310,0,3499280,0,3499280,0,11288.0,11288.0,,,0.0,1393-04-08
