date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-10-09,876879,1372,3,0,239623523,11309688,250933211,0,1497647018750,70685550000,1568332568750,0,6250.0,6250.0,6250.0,,-11309688.0,1398-07-17
2019-10-12,5,0,956,3,239605,0,238832,773,1572288010,0,1567215584,5072426,6562.0,6562.0,,6562.0,773.0,1398-07-20
2019-10-13,5,0,1297,8,323874,0,321678,2196,2151818856,0,2137228632,14590224,6644.0,6644.0,,6644.0,2196.0,1398-07-21
2019-10-14,9,0,1369,4,351928,0,350829,1099,2377625568,0,2370200724,7424844,6756.0,6756.0,,6756.0,1099.0,1398-07-22
2019-10-15,28,0,2278,3,595260,0,594437,823,4095388800,0,4089726560,5662240,6880.0,6880.0,,6880.0,823.0,1398-07-23
2019-10-16,8,0,2516,2,658526,0,657977,549,4670924918,0,4667030861,3894057,7093.0,7093.0,,7093.0,549.0,1398-07-24
2019-10-20,26,0,4700,11,1240868,0,1237846,3022,9103007648,0,9080838256,22169392,7336.0,7336.0,,7336.0,3022.0,1398-07-28
2019-10-21,16,0,5015,4,1320053,0,1318953,1100,10167048206,0,10158576006,8472200,7702.0,7702.0,,7702.0,1100.0,1398-07-29
2019-10-22,27,0,4082,6,1047415,0,1045767,1648,8470445105,0,8457117729,13327376,8087.0,8087.0,,8087.0,1648.0,1398-07-30
2019-10-23,32,0,8438,11,2065556,0,2062533,3023,17538635996,0,17512967703,25668293,8491.0,8491.0,,8491.0,3023.0,1398-08-01
2019-10-26,136,0,28284,26,7765950,0,7758809,7141,69233444250,0,69169782235,63662015,8915.0,8915.0,,8915.0,7141.0,1398-08-04
2019-10-28,1942,4,55331,256,26705817,3020000,29655598,70219,250954562349,28378940000,278673654406,659847943,9397.0,9397.0,9397.0,9397.0,-2949781.0,1398-08-06
2019-10-30,2876,5,125114,133,37322469,400274,37687047,35696,345847184839,3698520800,349215117484,330588155,9266.460502358512,9266.184147672806,9239.972618756152,9261.210079560737,-364578.0,1398-08-08
2019-11-02,2394,14,103999,140,58779332,6079354,64421068,437618,569088635380,58875114019,623709350077,4254399322,9681.781265904823,9681.760477441943,9684.435882332236,9721.719220873,-5641736.0,1398-08-11
2019-11-03,49,4,14676,20,4965497,700000,5587904,77593,50479242502,7116200000,56806632064,788810438,10166.0,10166.0,10166.0,10166.0,-622407.0,1398-08-12
2019-11-04,36,1,8810,9,3257118,100000,3155092,202026,34766477532,1067400000,33677452008,2156425524,10674.0,10674.0,10674.0,10674.0,102026.0,1398-08-13
2019-11-05,2472,10,42302,41,39801056,6383270,45074435,1109891,445387130519,71530714414,504479309951,12438534982,11190.334510697405,11192.138291938656,11205.967225888926,11206.98787718794,-5273379.0,1398-08-14
2019-11-09,1146,4,26471,27,12848472,3049646,15772007,126111,150620987774,35654123933,184793495905,1481615802,11722.871620376338,11716.549194087982,11691.233649085829,11748.505697361848,-2923535.0,1398-08-18
2019-11-10,6251,9,65515,100,42709487,751067,42187116,1273438,509317143528,8868899436,502813313402,15372729562,11925.152449805824,11918.646285325596,11808.399831173518,12071.831971403397,522371.0,1398-08-19
2019-11-11,648,0,15935,17,8842552,0,8655854,186698,109591198024,0,107295228949,2295969075,12393.616460949284,12395.683770659718,,12297.770061811054,186698.0,1398-08-20
2019-11-12,15,0,4665,5,1326793,0,1320324,6469,17265557309,0,17181376212,84181097,13013.0,13013.0,,13013.0,6469.0,1398-08-21
2019-11-13,2109,5,10953,28,35344635,709000,26898965,9154670,482757101379,9687067000,367364412169,125079756210,13658.568022530151,13657.195069364194,13663.0,13662.945383066784,8445670.0,1398-08-22
2019-11-16,1113,0,2056,0,6552444,0,6552444,0,91226540950,0,91226540950,0,13922.521268400003,13922.521268400003,,,0.0,1398-08-25
2019-11-19,5253,6,31372,42,39680820,2625876,39848637,2458059,591544454570,38974488444,594096870414,36422072600,14907.56628945672,14908.83792120669,14842.471024526672,14817.411868470204,-167817.0,1398-08-28
2019-11-20,3218,4,10532,21,21150974,1679127,21805671,1024430,330069317148,26252624245,340315768578,16006172815,15605.395626130505,15606.755168322956,15634.686503760586,15624.467084134592,-654697.0,1398-08-29
2019-11-23,292,1,4070,8,3413498,1000000,3111851,1301647,55940405224,16388000000,50997014188,21331391036,16388.0,16388.0,16388.0,16388.0,301647.0,1398-09-02
2019-11-24,9945,15,19753,97,64630737,15054819,72565615,7119941,1103955423706,257950065455,1240821288480,121084200681,17080.966037970447,17099.300935849576,17134.052920529964,17006.34888421126,-7934878.0,1398-09-03
2019-11-25,8211,13,37808,37,45314175,12239812,55626839,1927148,756733713913,205171550833,929440609229,32464655517,16699.71292455396,16708.492266278154,16762.639069374596,16845.958648220065,-10312664.0,1398-09-04
2019-11-26,2503,9,26265,34,22169767,5303668,26740755,732680,364773429024,86678356904,439351736533,12100049395,16453.64288330139,16430.042328012056,16343.09630693324,16514.780524922204,-4570988.0,1398-09-05
2019-11-27,1379,9,8736,21,21756025,3309185,20661554,4403656,372750970617,56990300280,354148375894,75592895003,17133.2295590302,17140.452063479832,17221.853803882226,17165.94007411115,1094471.0,1398-09-06
2019-11-30,4118,8,7942,11,23211171,930245,17229491,6911925,416741161561,16695818372,309044548835,124392431098,17954.335934236147,17936.9517552782,17947.76469854716,17996.78542489972,5981680.0,1398-09-09
2019-12-01,5283,4,8123,23,22598712,711132,20248781,3061063,409698505219,12815859464,366875128293,55639236390,18129.285652164603,18118.380967871595,18021.772981668662,18176.442755343487,2349931.0,1398-09-10
2019-12-02,2737,7,7779,13,16427693,1825746,17329410,924029,304646286841,33570371924,321043727380,17172931385,18544.67860100624,18525.94677949221,18387.20825569384,18584.84028639794,-901717.0,1398-09-11
2019-12-03,2446,8,5651,13,11795666,1490326,12703735,582257,221924632047,27941199121,238886786350,10979044818,18814.082396619237,18804.45289121664,18748.38063685395,18856.01172334553,-908069.0,1398-09-12
