date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-11-13,26,5,0,1,120591,5601800,0,5722391,1205910000,56018000000,0,57223910000,10000.0,,10000.0,10000.0,120591.0,1395-08-23
2016-11-14,17,1,0,1,168337,100000,0,268337,1683370000,1000000000,0,2683370000,10000.0,,10000.0,10000.0,168337.0,1395-08-24
2016-11-15,19,5,0,1,276361,1013000,0,1289361,2763610000,10130000000,0,12893610000,10000.0,,10000.0,10000.0,276361.0,1395-08-25
2016-11-16,17,0,0,1,224808,0,0,224808,2248080000,0,0,2248080000,10000.0,,,10000.0,224808.0,1395-08-26
2016-11-19,10,1,0,1,94021,170000,0,264021,940210000,1700000000,0,2640210000,10000.0,,10000.0,10000.0,94021.0,1395-08-29
2016-11-21,8,1,0,1,152930,1000000,0,1152930,1529300000,10000000000,0,11529300000,10000.0,,10000.0,10000.0,152930.0,1395-09-01
2016-11-22,301,23,0,1,5243714,9068712,0,14312426,52437140000,90687120000,0,143124260000,10000.0,,10000.0,10000.0,5243714.0,1395-09-02
2016-11-23,197,7,0,1,2522900,10349800,0,12872700,25229000000,103498000000,0,128727000000,10000.0,,10000.0,10000.0,2522900.0,1395-09-03
2016-12-21,3,0,12,2,912159,0,5090,907069,9282113184,0,51779120,9230334064,10175.981582158374,10172.715127701376,,10175.999911803843,907069.0,1395-10-01
2016-12-24,21,1,24,3,1285653,196340,86189,1395804,13100912859,2001126400,877745987,14224293272,10190.084617700111,10183.967640882249,10192.148314148926,10190.752621428224,1199464.0,1395-10-04
2016-12-25,13,2,39,1,140019,205964,75983,270000,1427422648,2099983617,774586265,2752820000,10194.49251887244,10194.204822131269,10195.877031908489,10195.62962962963,64036.0,1395-10-05
2016-12-26,13,0,14,1,145697,0,8031,137666,1486522005,0,81915807,1404606198,10202.831938886868,10199.95106462458,,10203.0,137666.0,1395-10-06
2016-12-27,12,1,17,2,62918,95160,20323,137755,642178838,971393280,207415416,1406156702,10206.59966941098,10205.944791615411,10208.0,10207.663620195272,42595.0,1395-10-07
2016-12-28,12,1,7,1,247165,295000,50050,492115,2524630925,3013404400,511080600,5026954725,10214.354479800942,10211.4005994006,10214.930169491525,10215.0,197115.0,1395-10-08
2016-12-31,7,0,7,1,12193,0,7615,4578,124629194,0,77828300,46800894,10221.372426802263,10220.393959290874,,10223.0,4578.0,1395-10-11
2017-01-01,6,1,12,0,13242,18853,32095,0,135348102,192677660,328025762,0,10221.122338015406,10220.463062782364,10220.0,,-18853.0,1395-10-12
2017-01-02,4,2,14,1,6261,267252,157431,116082,64028987,2734359876,1609934317,1188454546,10226.639035297876,10226.28527418361,10231.391630371334,10238.060560638169,-151170.0,1395-10-13
2017-01-03,13,2,4,2,102343,551757,50900,603200,1047367873,5644887596,520876500,6171378969,10233.898488416404,10233.330058939096,10230.749398738935,10231.065930039787,51443.0,1395-10-14
2017-01-04,2,1,3,1,3110,437990,41100,400000,31843090,4483265640,420708730,4094400000,10238.935691318327,10236.222141119222,10236.0,10236.0,-37990.0,1395-10-15
2017-01-07,3,1,7,1,13862,494638,8500,500000,142145068,5071523414,87159240,5126509242,10254.297215409031,10254.028235294118,10253.0,10253.018484,5362.0,1395-10-18
2017-01-08,1,1,20,0,500,135181,135681,0,5130000,1386821879,1391951879,0,10260.0,10259.003685114349,10259.0,,-135181.0,1395-10-19
2017-01-09,5,1,12,3,11808,1593770,238000,1367578,121293344,16358455280,2442920600,14036828024,10272.132791327913,10264.372268907564,10264.0,10264.005434424947,-226192.0,1395-10-20
2017-01-11,8,2,7,1,21086,850000,468925,402161,216749654,8740300000,4822414450,4134635204,10279.315849378734,10283.978141493842,10282.70588235294,10281.044666190905,-447839.0,1395-10-22
2017-01-14,9,4,11,3,1008667,294891,109690,1193868,10400294746,3037734141,1129994179,12308034708,10310.929916414436,10301.70643632054,10301.2100776219,10309.37650393511,898977.0,1395-10-25
2017-01-15,3,1,9,1,7500,197800,5300,200000,77309500,2038528600,54634100,2061204000,10307.933333333332,10308.32075471698,10306.009100101111,10306.02,2200.0,1395-10-26
2017-01-16,3,1,1,2,2209,200000,759,201450,22800539,2062400000,7833639,2077366900,10321.6564056134,10321.0,10312.0,10312.071978158352,1450.0,1395-10-27
2017-01-17,16,1,9,2,148908,500000,9286,639622,1536981514,5158500000,95855120,6599626394,10321.685295618772,10322.54146026276,10317.0,10318.010315467573,139622.0,1395-10-28
2017-01-18,1,2,2,2,98,503021,8421,494698,1013908,5196679162,86987562,5110705508,10346.0,10329.83754898468,10330.938791819824,10330.960521368592,-8323.0,1395-10-29
2017-01-21,14,1,9,2,168959,250298,10188,409069,1748316839,2588081320,105352147,4231046012,10347.580412999603,10340.807518649392,10340.0,10343.110849269928,158771.0,1395-11-02
2017-01-22,8,1,6,3,47278,261783,63101,245960,489122810,2707883352,652727154,2544279008,10345.67473243369,10344.16497361373,10344.0,10344.279590177264,-15823.0,1395-11-03
2017-01-23,7,1,6,2,14886,266074,72460,208500,154172440,2753805900,749918340,2158060000,10356.874916028482,10349.411261385592,10349.774498823635,10350.407673860913,-57574.0,1395-11-04
2017-01-24,3,1,17,2,16026,251981,53419,214588,166088118,2609263255,553159735,2222191638,10363.666417072258,10355.112132387352,10355.0,10355.619317016795,-37393.0,1395-11-05
2017-01-25,12,1,6,2,51613,207465,34137,224941,535523832,2149337400,353923770,2330937462,10375.754790459769,10367.746726425872,10360.0,10362.439315198208,17476.0,1395-11-06
2017-01-28,6,1,7,2,98643,35350,25685,108308,1024100533,366826950,266552897,1124374586,10381.887543971696,10377.765115826358,10377.0,10381.26995235809,72958.0,1395-11-09
2017-01-29,6,1,10,2,114518,133730,32989,215259,1190161717,1388652320,342631374,2236182663,10392.79167467123,10386.230986086272,10384.0,10388.335275180132,81529.0,1395-11-10
2017-01-30,13,1,6,0,85454,35482,120936,0,888017585,368657980,1256675565,0,10391.761474009409,10391.244666600516,10390.0,,-35482.0,1395-11-11
2017-01-31,9,2,6,1,17330,2648,16848,3130,180209650,27530058,175168928,32570780,10398.710328909405,10397.016144349478,10396.54758308157,10406.0,482.0,1395-11-12
2017-02-01,2,2,5,0,5687,12293,17980,0,59189670,127882756,187072426,0,10407.889924388955,10404.473081201337,10402.89237777597,,-12293.0,1395-11-13
2017-02-04,5,1,13,2,58170,14065,28585,43650,606646750,146568365,297921965,455293150,10428.859377686093,10422.318173867414,10420.786704585851,10430.541809851087,29585.0,1395-11-16
