date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-11-12,0,1,1,0,0,259000,259000,0,0,392385000,392385000,0,,1515.0,1515.0,,-259000.0,1392-08-21
2014-01-29,0,1,1,0,0,73000,73000,0,0,110595000,110595000,0,,1515.0,1515.0,,-73000.0,1392-11-09
2014-03-01,147,0,0,1,9358303,0,0,9358303,15066867830,0,0,15066867830,1610.0,,,1610.0,9358303.0,1392-12-10
2014-05-28,0,1,1,0,0,54000,54000,0,0,103302000,103302000,0,,1913.0,1913.0,,-54000.0,1393-03-07
2014-06-14,95,0,0,1,2099743,0,0,2099743,6299229000,0,0,6299229000,3000.0,,,3000.0,2099743.0,1393-03-24
2014-07-15,95,0,0,1,2278216,0,0,2278216,7176380400,0,0,7176380400,3150.0,,,3150.0,2278216.0,1393-04-24
2014-08-02,1,0,0,1,100000,0,0,100000,312100000,0,0,312100000,3121.0,,,3121.0,100000.0,1393-05-11
2014-08-03,1,0,1,0,5000,0,5000,0,15600000,0,15600000,0,3120.0,3120.0,,,0.0,1393-05-12
2014-08-24,1,0,1,0,45000,0,45000,0,157500000,0,157500000,0,3500.0,3500.0,,,0.0,1393-06-02
2014-08-31,3,0,1,0,552,0,552,0,1852000,0,1852000,0,3355.072463768116,3355.072463768116,,,0.0,1393-06-09
2014-09-03,2,0,1,0,5000,0,5000,0,16603000,0,16603000,0,3320.6,3320.6,,,0.0,1393-06-12
2014-09-06,1,0,1,0,100,0,100,0,260000,0,260000,0,2600.0,2600.0,,,0.0,1393-06-15
2014-10-21,1,0,1,0,20000,0,20000,0,63000000,0,63000000,0,3150.0,3150.0,,,0.0,1393-07-29
2014-11-12,36,0,2,0,1748750,0,1748750,0,3107683607,0,3107683607,0,1777.088552966405,1777.088552966405,,,0.0,1393-08-21
2014-11-16,103,0,4,1,4749626,0,193194,4556432,8316489900,0,342733900,7973756000,1750.9778454135126,1774.0400840605816,,1750.0,4556432.0,1393-08-25
2014-11-17,5,0,3,0,120004,0,120004,0,211196802,0,211196802,0,1759.9146861771274,1759.9146861771274,,,0.0,1393-08-26
2014-11-18,4,0,5,0,209691,0,209691,0,363605700,0,363605700,0,1734.0071819963662,1734.0071819963662,,,0.0,1393-08-27
2014-11-19,4,0,3,0,175000,0,175000,0,285000000,0,285000000,0,1628.571428571429,1628.571428571429,,,0.0,1393-08-28
2014-11-22,1,0,3,0,375000,0,375000,0,600000000,0,600000000,0,1600.0,1600.0,,,0.0,1393-09-01
2014-11-26,7,0,2,0,365000,0,365000,0,490375000,0,490375000,0,1343.4931506849316,1343.4931506849316,,,0.0,1393-09-05
2014-11-30,0,1,1,0,0,100000,100000,0,0,135000000,135000000,0,,1350.0,1350.0,,-100000.0,1393-09-09
2014-12-01,2,0,0,1,20000,0,0,20000,26010000,0,0,26010000,1300.5,,,1300.5,20000.0,1393-09-10
2014-12-03,3,0,3,0,70000,0,70000,0,84200000,0,84200000,0,1202.857142857143,1202.857142857143,,,0.0,1393-09-12
2014-12-06,10,0,2,1,453000,0,373000,80000,489943000,0,398945000,90998000,1081.5518763796908,1069.5576407506703,,1137.475,80000.0,1393-09-15
2014-12-07,7,0,1,0,275200,0,275200,0,276110000,0,276110000,0,1003.3066860465116,1003.3066860465116,,,0.0,1393-09-16
2014-12-08,16,0,1,0,1021300,0,1021300,0,1026015000,0,1026015000,0,1004.6166650347596,1004.6166650347596,,,0.0,1393-09-17
2014-12-09,16,0,3,0,837727,0,837727,0,848109040,0,848109040,0,1012.393106584842,1012.393106584842,,,0.0,1393-09-18
2014-12-10,3,0,2,0,90000,0,90000,0,100000000,0,100000000,0,1111.111111111111,1111.111111111111,,,0.0,1393-09-19
