date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-12-22,15235,144,0,2,10737350,782650,0,11520000,35970122500,2621877500,0,38592000000,3350.0,,3350.0,3350.0,10737350.0,1394-10-01
2015-12-23,420,2,4439,32,3878453,250000,3834163,294290,13639241557,879246500,13483470127,1035017930,3516.670578965376,3516.6658608410758,3516.986,3517.0,44290.0,1394-10-02
2015-12-26,303,3,5590,15,5283025,376626,5556171,103480,18442508129,1322909438,19404363191,361054376,3490.899272481201,3492.398486475668,3512.5281791485454,3489.1223038268263,-273146.0,1394-10-05
2015-12-27,85,3,1132,8,1937983,625000,2518653,44330,7043670241,2279033869,9162010592,160693518,3634.5366502182937,3637.662906323341,3646.4541904,3624.938371306114,-580670.0,1394-10-06
2015-12-28,29,1,454,2,792240,230000,990240,32000,3003801461,878132500,3762337961,119596000,3791.52966399071,3799.4203031588304,3817.967391304348,3737.375,-198000.0,1394-10-07
2015-12-30,104,4,723,5,2047714,854078,2060592,841200,8160755855,3404328218,8212273373,3352810700,3985.300610827489,3985.395154887528,3985.9687499268216,3985.74738468854,-12878.0,1394-10-09
2016-01-02,149,4,700,3,1194193,930143,1895489,228847,4907664424,3843122618,7799922238,950864804,4109.607428614972,4114.992088057488,4131.754599024021,4155.024116549485,-701296.0,1394-10-12
2016-01-03,35,1,122,4,424583,21800,432883,13500,1832876373,93249736,1867752109,58374000,4316.885916299051,4314.681123998864,4277.510825688073,4324.0,-8300.0,1394-10-13
2016-01-04,235,3,325,2,2349156,1150000,2849156,650000,10609543579,5209201055,12874244634,2944500000,4516.321427355187,4518.616963760496,4529.740047826087,4530.0,-500000.0,1394-10-14
2016-01-05,176,2,388,1,1390921,399030,1749051,40900,6282974736,1800397072,7898094808,185277000,4517.132702719996,4515.64580335279,4511.934120241586,4530.0,-358130.0,1394-10-15
2016-01-06,186,2,160,2,1713552,719170,2428222,4500,7419964782,3098563721,10498383003,20145500,4330.166100591053,4323.485662760654,4308.527498366172,4476.777777777777,-714670.0,1394-10-16
2016-01-09,172,3,178,1,1874863,200000,1674863,400000,7728543377,843248313,6926610893,1645180797,4122.190995822095,4135.628342736092,4216.241565,4112.9519925,200000.0,1394-10-19
2016-01-10,144,0,188,2,1076859,0,1067807,9052,4348994386,0,4311586966,37407420,4038.5922260945954,4037.796124205966,,4132.503314184711,9052.0,1394-10-20
2016-01-11,110,0,96,2,901994,0,720994,181000,3653394957,0,2909825487,743569470,4050.353945813387,4035.85256881472,,4108.118618784531,181000.0,1394-10-21
2016-01-12,126,0,128,0,836839,0,836839,0,3296954941,0,3296954941,0,3939.772095946771,3939.772095946771,,,0.0,1394-10-22
2016-01-13,105,0,175,1,620710,0,616710,4000,2387203123,0,2371487123,15716000,3845.923415121393,3845.384577840476,,3929.0,4000.0,1394-10-23
2016-01-16,129,0,85,2,887047,0,647047,240000,3444794981,0,2513773563,931021418,3883.441329489869,3884.993768613409,,3879.2559083333335,240000.0,1394-10-26
2016-01-17,123,0,98,1,731893,0,731393,500,2728768297,0,2726868297,1900000,3728.3705364035454,3728.3215685684713,,3800.0,500.0,1394-10-27
2016-01-18,58,0,61,1,306992,0,305492,1500,1108653808,0,1103256808,5397000,3611.344295616824,3611.409817605698,,3598.0,1500.0,1394-10-28
2016-01-19,145,0,96,2,1904706,0,670758,1233948,7212125996,0,2534229128,4677896868,3786.4772810081977,3778.1571416218662,,3791.0,1233948.0,1394-10-29
2016-01-20,89,0,61,2,796793,0,490301,306492,3072187638,0,1892171577,1180016061,3855.6910489926495,3859.203993057326,,3850.071326494656,306492.0,1394-10-30
2016-01-23,94,0,107,1,769971,0,767471,2500,2945335182,0,2935666038,9669144,3825.254694007956,3825.116568573927,,3867.6576,2500.0,1394-11-03
2016-01-24,189,2,187,2,3006198,69402,1460592,1615008,11794999553,278718432,5743899507,6329818478,3923.56044179392,3932.583162854514,4016.0,3919.3728315896888,1545606.0,1394-11-04
2016-01-25,123,1,151,1,1779644,200000,1950242,29402,7323784815,823584073,8026173844,121195044,4115.308912906176,4115.47584556173,4117.920365,4122.0,-170598.0,1394-11-05
2016-01-26,299,0,185,2,3179068,0,2939068,240000,13626471686,0,12596031686,1030440000,4286.310228658211,4285.723122432009,,4293.5,240000.0,1394-11-06
2016-01-27,301,1,182,0,2132614,10000,2142614,0,8912249328,42220000,8954469328,0,4179.02598782527,4179.226555973218,4222.0,,-10000.0,1394-11-07
2016-01-30,107,1,84,0,497821,10000,507821,0,2066411358,40500000,2106911358,0,4150.91239220523,4148.925227590036,4050.0,,-10000.0,1394-11-10
2016-01-31,71,1,90,0,594079,30000,624079,0,2390986281,120000000,2510986281,0,4024.6941585210047,4023.507089647304,4000.0,,-30000.0,1394-11-11
2016-02-01,49,0,97,0,715122,0,715122,0,2986977200,0,2986977200,0,4176.877791481733,4176.877791481733,,,0.0,1394-11-12
2016-02-02,152,0,67,3,999554,0,690429,309125,4164522916,0,2893858223,1270664693,4166.381121980403,4191.391472548227,,4110.5206405175895,309125.0,1394-11-13
2016-02-03,88,0,60,1,1117474,0,351437,766037,4524092754,0,1423926546,3100166208,4048.499342266576,4051.726329327874,,4047.018888121592,766037.0,1394-11-14
2016-02-06,91,0,56,1,784861,0,720023,64838,3141415264,0,2880000782,261414482,4002.5116090619863,3999.873312380299,,4031.809772047256,64838.0,1394-11-17
2016-02-07,90,0,175,0,1540792,0,1540792,0,6402182368,0,6402182368,0,4155.124356824283,4155.124356824283,,,0.0,1394-11-18
2016-02-08,113,0,153,2,1808129,0,1498129,310000,7871320378,0,6519290378,1352030000,4353.29579803211,4351.62150789418,,4361.387096774193,310000.0,1394-11-19
2016-02-09,165,1,204,0,2042887,50000,2092887,0,8885055351,226010895,9111066246,0,4349.264228026318,4353.348387180005,4520.2179,,-50000.0,1394-11-20
2016-02-10,76,0,59,0,706031,0,706031,0,2935037346,0,2935037346,0,4157.094158755069,4157.094158755069,,,0.0,1394-11-21
2016-02-13,63,0,30,0,366945,0,366945,0,1451835909,0,1451835909,0,3956.54909863876,3956.54909863876,,,0.0,1394-11-24
2016-02-14,70,0,56,0,708645,0,708645,0,2731895050,0,2731895050,0,3855.096769186264,3855.096769186264,,,0.0,1394-11-25
