date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-02-28,1,0,1,0,1000,0,1000,0,1219000,0,1219000,0,1219.0,1219.0,,,0.0,1387-12-10
2009-08-09,1,0,0,1,1590,0,0,1590,1590000,0,0,1590000,1000.0,,,1000.0,1590.0,1388-05-18
2009-08-16,1,0,1,0,980,0,980,0,977060,0,977060,0,997.0,997.0,,,0.0,1388-05-25
2009-08-24,1,0,1,0,11,0,11,0,10967,0,10967,0,997.0,997.0,,,0.0,1388-06-02
2010-04-06,1,0,1,0,1000,0,1000,0,1300000,0,1300000,0,1300.0,1300.0,,,0.0,1389-01-17
2010-04-07,4,0,4,0,11000,0,11000,0,14543385,0,14543385,0,1322.125909090909,1322.125909090909,,,0.0,1389-01-18
2010-04-10,4,0,3,0,24450,0,24450,0,31813000,0,31813000,0,1301.1451942740289,1301.1451942740289,,,0.0,1389-01-21
2010-04-11,3,0,6,0,16932,0,16932,0,21355983,0,21355983,0,1261.279411764706,1261.279411764706,,,0.0,1389-01-22
2010-04-14,3,0,2,0,4846,0,4846,0,6059922,0,6059922,0,1250.4997936442426,1250.4997936442426,,,0.0,1389-01-25
2010-04-21,1,0,1,0,1000,0,1000,0,1244000,0,1244000,0,1244.0,1244.0,,,0.0,1389-02-01
2010-05-15,1,0,4,0,28000,0,28000,0,35118900,0,35118900,0,1254.2464285714286,1254.2464285714286,,,0.0,1389-02-25
2010-05-23,1,0,1,0,752,0,752,0,744480,0,744480,0,990.0,990.0,,,0.0,1389-03-02
2010-05-24,1,0,1,0,1500,0,1500,0,1590000,0,1590000,0,1060.0,1060.0,,,0.0,1389-03-03
2010-06-02,7,0,2,0,97810,0,97810,0,103776410,0,103776410,0,1061.0,1061.0,,,0.0,1389-03-12
2010-06-06,1,0,3,0,9925,0,9925,0,10897650,0,10897650,0,1098.0,1098.0,,,0.0,1389-03-16
2010-06-07,1,0,2,0,20500,0,20500,0,22611500,0,22611500,0,1103.0,1103.0,,,0.0,1389-03-17
2010-06-08,0,1,2,0,0,13000,13000,0,0,14482000,14482000,0,,1114.0,1114.0,,-13000.0,1389-03-18
2010-06-09,5,0,3,0,34808,0,34808,0,39019768,0,39019768,0,1121.0,1121.0,,,0.0,1389-03-19
2010-06-12,6,0,6,0,70235,0,70235,0,80067900,0,80067900,0,1140.0,1140.0,,,0.0,1389-03-22
2010-06-13,1,0,1,0,3522,0,3522,0,3923508,0,3923508,0,1114.0,1114.0,,,0.0,1389-03-23
2010-06-15,1,0,1,0,480,0,480,0,528000,0,528000,0,1100.0,1100.0,,,0.0,1389-03-25
2010-06-20,1,0,2,0,7715,0,7715,0,8563650,0,8563650,0,1110.0,1110.0,,,0.0,1389-03-30
2010-06-21,1,0,1,0,4000,0,4000,0,4516000,0,4516000,0,1129.0,1129.0,,,0.0,1389-03-31
2010-06-22,2,0,1,0,4953,0,4953,0,5479267,0,5479267,0,1106.2521704017768,1106.2521704017768,,,0.0,1389-04-01
2010-06-23,1,0,1,0,3522,0,3522,0,3979860,0,3979860,0,1130.0,1130.0,,,0.0,1389-04-02
2010-07-03,2,0,3,0,4275,0,4275,0,4744475,0,4744475,0,1109.8187134502923,1109.8187134502923,,,0.0,1389-04-12
2010-07-06,1,0,2,0,9417,0,9417,0,10245696,0,10245696,0,1088.0,1088.0,,,0.0,1389-04-15
2010-07-17,2,0,4,0,29500,0,29500,0,34533100,0,34533100,0,1170.613559322034,1170.613559322034,,,0.0,1389-04-26
