date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-03-15,30509,99,0,4,17405474,589526,0,17995000,78324633000,2652867000,0,80977500000,4500.0,,4500.0,4500.0,17405474.0,1393-12-24
2015-03-16,52,0,41,2,524171,0,19171,505000,2476707975,0,90582975,2386125000,4725.0,4725.0,,4725.0,505000.0,1393-12-25
2015-03-17,52,1,134,2,552258,20000,71958,500300,2739751938,99220000,356983638,2481988300,4961.0,4961.0,4961.0,4961.0,480300.0,1393-12-26
2015-03-18,20,0,352,2,200322,0,198322,2000,1043477298,0,1033059298,10418000,5209.0,5209.0,,5209.0,2000.0,1393-12-27
2015-03-25,36,0,337,1,185325,0,183325,2000,1013542425,0,1002604425,10938000,5469.0,5469.0,,5469.0,2000.0,1394-01-05
2015-03-28,474,7,10734,49,7097241,2051998,8677163,472076,40745067146,11782565538,49816974292,2710658392,5740.972745042757,5741.159212060439,5741.99659941189,5741.995763394029,-1579922.0,1394-01-08
2015-03-29,796,1,6128,14,11291450,30000,9160046,2161404,65583156705,173565000,52869821361,12886900344,5808.213887941762,5771.7855741117455,5785.5,5962.282083312513,2131404.0,1394-01-09
2015-03-30,290,0,945,1,1441879,0,1406879,35000,8032237019,0,7839072019,193165000,5570.673419198143,5571.9589381887145,,5519.0,35000.0,1394-01-10
2015-03-31,294,1,1480,3,2284144,200000,2468344,15800,12290196854,1058600000,13265142854,83654000,5380.657635420534,5374.106224253994,5293.0,5294.556962025316,-184200.0,1394-01-11
2015-04-04,21,0,96,0,179412,0,179412,0,1012242504,0,1012242504,0,5642.0,5642.0,,,0.0,1394-01-15
2015-04-05,642,3,1621,5,4281294,410000,4507294,184000,24444548807,2301322042,25712051512,1033819337,5709.616953892912,5704.542794856515,5612.980590243902,5618.583353260869,-226000.0,1394-01-16
2015-04-06,163,0,709,1,1407815,0,1371315,36500,7642779234,0,7445095234,197684000,5428.823555651844,5429.164877508086,,5416.0,36500.0,1394-01-17
2015-04-07,223,1,1666,3,3083889,606698,3654087,36500,16105509857,3183272428,19094907285,193875000,5222.467428950912,5225.630173830015,5246.88136107256,5311.643835616438,-570198.0,1394-01-18
2015-04-08,86,1,703,0,958624,100000,1058624,0,5097697022,529988700,5627685722,0,5317.72313440932,5316.038293105012,5299.887,,-100000.0,1394-01-19
2015-04-11,56,1,430,4,883971,505093,1294564,94500,4649362224,2651738250,6804966474,496134000,5259.632073902877,5256.570145624319,5250.0,5250.095238095239,-410593.0,1394-01-22
2015-04-12,71,2,299,1,488574,740139,1208713,20000,2508164380,3859766315,6264909695,103021000,5133.642764453287,5183.124277640764,5214.920866215671,5151.05,-720139.0,1394-01-23
2015-04-13,45,3,219,0,226486,58128,284614,0,1157222135,293593478,1450815613,0,5109.464315675141,5097.485060467861,5050.809902284614,,-58128.0,1394-01-24
2015-04-14,32,2,332,2,445117,430069,862186,13000,2362806560,2297498526,4590982086,69323000,5308.28200226008,5324.816322696031,5342.162597164641,5332.538461538462,-417069.0,1394-01-25
2015-04-15,76,1,390,3,1419420,10000,1367292,62128,7728058397,53590000,7444319314,337329083,5444.5184631751,5444.571689149063,5359.0,5429.582201261911,52128.0,1394-01-26
2015-04-18,43,0,160,0,393082,0,393082,0,2109586856,0,2109586856,0,5366.785698658296,5366.785698658296,,,0.0,1394-01-29
2015-04-19,33,1,223,1,401471,35000,416471,20000,2205940527,193815120,2289835447,109920200,5494.644761389988,5498.187021425261,5537.574857142858,5496.01,-15000.0,1394-01-30
2015-04-20,38,2,88,1,319246,53500,342746,30000,1709820380,294345700,1841038080,163128000,5355.808310832399,5371.435640386759,5501.788785046729,5437.6,-23500.0,1394-01-31
2015-04-21,32,1,55,0,179936,10000,189936,0,946108676,53020000,999128676,0,5258.0288324737685,5260.343884255749,5302.0,,-10000.0,1394-02-01
2015-04-22,32,2,116,1,155061,130000,284061,1000,828760288,697376033,1520778321,5358000,5344.737155055107,5353.703327806352,5364.431023076923,5358.0,-129000.0,1394-02-02
2015-04-25,23,1,101,1,159095,114038,272633,500,855251752,611337042,1463888794,2700000,5375.729922373424,5369.448283956821,5360.818692014943,5400.0,-113538.0,1394-02-05
2015-04-26,16,2,63,1,63519,50200,113419,300,339376259,267853266,605621225,1608300,5342.9093499582805,5339.680520900378,5335.7224302788845,5361.0,-49900.0,1394-02-06
2015-04-27,28,2,72,0,153311,135762,289073,0,811777923,721002116,1532780039,0,5294.975070281976,5302.397799171836,5310.780012079964,,-135762.0,1394-02-07
2015-04-28,35,1,257,0,256820,65000,321820,0,1352028336,346518094,1698546430,0,5264.49784284713,5277.939313902181,5331.0476,,-65000.0,1394-02-08
2015-04-29,14,1,80,0,81662,50000,131662,0,431096000,263950478,695046478,0,5279.028189365923,5279.021114672419,5279.00956,,-50000.0,1394-02-09
2015-05-03,28,2,62,0,105719,111401,217120,0,551985704,585599002,1137584706,0,5221.253549503874,5239.42845431098,5256.676349404404,,-111401.0,1394-02-13
2015-05-04,36,2,52,0,157361,188599,345960,0,803541535,980714800,1784256335,0,5106.357579069782,5157.406448722396,5200.0,,-188599.0,1394-02-14
2015-05-05,20,1,64,0,135233,60000,195233,0,693226057,311109653,1004335710,0,5126.160456397477,5144.292768128339,5185.160883333333,,-60000.0,1394-02-15
2015-05-06,41,2,65,6,217801,70000,271451,16350,1105129762,359898894,1381825306,83203350,5074.034380007438,5090.514700627369,5141.412771428571,5088.8899082568805,-53650.0,1394-02-16
2015-05-09,39,1,135,0,237236,500000,737236,0,1218935546,2599922544,3818858090,0,5138.0715658669005,5179.966916970956,5199.845088,,-500000.0,1394-02-19
