date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-29,6,1,7,1,117135,10,117135,10,119573875,10200,119573875,10200,1020.821061168737,1020.821061168737,1020.0,1020.0,0.0,1387-09-09
2008-11-30,1,1,2,1,5175,10,5175,10,5178850,10180,5178850,10180,1000.743961352657,1000.743961352657,1018.0,1018.0,0.0,1387-09-10
2008-12-01,1,1,6,0,5375,54500,59875,0,5310500,53846000,59156500,0,988.0,988.0,988.0,,-54500.0,1387-09-11
2008-12-02,3,1,8,0,44970,58600,103570,0,43126230,56197400,99323630,0,959.0,959.0,959.0,,-58600.0,1387-09-12
2008-12-03,4,1,2,1,10600,10,10600,10,10462200,9640,10462200,9640,987.0,987.0,964.0,964.0,0.0,1387-09-13
2008-12-07,2,0,1,0,7685,0,7685,0,7623520,0,7623520,0,992.0,992.0,,,0.0,1387-09-17
2008-12-08,2,1,5,0,24247,20000,44247,0,22767933,18780000,41547933,0,939.0,939.0,939.0,,-20000.0,1387-09-18
2008-12-14,1,0,1,0,5215,0,5215,0,4938605,0,4938605,0,947.0,947.0,,,0.0,1387-09-24
2008-12-21,1,0,1,0,10000,0,10000,0,9400000,0,9400000,0,940.0,940.0,,,0.0,1387-10-01
2008-12-28,2,0,2,0,5506,0,5506,0,5170134,0,5170134,0,939.0,939.0,,,0.0,1387-10-08
2008-12-29,2,0,2,0,25000,0,25000,0,23105000,0,23105000,0,924.2,924.2,,,0.0,1387-10-09
2008-12-30,6,1,3,0,57502,10000,67502,0,52283900,9080000,61363900,0,909.2535911794372,909.067879470238,908.0,,-10000.0,1387-10-10
2008-12-31,7,0,4,0,76562,0,76562,0,67617800,0,67617800,0,883.1770329928685,883.1770329928685,,,0.0,1387-10-11
2009-01-03,9,1,5,0,89303,20000,109303,0,76813746,17140000,93953746,0,860.1474306574247,859.5715213672086,857.0,,-20000.0,1387-10-14
2009-01-04,1,0,5,0,39487,0,39487,0,34722735,0,34722735,0,879.3459872869552,879.3459872869552,,,0.0,1387-10-15
2009-01-05,4,0,2,0,24606,0,24606,0,21970710,0,21970710,0,892.9005120702268,892.9005120702268,,,0.0,1387-10-16
2009-01-10,3,0,3,0,33980,0,33980,0,30819860,0,30819860,0,907.0,907.0,,,0.0,1387-10-21
2009-01-11,0,1,3,0,0,12160,12160,0,0,11151840,11151840,0,,917.092105263158,917.092105263158,,-12160.0,1387-10-22
2009-01-12,3,0,1,0,25000,0,25000,0,23175000,0,23175000,0,927.0,927.0,,,0.0,1387-10-23
