date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,0,2,1,1,0,1010,1000,10,0,20533510,20324000,209510,,20324.0,20330.20792079208,20951.0,-1000.0,1387-09-06
2008-11-29,0,1,0,1,0,500,0,500,0,10161500,0,10161500,,,20323.0,20323.0,0.0,1387-09-09
2008-11-30,1,0,1,0,77,0,77,0,1517978,0,1517978,0,19714.0,19714.0,,,0.0,1387-09-10
2008-12-01,0,1,1,0,0,800,800,0,0,15298400,15298400,0,,19123.0,19123.0,,-800.0,1387-09-11
2008-12-02,0,1,1,0,0,10,10,0,0,185500,185500,0,,18550.0,18550.0,,-10.0,1387-09-12
2008-12-03,7,4,23,2,16,200120,175136,25000,287904,3600959280,3151397184,449850000,17994.0,17994.0,17994.0,17994.0,-175120.0,1387-09-13
2008-12-06,0,2,0,1,0,505,0,505,0,8814775,0,8814775,,,17455.0,17455.0,0.0,1387-09-16
2008-12-10,0,1,0,1,0,1025,0,1025,0,17355300,0,17355300,,,16932.0,16932.0,0.0,1387-09-20
2008-12-13,1,0,1,0,1050,0,1050,0,17246250,0,17246250,0,16425.0,16425.0,,,0.0,1387-09-23
2008-12-14,0,2,76,1,0,354615,334615,20000,0,5650080795,5331420795,318660000,,15933.0,15933.0,15933.0,-334615.0,1387-09-24
2008-12-21,1,0,1,0,53,0,53,0,819168,0,819168,0,15456.0,15456.0,,,0.0,1387-10-01
2008-12-22,1,0,4,0,7000,0,7000,0,108192000,0,108192000,0,15456.0,15456.0,,,0.0,1387-10-02
2008-12-23,1,0,1,0,1287,0,1287,0,19885437,0,19885437,0,15451.0,15451.0,,,0.0,1387-10-03
2008-12-30,0,1,0,1,0,550,0,550,0,8497500,0,8497500,,,15450.0,15450.0,0.0,1387-10-10
2008-12-31,0,1,1,0,0,700,700,0,0,10490900,10490900,0,,14987.0,14987.0,,-700.0,1387-10-11
2009-01-03,0,1,1,0,0,420,420,0,0,6105960,6105960,0,,14538.0,14538.0,,-420.0,1387-10-14
2009-01-04,1,0,1,0,280,0,280,0,3948560,0,3948560,0,14102.0,14102.0,,,0.0,1387-10-15
2009-01-05,0,1,1,0,0,345,345,0,0,4719255,4719255,0,,13679.0,13679.0,,-345.0,1387-10-16
2009-01-11,0,1,1,0,0,660,660,0,0,8757540,8757540,0,,13269.0,13269.0,,-660.0,1387-10-22
2009-01-12,0,1,1,0,0,1210,1210,0,0,15573910,15573910,0,,12871.0,12871.0,,-1210.0,1387-10-23
2009-01-13,0,1,0,1,0,851,0,851,0,10624735,0,10624735,,,12485.0,12485.0,0.0,1387-10-24
2009-01-14,0,1,1,0,0,50,50,0,0,605550,605550,0,,12111.0,12111.0,,-50.0,1387-10-25
2009-01-17,2,1,27,4,635,303800,137435,167000,7459980,3569042400,1614586380,1961916000,11748.0,11748.0,11748.0,11748.0,-136800.0,1387-10-28
2009-01-18,1,1,165,10,1614,124000,115614,10000,18393144,1413104000,1317537144,113960000,11396.0,11396.0,11396.0,11396.0,-114000.0,1387-10-29
2009-01-19,178,17,411,36,1373948,1626251,1709905,1290294,15738228039,18440400965,19504377014,14674251990,11454.747951887552,11406.702134913929,11339.209608479872,11372.797199707971,-335957.0,1387-10-30
2009-01-20,12,0,10,0,24844,0,24844,0,291494652,0,291494652,0,11733.0,11733.0,,,0.0,1387-11-01
2009-01-21,8,1,8,0,30100,7517,37617,0,353554600,88294682,441849282,0,11746.0,11746.0,11746.0,,-7517.0,1387-11-02
2009-01-24,116,14,98,9,1098933,1919552,843071,2175414,12911093128,22560383259,9901221299,25570255088,11748.753680160666,11744.231860661796,11752.941967188175,11754.201769410329,255862.0,1387-11-05
2009-01-25,30,6,70,2,77678,411700,457327,32051,886887778,4693594406,5214940374,365541810,11417.489868431216,11403.088761433286,11400.520782122903,11405.004836042555,-379649.0,1387-11-06
2009-01-26,15,8,37,1,77213,112143,189316,40,865935405,1253821874,2119292759,464520,11214.89133954127,11194.472516850134,11180.56297762678,11613.0,-112103.0,1387-11-07
2009-01-27,5,3,29,2,16965,72802,82436,7331,195126895,837239504,948059495,84306904,11501.73268493958,11500.551882672618,11500.22669706876,11500.055108443596,-65471.0,1387-11-08
2009-01-28,10,1,11,2,10815,111192,83136,38871,123896560,1271369328,950788174,444477714,11455.992602866389,11436.539814280217,11434.0,11434.686887396774,-72321.0,1387-11-09
2009-01-31,5,3,16,0,4825,42640,47465,0,54773579,484507784,539281363,0,11352.037098445597,11361.663604761405,11362.752908067543,,-42640.0,1387-11-12
2009-02-01,6,1,31,1,7592,107832,109688,5736,86461335,1226536460,1247492675,65505120,11388.479320337196,11373.100749398292,11374.512760590547,11420.0,-102096.0,1387-11-13
2009-02-02,5,2,19,0,4167,165667,169834,0,47114305,1872171033,1919285338,0,11306.528677705785,11300.94879706066,11300.8084470655,,-165667.0,1387-11-14
2009-02-03,6,2,21,2,12746,21343,26716,7373,141047800,236619174,295990544,81676430,11066.044249176211,11079.148974397363,11086.500210841965,11077.774311677744,-13970.0,1387-11-15
2009-02-04,14,3,38,2,8782,137292,123074,23000,96915881,1515127220,1358225101,253818000,11035.741402869506,11035.841046849862,11035.801212015269,11035.565217391304,-114292.0,1387-11-16
2009-02-07,6,2,25,1,6169,24170,20339,10000,67661072,265048220,223047292,109662000,10967.915707570108,10966.482717931069,10966.0,10966.2,-14170.0,1387-11-19
2009-02-08,4,2,41,2,3821,40811,42603,2029,41871292,446962072,466610364,22223000,10958.20256477362,10952.523625096825,10952.0,10952.686052242483,-38782.0,1387-11-20
2009-02-09,1,2,58,4,89,64151,61069,3171,972859,701234581,667545239,34662201,10931.0,10931.0,10931.0,10931.0,-60980.0,1387-11-21
2009-02-11,3,1,72,3,509,69659,67168,3000,5549118,759352759,732198877,32703000,10902.0,10901.00757801334,10901.0,10901.0,-66659.0,1387-11-23
2009-02-14,4,1,89,5,1185,79804,76963,4026,12879585,867309872,836434889,43754568,10868.848101265825,10868.013058222785,10868.0,10868.0,-75778.0,1387-11-26
2009-02-15,1,3,111,6,3620,250244,237474,16390,39208220,2710533764,2572215109,177526875,10831.0,10831.565177661554,10831.563450072728,10831.413971934106,-233854.0,1387-11-27
2009-02-17,0,1,82,8,0,81744,73744,8000,0,875805216,790093216,85712000,,10714.0,10714.0,10714.0,-73744.0,1387-11-29
2009-02-18,0,1,64,6,0,65575,59575,6000,0,700144275,636082275,64062000,,10677.0,10677.0,10677.0,-59575.0,1387-11-30
2009-02-21,1,1,69,7,2330,67192,62522,7000,24807510,715393224,665671734,74529000,10647.0,10647.0,10647.0,10647.0,-60192.0,1387-12-03
2009-02-22,0,1,61,9,0,63721,54721,9000,0,676462136,580918136,95544000,,10616.0,10616.0,10616.0,-54721.0,1387-12-04
2009-02-23,3,1,61,8,5426,59073,56499,8000,57445062,625405851,598154913,84696000,10587.0,10587.0,10587.0,10587.0,-51073.0,1387-12-05
2009-02-25,2,1,53,9,4792,56863,52655,9000,50598636,600359554,555936190,95022000,10558.98080133556,10558.089260279176,10558.0,10558.0,-47863.0,1387-12-07
2009-02-28,0,1,52,10,0,58489,48536,9953,0,615889170,511084080,104805090,,10530.0,10530.0,10530.0,-48536.0,1387-12-10
2009-03-01,7,1,52,11,13509,55318,48827,20000,141898536,581060272,512878808,210080000,10504.0,10504.0,10504.0,10504.0,-35318.0,1387-12-11
2009-03-02,9,1,60,13,19000,66867,62867,23000,198995000,700298091,658412091,240881000,10473.421052631578,10473.095439578794,10473.0,10473.08695652174,-43867.0,1387-12-12
2009-03-03,2,1,76,14,378,80477,66855,14000,3944430,839777495,697631925,146090000,10435.0,10435.0,10435.0,10435.0,-66477.0,1387-12-13
2009-03-04,0,1,71,12,0,77889,65889,12000,0,809967711,685179711,124788000,,10399.0,10399.0,10399.0,-65889.0,1387-12-14
2009-03-07,0,1,68,14,0,76333,63200,13133,0,791115212,655004800,136110412,,10364.0,10364.0,10364.0,-63200.0,1387-12-17
2009-03-08,0,1,62,13,0,66346,53782,12564,0,685354180,555568060,129786120,,10330.0,10330.0,10330.0,-53782.0,1387-12-18
2009-03-09,1,1,55,13,10,63217,50227,13000,103010,651198317,517388327,133913000,10301.0,10301.0,10301.0,10301.0,-50217.0,1387-12-19
2009-03-10,1,1,45,13,10,55445,42445,13010,102740,569586485,436037485,133651740,10274.0,10273.0,10273.0,10273.000768639507,-42435.0,1387-12-20
2009-03-11,0,1,42,11,0,51027,40027,11000,0,522975723,410236723,112739000,,10249.0,10249.0,10249.0,-40027.0,1387-12-21
2009-03-14,2,1,41,13,289,49974,37263,13000,2955314,511034124,381051438,132938000,10226.0,10226.0,10226.0,10226.0,-36974.0,1387-12-24
2009-03-16,0,2,37,12,0,46481,34471,12010,0,474292134,351742084,122550050,,10204.0,10204.00021514167,10204.000832639467,-34471.0,1387-12-26
2009-03-17,2,1,31,12,26000,38916,38916,26000,264785000,396320544,396320544,264785000,10184.03846153846,10184.0,10184.0,10184.03846153846,-12916.0,1387-12-27
2009-03-18,0,1,31,11,0,41970,30970,11000,0,426205350,314500350,111705000,,10155.0,10155.0,10155.0,-30970.0,1387-12-28
2009-03-28,0,1,30,7,0,36030,29030,7000,0,365236110,294277110,70959000,,10137.0,10137.0,10137.0,-29030.0,1388-01-08
2009-03-29,0,1,32,9,0,40347,31347,9000,0,408351987,317262987,91089000,,10121.0,10121.0,10121.0,-31347.0,1388-01-09
2009-03-30,0,1,32,9,0,39498,30498,9000,0,399087792,308151792,90936000,,10104.0,10104.0,10104.0,-30498.0,1388-01-10
2009-03-31,0,1,30,9,0,38049,29049,9000,0,383800263,293017263,90783000,,10087.0,10087.0,10087.0,-29049.0,1388-01-11
2009-04-04,1,1,36,8,4900,41459,38359,8000,49343000,417492130,386275130,80560000,10070.0,10070.0,10070.0,10070.0,-33459.0,1388-01-15
2009-04-05,29,6,20,4,584335,84402,415007,253730,5902583989,862825188,4212374177,2553035000,10101.369914518213,10150.128014708183,10222.805004620745,10062.014740078035,169328.0,1388-01-16
2009-04-06,26,7,13,3,99386,281000,331386,49000,1033635426,2931389000,3453967840,511056586,10400.211558972089,10422.793479507282,10431.989323843416,10429.72624489796,-232000.0,1388-01-17
2009-04-07,16,0,4,1,84740,0,29740,55000,875141780,0,305891780,569250000,10327.375265518056,10285.533960995292,,10350.0,55000.0,1388-01-18
2009-04-08,12,4,14,2,37177,77116,94945,19348,371485174,770204369,948395695,193293848,9992.33865024074,9988.89562378219,9987.607876445874,9990.378747157329,-57768.0,1388-01-19
2009-04-11,8,2,9,4,21690,31740,31778,21652,215606464,315508232,315927120,215187576,9940.362563393268,9941.69299515388,9940.397983616887,9938.461851099206,-10088.0,1388-01-22
2009-04-12,4,3,15,1,4110,19010,22120,1000,40791500,188527550,219404050,9915000,9924.939172749391,9918.80877034358,9917.283008942662,9915.0,-18010.0,1388-01-23
2009-04-13,6,3,14,4,3480,49685,43685,9480,34471480,492154925,432722925,93903480,9905.597701149423,9905.5264965091,9905.503169970816,9905.430379746836,-40205.0,1388-01-24
2009-04-14,3,4,10,4,13046,67985,55790,25241,128997522,671988405,551529124,249456803,9887.898359650468,9885.806130130848,9884.362800617784,9883.0,-42744.0,1388-01-25
2009-04-15,4,3,14,5,1305,61115,48671,13749,12853447,601921635,479361181,135413901,9849.384674329502,9849.01031415011,9849.0,9849.0,-47366.0,1388-01-26
2009-04-18,6,2,14,5,1414,58396,23700,36110,13890422,573623908,232805800,354708530,9823.49504950495,9823.029535864978,9823.0,9823.0,-22286.0,1388-01-29
2009-04-19,37,2,28,3,133937,31161,96835,68263,1326331436,305289317,959032617,672588136,9902.65151526464,9903.780833376362,9797.160456981484,9852.894481637197,37102.0,1388-01-30
2009-04-20,26,0,16,3,73435,0,62148,11287,744774821,0,629620968,115153853,10141.959842037177,10130.9932419386,,10202.343669708514,11287.0,1388-01-31
